,Concept_ID,sah,te
0,Auge::N,харах,కన్ను
1,Ohr::N,кулгаах,చెవి
2,Nase::N,мурун,ముక్కు
3,Mund::N,айах,నోరు
4,Zahn::N,тиис,పల్లు
5,Zunge::N,тыл,నాలుక
6,Lippe::N,уос,పెదవి
7,Wange::N,иэдэс,చెంప
8,Gesicht::N,сирэй,ముఖము
9,Stirn::N,сүүс,నుదురు
10,Haar::N,баттах,వెండ్రుక
11,Schnurrbart::N,уос бытыга,మీసము
12,Bart::N,сэҥийэ бытыга,గడ్డము
13,Kinn::N,сэҥийэ,గడ్డము
14,Kiefer[Anatomie]::N,сыҥаах,దౌడ
15,Kehle::N,тамах,గొంతు
16,Kehle::N,күөмэй,గొంతు
17,Hals::N,моой,మెడ
18,Genick::N,кэтэх,మూపు
19,Kopf::N,бас,తల
20,Rücken::N,көҕүс,వెన్ను
21,Bauch::N,ис,కడుపు
22,Nabel::N,киин,బొడ్డు
23,Busen::N,эмиий,స్తనము
24,Brust::N,түөс,ఱొమ్ము
25,Schulter::N,сарын,భుజము
26,Arm::N,илии,చేయి
27,Ellenbogen::N,тоҕонох,మోచేయి
28,Hand::N,илии,చేయి
29,Handfläche::N,ытыс,అరచేయు
30,Finger::N,тарбах,చేతిప్రేలు
31,Fingernagel::N,тыҥырах,గోరు
32,Nagel[Anatomie]::N,тыҥырах,గోరు
33,Zeh::N,тарбах,కాలిప్రేలు
34,Fuß::N,уллуҥах,అడుగు
35,Ferse::N,тилэх,మడమ
36,Knie::N,тобук,మోకాలు
37,Knie::N,дьилбэк,మోకాలు
38,Oberschenkel::N,уллук,తొడ
39,Oberschenkel::N,өттүк,తొడ
40,Bein::N,атах,కాలు
41,Körper::N,бэйэ,కాయము
42,Haut::N,тирии,చర్మము
43,Blut::N,хаан,రక్తము
44,Ader::N,вена,సిర
45,Ader::N,күөх_тымыр,సిర
46,Sehne::N,иҥиир,స్నాయువు
47,Knochen::N,уҥуох,ఎముక
48,Knochen::N,уҥгуох,ఎముక
49,Gehirn::N,мэйии,మెదడు
50,Herz::N,сүрэх,హృదయము
51,Magen::N,куртах,కడుపు
52,Leber::N,быар,కాలేయము
53,Atem::N,тыын,ఉపిరి
54,Hunger::N,аас,ఆకలి
55,Träne::N,харах уута,కన్నీటిచుక్క
56,Geschmack::N,амтан,రుచి
57,Geruch::N,сыт,వాసన
58,Schlaf::N,утуйуу,నిద్ర
59,Traum::N,түүл,కల
60,Himmel::N,халлаан,ఆకాశము
61,Sonne::N,күн,సూర్యుడు
62,Mond::N,ый,చంద్రుడు
