,Concept_ID,te,ka
0,Auge::N,కన్ను,თვალი
1,Ohr::N,చెవి,ყური
2,Nase::N,ముక్కు,ცხვირი
3,Mund::N,నోరు,პირი
4,Zahn::N,పల్లు,კბილი
5,Zunge::N,నాలుక,ენა
6,Lippe::N,పెదవి,ბაგე
7,Wange::N,చెంప,ლოყა
8,Gesicht::N,ముఖము,სახე
9,Stirn::N,నుదురు,შუბლი
10,Haar::N,వెండ్రుక,თმა
11,Schnurrbart::N,మీసము,ულვაში
12,Bart::N,గడ్డము,წვერი
13,Kinn::N,గడ్డము,ნიკაპი
14,Kiefer[Anatomie]::N,దౌడ,ყბა
15,Kehle::N,గొంతు,ყელი
16,Hals::N,మెడ,ყელი
17,Hals::N,మెడ,კისერი
18,Genick::N,మూపు,კეფა
19,Kopf::N,తల,თავი
20,Rücken::N,వెన్ను,ზურგი
21,Bauch::N,కడుపు,მუცელი
22,Nabel::N,బొడ్డు,ჭიპი
23,Busen::N,స్తనము,ძუძუ
24,Brust::N,ఱొమ్ము,მკერდი
25,Schulter::N,భుజము,მხარი
26,Schulter::N,భుజము,მკლავი
27,Arm::N,చేయి,ხელი
28,Ellenbogen::N,మోచేయి,იდაყვი
29,Hand::N,చేయి,ხელი
30,Handfläche::N,అరచేయు,ნები
31,Handfläche::N,అరచేయు,ხელისგული
32,Finger::N,చేతిప్రేలు,თითი
33,Fingernagel::N,గోరు,ფრჩხილი
34,Nagel[Anatomie]::N,గోరు,ფრჩხილი
35,Zeh::N,కాలిప్రేలు,ფეხის თითი
36,Fuß::N,అడుగు,ტერფი
37,Fuß::N,అడుగు,ფეხისგული
38,Ferse::N,మడమ,ქუსლი
39,Knie::N,మోకాలు,მუხლი
40,Oberschenkel::N,తొడ,ბარძაყი
41,Bein::N,కాలు,ფეხი
42,Körper::N,కాయము,ტანი
43,Körper::N,కాయము,სხეული
44,Haut::N,చర్మము,კანი
45,Blut::N,రక్తము,სისხლი
46,Ader::N,సిర,ძარღვი
47,Sehne::N,స్నాయువు,მყესი
48,Knochen::N,ఎముక,ძვალი
49,Gehirn::N,మెదడు,ტვინი
50,Herz::N,హృదయము,გული
51,Magen::N,కడుపు,კუჭი
52,Leber::N,కాలేయము,ღვიძლი
53,Atem::N,ఉపిరి,სუნთქვა
54,Hunger::N,ఆకలి,შიმშილი
55,Träne::N,కన్నీటిచుక్క,ცრემლი
56,Geschmack::N,రుచి,გემო
57,Geruch::N,వాసన,სუნი
58,Schlaf::N,నిద్ర,ძილი
59,Traum::N,కల,სიზმარი
60,Himmel::N,ఆకాశము,ცა
61,Sonne::N,సూర్యుడు,მზე
62,Mond::N,చంద్రుడు,მთვარე
63,Stern::N,నక్షత్రము,ვარსკვლავი
64,Luft::N,గాలి,ჰაერი
65,Wind::N,వీచుచున్నగాలి,ქარი
66,Welle::N,అల,ტალღა
67,Wasser::N,నీరు,წყალი
68,Stein::N,ఱాయి,ქვა
69,Boden::N,నేల,მიწა
70,Erde::N,మన్ను,ნიადაგი
71,Staub::N,దుమ్ము,მტვერი
72,Rauch::N,పొగ,ბოლი
73,Rauch::N,పొగ,კვამლი
74,Funke::N,అగ్నికణము,ნაკვესი
75,Feuer::N,అగ్ని,ცეცხლი
76,Licht::N,కాంతి,შუქი
77,Licht::N,కాంతి,სინათლე
78,Schatten::N,నీడ,ლანდი
79,Schatten::N,నీడ,ჩრდილი
80,Wetter::N,వాతావరణ స్థితి,ამინდი
81,Nebel::N,పొగమంచు,ნისლი
82,Wolke::N,మేఘము,ღრუბელი
83,Regen::N,వాన,წვიმა
84,Schnee::N,హిమము,თოვლი
85,Eis::N,మంచుగడ్డ,თოში
86,Eis::N,మంచుగడ్డ,ყინული
87,Frost::N,పేరిన మంచు,ყინვა
88,Kälte::N,చలి,სიცივე
89,Hitze::N,వేడిమి,სიცხე
90,Raureif::N,మంచు,ჭირხლი
91,Raureif::N,మంచు,თრთვილი
92,Regenbogen::N,ఇంద్రధనుస్సు,ცისარტყელა
93,Donner::N,ఉరుము,ქუხილი
94,Strömung::N,ప్రవాహము,დინება
95,Tropfen::N,చుక్క,წვეთი
96,Schaum::N,నురుగు,ქაფი
97,Schaum::N,నురుగు,დორბლი
98,Schmutz::N,మైల,ჭუჭყი
99,Schmutz::N,మైల,ტალახი
100,See::N,సరస్సు,ტბა
101,Sumpf::N,చిత్తడినేల,ჭაობი
102,Moor::N,చిత్తడినేల,ტორფნარი
