,Concept_ID,ko,ta
0,Auge::N,눈,கண்
1,Ohr::N,귀,காது
2,Nase::N,코,மூக்கு
3,Mund::N,입,வாய்
4,Zahn::N,이,பல்
5,Zunge::N,혀,நாக்கு
6,Lippe::N,입술,உதடு
7,Wange::N,뺨,கன்னம்
8,Gesicht::N,얼굴,முகம்
9,Stirn::N,이마,முன்னெற்றி
10,Haar::N,털,முடி
11,Schnurrbart::N,윗수몀,மீசை
12,Schnurrbart::N,코밑수염,மீசை
13,Bart::N,수엄,தாடி
14,Kinn::N,아래턱,கீழதாடை
15,Kiefer[Anatomie]::N,턱,தாடை
16,Kehle::N,인후,தொண்டை
17,Hals::N,목,கழுத்து
18,Genick::N,먹덜이,கழுத்து
19,Kopf::N,머리,தலை
20,Rücken::N,든,முதுகு
21,Bauch::N,배,வயிறு
22,Nabel::N,배꼽,தொப்புள்
23,Busen::N,가슴속,மார்பகம்
24,Brust::N,가슴, மார்பு
25,Schulter::N,어깨,தோள்பட்டை
26,Arm::N,팔,கரம்
27,Ellenbogen::N,팔쿰치,முழங்கை
28,Hand::N,손,கை
29,Handfläche::N,손바닥,உள்ளங்கை
30,Finger::N,속가락,விரல்
31,Fingernagel::N,손톱,விரல் நகம்
32,Nagel[Anatomie]::N,손톱,நகம்
33,Zeh::N,발가락,கால்விரல்
34,Fuß::N,발,கால்
35,Ferse::N,발꿈치,குதிகால்
36,Knie::N,무릎,முழங்கால்
37,Oberschenkel::N,허벅다리,தொடை
38,Bein::N,다리,கால்
39,Körper::N,구간,உடல்
40,Haut::N,살갗,சருமம்
41,Blut::N,피,இரத்தம்
42,Ader::N,정맥,நாளம்
43,Sehne::N,현,தசைநார்
44,Knochen::N,뼈,எலுமபு
45,Gehirn::N,뇌,மூனை
46,Gehirn::N,뇌수,மூனை
47,Herz::N,염통,இதயம
48,Magen::N,위,வயிறு
49,Leber::N,간,கல்லீரல்
50,Atem::N,기식,மூச்சு
51,Hunger::N,공복,பசி
52,Träne::N,눈물,கண்ணீர்
53,Geschmack::N,기호,நறுமணம்
54,Geruch::N,냄새,துர்நாற்றம்
55,Schlaf::N,수면,தூக்கம்
56,Traum::N,쿰,கனவு
57,Himmel::N,하늘,வானம்
58,Sonne::N,해,சூரியன்
59,Mond::N,달,சந்திரன்
60,Stern::N,별,நட்சத்திரம்
61,Luft::N,동준,காறறு
62,Luft::N,가스채,காறறு
63,Wind::N,바람,காற்று
64,Welle::N,물결,அலை
65,Wasser::N,물,நீர்
66,Stein::N,돌,கல்
67,Boden::N,바닥,தரை
68,Erde::N,흙,மண்
69,Staub::N,먼지,தூசி
70,Rauch::N,연기,புகை
71,Funke::N,불티,தீப்பொறி
72,Feuer::N,불,தீ
73,Licht::N,불,வெளிச்சம்
74,Schatten::N,어스레함,நிழல்
75,Wetter::N,기상,வானிலை
76,Nebel::N,안개,பனிமூட்டம்
77,Wolke::N,구름,மேகம்
78,Regen::N,비,மழை
79,Schnee::N,눈,உறைபனி
80,Eis::N,얼음,பனிக்கட்டி
81,Frost::N,혹한,உறைபனி
82,Kälte::N,추위,குளிர்ந்த
83,Kälte::N,차가움,குளிர்ந்த
84,Hitze::N,고온,சூடு
85,Hitze::N,더위,சூடு
86,Regenbogen::N,무지개,வானவில்
87,Donner::N,뇌명,இடி
88,Strömung::N,유동,நீரோட்டம்
89,Tropfen::N,물방울,துளி
90,Schaum::N,포말,நுரை
91,Schmutz::N,때,அழுக்கு
92,See::N,호수,ஏரி
93,Sumpf::N,습지,சதுப்பு நிலம்
94,Moor::N,저습지,முட்புதற்காடு
95,Wiese::N,목초지,பசும் புல்தரை
96,Wald::N,숲,காடு
97,Hügel::N,언덕,குன்று
98,Anhöhe::N,언덕,பதுக்கை
99,Berg::N,산,மலை
100,Gipfel::N,졀졍,உச்சி மாநாடு
101,Höhle::N,공동,குகை
102,Abhang::N,몰매,சரிவு
103,Quelle::N,근원,மூலம்
104,Bach::N,내,ஓடை
105,Fluss::N,강,ஆறு
106,Ufer::N,강변,நீர்க்கரை
107,Ufer::N,바닷가,நீர்க்கரை
108,Küste::N,해변,கடற்கரை
109,Küste::N,해변가,கடற்கரை
110,Festland::N,본토,நிலம்
111,Meer::N,바다,கடல்
112,Bucht::N,협만,சிறுகுடா
113,Insel::N,섬,தீவு
114,Blume::N,꽃,பூ
115,Gras::N,풀,புல்தரை
116,Wurzel::N,뿌리,வேர்
117,Baum::N,나무,மரம்
118,Stamm::N,대,அடிமரம்
119,Rinde::N,나무껍질,பட்டை
120,Rinde::N,나무껍질,மரப்பட்டை
121,Ast::N,가지,கினை
122,Zweig::N,가지,குச்சி
123,Blatt::N,잎,இலை
124,Birke::N,자작나무,பிர்ச் மரம்
125,Kiefer[Baum]::N,소나무,தேவதாரு மரம்
126,Weide[Baum]::N,쉬양버들,மர வகைகளுள் ஒன்று
127,Tanne::N,전나무,சாதிக்கய்
128,Horn::N,뿔,கொம்பு
129,Feder::N,깃털,இறகு
130,Fell::N,피혁모피,மென்முடி
131,Flügel::N,날개,இறக்கை
132,Klaue::N,갈고리 발톺,நகம்
133,Kralle::N,발툭,நகம்
134,Schwanz::N,꼬리,வால்
135,Ei::N,알,முட்டை
136,Nest::N,보금자리,கூடு
137,Bau::N,굴,குகை
138,Tier::N,짐승,விலங்கு
139,Herde::N,가축의떼,கூட்டம்
140,Kuh::N,암소,பசு
141,Bulle::N,황소,காளை
142,Pferd::N,말,குதிரை
143,Schaf::N,양,செம்மறிஆடு
144,Schwein::N,돼지,பன்றி
145,Hund::N,개,நாய்
146,Katze::N,고양이,பூனை
147,Bär::N,콤,கரடி
148,Eichhörnchen::N,다람쥐,அணில்
149,Elch::N,고라니,கடம்பை
150,Fuchs::N,여우,நரி
151,Hase::N,토끼,முயல்
152,Maus::N,쥐,எலி
153,Wolf::N,늑대,ஓநாய்
154,Vogel::N,새,பறவை
155,Schwarm::N,뗴,தொகுதி
156,Huhn::N,암탉,கோழிக்குஞசு
157,Hahn::N,수탉,சேவல்
158,Gans::N,거위,பெண் வாத்து
159,Adler::N,수리,பருநது
160,Ente::N,오리,வாத்து
161,Eule::N,부엉이,ஆந்தை
162,Kranich::N,두루미,நாரை
163,Krähe::N,까마귀,காகம்
164,Kuckuck::N,뻐꾸기,குயில்
165,Schwan::N,배조,அன்னம்
166,Fisch::N,물고기,மீன்
167,Barsch::N,농어,பேர்ச்
168,Hecht::N,에속스,கோலாச்சி மீன்
169,Schlange[Tier]::N,뱀,பாம்பு
170,Wurm::N,벌레,புழு
171,Spinne::N,거미,சிலந்தி
172,Ameise::N,개미,எறும்பு
173,Laus::N,이,பேன்
