,Concept_ID,uz,az
0,Auge::N,ko'z,göz
1,Ohr::N,quloq,qulaq
2,Nase::N,burun,burun
3,Mund::N,og'iz,ağız
4,Zahn::N,tish,diş
5,Zunge::N,til,dil
6,Lippe::N,dudoq,dodaq
7,Wange::N,bet,yanaq
8,Gesicht::N,yuz,üz
9,Stirn::N,manglay,alın
10,Haar::N,soch,saç
11,Schnurrbart::N,mo'ylov,bığ
12,Bart::N,soqol,saqqal
13,Kinn::N,ängak,çənə
14,Kiefer[Anatomie]::N,iyak,çənə
15,Kehle::N,bo'g'iz,boğaz
16,Hals::N,bo'yin,boyun
17,Genick::N,gardan,ənsə
18,Kopf::N,bosh,baş
19,Rücken::N,orqa,bel
20,Bauch::N,qorin,qarın
21,Nabel::N,kindik,göbək
22,Busen::N,ämchak,məmə
23,Brust::N,ko'krak,döş
24,Schulter::N,elka,çiyin
25,Arm::N,bilak,qol
26,Ellenbogen::N,tirsak,dirsək
27,Hand::N,qo'l,əl
28,Handfläche::N,kaft,ovuc
29,Finger::N,barmoq,barmaq
30,Fingernagel::N,tirnoq,barmaq dırnağı
31,Nagel[Anatomie]::N,tirnoq,dırnak
32,Zeh::N,oyoq barmog'i,ayaq barmağı
33,Fuß::N,oyoq,ayaq
34,Ferse::N,tovon,daban
35,Knie::N,tiz,diz
36,Oberschenkel::N,son,bud
37,Bein::N,oyoq,qıç
38,Körper::N,badna,əndam
39,Haut::N,teri,dəri
40,Blut::N,qon,qan
41,Ader::N,qon tomir,damar
42,Sehne::N,tomir,vətər
43,Knochen::N,suyak,sümük
44,Gehirn::N,miya,beyin
45,Herz::N,qalb,ürək
46,Magen::N,oshqozon,mədə
47,Leber::N,bag'ir,qara ciyər
48,Atem::N,dam,nəfəs
49,Hunger::N,ochlik,aclıq
50,Träne::N,yosh,göz yaşı
51,Geschmack::N,tam,tam
52,Geschmack::N,tam,ləzzət
53,Geruch::N,jid,qoxu
54,Schlaf::N,uyqu,yuxu
55,Traum::N,tush,röya
56,Himmel::N,osmon,göy
57,Himmel::N,osmon,səma
58,Sonne::N,quyosh,günəş
59,Mond::N,oy,ay
60,Stern::N,yulduz,ulduz
61,Luft::N,havo,hava
62,Wind::N,el,yel
63,Wind::N,el,külək
64,Welle::N,to'lqin,dalğa
65,Wasser::N,suv,su
66,Stein::N,tosh,daş
67,Boden::N,tuproq,yer
68,Boden::N,tuproq,zəmin
69,Erde::N,er,yer torpaq
70,Staub::N,chang,toz
71,Rauch::N,tutun,tüstü
72,Funke::N,yalt,qığılcım
73,Feuer::N,o't,od
74,Licht::N,yorug',işıq
75,Schatten::N,soya,kölgə
76,Wetter::N,havo,hava
77,Nebel::N,tuman,duman
78,Wolke::N,bulut,bulud
79,Regen::N,yomg'ir,yağış
80,Regen::N,yomg'ir,yağmur
81,Schnee::N,qor,qar
82,Eis::N,muz,buz
83,Frost::N,ajoz,ayaz
84,Kälte::N,ajoz,soyuq
85,Hitze::N,issiq,coşğunluq
86,Raureif::N,qirov,qırov
87,Regenbogen::N,kamalak,göy qurşağı
88,Donner::N,guldur,göy gurultusu
89,Strömung::N,oqim,axın
90,Tropfen::N,tomchi,damcı
91,Schaum::N,ko'pik,köpük
92,Schmutz::N,gard,çamır
93,See::N,ko'l,göl
94,Sumpf::N,botqoq,bataqlıq
95,Moor::N,qir-adir,bataqlıq
96,Wiese::N,o'tzor,çəmən
97,Wald::N,o'rmon,meşə
98,Hügel::N,tepa,təpə
99,Anhöhe::N,adir,təpə
100,Berg::N,tog',dağ
101,Gipfel::N,cho'qqi,zirvə
102,Höhle::N,kavak,mağara
103,Abhang::N,to'sh,yamac
104,Quelle::N,buloq,bulaq
105,Bach::N,o'zan,kiçik çay
106,Fluss::N,daryo,çay
107,Ufer::N,sohil,kənar
108,Küste::N,qirg'oq,sahil
109,Festland::N,materik,materik
110,Meer::N,dengiz,dəniz
111,Bucht::N,qo'ltiq,körfəz
112,Insel::N,orol,ada
113,Blume::N,gul,çiçək
114,Gras::N,sabza,ot
115,Wurzel::N,tub,kök
116,Wurzel::N,tomir,kök
117,Baum::N,daraxt,ağac
118,Stamm::N,o'simta,gövdə
119,Rinde::N,qobiq,qabıq
120,Ast::N,shox,şax
121,Zweig::N,butoq,budaq
122,Blatt::N,barg,yarpaq
123,Birke::N,qayin,tozağacı
124,Kiefer[Baum]::N,qarag'ay,şam
125,Weide[Baum]::N,shum,söyüd
126,Tanne::N,archa,küknar
127,Horn::N,mugiz,buynuz
128,Feder::N,par,tük
129,Feder::N,par,lələk
130,Fell::N,mo'yna,xəz
131,Flügel::N,qanot,qanad
132,Klaue::N,tirnoq,pəncə
133,Kralle::N,tirnoq,dırnaq
134,Schwanz::N,quyruq,quyruq
135,Ei::N,tuxum,yumurta
136,Nest::N,oshyon,yuva
137,Bau::N,o'pqon,yuva
138,Tier::N,hayvon,heyvan
139,Herde::N,gala,sürü
140,Kuh::N,inak,inək
141,Bulle::N,ho'kiz,öküz
142,Pferd::N,ot,at
143,Schaf::N,qo'y,qoyun
144,Schwein::N,cho'chqa,donuz
145,Hund::N,it,it
146,Hund::N,it,köpək
147,Katze::N,mushuk,pişik
148,Bär::N,ayiq,ayı
149,Eichhörnchen::N,tiyin,dələ
150,Elch::N,los,sığın
151,Fuchs::N,tulki,tülkü
152,Hase::N,kuyon,dovşan
153,Maus::N,sichqon,siçan
154,Wolf::N,bo'ri,qurd
155,Vogel::N,qush,quş
156,Schwarm::N,to'da,sürü
157,Huhn::N,tovuq,toyuq
158,Hahn::N,xo'roz,xoruz
159,Gans::N,g'oz,qaz
160,Adler::N,burgut,qartal
161,Adler::N,burgut,qaraquş
162,Ente::N,o'rdak,ördək
163,Eule::N,boyo'g'li,bayquş
164,Kranich::N,turna,durna
165,Krähe::N,qarg'a,qarğa
166,Kuckuck::N,kakku,ququ
167,Schwan::N,oqkush,qu quşu
168,Fisch::N,baliq,balıq
169,Barsch::N,olabug'a,tar
170,Hecht::N,cho'rtan,durnabalığı
171,Schlange[Tier]::N,ilon,ilan
172,Wurm::N,qurt,qurd
173,Spinne::N,o'rgimchak,hörümçək
174,Ameise::N,chumoli,qarışqa
175,Laus::N,bit,bit
176,Mücke::N,chivin,ağcaqanad
177,Fliege::N,pashsha,milçək
178,Schmetterling::N,kapalak,kəpənək
179,Beere::N,meva,gilə
180,Apfel::N,olma,alma
181,Pilz::N,qo'ziqorin,göbələk
182,Zwiebel::N,piyoz,soğan
183,Saat::N,äkin,əkin
184,Korn::N,zarra,taxıl
185,Heu::N,xashak,quru ot
186,Schale::N,po'choq,qabıq
187,Grube::N,co'ra,çuxur
188,Falle::N,qopqon,tələ
189,Falle::N,qopqon,duzaq
190,Schlinge::N,sirtmoq,ilmək
191,Spur::N,iz,iz
192,Asche::N,kul,kül
193,Dreck::N,kir,kir
194,Eisen::N,temir,dəmir
195,Gold::N,tilla,altun
196,Silber::N,kumush,gümüş
197,Kohle::N,ko'mir,kömür
198,Glas::N,oyna,şüşə
199,Lehm::N,loy,gil
200,Lehm::N,loy,palçıq
201,Sand::N,qum,qum
202,Mensch::N,odam,adam
203,Mensch::N,odam,insan
204,Mann::N,ärkak,kişi
205,Frau::N,ayol,qadın
206,Kind::N,bola,uşaq
207,Kind::N,kichkintoy,uşaq
208,Junge::N,bola,oğlan
209,Mädchen::N,qiz,qız
210,Familie::N,oila,ailə
211,Großvater::N,buva,baba
212,Großvater::N,katta ota,baba
213,Großmutter::N,buvi,nənə
214,Großmutter::N,katta oyi,nənə
215,Eltern::N,ota-ona,valideyn
216,Vater::N,ota,ata
217,Mutter::N,ona,ana
218,Sohn::N,o'g'il,oğul
219,Tochter::N,qiz,qız
220,Bruder::N,og'a,qardaş
221,Bruder::N,uka,qardaş
222,Schwester::N,opa,bacı
223,Schwester::N,singil,bacı
224,Onkel::N,amaki,əmi
225,Onkel::N,amaki,dayı
226,Tante::N,amma,bibi
227,Tante::N,xola,bibi
228,Ehemann::N,är,ər
229,Ehefrau::N,rafiqa,arvad
230,Freude::N,ayish,nəşə
231,Freude::N,ayish,sevinc
232,Gelächter::N,kulgi,gülüş
233,Gelächter::N,kulgi,qəhqəhə
234,Glück::N,saodat,səadət
235,Glück::N,saodat,xoşbəxtlik
236,Kummer::N,g'am,qəm
237,Kummer::N,g'am,kədər
238,Wunsch::N,orzu,arzu
239,Lust::N,rag'bat,həvəs
240,Geist::N,ruh,ruh
241,Gedanke::N,fikr,fikir
242,Gedanke::N,fikr,düşüncə
243,Gedächtnis::N,äs,xatir
244,Gedächtnis::N,äs,hafizə
245,Verstand::N,aql,ağıl
246,Sinn::N,ma'ni,məna
247,Grund::N,sabab,səbəb
248,Wahrheit::N,haq,haqq
249,Wahrheit::N,haq,doğruluq
250,Gespräch::N,gap,söhbət
251,Gespräch::N,gap,qonuşma
252,Märchen::N,ärtak,nağıl
253,Erzählung::N,rivoyat,hekayə
254,Nachricht::N,xabar,xəbər
255,Neuigkeit::N,yangilik,xəbər
256,Neuigkeit::N,yangilik,yenilik
257,Name::N,ot,ad
258,Rätsel::N,topishmoq,tapmaca
259,Rede::N,nutq,nitq
260,Sprache::N,til,dil
261,Stimme::N,ovoz,səs
262,Wort::N,so'z,söz
263,Wort::N,so'z,kəlmə
264,Zeichen::N,alomat,nişan
265,Ruf::N,chaqiriq,çığırtı
266,Lärm::N,taraq,gurultu
267,Laut::N,tovush,səs
268,Ton::N,un,ton
269,Lied::N,ashula,mahnı
270,Ruhe::N,tinchlik,sakitlik
271,Leute::N,xaloyiq,xalq
272,Volk::N,xalq,millət
273,Arbeit::N,ish,iş
274,Arbeit::N,ish,əmək
275,Gast::N,mehmon,qonaq
276,Gast::N,mehmon,müsafir
277,Geschenk::N,hadya,hədiyyə
278,Spiel::N,o'yin,oyun
279,Spiel::N,o'yin,tamaşa
280,Gesellschaft::N,jamiyat,cəmiyyet
281,Hilfe::N,yordam,kömək
282,Hilfe::N,yordam,yardım
283,Freund::N,do'st,dost
284,Kamerad::N,yo'ldosh,yoldaş
285,Angelegenheit::N,daxl,iş
286,Anzahl::N,son,say
287,Art::N,tur,çeşid
288,Stück::N,parcha,dənə
289,Stück::N,parcha,parça
290,Teil::N,bo'lak,qisim
291,Hälfte::N,yarim,yarım
292,Kreis::N,aylana,dairə
293,Kreuz::N,xoch,xaç
294,Linie::N,liniya,xətt
295,Strich::N,chiziq,cızıq
296,Abstand::N,oralik,məsafə
297,Entfernung::N,uzoqlik,məsafə
298,Entfernung::N,uzoqlik,uzaqlıq
299,Gegend::N,yer,bölgə
300,Platz::N,oralig,yer
301,Ort::N,joy,yer
302,Seite::N,yon,yan
303,Seite::N,yon,tərəf
304,Mitte::N,o'rta,orta
305,Gegenstand::N,ashyo,şey
306,Sache::N,buyum,şey
307,Rand::N,chek,kənar
308,Kante::N,tig',tiyə
309,Kante::N,tig',kənar
310,Ecke::N,burchak,bucaq
311,Spitze::N,uch,uc
312,Ende::N,oxir,son
313,Ende::N,oxir,axır
314,Loch::N,teshik,deşik
315,Winkel::N,go'sha,guşə
316,Muster::N,nusha,ülgü
317,Größe::N,kattalik,böyüklük
318,Länge::N,uzunlik,uzunluq
319,Höhe::N,yuksaklik,yüksəklik
320,Gewicht::N,solmoq,çəki
321,Gewicht::N,solmoq,ağırlıq
322,Menge::N,miqdor,miqdar
323,Haufen::N,uyum,yığın
324,Reihe::N,saf,səf
325,Reihe::N,saf,sıra
326,Boot::N,qayiq,qayıq
327,Ruder::N,äshkak,kürək
328,Schlitten::N,chana,kirşə
329,Ski::N,chang'i,xizək
330,Lagerfeuer::N,gulxan,düşərgə tonqalı
331,Last::N,yuk,yük
332,Gang::N,yurish,yeriş
333,Schritt::N,qadam,addım
334,Norden::N,shimol,şimal
335,Süden::N,janub,cənub
336,Westen::N,g'arb,qərb
337,Osten::N,sharq,şərq
338,Holz::N,yog'och,ağac
339,Holz::N,yog'och,taxta
340,Brett::N,taxta,taxta
