,Concept_ID,ps,kn
0,Auge::N,سترګه,ಕಣ್ಣು
1,Ohr::N,غوږ,ಕಿವಿ
2,Nase::N,پوزه,ಮೂಗು
3,Mund::N,خوله,ಬಾಯಿ
4,Zahn::N,غاښ,ಹಲ್ಲು
5,Zunge::N,جبه,ನಾಲಿಗೆ
6,Lippe::N,شونډه,ತುಟಿ
7,Wange::N,باړخو,ಗಲ್ಲ
8,Gesicht::N,مخ,ಮುಖ
9,Stirn::N,تندی,ಹಣೆ
10,Stirn::N,وچولی,ಹಣೆ
11,Haar::N,وېښته,ಕೂದಲು
12,Schnurrbart::N,برېت,ಮೀಸೆ
13,Bart::N,ږیره,ಗಡ್ಡ
14,Kinn::N,زنه,ಗದ್ದ
15,Kiefer[Anatomie]::N,جامه,ದವಡೆ
16,Kehle::N,غاړه,ಗಂಟಲು
17,Hals::N,غاړه,ಕೊರಳು
18,Genick::N,ورمېږ,ಹಿಂಗತ್ತು
19,Kopf::N,سر,ತಲೆ
20,Rücken::N,شا,ಬೆನ್ನು
21,Bauch::N,نس,ಹೊಟ್ಟೆ
22,Bauch::N,ګېډه,ಹೊಟ್ಟೆ
23,Nabel::N,نوم,ಹೊಕ್ಕುಳು
24,Busen::N,تی,ಸ್ತನ
25,Brust::N,سینه,ಎದೆ
26,Schulter::N,اوږه,ಭುಜ
27,Arm::N,لاس,ತೋಳು
28,Ellenbogen::N,څنګل,ಮೊಣಕೈ
29,Hand::N,لاس,ಕೈ
30,Handfläche::N,ورغوی,ಅಂಗೈ
31,Finger::N,ګوته,ಕೈಬೆರಳು
32,Fingernagel::N,نوک,ಉಗುರು
33,Nagel[Anatomie]::N,نوک,ಉಗುರು
34,Zeh::N,ګوته,ಕಾಲ್ಬೆರಳು
35,Fuß::N,پښه,ಪಾದ
36,Ferse::N,پونده,ಹಿಮ್ಮಡಿ
37,Knie::N,زنګون,ಮಂಡಿ
38,Oberschenkel::N,پتون,ತೊಡೆ
39,Bein::N,پښه,ಕಾಲು
40,Körper::N,ځان,ದೇಹ
41,Haut::N,پوټکی,ಚರ್ಮ
42,Blut::N,وینه,ರಕ್ತ
43,Ader::N,رګ,ನರ
44,Sehne::N,پله,ನರ
45,Knochen::N,هډوکی,ಮೂಳೆ
46,Gehirn::N,ماغزه,ಮಿದುಳು
47,Herz::N,زړه,ಹೃದಯ
48,Magen::N,معده,ಉದರ
49,Leber::N,ينه,ಯಕೃತ್ತು
50,Leber::N,ځیګر,ಯಕೃತ್ತು
51,Atem::N,نفس,ಉಸಿರು
52,Hunger::N,ولږه,ಹಸಿವು
53,Träne::N,اوښکه,ಕಣ್ಣೀರು
54,Geschmack::N,مزه,ರುಚಿ
55,Geschmack::N,خوند,ರುಚಿ
56,Geruch::N,بوی,ವಾಸನೆ
57,Schlaf::N,خوب,ನಿದ್ರೆ
58,Traum::N,خوب,ಕನಸು
59,Himmel::N,اسمان,ಬಾನು
60,Sonne::N,لمر,ಸೂರ್ಯ
61,Mond::N,سپوږمۍ,ಚಂದ್ರ
62,Stern::N,ستوری,ಚುಕ್ಕಿ
63,Luft::N,هوا,ವಾಯು
64,Wind::N,ورښ,ಗಾಳಿ
65,Welle::N,موج,ಅಲೆ
66,Wasser::N,اوبه,ನೀರು
67,Stein::N,ډبره,ಕಲ್ಲು
68,Boden::N,مځکه,ನೆಲ
69,Erde::N,خاوره,ಭೂಮಿ
70,Staub::N,ګرد,ದೂಳು
71,Staub::N,خاوره,ದೂಳು
72,Rauch::N,دود,ಹೊಗೆ
73,Rauch::N,لوګی,ಹೊಗೆ
74,Funke::N,سپرغۍ,ಕಿಡಿ
75,Feuer::N,اور,ಬೆಂಕಿ
76,Licht::N,رڼا,ಬೆಳಕು
77,Schatten::N,سیوری,ನೆರಳು
78,Wetter::N,هوا,ಹವ
79,Nebel::N,لړه,ಮಂಜು
80,Wolke::N,ورېځ,ಮೋಡ
81,Regen::N,وریا,ಮಳೆ
82,Regen::N,باران,ಮಳೆ
83,Schnee::N,واوره,ಹಿಮ
84,Eis::N,یخ,ಮಂಜುಗಡ್ಡೆ
85,Eis::N,کنګل,ಮಂಜುಗಡ್ಡೆ
86,Frost::N,یخ,ಮಂಜು
87,Kälte::N,ساړه,ಹಿಮ
88,Hitze::N,تودوخي,ಉಷ್ಣ
89,Raureif::N,سپینه پرخه,ಇಬ್ಬನಿ
90,Regenbogen::N,بوډۍ ټال,ಇಂದ್ರಚಾಪ
91,Regenbogen::N,سره زرغونه,ಇಂದ್ರಚಾಪ
92,Donner::N,تالنده,ಗುಡುಗು
93,Strömung::N,بهېدنه,ಪ್ರವಾಹ
94,Tropfen::N,قطره,ತೊಟ್ಟು
95,Tropfen::N,څاڅکی,ತೊಟ್ಟು
96,Schaum::N,ځګ,ನೊರೆ
97,Schmutz::N,ناپاکي,ಕಸ
98,See::N,جهیل,ಸರೋವರ
99,Sumpf::N,جبه,ಜೌಗುಸ್ಥಳ
100,Moor::N,جبه,ಬಂಜರು ಭೂಮಿ
101,Wiese::N,چمن,ಹುಲ್ಲುಗಾವಲು
102,Wiese::N,شنېلی,ಹುಲ್ಲುಗಾವಲು
103,Wald::N,ځنګل,ಕಾಡು
104,Hügel::N,تپه,ಗುಡ್ಡೆ
105,Anhöhe::N,غونډۍ,ದಿಬ್ಬ
106,Berg::N,غ‍‍‍‍‍ر,ಮಲೆ
107,Berg::N,غ‍‍‍‍‍ر,ಪರ್ವತ
108,Gipfel::N,څوکه,ಶೃಂಗ
109,Höhle::N,کاز,ಗುಹೆ
110,Abhang::N,لمن,ಇಳಿಜಾರು
111,Quelle::N,چینه,ಮೂಲ
112,Bach::N,واله,ತೊರೆ
113,Fluss::N,سیند,ನದಿ
114,Ufer::N,غاړه,ತೀರ
115,Küste::N,ساحل,ದಂಡೆ
116,Festland::N,وچه,ಭೂಮಿ
117,Meer::N,بحر,ಕಡಲು
118,Meer::N,سمندر,ಕಡಲು
119,Bucht::N,کارۍ,ಖಾರಿ
120,Insel::N,ټاپو,ದ್ವೀಪ
121,Insel::N,جزيره,ದ್ವೀಪ
122,Blume::N,ګل,ಸುಮ
123,Gras::N,واښه,ಹುಲ್ಲು
124,Wurzel::N,ریښه,ಬೇರು
125,Baum::N,ونه,ಮರ
126,Stamm::N,ډډ,ಕಾಂಡ
127,Rinde::N,پوستکی,ತೂಗಟಿ
128,Ast::N,ښاخ,ಶಾಖೆ
129,Zweig::N,څانګه,ರೆಂಬೆ
130,Blatt::N,پاڼه,ಎಲೆ
131,Birke::N,توس,ಬರ್ಚ್ ಮರ
132,Kiefer[Baum]::N,نښتر,ದೇವದಾರು ಮರ
133,Weide[Baum]::N,وله,ವಿಲೋಮರ
134,Tanne::N,ناجو,ಭದ್ರದಾರು
135,Horn::N,ښکر,ಕೊಂಬು
136,Feder::N,بڼکه,ಪುಕ್ಕ
137,Fell::N,پوستکی,ರೋಮ
138,Flügel::N,وزر,ರೆಕ್ಕೆ
139,Klaue::N,پنجه,ಪಂಜ
140,Klaue::N,منګول,ಪಂಜ
141,Kralle::N,پنجه,ಉಗುರು
142,Kralle::N,منګول,ಉಗುರು
143,Schwanz::N,لکۍ,ಬಾಲ
144,Ei::N,وۍ,ಮೊಟ್ಟೆ
145,Ei::N,هګۍ,ಮೊಟ್ಟೆ
146,Nest::N,جاله,ಗೂಡು
147,Bau::N,کاز,ಅಡಗುದಾಣ
148,Tier::N,ژوی,ಪ್ರಾಣಿ
149,Tier::N,حیوان,ಪ್ರಾಣಿ
150,Herde::N,رمه,ಗುಂಪು
151,Herde::N,غېله,ಗುಂಪು
152,Kuh::N,غوا,ಹಸು
153,Bulle::N,غوئی,ಗೂಳಿ
154,Pferd::N,آس,ಕುದುರೆ
155,Schaf::N,پسه,ಕುರಿ
156,Schwein::N,سرکوزی,ಹಂದಿ
157,Hund::N,سپی,ನಾಯಿ
158,Katze::N,پشه,ಬೆಕ್ಕು
159,Bär::N,خرس,ಕರಡಿ
160,Eichhörnchen::N,خړ لمی,ಉಡುತೆ
161,Elch::N,ګوزن,ಕಡವೆ
162,Fuchs::N,سپلم,ನರಿ
163,Hase::N,سوی,ಮೊಲ
164,Maus::N,مږک,ಇಲಿ
165,Wolf::N,لېوه,ತೋಳ
166,Vogel::N,مرغه,ಪಕ್ಷಿ
167,Schwarm::N,سېل,ಗುಂಪು
168,Huhn::N,چرګه,ಚಿಕ್
169,Hahn::N,چرګ,ಹುಂಜ
170,Gans::N,بته,ವರಟೆ
171,Adler::N,عقاب,ಗರುಡ
172,Ente::N,ایلۍ,ಬಾತು
173,Eule::N,ګونګی,ಗೂಬೆ
174,Kranich::N,کلنګ,ಕೊಕ್ಕರ
175,Krähe::N,کارغه,ಕಾಗೆ
176,Kuckuck::N,فاخته,ಕೋಗಿಲೆ
177,Schwan::N,قو,ಹಂಸಪಕ್ಷಿ
178,Fisch::N,کب,ಮೀನು
179,Fisch::N,ماهی,ಮೀನು
180,Schlange[Tier]::N,مار,ಹಾವು
181,Wurm::N,چینجی,ಹುಳು
182,Spinne::N,غڼه,ಊರ್ಣನಾಭ
183,Spinne::N,تارکښ,ಊರ್ಣನಾಭ
184,Ameise::N,مېږی,ಇರುವೆ
185,Laus::N,سپږه,ಹೇನು
186,Mücke::N,ماشی,ಸೊಳ್ಳೆ
187,Fliege::N,مچ,ನೊಣ
188,Schmetterling::N,پتنګ,ಪತಂಗ
189,Beere::N,مېوۍ,ನಯವಣ್ಣು
190,Apfel::N,مڼه,ಸೇಬು
191,Pilz::N,خرېړی,ಅಣಬೆ
192,Zwiebel::N,پیاز,ನೀರುಳ್ಳಿ
193,Saat::N,تخم,ಬಿತ್ತ
194,Korn::N,تخم,ಬೀಜ
195,Korn::N,دانه,ಬೀಜ
196,Heu::N,بوس,ಕರಡ
197,Heu::N,پروړه,ಕರಡ
198,Schale::N,پوستکی,ಹೊಟ್ಟು
199,Grube::N,کنده,ಗುಂಡಿ
200,Falle::N,دام,ಬೋನು
201,Falle::N,لومه,ಬೋನು
202,Schlinge::N,کړۍ,ಉರುಲು
203,Spur::N,نښه,ಜಾಡು
204,Asche::N,آس,ಬೂದಿ
205,Asche::N,ایره,ಬೂದಿ
206,Dreck::N,ناپاکي,ಹೊಲಸು
207,Eisen::N,اوسپنه,ಕಬ್ಬಿಣ
208,Gold::N,سره زر,ಚಿನ್ನ
209,Silber::N,نقره,ಬೆಳ್ಳಿ
210,Silber::N,سپین زر,ಬೆಳ್ಳಿ
211,Kohle::N,سکور,ಕಲ್ಲಿದ್ದಲು
212,Kohle::N,سکاره,ಕಲ್ಲಿದ್ದಲು
213,Glas::N,ښيښه,ಗಾಜು
214,Lehm::N,خټه,ಜೇಡಿಮಣ್ಣು
215,Sand::N,شګه,ಮರಳು
216,Mensch::N,انسان,ಪುರುಷ
217,Mann::N,سړی,ಆಳು
218,Mann::N,نارینه,ಆಳು
219,Frau::N,ښځه,ಹೆಣ್ಣು
220,Kind::N,بچی,ಮಗು
221,Kind::N,ماشوم,ಮಗು
222,Junge::N,هلک,ಹುಡುಗ
223,Mädchen::N,نجلۍ,ಹುಡುಗಿ
224,Familie::N,کورنۍ,ಕುಟುಂಬ
225,Großvater::N,بابا,ಅಜ್ಜ
226,Großmutter::N,انا,ಅಮ್ಮ
227,Eltern::N,مور او پلار,ಹೆತ್ತವರು
228,Vater::N,پلار,ತಂದೆ
229,Mutter::N,مور,ಅಮ್ಮ
230,Sohn::N,زوی,ಮಗ 
231,Tochter::N,لور,ಮಗಳು
232,Bruder::N,ورور,ತಮ್ಮ
233,Schwester::N,خور,ತಂಗಿ
234,Onkel::N,تره,ಸೋದರಮಾವ
235,Onkel::N,تره,ದೊಡ್ಡಪ್ಪ
236,Onkel::N,ماما,ಸೋದರಮಾವ
237,Onkel::N,ماما,ದೊಡ್ಡಪ್ಪ
238,Tante::N,خاله,ಚಿಕ್ಕಮ್ಮ
239,Ehemann::N,مېړه,ಗಂಡ
240,Ehefrau::N,مېرمن,ಹೆಂಡತಿ
241,Freude::N,خوشحالي,ನಲಿವು
242,Gelächter::N,خندا,ನಗೆ
243,Glück::N,بخت,ಆನಂದ
244,Kummer::N,غم,ದುಃಖ
245,Wunsch::N,هيله,ಬಯಕೆ
246,Wunsch::N,غوښتنه,ಬಯಕೆ
247,Lust::N,شوق,ಇಷ್ಟ
248,Lust::N,مینه,ಇಷ್ಟ
249,Geist::N,روح,ಆತ್ಮ
250,Gedanke::N,فکر,ಯೋಚನೆ
251,Gedächtnis::N,یاد,ಸ್ಮರಣೆ
252,Gedächtnis::N,حافظه,ಸ್ಮರಣೆ
253,Verstand::N,عقل,ಮನಸ್ಸು
254,Verstand::N,شعور,ಮನಸ್ಸು
255,Sinn::N,معنی,ಅರ್ಥ
256,Grund::N,علت,ಕಾರಣ
257,Grund::N,اساس,ಕಾರಣ
258,Wahrheit::N,حقیقت,ಸತ್ಯ
259,Gespräch::N,مرکه,ಸಂಭಾಷಣೆ
260,Gespräch::N,خبرې اترې,ಸಂಭಾಷಣೆ
261,Märchen::N,افسانه,ಸುಳ್ಳು ಕಥೆ
262,Erzählung::N,قصه,ಕಥೆ
263,Erzählung::N,کیسه,ಕಥೆ
