,Concept_ID,lt,sl
132,Insel::N,sala,ôtok
133,Blume::N,gėlė,cvetlíca
134,Gras::N,žolė,tráva
135,Wurzel::N,šaknis,korenína
136,Baum::N,medis,drevó
137,Stamm::N,kamienas,dêblo
138,Rinde::N,žievė,lúbje
139,Rinde::N,žievė,skórja
140,Ast::N,šaka,véja
141,Zweig::N,šakelė,véja
142,Blatt::N,lapas,líst
143,Birke::N,beržas,bréza
144,Kiefer[Baum]::N,pušis,bòr
145,Weide[Baum]::N,karklas,vŕba
146,Tanne::N,eglė,hója
147,Tanne::N,kėnis,hója
148,Horn::N,ragas,róg
149,Feder::N,plunksna,peró
150,Fell::N,kailis,kŕzno
151,Flügel::N,sparnas,krílo
152,Klaue::N,kanopa,párkelj
153,Kralle::N,nagas,krémpelj
154,Schwanz::N,uodega,rèp
155,Ei::N,kiaušinis,jájce
156,Nest::N,gūžta,gnézdo
157,Nest::N,lizdas,gnézdo
158,Bau::N,ola,brlòg
159,Tier::N,gyvūnas,živál
160,Herde::N,banda,čréda
161,Herde::N,kaimenė,čréda
162,Kuh::N,karvė,kráva
163,Bulle::N,bulius,bìk
164,Pferd::N,arklys,kònj
165,Schaf::N,avis,ôvca
166,Schwein::N,kiaulė,svínja
167,Hund::N,šuo,pès
168,Katze::N,katė,máčka
169,Bär::N,lokys,mêdved
170,Eichhörnchen::N,voveraitė,véverica
171,Elch::N,briedis,lós
172,Fuchs::N,lapė,lisíca
173,Hase::N,kiškas,zájec
174,Maus::N,pelė,mìš
175,Wolf::N,vilkas,vólk
176,Vogel::N,paukštis,ptìč
177,Vogel::N,paukštis,ptíca
178,Schwarm::N,spiečius,játa
179,Huhn::N,višta,kokóš
180,Hahn::N,gaidys,petêlin
181,Gans::N,žąsis,gós
182,Adler::N,erelis,ôrel
183,Ente::N,antis,ráca
184,Eule::N,pelėda,sôva
185,Kranich::N,gervė,žerjàv
186,Krähe::N,varna,vrána
187,Kuckuck::N,gegužė,kúkavica
188,Schwan::N,gulbė,labód
189,Fisch::N,žuvis,ríba
190,Barsch::N,ešerys,ostríž
191,Hecht::N,lydeka,ščúka
192,Schlange[Tier]::N,gyvatė,káča
193,Wurm::N,kirmėlė,čr̀v
194,Wurm::N,kirmėlė,glísta
195,Spinne::N,voras,pájek
196,Ameise::N,skruzdė,mrávlja
197,Laus::N,utėlė,úš
198,Mücke::N,uodas,komár
199,Fliege::N,musė,múha
200,Schmetterling::N,drugys,metúlj
201,Schmetterling::N,peteliškė,metúlj
202,Beere::N,uoga,jágoda
203,Apfel::N,obuolys,jábolko
204,Pilz::N,grybas,góba
205,Zwiebel::N,svogūnas,čebúla
206,Saat::N,sėkla,séme
207,Korn::N,grūdai,zŕno
208,Heu::N,šienas,senó
209,Schale::N,žievelė,lupína
210,Grube::N,duobė,jáma
211,Falle::N,pinklės,pást
212,Falle::N,žabangai,pást
213,Schlinge::N,kilpa,zánka
214,Schlinge::N,kilpa,pêtlja
215,Spur::N,vėžė,sléd
216,Spur::N,pėdos,sléd
217,Spur::N,pėdsakas,sléd
218,Asche::N,pelenai,pepél
219,Dreck::N,purvas,bláto
220,Eisen::N,geležis,želézo
221,Gold::N,auksas,zlató
222,Silber::N,sidabras,srebró
223,Kohle::N,anglis,ógel
224,Glas::N,stiklas,stêklo
225,Lehm::N,molis,ílo
226,Sand::N,smėlis,pések
227,Mensch::N,žmogus,člôvek
228,Mann::N,vyras,móž
229,Mann::N,vyras,môški
230,Mann::N,vyriškis,móž
231,Mann::N,vyriškis,môški
232,Frau::N,moteris,gospá
233,Frau::N,moteris,žénska
234,Kind::N,vaikas,déte
235,Kind::N,vaikas,otròk
236,Junge::N,vaikinas,fànt
237,Junge::N,vaikinas,déček
238,Junge::N,berniukas,fànt
239,Junge::N,berniukas,déček
240,Mädchen::N,mergytė,deklè
241,Mädchen::N,mergytė,déklica
242,Mädchen::N,mergaitė,deklè
243,Mädchen::N,mergaitė,déklica
244,Familie::N,šeima,družína
245,Großvater::N,senelis,dèd
246,Großvater::N,senelis,dédek
247,Großmutter::N,senelė,bábica
248,Eltern::N,tėvai,stárši
249,Vater::N,tėvas,ôče
250,Mutter::N,motina,máma
251,Sohn::N,sūnus,sín
252,Tochter::N,duktė,hčí
253,Tochter::N,duktė,hčérka
254,Bruder::N,brolis,bràt
255,Schwester::N,sesuo,sêstra
256,Onkel::N,dėdė,újec
257,Onkel::N,dėdė,stríc
258,Tante::N,teta,têta
259,Tante::N,teta,strína
260,Ehemann::N,vyras,móž
261,Ehemann::N,vyras,sopróg
262,Ehefrau::N,žmona,žêna
263,Ehefrau::N,žmona,sopróga
264,Freude::N,džiaugsmas,rádost
265,Freude::N,džiaugsmas,vesêlje
266,Gelächter::N,juokas,sméh
267,Gelächter::N,juokas,grohòt
268,Glück::N,laimė,sréča
269,Kummer::N,vargas,gorjé
270,Kummer::N,rūpestis,gorjé
271,Wunsch::N,troškimas,žêlja
272,Wunsch::N,pageidavimas,žêlja
273,Lust::N,noras,poželênje
274,Lust::N,geidulys,poželênje
275,Geist::N,dvasia,dúša
276,Gedanke::N,mintis,mísel
277,Gedächtnis::N,atmintis,pámet
278,Verstand::N,protas,
279,Sinn::N,prasmė,pomèn
280,Sinn::N,prasmė,smísel
281,Grund::N,priežastis,vzròk
282,Wahrheit::N,tiesa,resníca
283,Wahrheit::N,teisybė,resníca
284,Gespräch::N,pokalbis,pogóvor
285,Märchen::N,pasaka,právljica
286,Erzählung::N,apsakymas,povést
287,Erzählung::N,pasakojimas,povést
288,Nachricht::N,žinia,sporočílo
289,Neuigkeit::N,naujiena,novóst
290,Name::N,vardas,imé
291,Rätsel::N,mįslė,ugánka
292,Rede::N,kalba,góvor
293,Sprache::N,kalba,jêzik
294,Stimme::N,balsas,glás
295,Wort::N,žodis,beséda
296,Zeichen::N,žymė,znák
297,Zeichen::N,ženklas,znák
298,Ruf::N,šauksmas,klíc
299,Lärm::N,triukšmas,hrúp
300,Lärm::N,triukšmas,trúšč
301,Laut::N,garsas,glás
302,Ton::N,tonas,tón
303,Ton::N,garsas,tón
304,Lied::N,daina,pésem
305,Lied::N,giesmė,pésem
306,Ruhe::N,ramybė,pokòj
307,Ruhe::N,ramumas,pokòj
308,Leute::N,žmonės,ljudjé
309,Volk::N,tauta,národ
310,Arbeit::N,darbas,délo
311,Arbeit::N,triūsas,délo
312,Gast::N,svečias,gòst
313,Geschenk::N,dovana,darílo
314,Spiel::N,žaismas,ígra
315,Spiel::N,žaidimas,ígra
316,Gesellschaft::N,draugija,drúžba
317,Gesellschaft::N,kompanija,drúžba
318,Hilfe::N,pagalba,pomóč
319,Freund::N,draugas,prijátelj
320,Freund::N,bičiulis,prijátelj
321,Kamerad::N,draugas,továriš
322,Angelegenheit::N,dalykas,zadéva
323,Angelegenheit::N,reikalas,zadéva
324,Anzahl::N,kiekis,števílo
325,Anzahl::N,skaičius,števílo
326,Art::N,rūšis,vŕsta
