,Concept_ID,ar,myv
0,Auge::N,عين,сельме
1,Ohr::N,أذن,пиле
2,Nase::N,أنف,судо
3,Mund::N,فم,курго
4,Zahn::N,سن,пей
5,Zunge::N,لسان,кель
6,Lippe::N,شفة,турва
7,Wange::N,خد,чамабока
8,Wange::N,خد,чамаумарь
9,Wange::N,وجنة,чамабока
10,Wange::N,وجنة,чамаумарь
11,Gesicht::N,وجه,чама
12,Stirn::N,جبين,коня
13,Haar::N,شعر,черь
14,Schnurrbart::N,شارب,ус
15,Schnurrbart::N,شارب,муюк
16,Bart::N,لحية,сакал
17,Kinn::N,ذقن,уло
18,Kiefer[Anatomie]::N,فك,пейпакар
19,Kiefer[Anatomie]::N,فك,пейловажа
20,Kehle::N,حلق,кирьгапарь
21,Hals::N,عنق,кирьга
22,Hals::N,رقبة,кирьга
23,Genick::N,قفا,човонь
24,Kopf::N,رأس,пря
25,Rücken::N,ظهر,копорь
26,Bauch::N,بطن,пеке
27,Nabel::N,سرة,почо
28,Busen::N,ثدي,поте
29,Brust::N,صدر,меште
30,Schulter::N,كتف,лавтов
31,Arm::N,ذراع,кедь
32,Ellenbogen::N,كوع,кенерепакарь
33,Hand::N,يد,кедь
34,Handfläche::N,كف,кедькуншка
35,Handfläche::N,كف,кедьлапушка
36,Finger::N,إصبع,сур
37,Fingernagel::N,ظفر,кенже
38,Nagel[Anatomie]::N,ظفر,кенже
39,Zeh::N,إصبع القدم,пильге сур
40,Fuß::N,قدم,пильге
41,Ferse::N,كعب,кочкаря
42,Knie::N,ركبة,эле
43,Knie::N,ركبة,эзне
44,Knie::N,ركبة,кумажа
45,Oberschenkel::N,فخذ,качо
46,Bein::N,ساق,пильге
47,Körper::N,جسم,рунго
48,Haut::N,بشرة,киське
49,Blut::N,دم,верь
50,Ader::N,عرق,сан
51,Sehne::N,طنب,коське сан
52,Knochen::N,عظم,пакарь
53,Gehirn::N,دماغ,удем
54,Herz::N,قلب,седей
55,Magen::N,معدة,пеке
56,Leber::N,كبد,максо
57,Atem::N,نفس,лексема
58,Atem::N,نفس,оймень таргсема
59,Hunger::N,جوع,вачочи
60,Träne::N,دمعة,селведь
61,Geschmack::N,طعم,тансть
62,Geschmack::N,مذاق,тансть
63,Geruch::N,رائحة,чине
64,Schlaf::N,نوم,удома
65,Schlaf::N,منام,удома
66,Traum::N,حلم,он
67,Himmel::N,سماء,менель
68,Sonne::N,شمس,чи
69,Mond::N,قمر,ков
70,Stern::N,نجم,теште
71,Stern::N,كوكب,теште
72,Luft::N,هواء,кошт
73,Wind::N,ريح,варма
74,Welle::N,موجة,толкун
75,Wasser::N,ماء,ведь
76,Stein::N,حجر,кев
77,Boden::N,تراب,мода
78,Erde::N,أرض,мастор
79,Staub::N,غبار,пуль
80,Rauch::N,دخان,качамо
81,Funke::N,شرارة,сятко
82,Feuer::N,نار,тол
83,Licht::N,نور,валдо
84,Licht::N,ضوء,валдо
85,Schatten::N,ظل,сулей
86,Schatten::N,ظل,сулейкс
87,Schatten::N,فيء,сулей
88,Schatten::N,فيء,сулейкс
89,Wetter::N,جو,ушо
90,Wetter::N,طقس,ушо
91,Nebel::N,ضباب,сув
92,Wolke::N,غيمة,пель
93,Wolke::N,سحابة,пель
94,Regen::N,مطر,пиземс
95,Schnee::N,ثلج,лов
96,Eis::N,جليد,эй
97,Frost::N,صقيع,кельме
98,Kälte::N,برد,якшамо
99,Hitze::N,حر,пси
100,Hitze::N,حرارة,пси
101,Raureif::N,صقيع,лекш
102,Regenbogen::N,قوس قزح,пурьгинечирьке
103,Regenbogen::N,قوس قزح,пурьгинеёнкс
104,Donner::N,رعد,пурьгине
105,Strömung::N,تيار,чудема
106,Strömung::N,تيار,чудевкс
107,Tropfen::N,قطرة,петнявкс
108,Schaum::N,زبد,чов
109,Schaum::N,رغوة,чов
110,Schmutz::N,وسخ,рудаз
111,See::N,بحيرة,эрьке
112,Sumpf::N,مستنقع,чей
113,Moor::N,مستنقع,чей
114,Wiese::N,مرج,луга
115,Wald::N,غابة,вирь
116,Hügel::N,تل,губорь
117,Hügel::N,تل,пандыне
118,Anhöhe::N,تل,губорь
119,Anhöhe::N,تل,пандыне
120,Berg::N,جبل,пандо
121,Gipfel::N,قمة,пря
122,Höhle::N,كهف,пещера
