,Concept_ID,az,en
0,Auge::N,göz,eye
1,Ohr::N,qulaq,ear
2,Nase::N,burun,nose
3,Mund::N,ağız,mouth
4,Zahn::N,diş,tooth
5,Zunge::N,dil,tongue
6,Lippe::N,dodaq,lip
7,Wange::N,yanaq,cheek
8,Gesicht::N,üz,face
9,Stirn::N,alın,forehead
10,Haar::N,saç,hair
11,Schnurrbart::N,bığ,moustache
12,Bart::N,saqqal,beard
13,Kinn::N,çənə,chin
14,Kiefer[Anatomie]::N,çənə,jaw
15,Kehle::N,boğaz,throat
16,Hals::N,boyun,neck
17,Genick::N,ənsə,nape
18,Kopf::N,baş,head
19,Rücken::N,bel,back
20,Rücken::N,bel,spine
21,Bauch::N,qarın,belly
22,Nabel::N,göbək,navel
23,Busen::N,məmə,bosom
24,Brust::N,döş,chest
25,Brust::N,döş,breast
26,Schulter::N,çiyin,shoulder
27,Arm::N,qol,arm
28,Ellenbogen::N,dirsək,elbow
29,Hand::N,əl,hand
30,Handfläche::N,ovuc,palm
31,Finger::N,barmaq,finger
32,Fingernagel::N,barmaq dırnağı,fingernail
33,Nagel[Anatomie]::N,dırnak,nail
34,Zeh::N,ayaq barmağı,toe
35,Fuß::N,ayaq,foot
36,Ferse::N,daban,heel
37,Knie::N,diz,knee
38,Oberschenkel::N,bud,thigh
39,Bein::N,qıç,leg
40,Körper::N,əndam,body
41,Haut::N,dəri,skin
42,Blut::N,qan,blood
43,Ader::N,damar,vein
44,Sehne::N,vətər,sinew
45,Knochen::N,sümük,bone
46,Gehirn::N,beyin,brain
47,Herz::N,ürək,heart
48,Magen::N,mədə,stomach
49,Leber::N,qara ciyər,liver
50,Atem::N,nəfəs,breath
51,Hunger::N,aclıq,hunger
52,Träne::N,göz yaşı,tear
53,Geschmack::N,tam,flavour
54,Geschmack::N,tam,flavor
55,Geschmack::N,ləzzət,flavour
56,Geschmack::N,ləzzət,flavor
57,Geruch::N,qoxu,odour
58,Geruch::N,qoxu,odor
59,Schlaf::N,yuxu,sleep
60,Traum::N,röya,dream
61,Himmel::N,göy,sky
62,Himmel::N,səma,sky
63,Sonne::N,günəş,sun
64,Mond::N,ay,moon
65,Stern::N,ulduz,star
66,Luft::N,hava,air
67,Wind::N,yel,wind
68,Wind::N,külək,wind
69,Welle::N,dalğa,wave
70,Wasser::N,su,water
71,Stein::N,daş,stone
72,Boden::N,yer,soil
73,Boden::N,yer,ground
74,Boden::N,zəmin,soil
75,Boden::N,zəmin,ground
76,Erde::N,yer torpaq,earth
77,Staub::N,toz,dust
78,Rauch::N,tüstü,smoke
79,Funke::N,qığılcım,spark
80,Feuer::N,od,fire
81,Licht::N,işıq,light
82,Schatten::N,kölgə,shadow
83,Wetter::N,hava,weather
84,Nebel::N,duman,fog
85,Wolke::N,bulud,cloud
86,Regen::N,yağış,rain
87,Regen::N,yağmur,rain
88,Schnee::N,qar,snow
89,Eis::N,buz,ice
90,Frost::N,ayaz,frost
91,Kälte::N,soyuq,chill
92,Hitze::N,coşğunluq,heat
93,Raureif::N,qırov,hoarfrost
94,Regenbogen::N,göy qurşağı,rainbow
95,Donner::N,göy gurultusu,thunder
96,Strömung::N,axın,current
97,Tropfen::N,damcı,drop
98,Schaum::N,köpük,foam
99,Schmutz::N,çamır,dirt
100,See::N,göl,lake
101,Sumpf::N,bataqlıq,swamp
102,Moor::N,bataqlıq,moor
103,Wiese::N,çəmən,meadow
104,Wald::N,meşə,forest
105,Hügel::N,təpə,hill
106,Anhöhe::N,təpə,elevation
107,Berg::N,dağ,mountain
108,Gipfel::N,zirvə,summit
109,Höhle::N,mağara,cave
110,Abhang::N,yamac,slope
111,Quelle::N,bulaq,source
112,Bach::N,kiçik çay,brook
113,Fluss::N,çay,river
114,Ufer::N,kənar,shore
115,Küste::N,sahil,coast
116,Festland::N,materik,land
