,Concept_ID,ps,mrj
0,Auge::N,سترګه,сӹнзӓ
1,Ohr::N,غوږ,пӹлӹш
2,Nase::N,پوزه,нер
3,Mund::N,خوله,ышма
4,Zahn::N,غاښ,пӱ
5,Zunge::N,جبه,йӹлмӹ
6,Lippe::N,شونډه,тӹрвӹ
7,Wange::N,باړخو,шӹргӹ
8,Gesicht::N,مخ,лицӓ
9,Stirn::N,تندی,лепкӓ
10,Stirn::N,وچولی,лепкӓ
11,Haar::N,وېښته,ӱп
12,Schnurrbart::N,برېت,öрш
13,Bart::N,ږیره,пандаш
14,Kinn::N,زنه,онгылаш
15,Kiefer[Anatomie]::N,جامه,пӱ арата
16,Kehle::N,غاړه,логер
17,Hals::N,غاړه,шӱ
18,Genick::N,ورمېږ,ланга
19,Kopf::N,سر,вуй
20,Rücken::N,شا,туп
21,Bauch::N,نس,мӹшкӹр
22,Bauch::N,ګېډه,мӹшкӹр
23,Nabel::N,نوم,кӹлӹмдӹ
24,Busen::N,تی,цӹзӹ
25,Brust::N,سینه,мел
26,Schulter::N,اوږه,ӹнгӹжӓ
27,Arm::N,لاس,кид
28,Ellenbogen::N,څنګل,кӹнервуй
29,Hand::N,لاس,лапа
30,Handfläche::N,ورغوی,кид лапа
31,Finger::N,ګوته,парня
32,Fingernagel::N,نوک,кӹч
33,Nagel[Anatomie]::N,نوک,кӹч
34,Zeh::N,ګوته,парня
35,Fuß::N,پښه,ял лапа
36,Ferse::N,پونده,ялгавал
37,Ferse::N,پونده,ял кавал
38,Knie::N,زنګون,пылвуй
39,Oberschenkel::N,پتون,ӓрдӹ
40,Bein::N,پښه,ял
41,Körper::N,ځان,монгыр
42,Haut::N,پوټکی,кавашты
43,Blut::N,وینه,вӹр
44,Ader::N,رګ,вӹршӓр
45,Sehne::N,پله,кукшышӱн
46,Knochen::N,هډوکی,лу
47,Gehirn::N,ماغزه,вим
48,Herz::N,زړه,шӱм
49,Magen::N,معده,шӱм
50,Leber::N,ينه,мокш
51,Leber::N,ځیګر,мокш
52,Atem::N,نفس,шӱлӹш
53,Hunger::N,ولږه,шужымаш
54,Träne::N,اوښکه,сӹнзӓвӹд
55,Geschmack::N,مزه,тот
56,Geschmack::N,خوند,тот
57,Geruch::N,بوی,пыш
58,Schlaf::N,خوب,ом
59,Traum::N,خوب,ом
60,Himmel::N,اسمان,пӹлгом
61,Sonne::N,لمر,кечӹ
62,Mond::N,سپوږمۍ,тӹлзӹ
63,Stern::N,ستوری,шӹдӹр
64,Luft::N,هوا,юж
65,Luft::N,هوا,воздух
66,Wind::N,ورښ,мардеж
67,Welle::N,موج,ко
68,Welle::N,موج,коэ
69,Wasser::N,اوبه,вӹд
70,Stein::N,ډبره,кӱ
71,Boden::N,مځکه,рок
72,Erde::N,خاوره,свет
73,Staub::N,ګرد,пырак
