,Concept_ID,ta,et
0,Auge::N,கண்,silm
1,Ohr::N,காது,kõrv
2,Nase::N,மூக்கு,nina
3,Mund::N,வாய்,suu
4,Zahn::N,பல்,hammas
5,Zunge::N,நாக்கு,keel
6,Lippe::N,உதடு,huul
7,Wange::N,கன்னம்,põsk
8,Gesicht::N,முகம்,nägu
9,Stirn::N,முன்னெற்றி,otsmik
10,Haar::N,முடி,juus
11,Schnurrbart::N,மீசை,vurrud
12,Schnurrbart::N,மீசை,vuntsid
13,Bart::N,தாடி,habe
14,Kinn::N,கீழதாடை,lõug
15,Kiefer[Anatomie]::N,தாடை,lõualuu
16,Kehle::N,தொண்டை,kõri
17,Hals::N,கழுத்து,kael
18,Genick::N,கழுத்து,kukal
19,Kopf::N,தலை,pea
20,Rücken::N,முதுகு,selg
21,Bauch::N,வயிறு,kõht
22,Nabel::N,தொப்புள்,naba
23,Busen::N,மார்பகம்,rind
24,Brust::N, மார்பு,rind
25,Schulter::N,தோள்பட்டை,õlg
26,Arm::N,கரம்,käsivars
27,Ellenbogen::N,முழங்கை,küünarnukk
28,Hand::N,கை,käsi
29,Handfläche::N,உள்ளங்கை,pihk
30,Finger::N,விரல்,sõrm
31,Fingernagel::N,விரல் நகம்,küüs
32,Nagel[Anatomie]::N,நகம்,küüs
33,Zeh::N,கால்விரல்,varvas
34,Fuß::N,கால்,jalg
35,Ferse::N,குதிகால்,kand
36,Knie::N,முழங்கால்,põlv
37,Oberschenkel::N,தொடை,reis
38,Bein::N,கால்,jalg
39,Körper::N,உடல்,ihu
40,Körper::N,உடல்,keha
41,Haut::N,சருமம்,nahk
42,Blut::N,இரத்தம்,veri
43,Ader::N,நாளம்,veen
44,Sehne::N,தசைநார்,kõõlus
45,Knochen::N,எலுமபு,luu
46,Gehirn::N,மூனை,aju
47,Herz::N,இதயம,süda
48,Magen::N,வயிறு,magu
49,Leber::N,கல்லீரல்,maks
50,Atem::N,மூச்சு,hingeõhk
51,Atem::N,மூச்சு,hingamine
52,Hunger::N,பசி,nälg
53,Träne::N,கண்ணீர்,pisar
54,Geschmack::N,நறுமணம்,maitse
55,Geruch::N,துர்நாற்றம்,lõhn
56,Schlaf::N,தூக்கம்,uni
57,Traum::N,கனவு,unenägu
58,Himmel::N,வானம்,taevas
59,Sonne::N,சூரியன்,päike
60,Mond::N,சந்திரன்,kuu
61,Stern::N,நட்சத்திரம்,täht
62,Luft::N,காறறு,õhk
63,Wind::N,காற்று,tuul
64,Welle::N,அலை,laine
65,Wasser::N,நீர்,vesi
66,Stein::N,கல்,kivi
67,Boden::N,தரை,maa
68,Boden::N,தரை,pinnas
69,Erde::N,மண்,maa
70,Staub::N,தூசி,põrm
71,Rauch::N,புகை,suits
72,Funke::N,தீப்பொறி,säde
73,Feuer::N,தீ,tuli
74,Licht::N,வெளிச்சம்,valgus
75,Schatten::N,நிழல்,vari
76,Wetter::N,வானிலை,ilm
77,Nebel::N,பனிமூட்டம்,udu
78,Wolke::N,மேகம்,pilv
79,Regen::N,மழை,sadu
80,Schnee::N,உறைபனி,lumi
81,Eis::N,பனிக்கட்டி,jää
82,Frost::N,உறைபனி,pakane
83,Kälte::N,குளிர்ந்த,külm
84,Kälte::N,குளிர்ந்த,külmus
85,Hitze::N,சூடு,kuumus
86,Hitze::N,சூடு,palavus
87,Raureif::N,உறைபனி வெண்திரை,härmatis
88,Regenbogen::N,வானவில்,vikerkaar
89,Donner::N,இடி,kõu
90,Donner::N,இடி,müristamine
91,Strömung::N,நீரோட்டம்,voolus
92,Strömung::N,நீரோட்டம்,jõevool
93,Tropfen::N,துளி,tilk
94,Schaum::N,நுரை,vaht
95,Schmutz::N,அழுக்கு,pori
96,Schmutz::N,அழுக்கு,mustus
97,See::N,ஏரி,järv
98,Sumpf::N,சதுப்பு நிலம்,soo
99,Moor::N,முட்புதற்காடு,raba
100,Wiese::N,பசும் புல்தரை,aas
101,Wiese::N,பசும் புல்தரை,nurm
102,Wald::N,காடு,mets
103,Hügel::N,குன்று,küngas
104,Anhöhe::N,பதுக்கை,küngas
105,Berg::N,மலை,mägi
106,Gipfel::N,உச்சி மாநாடு,mäetipp
107,Höhle::N,குகை,koobas
108,Abhang::N,சரிவு,nõlvak
109,Quelle::N,மூலம்,allikas
110,Bach::N,ஓடை,oja
111,Fluss::N,ஆறு,jõgi
112,Ufer::N,நீர்க்கரை,kallas
113,Küste::N,கடற்கரை,rannik
114,Festland::N,நிலம்,mander
115,Festland::N,நிலம்,maismaa
116,Meer::N,கடல்,meri
117,Bucht::N,சிறுகுடா,laht
118,Insel::N,தீவு,saar
119,Blume::N,பூ,lill
120,Gras::N,புல்தரை,rohi
121,Wurzel::N,வேர்,juur
122,Baum::N,மரம்,puu
123,Stamm::N,அடிமரம்,tüvi
124,Rinde::N,பட்டை,koor
125,Rinde::N,மரப்பட்டை,koor
126,Ast::N,கினை,oks
127,Zweig::N,குச்சி,oks
128,Blatt::N,இலை,leht
129,Birke::N,பிர்ச் மரம்,kask
130,Kiefer[Baum]::N,தேவதாரு மரம்,mänd
131,Weide[Baum]::N,மர வகைகளுள் ஒன்று,paju
132,Tanne::N,சாதிக்கய்,nulg
133,Horn::N,கொம்பு,sarv
134,Feder::N,இறகு,sulg
135,Fell::N,மென்முடி,karvkate
136,Fell::N,மென்முடி,karusnahk
137,Flügel::N,இறக்கை,tiib
138,Flügel::N,இறக்கை,tiivik
139,Klaue::N,நகம்,küüs
140,Kralle::N,நகம்,küünis
141,Schwanz::N,வால்,saba
142,Ei::N,முட்டை,muna
143,Nest::N,கூடு,pesa
144,Bau::N,குகை,urg
145,Tier::N,விலங்கு,loom
146,Herde::N,கூட்டம்,kari
147,Kuh::N,பசு,lehm
148,Bulle::N,காளை,pull
149,Pferd::N,குதிரை,hobune
150,Schaf::N,செம்மறிஆடு,lammas
151,Schwein::N,பன்றி,siga
152,Hund::N,நாய்,koer
153,Katze::N,பூனை,kass
154,Bär::N,கரடி,karu
155,Eichhörnchen::N,அணில்,orav
156,Elch::N,கடம்பை,põder
157,Fuchs::N,நரி,rebane
158,Hase::N,முயல்,jänes
159,Maus::N,எலி,hiir
160,Wolf::N,ஓநாய்,hunt
161,Vogel::N,பறவை,lind
162,Schwarm::N,தொகுதி,parv
163,Huhn::N,கோழிக்குஞசு,kana
164,Hahn::N,சேவல்,kukk
165,Gans::N,பெண் வாத்து,hani
166,Adler::N,பருநது,kotkas
167,Ente::N,வாத்து,part
168,Eule::N,ஆந்தை,kakk
169,Eule::N,ஆந்தை,öökull
170,Kranich::N,நாரை,kurg
171,Krähe::N,காகம்,vares
172,Kuckuck::N,குயில்,kägu
173,Schwan::N,அன்னம்,luik
174,Fisch::N,மீன்,kala
175,Barsch::N,பேர்ச்,ahven
176,Hecht::N,கோலாச்சி மீன்,haug
177,Schlange[Tier]::N,பாம்பு,uss
178,Wurm::N,புழு,uss
179,Wurm::N,புழு,vagel
180,Spinne::N,சிலந்தி,ämblik
181,Ameise::N,எறும்பு,sipelgas
182,Laus::N,பேன்,täi
183,Mücke::N,கொசுவினப்பூச்சி,sääsk
184,Fliege::N,ஈ,kärbes
185,Schmetterling::N,வண்ணத்துப்பூச்சி,liblikas
186,Beere::N,சதைப்பழம்,mari
187,Apfel::N,ஆப்பிள பழம்,õun
188,Pilz::N,காளான்,seen
189,Zwiebel::N,வெங்காயம்,sibul
190,Saat::N,விதை,seeme
191,Korn::N,தானியம்,iva
192,Korn::N,தானியம்,tera
193,Heu::N,வைக்கோல்,hein
194,Schale::N,தோல்,koor
195,Grube::N,குழி,kaevand
196,Falle::N,பொறி,lõks
197,Falle::N,பொறி,püünis
198,Schlinge::N,கண்ணி,aas
199,Spur::N,சுவடு,jälg
200,Asche::N,சாம்பல்,tuhk
201,Dreck::N,அழுக்கு,saast
202,Dreck::N,அழுக்கு,mustus
203,Eisen::N,இரும்பு,raud
204,Gold::N,தங்கம்,kuld
205,Silber::N,வெள்ளி,hõbe
206,Kohle::N,நிலக்கரி,süsi
207,Glas::N,கண்ணாடி,klaas
208,Lehm::N,களிமண்,savi
209,Sand::N,மணல்,liiv
210,Mensch::N,மனிதர்கள்,inimene
211,Mann::N,மனிதன்,mees
212,Frau::N,பெண்,naine
213,Kind::N,குழந்தை,laps
214,Junge::N,பையன்,poiss
215,Mädchen::N,சிறுமி,tüdruk
216,Familie::N,குடும்பம்,perekond
217,Großvater::N,தாத்தா,vanaisa
218,Großmutter::N,பாட்டி,vanaema
219,Eltern::N,பெற்றோர்,vanemad
220,Vater::N,தந்தை,isa
221,Mutter::N,தாய்,ema
222,Sohn::N,மகன்,poeg
223,Tochter::N,மகள்,tütar
224,Bruder::N,சகோதரன்,vend
225,Schwester::N,அக்கா,õde
226,Onkel::N,தாய் மாமன்,onu
227,Tante::N,அத்தை,tädi
228,Ehemann::N,கணவன்,mees
229,Ehemann::N,கணவன்,abikaasa
230,Ehefrau::N,மனைவி,naine
231,Ehefrau::N,மனைவி,abikaasa
232,Freude::N,கொண்டாட்டம்,rõõm
233,Gelächter::N,சிரிப்பு,naer
234,Glück::N,மகிழ்ச்சி,õnn
235,Kummer::N,துயரம்,mure
236,Kummer::N,துயரம்,kurbus
237,Wunsch::N,விருப்பம்,soov
238,Lust::N,விருப்பம்,himu
239,Geist::N,ஆன்மா,vaim
240,Gedanke::N,எண்ணம்,mõte
241,Gedächtnis::N,ஞாபகம்,mälu
242,Verstand::N,மனம்,aru
243,Verstand::N,மனம்,mõistus
244,Sinn::N,அர்த்தம்,tähendus
245,Grund::N,காரணம்,põhjus
246,Wahrheit::N,உண்நை,tõde
247,Gespräch::N,பெசு,kõne
248,Gespräch::N,பெசு,vestlus
249,Märchen::N,நம்பத்தகாத கதை,muinasjutt
250,Erzählung::N,கதை,jutustus
251,Nachricht::N,செய்தி,teade
252,Neuigkeit::N,செய்தி,uudis
253,Name::N,பெயர்,nimi
254,Rätsel::N,புதிர்,mõistatus
255,Rede::N,பேச்சு,kõne
256,Sprache::N,மொழி,keel
257,Stimme::N,குரல்,hääl
258,Wort::N,வார்த்தை,sõna
259,Zeichen::N,குறி,märk
260,Ruf::N,அழைப்பு,hüüe
261,Lärm::N,சத்தம்,müra
262,Laut::N,ஒலி,hääl
263,Ton::N,குரல்,toon
264,Lied::N,பாட்டு,laul
265,Ruhe::N,அமைதி,rahu
266,Ruhe::N,அமைதி,vaikus
267,Leute::N,மக்கள்,inimesed
268,Volk::N,மக்கள்,rahvas
269,Arbeit::N,வேலை,töö
270,Gast::N,விருந்தாளி,külaline
271,Geschenk::N,பரிசுப் பொருள்,kingitus
272,Spiel::N,விளையாட்டு,mäng
273,Gesellschaft::N,சமுதாயம்,selts
274,Hilfe::N,உதவி,abi
275,Freund::N,நண்பன்,sõber
276,Kamerad::N,உடனிருப்பவன்,sõber
277,Angelegenheit::N,செய்தி,asi
278,Anzahl::N,எண்ணிக்கை,arv
279,Anzahl::N,எண்ணிக்கை,hulk
280,Art::N,வகை,liik
281,Stück::N,துண்டம்,tükk
282,Teil::N,பகுதி,osa
283,Hälfte::N,பாதி,pool
284,Kreis::N,வட்டம்,ring
285,Kreuz::N,சிலுவை,rist
286,Linie::N,கோடு,joon
287,Strich::N,வாத நோய்,joon
288,Abstand::N,இடைவெளி,vahe
289,Entfernung::N,தூரம்,kaugus
290,Entfernung::N,தூரம்,vahemaa
291,Gegend::N,வட்டாரம்,ümbrus
292,Platz::N,வெற்றிடம்,ruum
