,Concept_ID,ps,ml
0,Auge::N,سترګه,കണ്ണ്
1,Ohr::N,غوږ,ചെവി
2,Nase::N,پوزه,മൂക്ക്
3,Mund::N,خوله,വായ
4,Zahn::N,غاښ,പല്ല്
5,Zunge::N,جبه,നാക്ക്
6,Lippe::N,شونډه,ചുണ്ട്
7,Wange::N,باړخو,കവിൾത്തടം
8,Gesicht::N,مخ,മുഖം
9,Stirn::N,تندی,നെറ്റി
10,Stirn::N,وچولی,നെറ്റി
11,Haar::N,وېښته,തലമുടി
12,Schnurrbart::N,برېت,മീശ
13,Bart::N,ږیره,താടിരോമം
14,Kinn::N,زنه,താടി
15,Kiefer[Anatomie]::N,جامه,താടിയെല്ല്
16,Kehle::N,غاړه,കണ്ഠനാളം
17,Hals::N,غاړه,കഴുത്ത്
18,Genick::N,ورمېږ,പിടലി
19,Kopf::N,سر,തല
20,Rücken::N,شا,മുതുക്
21,Bauch::N,نس,നയറ്
22,Bauch::N,ګېډه,നയറ്
23,Nabel::N,نوم,നാഭി
24,Busen::N,تی,സ്തനം
25,Brust::N,سینه,സ്തനം
26,Schulter::N,اوږه,തോൾ
27,Arm::N,لاس,കൈ
28,Ellenbogen::N,څنګل,കൈമുട്ട്
29,Hand::N,لاس,കൈ
30,Handfläche::N,ورغوی,ഉള്ളം കൈ
31,Finger::N,ګوته,വിരൽ
32,Fingernagel::N,نوک,നഖം
33,Nagel[Anatomie]::N,نوک,നഖം
34,Zeh::N,ګوته,കാൽവിരൽ
35,Fuß::N,پښه,കാൽപ്പാദം
36,Ferse::N,پونده,ഉപ്പൂറ്റി
37,Knie::N,زنګون,കാൽമുട്ട്
38,Oberschenkel::N,پتون,തുട
39,Bein::N,پښه,കാൽ
40,Körper::N,ځان,ശരീരം
41,Haut::N,پوټکی,ചർമ്മം
42,Blut::N,وینه,രക്തം
43,Ader::N,رګ,ഞരമ്പ്
44,Sehne::N,پله,സ്നായു
45,Knochen::N,هډوکی,അസ്ഥി
46,Gehirn::N,ماغزه,തലച്ചോറ്
47,Herz::N,زړه,ഹൃദയം
48,Magen::N,معده,വയർ
49,Leber::N,ينه,കരൾ
50,Leber::N,ځیګر,കരൾ
51,Atem::N,نفس,ശ്വാസം
52,Hunger::N,ولږه,വിശപ്പ്
53,Träne::N,اوښکه,കണ്ണീർ
54,Geschmack::N,مزه,രുചി
55,Geschmack::N,خوند,രുചി
56,Geruch::N,بوی,ഗന്ധം
57,Schlaf::N,خوب,ഉറകും
58,Traum::N,خوب,സ്വപ്നം
59,Himmel::N,اسمان,ആകാശം
60,Sonne::N,لمر,സൂര്യൻ
61,Mond::N,سپوږمۍ,ചന്ദ്രൻ
62,Stern::N,ستوری,നക്ഷത്രം
63,Luft::N,هوا,കാറ്റ്
64,Wind::N,ورښ,കാറ്റ്
65,Welle::N,موج,തിരമാല
66,Wasser::N,اوبه,വെള്ളം
67,Stein::N,ډبره,ശില
68,Stein::N,ډبره,കല്ല്
69,Boden::N,مځکه,തറ
70,Boden::N,مځکه,നിലം
71,Erde::N,خاوره,മണ്ണ്
72,Staub::N,ګرد,പൊടി
73,Staub::N,خاوره,പൊടി
74,Rauch::N,دود,പുക
75,Rauch::N,لوګی,പുക
76,Funke::N,سپرغۍ,തീപ്പൊരി
77,Feuer::N,اور,തീ
78,Licht::N,رڼا,വിളക്ക്
79,Licht::N,رڼا,സൂര്യപ്രകാശം
80,Schatten::N,سیوری,തണൽ
81,Wetter::N,هوا,കാലാവസ്ഥ
82,Nebel::N,لړه,മൂടൽമഞ്ഞ്
83,Wolke::N,ورېځ,മേഘം
84,Regen::N,وریا,മഴ
85,Regen::N,باران,മഴ
86,Schnee::N,واوره,മഞ്ഞ്
87,Eis::N,یخ,ഐസ്
88,Eis::N,کنګل,ഐസ്
89,Frost::N,یخ,മൂടൽമഞ്ഞ്
90,Kälte::N,ساړه,തണുപ്പ്
91,Hitze::N,تودوخي,ചൂട്
92,Raureif::N,سپینه پرخه,കോടമഞ്ഞ്
93,Regenbogen::N,بوډۍ ټال,മഴവില്ല്
94,Regenbogen::N,سره زرغونه,മഴവില്ല്
95,Donner::N,تالنده,ഇടി
96,Strömung::N,بهېدنه,പ്രവാഹം
97,Tropfen::N,قطره,തുള്ളി
98,Tropfen::N,څاڅکی,തുള്ളി
99,Schaum::N,ځګ,നുര
100,Schmutz::N,ناپاکي,അഴുക്ക്
101,See::N,جهیل,തടാകം
102,Sumpf::N,جبه,ചതുപ്പുനിലം
103,Moor::N,جبه,പാഴ്നിലം
104,Wiese::N,چمن,പുൽത്തകിടി
105,Wiese::N,شنېلی,പുൽത്തകിടി
106,Wald::N,ځنګل,വനം
107,Wald::N,ځنګل,കാട്
108,Hügel::N,تپه,കുന്ന്
109,Anhöhe::N,غونډۍ,ഉയർന്ന ഭൂമി
110,Berg::N,غ‍‍‍‍‍ر,പർവ്വതം
111,Gipfel::N,څوکه,ഉച്ചകോടി
112,Höhle::N,کاز,ഗുഹ
113,Abhang::N,لمن,ചരിവ്
114,Quelle::N,چینه,ഉറവിടം
115,Bach::N,واله,അരുവി
116,Fluss::N,سیند,നദി
117,Ufer::N,غاړه,തീരം
118,Küste::N,ساحل,കടൽത്തീരം
119,Festland::N,وچه,കര
120,Meer::N,بحر,കടൽ
121,Meer::N,سمندر,കടൽ
122,Bucht::N,کارۍ,ഉൾക്കടല്
123,Insel::N,ټاپو,ദ്വീപ്
124,Insel::N,جزيره,ദ്വീപ്
125,Blume::N,ګل,പൂവ്
126,Gras::N,واښه,പുല്ല്
127,Wurzel::N,ریښه,വേര്
128,Baum::N,ونه,മരം
129,Stamm::N,ډډ,തായ്ത്തടി
130,Rinde::N,پوستکی,പട്ട
131,Ast::N,ښاخ,ശാഖ
132,Zweig::N,څانګه,ശാഖ
133,Blatt::N,پاڼه,ഇല
134,Birke::N,توس,പൂവരശ്
135,Kiefer[Baum]::N,نښتر,പൈൻമരം
136,Weide[Baum]::N,وله,വില്ലോ
137,Tanne::N,ناجو,ദേവദാരു
138,Horn::N,ښکر,മൃഗത്തിൻറെ കൊമ്പ്
139,Feder::N,بڼکه,തൂവൽ
140,Fell::N,پوستکی,മൃദുരോമം
141,Flügel::N,وزر,ചിറക്
142,Klaue::N,پنجه,നഖം
143,Klaue::N,منګول,നഖം
144,Kralle::N,پنجه,നഖം
145,Kralle::N,منګول,നഖം
146,Schwanz::N,لکۍ,വാൽ
147,Ei::N,وۍ,മുട്ട
148,Ei::N,هګۍ,മുട്ട
149,Nest::N,جاله,കൂട്
150,Bau::N,کاز,മാളം
151,Tier::N,ژوی,മൃഗം
152,Tier::N,حیوان,മൃഗം
153,Herde::N,رمه,കൂട്ടം
154,Herde::N,غېله,കൂട്ടം
155,Kuh::N,غوا,പശു
156,Bulle::N,غوئی,കാള
157,Pferd::N,آس,കുതിര
158,Schaf::N,پسه,ആട്
159,Schwein::N,سرکوزی,പന്നി
160,Hund::N,سپی,നായ്
161,Katze::N,پشه,പൂച്ച
162,Bär::N,خرس,കരടി
163,Eichhörnchen::N,خړ لمی,അണ്ണാൻ
164,Elch::N,ګوزن,കടമാന്
165,Fuchs::N,سپلم,കുറുക്കൻ
166,Hase::N,سوی,മുയൽ
167,Maus::N,مږک,ചുണ്ടലി
168,Wolf::N,لېوه,ചെന്നായ
169,Vogel::N,مرغه,പക്ഷി
170,Schwarm::N,سېل,കൂട്ടം
171,Huhn::N,چرګه,കോഴി
172,Hahn::N,چرګ,പൂവൻകോഴി
173,Gans::N,بته,അരയന്നം
174,Adler::N,عقاب,കഴുകൻ
175,Ente::N,ایلۍ,താറാവ്
176,Eule::N,ګونګی,മൂങ്ങ
177,Kranich::N,کلنګ,കൊക്ക്
178,Krähe::N,کارغه,കാക്ക
179,Kuckuck::N,فاخته,കുയിൽ
180,Schwan::N,قو,അരയന്നം
181,Fisch::N,کب,മത്സ്യം
182,Fisch::N,ماهی,മത്സ്യം
183,Schlange[Tier]::N,مار,പാമ്പ്
184,Wurm::N,چینجی,വിര
185,Spinne::N,غڼه,ചിലന്തി
186,Spinne::N,تارکښ,ചിലന്തി
187,Ameise::N,مېږی,ഉറുമ്പ്
188,Laus::N,سپږه,പേന്
189,Mücke::N,ماشی,മശകം
190,Fliege::N,مچ,ഈച്ച
191,Schmetterling::N,پتنګ,ചിത്രശലഭം
192,Beere::N,مېوۍ,ബെറി
193,Apfel::N,مڼه,ആപ്പിൾ
194,Pilz::N,خرېړی,കൂൺ
195,Zwiebel::N,پیاز,സവാള
196,Saat::N,تخم,വിത്ത്
197,Korn::N,تخم,ധാന്യം
198,Korn::N,دانه,ധാന്യം
199,Heu::N,بوس,വയ്ക്കോൽ
200,Heu::N,پروړه,വയ്ക്കോൽ
201,Schale::N,پوستکی,തൊലി
202,Grube::N,کنده,കുഴി
203,Falle::N,دام,കെണി
204,Falle::N,لومه,കെണി
205,Schlinge::N,کړۍ,കുടുക്ക്
206,Spur::N,نښه,ചുവട്
207,Asche::N,آس,ചാരം
208,Asche::N,ایره,ചാരം
209,Dreck::N,ناپاکي,അഴുക്ക്
210,Eisen::N,اوسپنه,ഇരുമ്പ്
211,Gold::N,سره زر,സ്വർണ്ണം
212,Silber::N,نقره,വെള്ളി
213,Silber::N,سپین زر,വെള്ളി
214,Kohle::N,سکور,കൽക്കരി
215,Kohle::N,سکاره,കൽക്കരി
216,Glas::N,ښيښه,ഗ്ലാസ്
217,Lehm::N,خټه,കളിമണ്ണ്
218,Sand::N,شګه,മണൽ
219,Mensch::N,انسان,മനുഷ്യർ
220,Mann::N,سړی,പുരുഷൻ
221,Mann::N,نارینه,പുരുഷൻ
222,Frau::N,ښځه,സ്ത്രീ
223,Kind::N,بچی,കുഞ്ഞ്
224,Kind::N,ماشوم,കുഞ്ഞ്
225,Junge::N,هلک,ആൺകുട്ടി
226,Mädchen::N,نجلۍ,പെൺകുട്ടി
227,Familie::N,کورنۍ,കുടുംബം
228,Großvater::N,بابا,അപ്പൂപ്പൻ
229,Großmutter::N,انا,അമ്മുമ്മ
230,Eltern::N,مور او پلار,മാതാപിതാക്കള്
231,Vater::N,پلار,അച്ഛൻ
232,Mutter::N,مور,അമ്മ
233,Sohn::N,زوی,മകൻ
234,Tochter::N,لور,മകൾ
235,Bruder::N,ورور,ചേട്ടൻ
236,Bruder::N,ورور,അനിയൻ
237,Schwester::N,خور,ചേച്ചി
238,Schwester::N,خور,അനിയത്തി
239,Onkel::N,تره,അമ്മാവൻ
240,Onkel::N,ماما,അമ്മാവൻ
241,Tante::N,خاله,മാമി
242,Ehemann::N,مېړه,ഭർത്താവ്
243,Ehefrau::N,مېرمن,ഭാര്യ
244,Freude::N,خوشحالي,ആഹ്ലാദം
245,Gelächter::N,خندا,ചിരിയുടെ ശബ്ദം
246,Glück::N,بخت,സന്തോഷം
247,Glück::N,بخت,സന്തുഷ്ടി
248,Kummer::N,غم,ശോകം
249,Wunsch::N,هيله,ആഗ്രഹം
250,Wunsch::N,غوښتنه,ആഗ്രഹം
251,Lust::N,شوق,ആഗ്രഹം
252,Lust::N,مینه,ആഗ്രഹം
253,Geist::N,روح,ചുറുചുറുക്ക്
254,Gedanke::N,فکر,ചിന്ത
255,Gedächtnis::N,یاد,ഓർമ്മശക്തി
256,Gedächtnis::N,حافظه,ഓർമ്മശക്തി
257,Verstand::N,عقل,മനസ്സ്
258,Verstand::N,شعور,മനസ്സ്
259,Sinn::N,معنی,അർത്ഥം
260,Grund::N,علت,കാരണം
261,Grund::N,اساس,കാരണം
262,Wahrheit::N,حقیقت,സത്യം
263,Gespräch::N,مرکه,സല്ലാപം
264,Gespräch::N,خبرې اترې,സല്ലാപം
265,Märchen::N,افسانه,യക്ഷിക്കഥ
266,Erzählung::N,قصه,കഥ
267,Erzählung::N,کیسه,കഥ
268,Nachricht::N,خبر,സന്ദേശം
269,Neuigkeit::N,نوی خبر,വാർത്ത
270,Name::N,نوم,പേര്
271,Rätsel::N,کیسۍ,പ്രഹേളിക
272,Rätsel::N,چیستان,പ്രഹേളിക
273,Rede::N,وینا,സംസാരം
274,Sprache::N,ژبه,ഭാഷ
275,Stimme::N,غږ,സ്വരം
276,Stimme::N,اواز,സ്വരം
277,Wort::N,لغت,വാക്ക്
278,Wort::N,کلمه,വാക്ക്
279,Zeichen::N,نښه,സംജ്ഞ
280,Zeichen::N,اشاره,സംജ്ഞ
281,Ruf::N,ږغ,വിളി
282,Ruf::N,بلنه,വിളി
283,Lärm::N,غالمغال,ആരവം
284,Laut::N,ږغ,ശബ്ദം
285,Ton::N,اواز,സ്വരഭേദം
286,Lied::N,غزله,പാട്ട്
287,Lied::N,سندره,പാട്ട്
288,Ruhe::N,ارامي,നിശ്ചലത
289,Leute::N,خلک,ജനങ്ങൾ
290,Volk::N,ولس,രാഷ്ടം
291,Arbeit::N,کار,ജോലി
292,Gast::N,مېلمه,അതിലി
293,Geschenk::N,تحفه,സമ്മാനം
294,Geschenk::N,سوغات,സമ്മാനം
295,Spiel::N,لوبه,കളി
296,Gesellschaft::N,ډله,കൂട്ടായ്മ
297,Hilfe::N,کومک,സഹായം
298,Hilfe::N,مرسته,സഹായം
299,Freund::N,ملګری,സുഹൃത്ത്
300,Kamerad::N,انډيوال,കൂട്ടാളി
301,Angelegenheit::N,موضوع,കാര്യം
302,Anzahl::N,شمېر,എണ്ണം
303,Anzahl::N,تعداد,എണ്ണം
304,Art::N,ډول,തരം
305,Stück::N,ټوټه,കഷണം
306,Teil::N,برخه,ഭാഗം
307,Hälfte::N,نیم,പകുതി
308,Kreis::N,دایره,വൃത്തം
309,Kreuz::N,صلیب,കുരിശടയാളം
310,Linie::N,خط,വര
311,Linie::N,خط,രേഖ
312,Linie::N,لیکه,വര
313,Linie::N,لیکه,രേഖ
314,Strich::N,کرښه,പക്ഷാഘാതം
315,Abstand::N,فاصله,വിടവ്
316,Entfernung::N,واټن,അകലം
317,Gegend::N,سیمه,പ്രദേശം
318,Gegend::N,منطقه,പ്രദേശം
319,Platz::N,ځای,ഇടം
320,Ort::N,ځای,സ്ഥലം
321,Seite::N,مخ,വശം
322,Seite::N,اړخ,വശം
323,Mitte::N,وسط,മധ്യസ്ഥാനം
324,Mitte::N,مینځ,മധ്യസ്ഥാനം
325,Gegenstand::N,شی,സാധനം
326,Sache::N,شی,വസ്തു
327,Sache::N,څيز,വസ്തു
328,Rand::N,څنډه,തൊങ്ങൽ
329,Rand::N,کناره,തൊങ്ങൽ
330,Kante::N,اړخ,അറ്റം
331,Ecke::N,ګوټ,മൂല
332,Spitze::N,څوکه,അഗ്രം
333,Ende::N,څوکه,അവസാനം
334,Loch::N,سوری,ദ്വാരം
335,Winkel::N,کنج,കോൺ
336,Winkel::N,کوتی,കോൺ
337,Muster::N,نمونه,ക്രമം
338,Größe::N,قد,വലുപ്പം
339,Größe::N,لويوالی,വലുപ്പം
340,Länge::N,طول,നീളം
341,Länge::N,اوږد والی,നീളം
342,Höhe::N,جګوالی,ഉയരം
343,Gewicht::N,وزن,കട്ടി
344,Menge::N,اندازه,അളവ്
345,Haufen::N,کوټه,കൂമ്പാരം
346,Reihe::N,صف,വരി
347,Reihe::N,کتار,വരി
348,Boot::N,قايق,ബോട്ട്
349,Ruder::N,چپه,പങ്കായം
350,Schlitten::N,ښویېدونی,ഉരുളില്ലാവണ്ടി
351,Ski::N,سکي,ഹിമപാദുകം
352,Lagerfeuer::N,اور,തീ
353,Last::N,بار,ഭാരം
354,Last::N,پېټی,ഭാരം
355,Gang::N,تګ,നടത്തം
356,Schritt::N,ګام,ചുവട്
357,Norden::N,شمال,വടക്ക്
358,Süden::N,سوېل,തെക്ക്
359,Westen::N,لوېدېځ,പടിഞ്ഞാറ്
360,Osten::N,شرق,കിഴക്ക്
361,Osten::N,ختیځ,കിഴക്ക്
362,Holz::N,لرګی,തടി
363,Brett::N,تخته,ബോർഡ്
364,Platte::N,تخته,തകിട്
365,Stütze::N,تکیوان,താങ്ങ്
366,Stange::N,ډاګه,കമ്പ്
367,Stock::N,لرګی,വടി
368,Stab::N,چيخله,കുറുവടി
369,Rohr::N,نل,കുഴൽ
370,Haus::N,کور,വീട്
371,Heim::N,کور,വീട്
372,Ofen::N,تودنۍ,സ്റ്റൌ
373,Fußboden::N,غولی,തറ
374,Tisch::N,مېز,മേശ
375,Stuhl::N,چوکۍ,കസേര
376,Wiege::N,زانګو,തൊട്ടിൽ
377,Bett::N,کټ,കിടക്ക
378,Bett::N,چپرکټ,കിടക്ക
379,Regal::N,تاخچۍ,ഷെൽഫ്
380,Kiste::N,صندوق,പെട്ടി
381,Fenster::N,کړکۍ,ജനൽ
382,Tür::N,دروازه,വാതിൽ
383,Tor::N,دروازه,കവാടം
384,Zaun::N,کټاره,വേലി
385,Dach::N,بام,മേൽക്കുര
386,Leiter::N,زينه,ഏണി
387,Besen::N,جارو,ചൂല്
388,Spaten::N,یوم,തൂമ്പ
389,Schaufel::N,بېلچه,തൂമ്പ
390,Gabel::N,پنجه,മുൾക്കത്തി
391,Löffel::N,کاشوغه,സ്പൂൺ
392,Messer::N,چاقو,കത്തി
393,Nagel::N,ميخ,ആണി
394,Netz::N,جال,വല
395,Haken::N,څنګک,കൊളുത്ത്
396,Griff::N,لاستی,കൈപ്പിടി
397,Schloss::N,کلپ,പൂട്ട്
398,Bild::N,رسم,ചിത്രം
399,Figur::N,قدوقامت,കണക്ക്
400,Puppe::N,ګوډۍ,പാവ
401,Beutel::N,کڅوړه,ബാഗ്
402,Bündel::N,دسته,കെട്ട്
403,Tasche::N,بکس,ബാഗ്
404,Tasche::N,توبره,ബാഗ്
405,Eimer::N,سطل,ബക്കറ്റ്
406,Deckel::N,سرپوښ,ഉറ
407,Geschirr::N,لوښی,പിഞ്ഞാണം
408,Sack::N,جوال,ചാക്ക്
409,Tasse::N,پیاله,കപ്പ്
410,Topf::N,دېګی,പാത്രം
411,Kessel::N,دېګ,കെറ്റ്ല്
412,Essen::N,خوراک,ആഹാരസമയം
413,Nahrung::N,خوراک,ഭക്ഷണം
414,Speise::N,خواړه,ഡിഷ്
415,Fleisch::N,غوښه,മാംസം
416,Getreide::N,غله,ചോളം
417,Brei::N,اوګره,കഞ്ഞി
418,Brot::N,ډوډۍ,റോട്ടി
419,Scheibe::N,مړۍ,തുണ്ട്
420,Fett::N,غوړي,കൊഴുപ്പ്
421,Butter::N,کوچ,വെണ്ണ
422,Öl::N,تېل,എണ്ണ
423,Salz::N,مالګه,ഉപ്പ്
424,Suppe::N,شوربا,സൂപ്പ്
425,Honig::N,شات,തേൻ
426,Milch::N,شوده,പാൽ
427,Tee::N,چای,ചായ
428,Leder::N,څرمن,തുകൽ
429,Wolle::N,پشم,കമ്പിളി
430,Stoff::N,ټوټه,തുണി
431,Nadel::N,ستن,സൂചി
432,Faden::N,تار,നൂല്
433,Knopf::N,تڼۍ,ബട്ടൺ
434,Knopf::N,تکمه,ബട്ടൺ
435,Knoten::N,غوټه,കുരുക്ക്
436,Farbe::N,رنګ,പെയിൻറ്
437,Kleidung::N,کالي,വസ്ത്രങ്ങൾ
438,Hemd::N,کميس,ഷർട്ട്
439,Kragen::N,غاړه,കുപ്പായക്കഴുത്ത്
440,Ärmel::N,لستوڼی,കുപ്പായക്കൈ
441,Hose::N,پطلون,ട്രൌസർ
442,Gürtel::N,کمربند,ബെൽറ്റ്
443,Mütze::N,خولۍ,തൊപ്പി
444,Schuh::N,بوټ,ഷൂ
445,Stiefel::N,موزه,ബൂട്ട്
446,Ring::N,ګوته,മോതിരം
447,Band::N,فيته,റിബൺ
448,Kamm::N,ګمنځ,ചീപ്പ്
449,Spiegel::N,ایینه,കണ്ണാടി
450,Spiegel::N,هنداره,കണ്ണാടി
451,Riemen::N,تسمه,സ്ട്രാപ്പ്
452,Schnur::N,مزی,ചരട്
453,Leine::N,رسۍ,കെട്ടാനുള്ള തോൽവാർ
454,Decke::N,بړستن,പുതപ്പ്
455,Kissen::N,بالښت,തലയിണ
456,Tuch::N,ټیکری,സ്കാർഫ്
457,Handtuch::N,دسمال,തോർത്ത്
458,Kraft::N,زور,ശക്തി
459,Kraft::N,توان,ശക്തി
460,Stärke::N,قوت,ശക്തി
461,Gesundheit::N,صحت,ആരോഗ്യം
462,Gesundheit::N,روغتیا,ആരോഗ്യം
463,Krankheit::N,مرض,അസുഖം
464,Krankheit::N,ناروغي,അസുഖം
465,Schmerz::N,درد,വേദന
466,Wunde::N,ټپ,മുറിവ്
467,Wunde::N,زخم,മുറിവ്
468,Fieber::N,تبه,പനി
469,Arznei::N,دوا,മരുന്ന്
470,Arznei::N,دارو,മരുന്ന്
471,Brücke::N,پول,പാലം
472,Brunnen::N,څاه,കിണർ
473,Brunnen::N,کوهی,കിണർ
474,Weide::N,وله,മേച്ചൽ
475,Pfad::N,تړه,വഴി
476,Weg::N,لیار,വഴി
477,Straße::N,سړک,റോഡ്
478,Dorf::N,کلی,ഗ്രാമം
479,Stadt::N,ښار,നഗരം
480,Brief::N,لیک,കത്ത്
481,Brief::N,مکتوب,കത്ത്
482,Buch::N,کتاب,പുസ്തകം
483,Buchstabe::N,حرف,അക്ഷരം
484,Buchstabe::N,توری,അക്ഷരം
485,Zeitung::N,اخبار,വർത്തമാനപത്രം
486,Leben::N,ژوند,ജീവൻ
487,Tod::N,مرګ,മരണം
488,Tod::N,مړینه,മരണം
489,Grab::N,قبر,ശവക്കുഴി
490,Grab::N,ډورۍ,ശവക്കുഴി
491,Kirche::N,کلیسا,പള്ളി
492,Sünde::N,ګناه,പാപം
493,Gott::N,خدای,ദൈവം
494,Arbeiter::N,کاریګر,ജോലിക്കാരൻ
495,Chef::N,آمر,മേധാവി
496,Meister::N,استاد,യജമാനൻ
497,Arzt::N,طبیب,ഡോക്ടർ
498,Arzt::N,ډاکټر,ഡോക്ടർ
499,Lehrer::N,معلم,അധ്യാപകൻ
500,Lehrer::N,ښوونکی,അധ്യാപകൻ
501,Geld::N,پیسې,പണം
502,Geschäft::N,سوداګري,ബിസിനസ്
503,Laden::N,دکان,കട
504,Laden::N,مغازه,കട
505,Preis::N,بیه,വില
506,Ware::N,مال,ചരക്ക്
507,Nutzen::N,ګټه,ലാഭം
508,Reichtum::N,شتمني,ധനം
509,Welt::N,نړۍ,ലോകം
510,Welt::N,دنیا,ലോകം
511,Land::N,هېواد,രാജ്യം
512,Staat::N,دولت,രാജ്യം
513,König::N,باچا,രാജാവ്
514,König::N,پادشاه,രാജാവ്
515,Macht::N,قدرت,അധികാരം
516,Grenze::N,حد,അതിർത്തി
517,Grenze::N,سرحد,അതിർത്തി
518,Krieg::N,جګړه,യുദ്ധം
519,Feind::N,دښمن,ശത്രു
520,Gewalt::N,زور,അക്രമം
521,Gewalt::N,تشدد,അക്രമം
522,Kampf::N,جنګ,പോരാട്ടം
523,Kampf::N,مبارزه,പോരാട്ടം
524,Bogen[Waffe]::N,لیندۍ,വില്ല്
525,Pfeil::N,غشی,അമ്പ്
526,Gewehr::N,ټوپک,തോക്ക്
527,Fehler::N,خطا,പിശക്
528,Fehler::N,غلطي,പിശക്
529,Lüge::N,دروغ,കള്ളം
530,Schaden::N,زیان,കേടുപാട്
531,Schaden::N,تاوان,കേടുപാട്
532,Unglück::N,بدبختي,ദൌർഭാഗ്യം
533,Schuld::N,ګناه,തെറ്റ്
534,Alter::N,منګ,വയസ്സ്
535,Schluss::N,اخر,നിഗമനം
536,Zeit::N,وخت,സമയം
537,Tag::N,ورځ,ദിവസം
538,Morgen::N,سبا,പ്രഭാതം
539,Morgen::N,سهار,പ്രഭാതം
540,Mittag::N,غرمه,ഉച്ച
541,Abend::N,ماښام,സായാഹ്നം
542,Nacht::N,شپه,രാത്രി
543,Woche::N,اونۍ,ആഴ്ച
544,Monat::N,مياشت,മാസം
545,Jahr::N,کال,വർഷം
546,Frühling::N,پسرلی,വസന്തം
547,Sommer::N,دوبی,വേനൽ
548,Herbst::N,منی,ശരത്കാലം
549,Herbst::N,خزان,ശരത്കാലം
550,Winter::N,ژمی,ശൈത്യം
551,Januar::N,جنوري,ജനുവരി
552,Februar::N,فبروري,ഫെബ്രുവരി
553,März::N,مارچ,മാർച്ച്
554,April::N,اپریل,ഏപ്രിൾ മാസം
555,Mai::N,مې,മെയ് മാസം
556,Juni::N,جون,ജൂൺ
557,Juli::N,جولای,ജൂലൈ
558,August::N,اګست,ആഗസ്റ്റ്
559,September::N,سپټامبر,സെപ്തംബർ
560,Oktober::N,اکتوبر,ഒക്ടോബർ
561,November::N,نومبر,നവംബർ
562,Dezember::N,دسمبر,ഡിസംബർ
563,Montag::N,دوشنبه,തിങ്കളാഴ്ച
564,Dienstag::N,سه شنبه,ചൊവ്വ
565,Mittwoch::N,چارشنبه,ബുധനാഴ്ച
566,Donnerstag::N,پنجشنبه,വ്യാഴാഴ്ച
567,Freitag::N,جمعه,വെള്ളിയാഴ്ച
568,Samstag::N,خالي,ശനിയാഴ്ച
569,Sonntag::N,یکشنبه,ഞായറാഴ്ച
570,groß::A,لوی,വലിയ
571,klein::A,وړوکی,ചെറിയ
572,lang::A,اوړد,നീണ്ട
573,kurz::A,لنډ,ഹ്രസ്വമായ
574,breit::A,پراخه,വിശാലമായ
575,schmal::A,تنګ,ഇടുങ്ങിയ
576,dicht::A,ګڼ,നിബിഡമായ
577,dick[Gegenstand]::A,پنډ,തടിച്ച
578,dünn::A,نری,മെലിഞ്ഞ
579,fein::A,نازک,നേർത്ത
580,fest::A,کلک,ഉറപ്പുള്ള
581,fest::A,ټینګ,ഉറപ്പുള്ള
582,flach::A,هوار,പരന്ന
583,glatt::A,ښوی,മിനുസമുള്ള
584,hart::A,کلک,കട്ടിയുള്ള
585,weich::A,نرم,മൃദുവായ
586,weich::A,پوست,മൃദുവായ
587,rund::A,ګرد,വട്ടത്തിലുള്ള
588,spitz::A,تېره,മുനയുള്ള
589,scharf::A,تېز,മൂർച്ചയുള്ള
590,scharf::A,تېره,മൂർച്ചയുള്ള
591,stumpf::A,پڅ,തുറന്നടിക്കുന്ന
592,schwer::A,دروند,ഭാരമുള്ള
593,schön::A,ښکلی,മനോഹരമായ
594,heiß::A,تود,ചൂടുള്ള
595,warm::A,تود,ചൂടുള്ള
596,kalt::A,ېخ,തണുത്ത
597,kalt::A,سوړ,തണുത്ത
598,kühl::A,ېخ,തണുപ്പുള്ള
599,kühl::A,سوړ,തണുപ്പുള്ള
600,frisch::A,تازه,ശുദ്ധമായ
601,feucht::A,مرطوب,ഈറനുള്ള
602,nass::A,لوند,നനഞ്ഞ
603,trocken::A,وچ,വരണ്ട
604,voll::A,ډک,നിറയെ
605,leer::A,خالی,ഒഴിഞ്ഞ
606,offen::A,خلاص,തുറന്ന
607,offen::A,پرانیستی,തുറന്ന
608,geschlossen::A,تړلی,അടച്ച
609,sauber::A,پاک,വൃത്തിയുള്ള
610,schmutzig::A,چټل,അഴുക്കുനിറഞ്ഞ
611,roh::A,خام,അസംസ്കൃതമായ
612,reif::A,پوخ,പഴുത്ത
613,reif::A,رسېدلی,പഴുത്ത
614,lecker::A,خوندور,രുചികരമായ
615,lecker::A,مزه دار,രുചികരമായ
616,süß::A,خوږ,മധുരമുള്ള
617,süß::A,شیرین,മധുരമുള്ള
618,bitter::A,تریخ,കടുത്ത
