,Concept_ID,ga,tt
0,Auge::N,súil,күз
1,Ohr::N,cluas,колак
2,Nase::N,soc,борын
3,Mund::N,béal,авыз
4,Mund::N,béal,тамак
5,Zahn::N,fiacail,теш
6,Zunge::N,teanga,тел
7,Lippe::N,liopa,ирен
8,Wange::N,grua,яңак
9,Wange::N,leiceann,яңак
10,Gesicht::N,éadan,йөз
11,Gesicht::N,aghaidh,йөз
12,Stirn::N,baithis,маңгай
13,Stirn::N,clár éadain,маңгай
14,Haar::N,gruaig,чәч
15,Schnurrbart::N,croiméal,мыек
16,Bart::N,féasóg,сакал
17,Kinn::N,smig,ияк
18,Kiefer[Anatomie]::N,giall,казналык
19,Kehle::N,scornach,тамак
20,Hals::N,muinéal,бугаз
21,Genick::N,baic,җилкә
22,Kopf::N,ceann,баш
23,Rücken::N,droim,сырт
24,Bauch::N,bolg,корсак
25,Nabel::N,imleacán,кендек
26,Busen::N,cíoch,түш
27,Brust::N,brollach,имчәк
28,Brust::N,brollach,күкрәк
29,Schulter::N,gualainn,иңбаш
30,Schulter::N,gualainn,кулбаш
31,Arm::N,lámh,кул
32,Ellenbogen::N,uillinn,терсәк
33,Hand::N,lámh,кул
34,Handfläche::N,bos,уч
35,Finger::N,méar,бармак
36,Fingernagel::N,ionga,тырнак
37,Nagel[Anatomie]::N,ionga,тырнак
38,Zeh::N,ladhar,бармак
39,Fuß::N,cos,табан
40,Fuß::N,troigh,табан
41,Ferse::N,sáil,үкчә
42,Knie::N,glúin,тез
43,Oberschenkel::N,ceathrú,бот
44,Bein::N,cos,аяк
45,Körper::N,corp,тән
46,Körper::N,corp,җисем
47,Körper::N,colainn,тән
48,Körper::N,colainn,җисем
49,Haut::N,cneas,тире
50,Haut::N,craiceann,тире
51,Blut::N,fuil,кан
52,Sehne::N,teannán,сеңер
53,Sehne::N,féitheog,сеңер
54,Knochen::N,cnámh,сөяк
55,Gehirn::N,inchinn,ми
56,Herz::N,croí,йөрәк
57,Magen::N,bolg,ашказаны
58,Magen::N,goile,ашказаны
59,Leber::N,ae,бавыр
60,Atem::N,anáil,сулыш
61,Hunger::N,ocras,ачлык
62,Träne::N,deoir,яшь
63,Geschmack::N,blas,тәм
64,Geschmack::N,blas,зәвык
65,Geruch::N,boladh,ис
66,Schlaf::N,suan,йокы
67,Schlaf::N,codladh,йокы
68,Traum::N,taibhreamh,төш
69,Himmel::N,spéir,күк
70,Sonne::N,grian,кояш
71,Mond::N,ré,ай
72,Mond::N,gealach,ай
73,Stern::N,rinn,йолдыз
74,Stern::N,réalta,йолдыз
75,Luft::N,aer,һава
76,Wind::N,gaoth,җил
77,Welle::N,tonn,дулкын
78,Wasser::N,uisce,су
79,Stein::N,cloch,таш
80,Boden::N,talamh,туфрак
81,Erde::N,cré,җир
82,Erde::N,ithir,җир
83,Staub::N,dusta,тузан
84,Staub::N,deannach,тузан
85,Rauch::N,toit,төтен
86,Rauch::N,deatach,төтен
87,Funke::N,drithle,очкын
88,Feuer::N,tine,ут
89,Licht::N,solas,якты
90,Schatten::N,scáth,күләгә
91,Wetter::N,aimsir,һава
92,Nebel::N,ceo,томан
