,Concept_ID,ku,ml
0,Auge::N,çav,കണ്ണ്
1,Ohr::N,guh,ചെവി
2,Nase::N,bêvil,മൂക്ക്
3,Mund::N,dev,വായ
4,Zahn::N,didan,പല്ല്
5,Zunge::N,ziman,നാക്ക്
6,Lippe::N,lêv,ചുണ്ട്
7,Wange::N,dêm,കവിൾത്തടം
8,Wange::N,hinarik,കവിൾത്തടം
9,Gesicht::N,rû,മുഖം
10,Stirn::N,enî,നെറ്റി
11,Haar::N,por,തലമുടി
12,Schnurrbart::N,simbêl,മീശ
13,Bart::N,rih,താടിരോമം
14,Kinn::N,zenî,താടി
15,Kiefer[Anatomie]::N,arguşk,താടിയെല്ല്
16,Kehle::N,qirik,കണ്ഠനാളം
17,Hals::N,stû,കഴുത്ത്
18,Hals::N,qirik,കഴുത്ത്
19,Genick::N,stû,പിടലി
20,Kopf::N,serî,തല
21,Rücken::N,pişt,മുതുക്
22,Bauch::N,ûr,നയറ്
23,Bauch::N,zik,നയറ്
24,Nabel::N,navik,നാഭി
25,Busen::N,sîng,സ്തനം
26,Brust::N,sîng,സ്തനം
27,Schulter::N,mil,തോൾ
28,Arm::N,çepil,കൈ
29,Ellenbogen::N,enîşk,കൈമുട്ട്
30,Hand::N,dest,കൈ
31,Handfläche::N,kefadest,ഉള്ളം കൈ
32,Finger::N,tilî,വിരൽ
33,Fingernagel::N,neynuk,നഖം
34,Nagel[Anatomie]::N,bizmar,നഖം
35,Zeh::N,tilî linga,കാൽവിരൽ
36,Fuß::N,ling,കാൽപ്പാദം
37,Ferse::N,pahnî,ഉപ്പൂറ്റി
38,Knie::N,kabok,കാൽമുട്ട്
39,Oberschenkel::N,rahn,തുട
40,Bein::N,çip,കാൽ
41,Körper::N,laş,ശരീരം
42,Körper::N,gowde,ശരീരം
43,Haut::N,çerm,ചർമ്മം
44,Blut::N,xwîn,രക്തം
45,Ader::N,reh,ഞരമ്പ്
46,Sehne::N,reh,സ്നായു
47,Knochen::N,hestî,അസ്ഥി
48,Gehirn::N,mêjî,തലച്ചോറ്
49,Herz::N,dil,ഹൃദയം
50,Magen::N,navêş,വയർ
51,Leber::N,kezeb,കരൾ
52,Atem::N,hilm,ശ്വാസം
53,Hunger::N,birçîtî,വിശപ്പ്
54,Träne::N,hêstir,കണ്ണീർ
55,Geschmack::N,tam,രുചി
56,Geruch::N,bêhn,ഗന്ധം
57,Schlaf::N,xew,ഉറകും
58,Traum::N,xewn,സ്വപ്നം
59,Himmel::N,ezman,ആകാശം
60,Sonne::N,roj,സൂര്യൻ
61,Mond::N,heyv,ചന്ദ്രൻ
62,Stern::N,stêrk,നക്ഷത്രം
63,Luft::N,ba,കാറ്റ്
64,Wind::N,ba,കാറ്റ്
65,Welle::N,şewl,തിരമാല
66,Wasser::N,av,വെള്ളം
67,Stein::N,kevir,ശില
68,Stein::N,kevir,കല്ല്
69,Boden::N,herd,തറ
70,Boden::N,herd,നിലം
71,Erde::N,ax,മണ്ണ്
72,Staub::N,toz,പൊടി
73,Rauch::N,dû,പുക
74,Funke::N,çirûşk,തീപ്പൊരി
75,Feuer::N,agir,തീ
76,Licht::N,ronahî,വിളക്ക്
77,Licht::N,ronahî,സൂര്യപ്രകാശം
78,Schatten::N,sî,തണൽ
79,Wetter::N,hewa,കാലാവസ്ഥ
80,Nebel::N,mij,മൂടൽമഞ്ഞ്
81,Wolke::N,ewr,മേഘം
82,Regen::N,baran,മഴ
83,Schnee::N,berf,മഞ്ഞ്
84,Eis::N,qeşa,ഐസ്
85,Frost::N,xûsik,മൂടൽമഞ്ഞ്
86,Kälte::N,serma,തണുപ്പ്
87,Hitze::N,germayî,ചൂട്
88,Raureif::N,şext,കോടമഞ്ഞ്
89,Regenbogen::N,heftreng,മഴവില്ല്
90,Donner::N,gire-gir,ഇടി
91,Strömung::N,şewl,പ്രവാഹം
92,Tropfen::N,dilop,തുള്ളി
93,Schaum::N,kef,നുര
94,Schmutz::N,gemar,അഴുക്ക്
95,See::N,gol,തടാകം
96,Sumpf::N,hezek,ചതുപ്പുനിലം
97,Moor::N,mafêl,പാഴ്നിലം
98,Wiese::N,sûrik,പുൽത്തകിടി
99,Wald::N,çiya,വനം
100,Wald::N,çiya,കാട്
101,Wald::N,daristan,വനം
102,Wald::N,daristan,കാട്
103,Hügel::N,gir,കുന്ന്
