,Concept_ID,udm,ta
0,Auge::N,син,கண்
1,Ohr::N,пель,காது
2,Nase::N,ныр,மூக்கு
3,Mund::N,ым,வாய்
4,Zahn::N,пинь,பல்
5,Zunge::N,кыл,நாக்கு
6,Lippe::N,ымдур,உதடு
7,Wange::N,бам,கன்னம்
8,Gesicht::N,ымныр,முகம்
9,Stirn::N,кымес,முன்னெற்றி
10,Haar::N,йырси,முடி
11,Schnurrbart::N,мыйык,மீசை
12,Bart::N,туш,தாடி
13,Kinn::N,ангес,கீழதாடை
14,Kiefer[Anatomie]::N,ан,தாடை
15,Kiefer[Anatomie]::N,анлы,தாடை
16,Kehle::N,гульым,தொண்டை
17,Hals::N,чырты,கழுத்து
18,Genick::N,йырбер,கழுத்து
19,Kopf::N,йыр,தலை
20,Rücken::N,мыш,முதுகு
21,Bauch::N,кӧт,வயிறு
22,Nabel::N,гогы,தொப்புள்
23,Busen::N,ноны,மார்பகம்
24,Brust::N,мӧля, மார்பு
25,Schulter::N,пельпум,தோள்பட்டை
26,Arm::N,суй,கரம்
27,Ellenbogen::N,гырпум,முழங்கை
28,Hand::N,ки,கை
29,Handfläche::N,ки пыдэс,உள்ளங்கை
30,Handfläche::N,кырым пыдэс,உள்ளங்கை
31,Finger::N,чиньы,விரல்
32,Fingernagel::N,гижы,விரல் நகம்
33,Fingernagel::N,гиждӥнь,விரல் நகம்
34,Nagel[Anatomie]::N,гижы,நகம்
35,Zeh::N,пыдчиньы,கால்விரல்
36,Fuß::N,пыд,கால்
37,Ferse::N,пыдбер,குதிகால்
38,Knie::N,пыдес,முழங்கால்
39,Oberschenkel::N,макес,தொடை
40,Bein::N,пыд,கால்
41,Körper::N,мугор,உடல்
42,Körper::N,вылтыр,உடல்
43,Haut::N,ку,சருமம்
44,Blut::N,вир,இரத்தம்
45,Ader::N,вирсэр,நாளம்
46,Sehne::N,вуж,தசைநார்
47,Knochen::N,лы,எலுமபு
48,Gehirn::N,вим,மூனை
49,Herz::N,сюлэм,இதயம
50,Magen::N,ӝуш,வயிறு
51,Leber::N,мус,கல்லீரல்
52,Atem::N,лул,மூச்சு
53,Atem::N,шокан,மூச்சு
54,Hunger::N,кӧтсюман,பசி
55,Träne::N,синкыли,கண்ணீர்
56,Geschmack::N,шӧм,நறுமணம்
57,Geruch::N,зын,துர்நாற்றம்
58,Schlaf::N,вӧт,தூக்கம்
59,Traum::N,уйвӧт,கனவு
60,Himmel::N,ин,வானம்
61,Sonne::N,шунды,சூரியன்
62,Mond::N,толэзь,சந்திரன்
63,Stern::N,кизили,நட்சத்திரம்
64,Luft::N,омыр,காறறு
65,Wind::N,тӧл,காற்று
66,Welle::N,тулкым,அலை
67,Wasser::N,ву,நீர்
68,Stein::N,из,கல்
69,Boden::N,музъем,தரை
70,Erde::N,му,மண்
71,Staub::N,пыль,தூசி
72,Rauch::N,ӵын,புகை
73,Funke::N,гизьы,தீப்பொறி
74,Feuer::N,тыл,தீ
75,Licht::N,тыл,வெளிச்சம்
76,Schatten::N,вужер,நிழல்
77,Wetter::N,куазь,வானிலை
78,Nebel::N,бус,பனிமூட்டம்
79,Wolke::N,пилем,மேகம்
80,Regen::N,зор,மழை
81,Schnee::N,лымы,உறைபனி
82,Eis::N,йӧ,பனிக்கட்டி
83,Frost::N,кезьыт,உறைபனி
84,Kälte::N,кезьыт,குளிர்ந்த
85,Hitze::N,пӧсь,சூடு
86,Raureif::N,гӧр,உறைபனி வெண்திரை
87,Regenbogen::N,вуюись,வானவில்
88,Donner::N,гудыри,இடி
89,Strömung::N,бызён,நீரோட்டம்
