,Concept_ID,br,br
0,Auge::N,lagad,lagad
1,Ohr::N,skouarn,skouarn
2,Nase::N,fri,fri
3,Mund::N,genoù,genoù
4,Zahn::N,dant,dant
5,Zunge::N,teod,teod
6,Lippe::N,muzell,muzell
7,Wange::N,chot,chot
8,Gesicht::N,dremm,dremm
9,Stirn::N,tal,tal
10,Haar::N,blev,blev
11,Schnurrbart::N,mourenn,mourenn
12,Bart::N,barv,barv
13,Kinn::N,groñj,groñj
14,Kiefer[Anatomie]::N,javed,javed
15,Kehle::N,gouzoug,gouzoug
16,Hals::N,gouzoug,gouzoug
17,Genick::N,choug,choug
18,Kopf::N,penn,penn
19,Rücken::N,kein,kein
20,Bauch::N,kof,kof
21,Nabel::N,begel,begel
22,Busen::N,bronn,bronn
23,Brust::N,bruched,bruched
24,Schulter::N,skoaz,skoaz
25,Arm::N,brec'h,brec'h
26,Ellenbogen::N,ilin,ilin
27,Hand::N,dorn,dorn
28,Handfläche::N,palv,palv
29,Finger::N,biz,biz
30,Fingernagel::N,ivin,ivin
31,Nagel[Anatomie]::N,ivin,ivin
32,Zeh::N,biz-troad,biz-troad
33,Fuß::N,troad,troad
34,Ferse::N,seul,seul
35,Knie::N,glin,glin
36,Oberschenkel::N,morzhed,morzhed
37,Bein::N,gar,gar
38,Körper::N,korf,korf
39,Haut::N,kroc'hen,kroc'hen
40,Blut::N,gwad,gwad
41,Ader::N,gwazhi,gwazhi
42,Sehne::N,stir,stir
43,Knochen::N,askorn,askorn
44,Gehirn::N,empenn,empenn
45,Herz::N,kalon,kalon
46,Magen::N,stomog,stomog
47,Leber::N,avu,avu
48,Atem::N,anal,anal
49,Hunger::N,naon,naon
50,Träne::N,daer,daer
51,Geschmack::N,blaz,blaz
52,Geruch::N,c'hwezh,c'hwezh
53,Schlaf::N,kousked,kousked
54,Traum::N,hune,hune
55,Himmel::N,oabl,oabl
56,Sonne::N,heol,heol
57,Mond::N,loar,loar
58,Stern::N,steredenn,steredenn
59,Luft::N,aer,aer
60,Wind::N,avel,avel
61,Welle::N,houlenn,houlenn
62,Wasser::N,dour,dour
63,Stein::N,maen,maen
64,Boden::N,tachenn,tachenn
65,Erde::N,douar,douar
66,Staub::N,poultr,poultr
67,Rauch::N,moged,moged
68,Funke::N,ful,ful
69,Feuer::N,tan,tan
70,Licht::N,gouloù,gouloù
71,Schatten::N,disheol,disheol
72,Wetter::N,amzer,amzer
73,Nebel::N,brumenn,brumenn
74,Wolke::N,koumoulenn,koumoulenn
75,Regen::N,glav,glav
76,Schnee::N,erc'h,erc'h
77,Eis::N,skorn,skorn
78,Frost::N,rev,rev
79,Kälte::N,yen,yen
80,Hitze::N,tommder,tommder
81,Raureif::N,frim,frim
82,Regenbogen::N,gwareg-ar-glav,gwareg-ar-glav
83,Donner::N,kurun,kurun
84,Strömung::N,red,red
85,Tropfen::N,bannac'h,bannac'h
86,Tropfen::N,bannac'h,takenn
87,Tropfen::N,takenn,bannac'h
88,Tropfen::N,takenn,takenn
89,Schaum::N,spoum,spoum
90,Schmutz::N,fank,fank
91,See::N,lenn,lenn
92,Sumpf::N,gwern,gwern
93,Moor::N,taouarc'heg,taouarc'heg
94,Wiese::N,prad,prad
95,Wald::N,koad,koad
96,Hügel::N,torgenn,torgenn
97,Anhöhe::N,run,run
98,Berg::N,menez,menez
99,Gipfel::N,barr,barr
100,Höhle::N,kav,kav
101,Abhang::N,naou,naou
102,Quelle::N,feunteun,feunteun
103,Bach::N,gwazh,gwazh
104,Fluss::N,stêr,stêr
105,Ufer::N,ribl,ribl
106,Küste::N,aod,aod
107,Festland::N,douar,douar
108,Meer::N,mor,mor
109,Bucht::N,mor-bihan,mor-bihan
110,Insel::N,enez,enez
111,Blume::N,bleunienn,bleunienn
112,Gras::N,geot,geot
113,Wurzel::N,gwrizienn,gwrizienn
114,Baum::N,gwezenn,gwezenn
115,Stamm::N,kef,kef
116,Rinde::N,rusk,rusk
117,Ast::N,barr,barr
118,Zweig::N,bod,bod
119,Blatt::N,delienn,delienn
120,Birke::N,bezvenn,bezvenn
121,Kiefer[Baum]::N,pinenn,pinenn
122,Weide[Baum]::N,halegenn,halegenn
123,Tanne::N,sapenn,sapenn
124,Horn::N,korn,korn
125,Feder::N,pluñv,pluñv
126,Fell::N,kreoñ,kreoñ
127,Flügel::N,askell,askell
128,Klaue::N,skilf,skilf
129,Kralle::N,skilf,skilf
130,Schwanz::N,lost,lost
131,Ei::N,vi,vi
132,Nest::N,neizh,neizh
133,Bau::N,douarenn,douarenn
134,Tier::N,loen,loen
135,Herde::N,tropell,tropell
136,Kuh::N,buoc'h,buoc'h
137,Bulle::N,tarv,tarv
138,Pferd::N,marc'h,marc'h
139,Schaf::N,dañvad,dañvad
140,Schwein::N,pemoc'h,pemoc'h
141,Hund::N,ki,ki
142,Katze::N,kazh,kazh
143,Bär::N,arzh,arzh
144,Eichhörnchen::N,gwiñver,gwiñver
145,Elch::N,karv-dour,karv-dour
146,Fuchs::N,louarn,louarn
147,Hase::N,gad,gad
148,Maus::N,logodenn,logodenn
149,Wolf::N,bleiz,bleiz
150,Vogel::N,labous,labous
151,Schwarm::N,nijad,nijad
152,Huhn::N,yar,yar
153,Hahn::N,kilhog,kilhog
154,Gans::N,gwazenn,gwazenn
155,Adler::N,erer,erer
156,Ente::N,houad,houad
157,Eule::N,toud,toud
158,Kranich::N,garan,garan
159,Krähe::N,bran,bran
160,Kuckuck::N,koukoug,koukoug
161,Schwan::N,alarc'h,alarc'h
162,Fisch::N,pesk,pesk
163,Barsch::N,brell,brell
164,Hecht::N,beked,beked
165,Schlange[Tier]::N,naer,naer
166,Wurm::N,preñv,preñv
167,Spinne::N,kevnidenn,kevnidenn
168,Ameise::N,merion,merion
169,Laus::N,laouenn,laouenn
170,Mücke::N,moustik,moustik
171,Fliege::N,kelienenn,kelienenn
172,Schmetterling::N,balafenn,balafenn
173,Beere::N,hog,hog
174,Apfel::N,aval,aval
175,Pilz::N,kabell-touseg,kabell-touseg
176,Zwiebel::N,ognonenn,ognonenn
177,Saat::N,had,had
178,Korn::N,ed,ed
179,Heu::N,foenn,foenn
180,Schale::N,peliadur,peliadur
181,Falle::N,pech,pech
182,Schlinge::N,krouglas,krouglas
183,Asche::N,ludu,ludu
184,Dreck::N,fank,fank
185,Eisen::N,houarn,houarn
186,Gold::N,aour,aour
187,Silber::N,arc'hant,arc'hant
188,Kohle::N,glaou,glaou
189,Glas::N,gwer,gwer
190,Sand::N,traezh,traezh
191,Mensch::N,den,den
192,Mann::N,den,den
193,Frau::N,maouez,maouez
194,Kind::N,bugel,bugel
195,Junge::N,paotr,paotr
196,Mädchen::N,plac'h,plac'h
197,Familie::N,familh,familh
198,Großvater::N,tad-kozh,tad-kozh
199,Großmutter::N,mamm-gozh,mamm-gozh
200,Eltern::N,kerent,kerent
201,Vater::N,tad,tad
202,Mutter::N,mamm,mamm
203,Sohn::N,mab,mab
204,Tochter::N,merc'h,merc'h
205,Bruder::N,breur,breur
206,Schwester::N,c'hoar,c'hoar
207,Onkel::N,eontr,eontr
208,Tante::N,moereb,moereb
209,Ehemann::N,gwaz,gwaz
210,Ehefrau::N,gwreg,gwreg
211,Freude::N,levenez,levenez
212,Gelächter::N,c'hoarzherezh,c'hoarzherezh
213,Glück::N,chañs,chañs
214,Kummer::N,doan,doan
215,Wunsch::N,c'hoant,c'hoant
216,Lust::N,c'hoant,c'hoant
217,Geist::N,spered,spered
218,Gedanke::N,soñj,soñj
219,Gedächtnis::N,eñvor,eñvor
220,Verstand::N,skiant,skiant
221,Sinn::N,ster,ster
222,Grund::N,kaoz,kaoz
223,Wahrheit::N,gwirionez,gwirionez
224,Gespräch::N,kaozeadenn,kaozeadenn
225,Märchen::N,kaoz korriganez,kaoz korriganez
226,Erzählung::N,kontadenn,kontadenn
227,Nachricht::N,keloù,keloù
228,Neuigkeit::N,kelaouenn,kelaouenn
229,Name::N,anv,anv
230,Rätsel::N,divinatez,divinatez
231,Rede::N,diskour,diskour
232,Sprache::N,yezh,yezh
233,Stimme::N,mouezh,mouezh
234,Wort::N,ger,ger
235,Zeichen::N,sin,sin
236,Ruf::N,galv,galv
237,Lärm::N,trouz,trouz
238,Ton::N,ton,ton
239,Lied::N,kanaouenn,kanaouenn
240,Ruhe::N,sioulded,sioulded
241,Leute::N,tud,tud
242,Volk::N,pobl,pobl
243,Arbeit::N,labour,labour
