,Concept_ID,av,el
0,Ohr::N,гӏин,αυτί
1,Nase::N,мегӏер,μύτη
2,Mund::N,кӏал,στόμα
3,Zahn::N,гӏус,δόντι
4,Zunge::N,мацӏ,γλώσσα
5,Lippe::N,кӏветӏ,χείλος
6,Wange::N,гӏоно,παρειά
7,Wange::N,гӏоно,μάγουλο
8,Gesicht::N,гьумер,πρόσωπο
9,Stirn::N,нодо,μέτωπο
10,Haar::N,рас,μαλλιά
11,Schnurrbart::N,михъ,μουστάκι
12,Bart::N,мегеж,γένια
13,Kinn::N,нилъу,πιγούνι
14,Kiefer[Anatomie]::N,чанагъ,σαγόνι
15,Kehle::N,щекъер,λαρύγγι
16,Hals::N,габур,λαιμός
17,Genick::N,гъванща,σβέρκος
18,Kopf::N,бетӏер,κεφάλι
19,Rücken::N,мугъ,ράχη
20,Bauch::N,чехь,κοιλιά
21,Nabel::N,цӏину,αφαλός
22,Busen::N,керен,στήθος
23,Brust::N,керен,στήθος
24,Schulter::N,гъажазубетӏер,ώμος
25,Arm::N,гъеж,χέρι
26,Arm::N,гъеж,μπράτςο
27,Ellenbogen::N,гӏункӏрукь,αγκώνας
28,Hand::N,квер,χέρι
29,Handfläche::N,огъохъат,παλάμη
30,Handfläche::N,жанисахъат,παλάμη
31,Finger::N,килищ,δάχτυλο
32,Fingernagel::N,малъ,νύχι
33,Nagel[Anatomie]::N,малъ,νύχι
34,Zeh::N,килищ,δάχτυλο του ποδιού
35,Fuß::N,хӏетӏ,πόδι
36,Fuß::N,хӏетӏе,πόδι
37,Ferse::N,эгъе,φτέρνα
38,Knie::N,наку,γόνατο
39,Oberschenkel::N,мачӏ,μηρός
40,Bein::N,бох,πόδι
41,Körper::N,къаркъала,σώμα
42,Körper::N,къаркъала,κορμί
43,Haut::N,тӏом,πετσί
44,Blut::N,би,αίμα
45,Ader::N,бидурихь,φλέβα
46,Knochen::N,ракьа,οστό
47,Knochen::N,ракьа,κόκκαλο
48,Gehirn::N,гӏадалнах,μυαλό
49,Gehirn::N,гӏадалнах,εγκέφαλος
50,Herz::N,ракӏ,καρδιά
51,Magen::N,кванирукъ,στομάχι
52,Leber::N,тӏул,ήπαρ
53,Leber::N,тӏул,συκωτί
54,Atem::N,хӏухь,αναπνοή
55,Hunger::N,ракъи,πείνα
56,Träne::N,магӏу,δάκρυ
57,Geschmack::N,тату,γεύση
58,Geruch::N,махӏ,οσμή
59,Geruch::N,махӏ,μυρωδία
60,Schlaf::N,макьу,ύπνος
61,Traum::N,макьу,όνειρο
62,Himmel::N,зоб,ουρανός
63,Sonne::N,бакъ,ήλιος
64,Mond::N,моцӏ,σελήνη
65,Mond::N,моцӏ,φεγγάρι
66,Stern::N,цӏва,άστρο
67,Stern::N,цӏва,αστέρι
68,Luft::N,гьава,αέρας
69,Wind::N,гьури,αέρας
70,Wind::N,гьури,άνεμος
71,Welle::N,карачел,κύμα
72,Wasser::N,лъим,νερό
73,Stein::N,гьецӏо,πέτρα
74,Boden::N,ракь,χώμα
75,Erde::N,ракь,γη
76,Erde::N,дуниял,γη
77,Staub::N,хӏур,σκόνη
78,Rauch::N,кӏкӏуй,καπνός
79,Feuer::N,цӏа,φωτιά
80,Licht::N,канлъи,φως
81,Schatten::N,рагӏад,σκιά
82,Schatten::N,рагӏад,ίσκιος
83,Wetter::N,гьава-бакъ,καιρός
84,Nebel::N,гӏодобнакӏкӏ,ομίχλη
85,Wolke::N,накӏкӏ,σύννεφο
86,Regen::N,цӏад,βροχή
87,Schnee::N,гӏазу,χιόνι
88,Eis::N,цӏер,πάγος
89,Frost::N,замгьари,παγωνία
90,Kälte::N,квач,κρύο
91,Kälte::N,квач,ψύχος
92,Hitze::N,багӏари,ζέστη
93,Raureif::N,мартӏ,πάχνη
94,Regenbogen::N,нур,ουράνιο τόξο
95,Regenbogen::N,чамбара,ουράνιο τόξο
96,Donner::N,гъугъай,βροντή
97,Donner::N,гъугъади,βροντή
98,Strömung::N,чвахи,ρεύμα
99,Tropfen::N,резел,στάλα
100,Tropfen::N,тӏинкӏ,στάλα
101,Tropfen::N,къатӏра,στάλα
102,Tropfen::N,тӏенкӏел,στάλα
103,Schaum::N,полоп,αφρός
104,Schmutz::N,чороклъи,βρωμιά
105,See::N,хӏор,λίμνη
106,Sumpf::N,хьуцӏ,βάλτος
107,Wiese::N,мегъ,λιβάδι
108,Wiese::N,гӏурдаллъи,λιβάδι
109,Wald::N,рохь,δάσος
110,Hügel::N,гохӏ,λόφος
111,Anhöhe::N,сийитма,ύψωμα
112,Berg::N,мегӏер,όρος
113,Berg::N,мегӏер,βουνό
114,Gipfel::N,тӏогь,κορυφή
115,Höhle::N,нохъо,σπηλιά
116,Abhang::N,лабаллъи,πλαγιά
117,Quelle::N,ицц,πηγή
118,Quelle::N,ицц,βρύση
119,Bach::N,лъар,ρυάκι
120,Fluss::N,гӏор,ποτάμι
121,Fluss::N,гӏор,ποταμός
122,Ufer::N,рагӏал,όχθη
123,Küste::N,рагӏал,ακτή
124,Küste::N,рагӏал,ακρογιαλιά
125,Festland::N,ракь,στεριά
126,Festland::N,ракъдаллъи,στεριά
127,Meer::N,ралъад,θάλασσα
128,Bucht::N,кӏветӏ,κόλπος
129,Insel::N,чӏинкӏиллъи,νησί
130,Insel::N,чӏинкӏиллъи,νήσος
131,Blume::N,тӏегь,άνθος
132,Blume::N,тӏегь,λουλούδι
133,Gras::N,хер,χόρτο
134,Gras::N,хер,χορτάρι
135,Wurzel::N,кьибил,ρίζα
136,Baum::N,гъветӏ,δέντρο
137,Stamm::N,рохти,κορμός
138,Rinde::N,макъар,φλούδα
139,Ast::N,ноцӏ,κλαδί
140,Zweig::N,гӏаркьел,κλαδί
141,Zweig::N,гӏаркьел,κλάδος
142,Blatt::N,тӏамах,φύλλο
143,Birke::N,мах,σημύδα
144,Birke::N,махигъветӏ,σημύδα
145,Kiefer[Baum]::N,накӏкӏигъветӏ,πεύκο
146,Weide[Baum]::N,рицӏцӏ,ιτιά
147,Weide[Baum]::N,рицӏцӏигъветӏ,ιτιά
148,Tanne::N,ёлка,έλατο
149,Horn::N,лълъар,κέρας
150,Horn::N,лълъар,κέρατο
151,Feder::N,хӏули,φτερό
152,Fell::N,тӏом,δέρμα
153,Fell::N,тӏом,τομάρι
154,Fell::N,цӏоко,δέρμα
155,Fell::N,цӏоко,τομάρι
156,Flügel::N,кваркьи,πτερύγιο
157,Klaue::N,галъ,κουλό
158,Kralle::N,квачӏ,νύχι
159,Kralle::N,катиквачӏ,νύχι
160,Schwanz::N,рачӏ,ουρά
161,Ei::N,хоно,αβγό
162,Nest::N,бусен,φωλιά
163,Bau::N,каратӏ,φωλιά
164,Tier::N,хӏайван,ζώο
165,Herde::N,рехъен,κοπάδι
166,Herde::N,рехъед,κοπάδι
167,Kuh::N,гӏака,αγελάδα
168,Bulle::N,оц,ταύρος
169,Pferd::N,чу,άλογο
170,Schaf::N,чахъу,πρόβατο
171,Schwein::N,болъон,γουρούνι
172,Hund::N,гьой,σκυλί
173,Hund::N,гьой,σκύλος
174,Katze::N,кету,γάτα
175,Bär::N,ци,άρκτος
176,Bär::N,ци,αρκούδα
177,Eichhörnchen::N,гвангва,βερβερίτσα
178,Fuchs::N,цер,αλεπού
179,Hase::N,гӏанкӏ,λαγός
180,Maus::N,гӏункӏкӏ,ποντικός
181,Wolf::N,бацӏ,λύκος
182,Vogel::N,хӏинчӏ,πουλί
183,Schwarm::N,тӏел,σμήνος
184,Huhn::N,гӏанкӏу,κότα
185,Huhn::N,гӏанкӏу,όρνιθα
186,Hahn::N,хӏелеко,πετεινός
187,Gans::N,хъаз,χήνα
188,Adler::N,цӏум,αετός
189,Ente::N,ордек,πάπια
