,Concept_ID,ko,fi
0,Auge::N,눈,silmä
1,Ohr::N,귀,korva
2,Nase::N,코,nenä
3,Mund::N,입,suu
4,Zahn::N,이,hammas
5,Zunge::N,혀,kieli
6,Lippe::N,입술,huuli
7,Wange::N,뺨,poski
8,Gesicht::N,얼굴,naama
9,Gesicht::N,얼굴,kasvot
10,Stirn::N,이마,otsa
11,Haar::N,털,hius
12,Haar::N,털,tukka
13,Schnurrbart::N,윗수몀,viikset
14,Schnurrbart::N,코밑수염,viikset
15,Bart::N,수엄,parta
16,Kinn::N,아래턱,leuka
17,Kiefer[Anatomie]::N,턱,leukaluu
18,Kehle::N,인후,kurkku
19,Hals::N,목,kaula
20,Genick::N,먹덜이,niska
21,Kopf::N,머리,pää
22,Rücken::N,든,selkä
23,Bauch::N,배,maha
24,Bauch::N,배,vatsa
25,Nabel::N,배꼽,napa
26,Busen::N,가슴속,rinta
27,Brust::N,가슴,rinta
28,Schulter::N,어깨,olka
29,Schulter::N,어깨,hartia
30,Schulter::N,어깨,olkapää
31,Arm::N,팔,käsivarsi
32,Ellenbogen::N,팔쿰치,kyynärpää
33,Hand::N,손,käsi
34,Handfläche::N,손바닥,kämmen
35,Finger::N,속가락,sormi
36,Fingernagel::N,손톱,kynsi
37,Nagel[Anatomie]::N,손톱,kynsi
38,Zeh::N,발가락,varvas
39,Fuß::N,발,jalka
40,Ferse::N,발꿈치,kantapää
41,Knie::N,무릎,polvi
42,Oberschenkel::N,허벅다리,reisi
43,Bein::N,다리,jalka
44,Körper::N,구간,keho
45,Körper::N,구간,ruumis
46,Haut::N,살갗,iho
47,Blut::N,피,veri
48,Ader::N,정맥,suoni
49,Sehne::N,현,jänne
50,Knochen::N,뼈,luu
51,Gehirn::N,뇌,aivot
52,Gehirn::N,뇌수,aivot
53,Herz::N,염통,sydän
54,Magen::N,위,maha
55,Magen::N,위,vatsa
56,Leber::N,간,maksa
57,Atem::N,기식,henki
58,Atem::N,기식,hengitys
59,Hunger::N,공복,nälkä
60,Träne::N,눈물,kyynel
61,Geschmack::N,기호,maku
62,Geruch::N,냄새,haju
63,Schlaf::N,수면,uni
64,Traum::N,쿰,uni
65,Himmel::N,하늘,taivas
66,Sonne::N,해,aurinko
67,Mond::N,달,kuu
68,Stern::N,별,tähti
69,Luft::N,동준,ilma
70,Luft::N,가스채,ilma
71,Wind::N,바람,tuuli
72,Welle::N,물결,aalto
73,Wasser::N,물,vesi
74,Stein::N,돌,kivi
75,Boden::N,바닥,maa
76,Boden::N,바닥,maaperä
77,Erde::N,흙,maa
78,Staub::N,먼지,pöly
79,Rauch::N,연기,savu
80,Funke::N,불티,kipinä
81,Feuer::N,불,tuli
82,Licht::N,불,valo
83,Schatten::N,어스레함,varjo
84,Wetter::N,기상,sää
85,Nebel::N,안개,sumu
86,Wolke::N,구름,pilvi
87,Regen::N,비,sade
88,Schnee::N,눈,lumi
89,Eis::N,얼음,jää
90,Frost::N,혹한,halla
91,Frost::N,혹한,pakkanen
92,Kälte::N,추위,vilu
93,Kälte::N,추위,kylmyys
94,Kälte::N,차가움,vilu
95,Kälte::N,차가움,kylmyys
96,Hitze::N,고온,helle
97,Hitze::N,고온,kuumuus
98,Hitze::N,더위,helle
99,Hitze::N,더위,kuumuus
100,Regenbogen::N,무지개,sateenkaari
101,Donner::N,뇌명,jyrinä
102,Strömung::N,유동,virtaus
103,Tropfen::N,물방울,tippa
104,Tropfen::N,물방울,pisara
105,Schaum::N,포말,vaahto
106,Schmutz::N,때,loka
107,See::N,호수,järvi
