,Concept_ID,en,en
0,Auge::N,eye,eye
1,Ohr::N,ear,ear
2,Nase::N,nose,nose
3,Mund::N,mouth,mouth
4,Zahn::N,tooth,tooth
5,Zunge::N,tongue,tongue
6,Lippe::N,lip,lip
7,Wange::N,cheek,cheek
8,Gesicht::N,face,face
9,Stirn::N,forehead,forehead
10,Haar::N,hair,hair
11,Schnurrbart::N,moustache,moustache
12,Bart::N,beard,beard
13,Kinn::N,chin,chin
14,Kiefer[Anatomie]::N,jaw,jaw
15,Kehle::N,throat,throat
16,Hals::N,neck,neck
17,Genick::N,nape,nape
18,Kopf::N,head,head
19,Rücken::N,back,back
20,Rücken::N,back,spine
21,Rücken::N,spine,back
22,Rücken::N,spine,spine
23,Bauch::N,belly,belly
24,Nabel::N,navel,navel
25,Busen::N,bosom,bosom
26,Brust::N,chest,chest
27,Brust::N,chest,breast
28,Brust::N,breast,chest
29,Brust::N,breast,breast
30,Schulter::N,shoulder,shoulder
31,Arm::N,arm,arm
32,Ellenbogen::N,elbow,elbow
33,Hand::N,hand,hand
34,Handfläche::N,palm,palm
35,Finger::N,finger,finger
36,Fingernagel::N,fingernail,fingernail
37,Nagel[Anatomie]::N,nail,nail
38,Zeh::N,toe,toe
39,Fuß::N,foot,foot
40,Ferse::N,heel,heel
41,Knie::N,knee,knee
42,Oberschenkel::N,thigh,thigh
43,Bein::N,leg,leg
44,Körper::N,body,body
45,Haut::N,skin,skin
46,Blut::N,blood,blood
47,Ader::N,vein,vein
48,Sehne::N,sinew,sinew
49,Knochen::N,bone,bone
50,Gehirn::N,brain,brain
51,Herz::N,heart,heart
52,Magen::N,stomach,stomach
53,Leber::N,liver,liver
54,Atem::N,breath,breath
55,Hunger::N,hunger,hunger
56,Träne::N,tear,tear
57,Geschmack::N,flavour,flavour
58,Geschmack::N,flavour,flavor
59,Geschmack::N,flavor,flavour
60,Geschmack::N,flavor,flavor
61,Geruch::N,odour,odour
62,Geruch::N,odour,odor
63,Geruch::N,odor,odour
64,Geruch::N,odor,odor
65,Schlaf::N,sleep,sleep
66,Traum::N,dream,dream
67,Himmel::N,sky,sky
68,Sonne::N,sun,sun
69,Mond::N,moon,moon
70,Stern::N,star,star
71,Luft::N,air,air
72,Wind::N,wind,wind
73,Welle::N,wave,wave
74,Wasser::N,water,water
75,Stein::N,stone,stone
76,Boden::N,soil,soil
77,Boden::N,soil,ground
78,Boden::N,ground,soil
79,Boden::N,ground,ground
80,Erde::N,earth,earth
81,Staub::N,dust,dust
82,Rauch::N,smoke,smoke
83,Funke::N,spark,spark
84,Feuer::N,fire,fire
85,Licht::N,light,light
86,Schatten::N,shadow,shadow
87,Wetter::N,weather,weather
88,Nebel::N,fog,fog
89,Wolke::N,cloud,cloud
90,Regen::N,rain,rain
91,Schnee::N,snow,snow
92,Eis::N,ice,ice
93,Frost::N,frost,frost
94,Kälte::N,chill,chill
95,Hitze::N,heat,heat
96,Raureif::N,hoarfrost,hoarfrost
97,Regenbogen::N,rainbow,rainbow
98,Donner::N,thunder,thunder
99,Strömung::N,current,current
100,Tropfen::N,drop,drop
101,Schaum::N,foam,foam
102,Schmutz::N,dirt,dirt
103,See::N,lake,lake
104,Sumpf::N,swamp,swamp
105,Moor::N,moor,moor
106,Wiese::N,meadow,meadow
107,Wald::N,forest,forest
108,Hügel::N,hill,hill
109,Anhöhe::N,elevation,elevation
110,Berg::N,mountain,mountain
111,Gipfel::N,summit,summit
112,Höhle::N,cave,cave
113,Abhang::N,slope,slope
114,Quelle::N,source,source
115,Bach::N,brook,brook
116,Fluss::N,river,river
117,Ufer::N,shore,shore
118,Küste::N,coast,coast
119,Festland::N,land,land
120,Meer::N,sea,sea
121,Bucht::N,cove,cove
122,Insel::N,island,island
123,Blume::N,flower,flower
124,Gras::N,grass,grass
125,Wurzel::N,root,root
126,Baum::N,tree,tree
127,Stamm::N,trunk,trunk
128,Rinde::N,bark,bark
129,Ast::N,limb,limb
130,Zweig::N,branch,branch
131,Blatt::N,leaf,leaf
132,Birke::N,birch,birch
133,Kiefer[Baum]::N,pine,pine
134,Weide[Baum]::N,willow,willow
135,Tanne::N,fir,fir
136,Horn::N,horn,horn
137,Feder::N,feather,feather
138,Fell::N,fur,fur
139,Flügel::N,wing,wing
140,Klaue::N,claw,claw
141,Kralle::N,claw,claw
142,Schwanz::N,tail,tail
143,Ei::N,egg,egg
144,Nest::N,nest,nest
145,Bau::N,lair,lair
146,Tier::N,animal,animal
147,Herde::N,flock,flock
148,Kuh::N,cow,cow
149,Bulle::N,bull,bull
150,Pferd::N,horse,horse
151,Schaf::N,sheep,sheep
152,Schwein::N,pig,pig
153,Hund::N,dog,dog
154,Katze::N,cat,cat
155,Bär::N,bear,bear
156,Eichhörnchen::N,squirrel,squirrel
157,Elch::N,elk,elk
158,Fuchs::N,fox,fox
159,Hase::N,hare,hare
160,Maus::N,mouse,mouse
161,Wolf::N,wolf,wolf
162,Vogel::N,bird,bird
163,Schwarm::N,swarm,swarm
164,Huhn::N,chicken,chicken
165,Hahn::N,cock,cock
166,Gans::N,goose,goose
167,Adler::N,eagle,eagle
168,Ente::N,duck,duck
169,Eule::N,owl,owl
170,Kranich::N,crane,crane
171,Krähe::N,crow,crow
172,Kuckuck::N,cuckoo,cuckoo
173,Schwan::N,swan,swan
174,Fisch::N,fish,fish
175,Barsch::N,perch,perch
176,Hecht::N,pike,pike
177,Schlange[Tier]::N,snake,snake
178,Wurm::N,worm,worm
179,Spinne::N,spider,spider
180,Ameise::N,ant,ant
181,Laus::N,louse,louse
182,Mücke::N,midge,midge
183,Fliege::N,fly,fly
184,Schmetterling::N,butterfly,butterfly
185,Beere::N,berry,berry
186,Apfel::N,apple,apple
187,Pilz::N,mushroom,mushroom
188,Zwiebel::N,onion,onion
189,Saat::N,seed,seed
190,Korn::N,grain,grain
191,Heu::N,hay,hay
192,Schale::N,husk,husk
193,Grube::N,pit,pit
194,Falle::N,trap,trap
195,Schlinge::N,noose,noose
196,Spur::N,track,track
197,Asche::N,ashes,ashes
198,Dreck::N,filth,filth
199,Eisen::N,iron,iron
200,Gold::N,gold,gold
201,Silber::N,silver,silver
202,Kohle::N,coal,coal
203,Glas::N,glass,glass
204,Lehm::N,clay,clay
205,Sand::N,sand,sand
206,Mensch::N,human,human
207,Mann::N,man,man
208,Frau::N,woman,woman
209,Kind::N,child,child
210,Junge::N,boy,boy
211,Mädchen::N,girl,girl
212,Familie::N,family,family
213,Großvater::N,grandfather,grandfather
214,Großmutter::N,grandmother,grandmother
215,Eltern::N,parents,parents
216,Vater::N,father,father
217,Mutter::N,mother,mother
218,Sohn::N,son,son
219,Tochter::N,daughter,daughter
220,Bruder::N,brother,brother
