,Concept_ID,en,sq
0,Auge::N,eye,sy
1,Ohr::N,ear,vesh
2,Nase::N,nose,hundë
3,Mund::N,mouth,gojë
4,Zahn::N,tooth,dhëmb
5,Zunge::N,tongue,gjuhë
6,Lippe::N,lip,buzë
7,Wange::N,cheek,faqe
8,Wange::N,cheek,mollëz
9,Gesicht::N,face,fytyrë
10,Stirn::N,forehead,ballë
11,Haar::N,hair,flokë
12,Schnurrbart::N,moustache,mustaqe
13,Bart::N,beard,mjekër
14,Kinn::N,chin,mjekër
15,Kiefer[Anatomie]::N,jaw,nofull
16,Kehle::N,throat,fyt
17,Kehle::N,throat,grykë
18,Hals::N,neck,qafë
19,Genick::N,nape,arrëz
20,Kopf::N,head,kokë
21,Rücken::N,back,kurriz
22,Rücken::N,spine,kurriz
23,Bauch::N,belly,bark
24,Nabel::N,navel,kërthizë
25,Busen::N,bosom,gji
26,Brust::N,chest,gjoks
27,Brust::N,chest,kraharor
28,Brust::N,breast,gjoks
29,Brust::N,breast,kraharor
30,Schulter::N,shoulder,sup
31,Schulter::N,shoulder,krah
32,Arm::N,arm,krah
33,Ellenbogen::N,elbow,bërryl
34,Hand::N,hand,dorë
35,Handfläche::N,palm,pëllëmbë
36,Finger::N,finger,gisht
37,Fingernagel::N,fingernail,thua
38,Nagel[Anatomie]::N,nail,thua
39,Zeh::N,toe,gisht i këmbës
40,Fuß::N,foot,këmbë
41,Ferse::N,heel,thembër
42,Knie::N,knee,gju
43,Oberschenkel::N,thigh,kofshë
44,Bein::N,leg,këmbë
45,Körper::N,body,trup
46,Haut::N,skin,lëkurë
47,Blut::N,blood,gjak
48,Ader::N,vein,venë
49,Sehne::N,sinew,dell
50,Knochen::N,bone,asht
51,Knochen::N,bone,kockë
52,Gehirn::N,brain,tru
53,Herz::N,heart,zemër
54,Magen::N,stomach,stomak
55,Leber::N,liver,mëlçi
56,Atem::N,breath,frymë
57,Hunger::N,hunger,uri
58,Träne::N,tear,lot
59,Geschmack::N,flavour,shije
60,Geschmack::N,flavor,shije
61,Geruch::N,odour,erë
62,Geruch::N,odor,erë
63,Schlaf::N,sleep,gjumë
64,Traum::N,dream,ëndërr
65,Himmel::N,sky,qiell
66,Sonne::N,sun,diell
67,Mond::N,moon,hënë
68,Stern::N,star,yll
69,Luft::N,air,ajër
70,Wind::N,wind,erë
71,Welle::N,wave,valë
72,Welle::N,wave,dallgë
73,Wasser::N,water,ujë
74,Stein::N,stone,gur
75,Boden::N,soil,tokë
76,Boden::N,soil,truall
77,Boden::N,ground,tokë
78,Boden::N,ground,truall
79,Erde::N,earth,dhe
80,Erde::N,earth,baltë
81,Staub::N,dust,pluhur
82,Rauch::N,smoke,tym
83,Funke::N,spark,xixë
84,Funke::N,spark,shkëndijë
85,Feuer::N,fire,zjarr
86,Licht::N,light,dritë
87,Schatten::N,shadow,hije
88,Wetter::N,weather,mot
89,Nebel::N,fog,mjegull
90,Wolke::N,cloud,re
91,Regen::N,rain,shi
92,Schnee::N,snow,borë
93,Eis::N,ice,akull
94,Frost::N,frost,ngricë
95,Kälte::N,chill,të ftohtë
96,Hitze::N,heat,vapë
97,Hitze::N,heat,nxehtësi
98,Raureif::N,hoarfrost,cikmë
99,Regenbogen::N,rainbow,ylber
100,Donner::N,thunder,gjëmim
101,Donner::N,thunder,bubullimë
102,Strömung::N,current,rrymë
103,Tropfen::N,drop,pikë
104,Schaum::N,foam,shkumë
105,Schmutz::N,dirt,baltë
106,See::N,lake,liqen
107,Sumpf::N,swamp,batak
108,Moor::N,moor,kënetë
109,Wiese::N,meadow,livadh
110,Wald::N,forest,pyll
111,Hügel::N,hill,kodër
112,Anhöhe::N,elevation,bregore
113,Berg::N,mountain,mal
114,Gipfel::N,summit,kulm
115,Höhle::N,cave,shpellë
116,Höhle::N,cave,zgafelle
117,Abhang::N,slope,shpat
118,Abhang::N,slope,tatëpjetë
119,Quelle::N,source,krua
120,Quelle::N,source,burim
121,Bach::N,brook,virua
122,Fluss::N,river,lumë
123,Ufer::N,shore,breg
124,Küste::N,coast,anëdet
125,Küste::N,coast,bregdet
126,Festland::N,land,kontinent
127,Meer::N,sea,det
128,Bucht::N,cove,gji deti
129,Insel::N,island,ishull
130,Insel::N,island,ujdhesë
131,Blume::N,flower,lule
132,Gras::N,grass,bar
133,Wurzel::N,root,rrënjë
134,Baum::N,tree,pemë
135,Stamm::N,trunk,trung
136,Rinde::N,bark,lëvore
137,Ast::N,limb,degë
138,Zweig::N,branch,bisk
139,Blatt::N,leaf,fletë
140,Blatt::N,leaf,gjethe
141,Birke::N,birch,mështekën
142,Kiefer[Baum]::N,pine,pishë
143,Weide[Baum]::N,willow,shelg
144,Tanne::N,fir,bredh
145,Horn::N,horn,bri
146,Feder::N,feather,pupël
147,Fell::N,fur,lëkurë
148,Flügel::N,wing,krah
149,Flügel::N,wing,fletë
150,Klaue::N,claw,kthetër
151,Kralle::N,claw,thua
152,Kralle::N,claw,kthetër
153,Schwanz::N,tail,bisht
154,Ei::N,egg,vezë
155,Nest::N,nest,fole
156,Bau::N,lair,strofkë
157,Tier::N,animal,kafshë
158,Herde::N,flock,kope
159,Herde::N,flock,grigjë
160,Kuh::N,cow,lopë
161,Bulle::N,bull,dem
162,Pferd::N,horse,kalë
163,Schaf::N,sheep,dele
164,Schwein::N,pig,derr
165,Hund::N,dog,qen
166,Katze::N,cat,mace
167,Bär::N,bear,ari
168,Eichhörnchen::N,squirrel,ketër
169,Elch::N,elk,dre brilopatë
170,Fuchs::N,fox,dhelpër
171,Hase::N,hare,lepur
172,Maus::N,mouse,mi
173,Wolf::N,wolf,ujk
174,Vogel::N,bird,zog
175,Vogel::N,bird,shpend
176,Schwarm::N,swarm,luzmë
177,Huhn::N,chicken,pulë
178,Hahn::N,cock,gjel
179,Hahn::N,cock,këndes
180,Gans::N,goose,patë
181,Adler::N,eagle,shqiponjë
182,Ente::N,duck,rosë
183,Eule::N,owl,buf
184,Kranich::N,crane,lejlek
185,Kranich::N,crane,kurrillë
186,Krähe::N,crow,sorrë
187,Kuckuck::N,cuckoo,qyqe
188,Schwan::N,swan,mjellmë
189,Fisch::N,fish,peshk
190,Barsch::N,perch,purtekë
191,Hecht::N,pike,mlysh
192,Schlange[Tier]::N,snake,gjarpër
193,Wurm::N,worm,krimb
194,Spinne::N,spider,marimangë
195,Ameise::N,ant,thnegël
196,Ameise::N,ant,milingonë
197,Laus::N,louse,morr
198,Mücke::N,midge,kunup
199,Mücke::N,midge,mushkonjë
200,Fliege::N,fly,mizë
201,Schmetterling::N,butterfly,flutur
202,Beere::N,berry,frutë
203,Beere::N,berry,manaferrë
204,Apfel::N,apple,mollë
205,Pilz::N,mushroom,kërpudhë
206,Zwiebel::N,onion,qepë
207,Saat::N,seed,farë
208,Korn::N,grain,grurë
209,Korn::N,grain,kokërr
210,Heu::N,hay,sanë
211,Schale::N,husk,lëkurë
212,Grube::N,pit,gropë
213,Falle::N,trap,kurth
214,Falle::N,trap,grackë
215,Schlinge::N,noose,nyjë
216,Spur::N,track,gjurmë
217,Asche::N,ashes,hi
218,Dreck::N,filth,baltë
219,Eisen::N,iron,hekur
220,Gold::N,gold,ar
221,Gold::N,gold,flori
222,Silber::N,silver,argjend
223,Kohle::N,coal,qymyr
224,Glas::N,glass,qelq
225,Lehm::N,clay,argjilë
226,Sand::N,sand,rërë
227,Mensch::N,human,njeri
228,Mann::N,man,burrë
229,Mann::N,man,mashkull
230,Frau::N,woman,grua
231,Frau::N,woman,femër
232,Kind::N,child,kalama
233,Junge::N,boy,djalë
234,Mädchen::N,girl,gocë
235,Mädchen::N,girl,vajzë
236,Familie::N,family,familje
237,Großvater::N,grandfather,gjysh
238,Großmutter::N,grandmother,gjyshe
239,Eltern::N,parents,prindër
240,Vater::N,father,atë
241,Mutter::N,mother,nënë
242,Sohn::N,son,bir
243,Tochter::N,daughter,bijë
244,Bruder::N,brother,vëlla
245,Schwester::N,sister,motër
246,Onkel::N,uncle,dajë
247,Onkel::N,uncle,xhaxha
248,Tante::N,aunt,teze
249,Tante::N,aunt,hallë
250,Ehemann::N,husband,burrë
251,Ehemann::N,husband,bashkëshort
252,Ehefrau::N,wife,grua
253,Ehefrau::N,wife,bashkëshorte
254,Freude::N,joy,gaz
255,Freude::N,joy,gëzim
256,Gelächter::N,laughter,qeshje
257,Glück::N,happiness,lumturi
258,Kummer::N,grief,brengë
259,Kummer::N,grief,pikëllim
260,Wunsch::N,wish,dëshirë
261,Lust::N,desire,epsh
262,Lust::N,desire,dashuri
263,Geist::N,spirit,frymë
264,Geist::N,spirit,shpirt
265,Gedanke::N,thought,ide
266,Gedanke::N,thought,mendim
267,Gedächtnis::N,memory,kujtesë
268,Verstand::N,mind,mend
269,Sinn::N,meaning,kuptim
270,Grund::N,reason,arsye
271,Wahrheit::N,truth,vërtetë
272,Gespräch::N,talk,bisedim
273,Märchen::N,fairy tale,përrallë
274,Erzählung::N,story,tregim
275,Nachricht::N,message,lajm
276,Neuigkeit::N,news,risi
277,Name::N,name,emër
278,Rätsel::N,puzzle,gjëzë
279,Rätsel::N,puzzle,gjëegjëzë
280,Rede::N,speech,fjalim
281,Sprache::N,language,gjuhë
282,Stimme::N,voice,zë
283,Wort::N,word,fjalë
284,Zeichen::N,sign,shenjë
285,Ruf::N,call,thirrmë
286,Lärm::N,noise,zhurmë
287,Laut::N,sound,tingull
288,Ton::N,tone,ton
289,Lied::N,song,këngë
290,Ruhe::N,calm,qetësi
291,Leute::N,people,botë
292,Leute::N,people,njerëz
293,Volk::N,nation,popull
294,Arbeit::N,work,punë
295,Gast::N,guest,mik
296,Gast::N,guest,mysafir
297,Geschenk::N,gift,dhuratë
298,Geschenk::N,gift,peshqesh
299,Spiel::N,game,lojë
300,Gesellschaft::N,company,shoqëri
301,Hilfe::N,help,ndihmë
302,Freund::N,friend,mik
303,Kamerad::N,companion,shok
304,Angelegenheit::N,matter,punë
305,Anzahl::N,count,sasi
306,Art::N,sort,lloj
307,Stück::N,piece,copë
308,Teil::N,part,pjesë
309,Hälfte::N,half,gjysmë
310,Kreis::N,circle,qark
311,Kreis::N,circle,rreth
312,Kreuz::N,cross,kryq
313,Linie::N,line,vijë
314,Strich::N,stroke,vizë
315,Abstand::N,gap,distancë
316,Entfernung::N,distance,largim
317,Gegend::N,area,vise
318,Gegend::N,area,krahinë
319,Platz::N,space,shesh
320,Ort::N,place,vend
321,Seite::N,side,anë
322,Mitte::N,middle,mes
323,Gegenstand::N,item,send
324,Sache::N,thing,gjë
325,Sache::N,thing,send
326,Rand::N,fringe,qoshe
327,Kante::N,edge,teh
328,Ecke::N,corner,qoshe
329,Spitze::N,tip,majë
330,Ende::N,end,skaj
331,Ende::N,end,bisht
332,Loch::N,hole,vrimë
333,Winkel::N,angle,kënd
334,Muster::N,pattern,mostër
335,Größe::N,size,madhësi
336,Länge::N,length,gjatësi
337,Höhe::N,height,lartësi
338,Gewicht::N,weight,peshë
339,Menge::N,amount,sasi
340,Haufen::N,heap,grumbull
341,Reihe::N,row,radhë
342,Reihe::N,row,rresht
343,Boot::N,boat,barkë
344,Boot::N,boat,lundër
345,Ruder::N,oar,rrem
346,Schlitten::N,sleigh,sajë
347,Ski::N,ski,ski
348,Lagerfeuer::N,campfire,flakadan
349,Lagerfeuer::N,campfire,zjarr i madh
350,Last::N,load,barrë
351,Gang::N,walk,ecje
352,Schritt::N,step,hap
353,Norden::N,north,veri
354,Süden::N,south,jug
355,Westen::N,west,perëndim
356,Osten::N,east,lindje
357,Holz::N,wood,dru
358,Brett::N,board,dërrasë
359,Platte::N,slab,pllakë
360,Stütze::N,bracket,shtyllë
361,Stütze::N,bracket,mbështetesë
362,Stange::N,pole,shufër
363,Stock::N,stick,dajak
364,Stab::N,staff,shkop
365,Rohr::N,pipe,tub
366,Haus::N,house,shtëpi
367,Heim::N,home,konak
