,Concept_ID,sk,vep
0,Auge::N,oko,sil'm
1,Ohr::N,ucho,korv
2,Nase::N,nos,nena
3,Mund::N,ústa,su
4,Zahn::N,zub,pi
5,Zahn::N,zub,hambaz
6,Zunge::N,jazyk,kel'
7,Lippe::N,pera,hul'
8,Wange::N,líce,modpolišk
9,Gesicht::N,tvár,mod
10,Gesicht::N,obličaj,mod
11,Stirn::N,čelo,oc
12,Haar::N,vlas,tuk
13,Haar::N,vlas,hibuz
14,Schnurrbart::N,fúzy,habinod
15,Bart::N,brada,bard
16,Kinn::N,brada,löug
17,Kiefer[Anatomie]::N,čeľusť,hambazlu
18,Kehle::N,hrdlo,kurk
19,Hals::N,krk,kagl
20,Genick::N,väzy,tagarai
21,Kopf::N,hlava,pä
22,Rücken::N,chrbát,sel'g
23,Bauch::N,brucho,vac
24,Bauch::N,brucho,koht
25,Nabel::N,pupok,naba
26,Busen::N,prsia,niža
27,Brust::N,hruď,rind
28,Schulter::N,plece,oug
29,Arm::N,rameno,käzi
30,Ellenbogen::N,lakeť,künambruz
31,Hand::N,ruka,käzi
32,Hand::N,ruka,käzitera
33,Handfläche::N,dlaň,kämen
34,Finger::N,prst,sor'm
35,Fingernagel::N,necht,künz'
36,Nagel[Anatomie]::N,necht,künz'
37,Zeh::N,prst na nohe,barbaz
38,Fuß::N,noha,jaug
39,Ferse::N,päta,kand
40,Knie::N,koleno,komb
41,Knie::N,koleno,pol'v
42,Oberschenkel::N,stehno,riiže
43,Bein::N,noha,jaug
44,Körper::N,telo,hibj
45,Haut::N,koža,nahk
46,Blut::N,krv,čak
47,Blut::N,krv,veri
48,Ader::N,žila,son'
49,Sehne::N,šľacha,jände
50,Knochen::N,kosť,lu
51,Gehirn::N,mozog,aivod
52,Herz::N,srdce,südäin
53,Magen::N,žalúdok,südäikoht
54,Leber::N,pečeň,maks
55,Atem::N,dych,hengaiduz
56,Hunger::N,hlad,näl'g
57,Träne::N,slza,kündal'
58,Geschmack::N,chuť,magu
59,Geruch::N,pach,haju
60,Schlaf::N,spánok,uni
61,Traum::N,sen,unikuva
62,Himmel::N,nebo,taivaz
63,Sonne::N,slnko,päiväine
64,Mond::N,mesiac,kudmaine
65,Stern::N,hviezda,tähtaz
66,Luft::N,vzduch,il'm
67,Wind::N,vietor,döl
68,Wind::N,vietor,tullei
69,Welle::N,vlna,ald
70,Welle::N,vlna,laineh
71,Wasser::N,voda,vezi
72,Stein::N,kameň,kivi
73,Boden::N,zem,ma
74,Boden::N,zem,pohj
75,Boden::N,pôda,ma
76,Boden::N,pôda,pohj
77,Erde::N,zem,ma
78,Staub::N,prach,pölü
79,Rauch::N,dym,savu
80,Funke::N,iskra,kibin
81,Feuer::N,oheň,lämoi
82,Licht::N,svetlo,vauktuz
83,Schatten::N,tieň,pil'vez
84,Schatten::N,tieň,kuvahaine
85,Wetter::N,počasie,sä
86,Nebel::N,hmla,sumeg
87,Wolke::N,oblak,pil'v
88,Wolke::N,mračno,pil'v
89,Regen::N,dážď,vihm
90,Schnee::N,sneh,lumi
91,Eis::N,ľad,jä
92,Frost::N,mráz,hala
93,Frost::N,mráz,pakaine
94,Kälte::N,zima,vilu
95,Kälte::N,chlad,vilu
96,Hitze::N,horúčava,räk
97,Raureif::N,srieň,hüde
98,Raureif::N,inovať,hüde
99,Regenbogen::N,dúha,jumalanbembel'
100,Donner::N,hrom,juru
101,Donner::N,hrom,jumalanjuru
102,Strömung::N,prúdenie,joksmuz
103,Tropfen::N,kvapka,tilkuine
104,Schaum::N,pena,vaht
105,Schmutz::N,špina,redu
106,Schmutz::N,špina,pačak
107,Schmutz::N,nečistota,redu
108,Schmutz::N,nečistota,pačak
109,See::N,jazero,järv
110,Sumpf::N,bahno,so
