,Concept_ID,sq,hu
0,Auge::N,sy,szem
1,Ohr::N,vesh,fül
2,Nase::N,hundë,orr
3,Mund::N,gojë,száj
4,Zahn::N,dhëmb,fog
5,Zunge::N,gjuhë,nyelv
6,Lippe::N,buzë,ajak
7,Wange::N,faqe,orca
8,Wange::N,mollëz,orca
9,Gesicht::N,fytyrë,arc
10,Stirn::N,ballë,homlok
11,Haar::N,flokë,haj
12,Schnurrbart::N,mustaqe,bajusz
13,Bart::N,mjekër,szakáll
14,Kinn::N,mjekër,áll
15,Kiefer[Anatomie]::N,nofull,állkapocs
16,Kehle::N,fyt,gége
17,Kehle::N,fyt,torok
18,Kehle::N,grykë,gége
19,Kehle::N,grykë,torok
20,Hals::N,qafë,nyak
21,Genick::N,arrëz,tarkó
22,Kopf::N,kokë,fő
23,Kopf::N,kokë,fej
24,Rücken::N,kurriz,hát
25,Bauch::N,bark,has
26,Nabel::N,kërthizë,köldök
27,Busen::N,gji,mell
28,Busen::N,gji,kebel
29,Brust::N,gjoks,mell
30,Brust::N,kraharor,mell
31,Schulter::N,sup,váll
32,Schulter::N,krah,váll
33,Arm::N,krah,kar
34,Ellenbogen::N,bërryl,könyök
35,Hand::N,dorë,kéz
36,Handfläche::N,pëllëmbë,tenyér
37,Finger::N,gisht,ujj
38,Fingernagel::N,thua,köröm
39,Nagel[Anatomie]::N,thua,köröm
40,Zeh::N,gisht i këmbës,lábujj
41,Fuß::N,këmbë,láb
42,Ferse::N,thembër,sarok
43,Knie::N,gju,térd
44,Oberschenkel::N,kofshë,comb
45,Bein::N,këmbë,láb
46,Bein::N,këmbë,lábszár
47,Körper::N,trup,test
48,Haut::N,lëkurë,bőr
49,Blut::N,gjak,vér
50,Ader::N,venë,ér
51,Sehne::N,dell,ín
52,Knochen::N,asht,csont
53,Knochen::N,kockë,csont
54,Gehirn::N,tru,agy
55,Gehirn::N,tru,agyvelő
56,Herz::N,zemër,szív
57,Magen::N,stomak,gyomor
58,Leber::N,mëlçi,máj
59,Atem::N,frymë,lehelet
60,Atem::N,frymë,lélegzet
61,Hunger::N,uri,éhség
62,Träne::N,lot,könny
63,Geschmack::N,shije,íz
64,Geruch::N,erë,szag
65,Schlaf::N,gjumë,álom
66,Schlaf::N,gjumë,alvás
67,Traum::N,ëndërr,álom
68,Himmel::N,qiell,ég
69,Himmel::N,qiell,menny
70,Sonne::N,diell,nap
71,Mond::N,hënë,hold
72,Stern::N,yll,csillag
73,Luft::N,ajër,levegő
74,Wind::N,erë,szél
75,Welle::N,valë,hullám
76,Welle::N,dallgë,hullám
77,Wasser::N,ujë,víz
78,Stein::N,gur,kő
79,Boden::N,tokë,föld
80,Boden::N,tokë,talaj
81,Boden::N,truall,föld
82,Boden::N,truall,talaj
83,Erde::N,dhe,föld
84,Erde::N,baltë,föld
85,Staub::N,pluhur,por
86,Rauch::N,tym,füst
87,Funke::N,xixë,szikra
88,Funke::N,shkëndijë,szikra
89,Feuer::N,zjarr,tűz
90,Licht::N,dritë,fény
91,Schatten::N,hije,árnyék
92,Wetter::N,mot,idő
93,Wetter::N,mot,időjárás
94,Nebel::N,mjegull,köd
95,Wolke::N,re,felhő
96,Regen::N,shi,eső
97,Schnee::N,borë,hó
98,Eis::N,akull,jég
99,Frost::N,ngricë,fagy
100,Kälte::N,të ftohtë,hideg
101,Hitze::N,vapë,hő
102,Hitze::N,vapë,hőség
103,Hitze::N,nxehtësi,hő
104,Hitze::N,nxehtësi,hőség
105,Raureif::N,cikmë,zúzmara
106,Regenbogen::N,ylber,szivárvány
107,Donner::N,gjëmim,dörgés
108,Donner::N,gjëmim,mennydörgés
109,Donner::N,bubullimë,dörgés
110,Donner::N,bubullimë,mennydörgés
111,Strömung::N,rrymë,áramlat
112,Tropfen::N,pikë,csepp
113,Schaum::N,shkumë,hab
114,Schaum::N,shkumë,tajték
115,Schmutz::N,baltë,piszok
116,See::N,liqen,tó
117,Sumpf::N,batak,mocsár
118,Moor::N,kënetë,láp
119,Wiese::N,livadh,rét
120,Wiese::N,livadh,mező
121,Wald::N,pyll,erdő
122,Hügel::N,kodër,domb
123,Anhöhe::N,bregore,magaslat
124,Berg::N,mal,hegy
125,Gipfel::N,kulm,csúcs
126,Höhle::N,shpellë,barlang
127,Höhle::N,zgafelle,barlang
128,Abhang::N,shpat,lejtő
129,Abhang::N,tatëpjetë,lejtő
130,Quelle::N,krua,forrás
131,Quelle::N,burim,forrás
132,Bach::N,virua,patak
