,Concept_ID,sq,mrj
112,Hügel::N,kodër,пӱгӹрикӓ
113,Anhöhe::N,bregore,кӱкшикӓ
114,Berg::N,mal,кырык
115,Gipfel::N,kulm,неркӓ
116,Höhle::N,shpellë,ы́раж
117,Höhle::N,zgafelle,ы́раж
118,Abhang::N,shpat,полом
119,Abhang::N,tatëpjetë,полом
120,Quelle::N,krua,вӹдсӹнзӓ
121,Quelle::N,burim,вӹдсӹнзӓ
122,Bach::N,virua,ӓнгӹр
123,Fluss::N,lumë,вӹд
124,Ufer::N,breg,сир
125,Küste::N,anëdet,сир
126,Küste::N,bregdet,сир
127,Festland::N,kontinent,мӱлӓндӹ
128,Meer::N,det,тангыж
129,Bucht::N,gji deti,вӹдъял
130,Insel::N,ishull,острок
131,Insel::N,ujdhesë,острок
132,Blume::N,lule,пеледӹш
133,Gras::N,bar,шуды
134,Wurzel::N,rrënjë,важ
135,Baum::N,pemë,пушӓнгӹ
136,Stamm::N,trung,пушӓнгӹ тӹнг
137,Rinde::N,lëvore,каргыж
138,Ast::N,degë,укш
139,Zweig::N,bisk,укш
140,Blatt::N,fletë,листӹ
141,Blatt::N,gjethe,листӹ
142,Birke::N,mështekën,куги
143,Kiefer[Baum]::N,pishë,йӓктӹ
144,Weide[Baum]::N,shelg,уа
145,Tanne::N,bredh,кож
146,Horn::N,bri,шур
147,Feder::N,pupël,пын
148,Fell::N,lëkurë,кавашты
149,Flügel::N,krah,шылдыр
150,Flügel::N,fletë,шылдыр
151,Klaue::N,kthetër,кӹч
152,Kralle::N,thua,лапа
153,Kralle::N,kthetër,лапа
154,Schwanz::N,bisht,пач
155,Ei::N,vezë,мыны
156,Nest::N,fole,пӹжӓш
157,Bau::N,strofkë,ыраж
158,Tier::N,kafshë,во́льык
159,Herde::N,kope,кӹтö
160,Herde::N,grigjë,кӹтö
161,Kuh::N,lopë,ышкал
162,Bulle::N,dem,ӱшкӱж
163,Pferd::N,kalë,имни
164,Schaf::N,dele,шарык
165,Schwein::N,derr,сасна
166,Hund::N,qen,пи
167,Katze::N,mace,коти
168,Bär::N,ari,мöскӓ
169,Eichhörnchen::N,ketër,ур
170,Elch::N,dre brilopatë,шарды
171,Fuchs::N,dhelpër,рӹвӹж
172,Hase::N,lepur,морен
173,Maus::N,mi,каля
174,Wolf::N,ujk,пирӹ
175,Vogel::N,zog,кек
176,Vogel::N,shpend,кек
177,Schwarm::N,luzmë,цуца
178,Huhn::N,pulë,цӹвӹ
179,Hahn::N,gjel,ӓптӓн
180,Hahn::N,këndes,ӓптӓн
181,Gans::N,patë,комбы
