,Concept_ID,pt,ta
0,Auge::N,olho,கண்
1,Ohr::N,orelha,காது
2,Nase::N,nariz,மூக்கு
3,Mund::N,boca,வாய்
4,Zahn::N,dente,பல்
5,Zunge::N,língua,நாக்கு
6,Lippe::N,lábio,உதடு
7,Wange::N,face,கன்னம்
8,Gesicht::N,cara,முகம்
9,Gesicht::N,rosto,முகம்
10,Stirn::N,testa,முன்னெற்றி
11,Haar::N,cabelo,முடி
12,Schnurrbart::N,bigode,மீசை
13,Bart::N,barba,தாடி
14,Kinn::N,queixo,கீழதாடை
15,Kiefer[Anatomie]::N,maxila,தாடை
16,Kiefer[Anatomie]::N,mandíbula,தாடை
17,Kehle::N,garganta,தொண்டை
18,Hals::N,colo,கழுத்து
19,Hals::N,pescoço,கழுத்து
20,Genick::N,nuca,கழுத்து
21,Kopf::N,cabeça,தலை
22,Rücken::N,dorso,முதுகு
23,Rücken::N,costas,முதுகு
24,Bauch::N,ventre,வயிறு
25,Bauch::N,barriga,வயிறு
26,Nabel::N,umbigo,தொப்புள்
27,Busen::N,seio,மார்பகம்
28,Brust::N,peito, மார்பு
29,Schulter::N,ombro,தோள்பட்டை
30,Arm::N,braço,கரம்
31,Ellenbogen::N,cotovelo,முழங்கை
32,Hand::N,mão,கை
33,Handfläche::N,palma,உள்ளங்கை
34,Handfläche::N,palma da mão,உள்ளங்கை
35,Finger::N,dedo,விரல்
36,Fingernagel::N,unha,விரல் நகம்
37,Nagel[Anatomie]::N,unha,நகம்
38,Zeh::N,dedo do pé,கால்விரல்
39,Fuß::N,pé,கால்
40,Ferse::N,calcanhar,குதிகால்
41,Knie::N,joelho,முழங்கால்
42,Oberschenkel::N,coxa,தொடை
43,Bein::N,perna,கால்
44,Körper::N,corpo,உடல்
45,Haut::N,pele,சருமம்
46,Blut::N,sangue,இரத்தம்
47,Ader::N,veia,நாளம்
48,Sehne::N,tendão,தசைநார்
49,Knochen::N,osso,எலுமபு
50,Gehirn::N,cérebro,மூனை
51,Herz::N,coração,இதயம
52,Magen::N,estômago,வயிறு
53,Leber::N,fígado,கல்லீரல்
54,Atem::N,fôlego,மூச்சு
55,Hunger::N,fome,பசி
56,Träne::N,lágrima,கண்ணீர்
57,Geschmack::N,gosto,நறுமணம்
58,Geruch::N,odor,துர்நாற்றம்
59,Geruch::N,cheiro,துர்நாற்றம்
60,Schlaf::N,sono,தூக்கம்
61,Traum::N,sonho,கனவு
62,Himmel::N,céu,வானம்
63,Sonne::N,sol,சூரியன்
64,Mond::N,lua,சந்திரன்
65,Stern::N,estrela,நட்சத்திரம்
66,Luft::N,ar,காறறு
67,Wind::N,vento,காற்று
68,Welle::N,onda,அலை
69,Wasser::N,água,நீர்
70,Stein::N,pedra,கல்
71,Boden::N,solo,தரை
72,Erde::N,terra,மண்
73,Staub::N,pó,தூசி
74,Rauch::N,fumo,புகை
75,Funke::N,faísca,தீப்பொறி
76,Funke::N,centelha,தீப்பொறி
77,Feuer::N,fogo,தீ
78,Licht::N,luz,வெளிச்சம்
79,Schatten::N,sombra,நிழல்
80,Wetter::N,tempo,வானிலை
81,Nebel::N,nevoeiro,பனிமூட்டம்
82,Wolke::N,nuvem,மேகம்
83,Regen::N,chuva,மழை
