,Concept_ID,ta,hi
0,Auge::N,கண்,आँख
1,Auge::N,கண்,चक्षु
2,Ohr::N,காது,कान
3,Ohr::N,காது,कर्ण
4,Nase::N,மூக்கு,नाक
5,Nase::N,மூக்கு,नासा
6,Mund::N,வாய்,मुख
7,Mund::N,வாய்,मुँह
8,Zahn::N,பல்,दंत
9,Zahn::N,பல்,दाँत
10,Zunge::N,நாக்கு,जीभ
11,Zunge::N,நாக்கு,ज़बान
12,Zunge::N,நாக்கு,जिह्वा
13,Lippe::N,உதடு,ओंठ
14,Lippe::N,உதடு,होंठ
15,Wange::N,கன்னம்,गाल
16,Wange::N,கன்னம்,कपोल
17,Gesicht::N,முகம்,मुँह
18,Gesicht::N,முகம்,चेहरा
19,Stirn::N,முன்னெற்றி,माथा
20,Stirn::N,முன்னெற்றி,मस्तक
21,Haar::N,முடி,बाल
22,Schnurrbart::N,மீசை,मूँछें
23,Bart::N,தாடி,दाढ़ी
24,Kinn::N,கீழதாடை,चिबुक
25,Kiefer[Anatomie]::N,தாடை,जबड़ा
26,Kehle::N,தொண்டை,गला
27,Hals::N,கழுத்து,गला
28,Hals::N,கழுத்து,गरदन
29,Genick::N,கழுத்து,गरदन
30,Genick::N,கழுத்து,ग्रीवा
31,Kopf::N,தலை,सिर
32,Kopf::N,தலை,शीर्ष
33,Rücken::N,முதுகு,पीठ
34,Bauch::N,வயிறு,उदर
35,Nabel::N,தொப்புள்,नाभि
36,Nabel::N,தொப்புள்,ढोंढी
37,Busen::N,மார்பகம்,कुच
38,Busen::N,மார்பகம்,स्तन
39,Brust::N, மார்பு,वक्ष
40,Schulter::N,தோள்பட்டை,कंधा
41,Schulter::N,தோள்பட்டை,स्कंध
42,Arm::N,கரம்,बाँह
43,Arm::N,கரம்,बाज़ू
44,Ellenbogen::N,முழங்கை,कुहनी
45,Hand::N,கை,हाथ
46,Hand::N,கை,हस्त
47,Handfläche::N,உள்ளங்கை,हथेली
48,Finger::N,விரல்,उँगली
49,Finger::N,விரல்,अँगुली
50,Fingernagel::N,விரல் நகம்,नख
51,Fingernagel::N,விரல் நகம்,नाख़ून
52,Nagel[Anatomie]::N,நகம்,नख
53,Nagel[Anatomie]::N,நகம்,नाख़ून
54,Zeh::N,கால்விரல்,उँगली
55,Zeh::N,கால்விரல்,पाँव की उँगली
56,Fuß::N,கால்,चरण
57,Fuß::N,கால்,पाँव
58,Ferse::N,குதிகால்,एड़ी
59,Knie::N,முழங்கால்,जानु
60,Knie::N,முழங்கால்,घुटना
61,Oberschenkel::N,தொடை,उरु
62,Bein::N,கால்,टाँग
63,Körper::N,உடல்,तन
64,Körper::N,உடல்,देह
65,Körper::N,உடல்,शरीर
66,Haut::N,சருமம்,चर्म
67,Haut::N,சருமம்,त्वचा
68,Blut::N,இரத்தம்,लहू
69,Blut::N,இரத்தம்,ख़ून
70,Ader::N,நாளம்,रग
71,Ader::N,நாளம்,शिरा
72,Sehne::N,தசைநார்,कंडरा
73,Sehne::N,தசைநார்,स्नायु
74,Knochen::N,எலுமபு,अस्थि
75,Gehirn::N,மூனை,दिमाग़
76,Gehirn::N,மூனை,मस्तिष्क
77,Herz::N,இதயம,दिल
78,Herz::N,இதயம,हृदय
79,Magen::N,வயிறு,मेदा
80,Magen::N,வயிறு,अमाशय
81,Leber::N,கல்லீரல்,जिगर
82,Leber::N,கல்லீரல்,यकृत्
83,Atem::N,மூச்சு,दम
84,Atem::N,மூச்சு,साँस
85,Atem::N,மூச்சு,श्वास
86,Hunger::N,பசி,भूख
87,Hunger::N,பசி,क्षुधा
88,Träne::N,கண்ணீர்,आँसू
89,Träne::N,கண்ணீர்,अश्रु
90,Geschmack::N,நறுமணம்,स्वाद
91,Geschmack::N,நறுமணம்,ज़ायक़ा
92,Geruch::N,துர்நாற்றம்,बू
93,Geruch::N,துர்நாற்றம்,गंध
94,Schlaf::N,தூக்கம்,नींद
95,Schlaf::N,தூக்கம்,निद्रा
96,Traum::N,கனவு,सपना
97,Traum::N,கனவு,स्वप्न
98,Himmel::N,வானம்,आकाश
99,Himmel::N,வானம்,आसमान
100,Sonne::N,சூரியன்,रवि
101,Sonne::N,சூரியன்,सूरज
102,Sonne::N,சூரியன்,सूर्य
103,Mond::N,சந்திரன்,चाँद
104,Mond::N,சந்திரன்,चंद्र
105,Stern::N,நட்சத்திரம்,तारा
106,Stern::N,நட்சத்திரம்,सितारा
107,Luft::N,காறறு,हवा
108,Luft::N,காறறு,वायु
109,Wind::N,காற்று,पाद
110,Welle::N,அலை,लहर
111,Welle::N,அலை,तरंग
112,Wasser::N,நீர்,जल
113,Wasser::N,நீர்,पानी
114,Stein::N,கல்,पत्थर
115,Boden::N,தரை,मिट्टी
116,Erde::N,மண்,भूमि
117,Erde::N,மண்,ज़मीन
118,Staub::N,தூசி,धूल
119,Rauch::N,புகை,धूआँ
120,Rauch::N,புகை,धुम्र
121,Funke::N,தீப்பொறி,चिनगारी
122,Funke::N,தீப்பொறி,स्फुलिंग
123,Feuer::N,தீ,आग
124,Feuer::N,தீ,आतिश
125,Feuer::N,தீ,अग्नि
126,Licht::N,வெளிச்சம்,रोशनी
127,Licht::N,வெளிச்சம்,प्रकाश
128,Schatten::N,நிழல்,छाया
129,Schatten::N,நிழல்,परछाई
130,Wetter::N,வானிலை,ऋतु
131,Wetter::N,வானிலை,मौसम
132,Nebel::N,பனிமூட்டம்,धुँध
133,Nebel::N,பனிமூட்டம்,कुहरा
134,Wolke::N,மேகம்,मेघ
135,Wolke::N,மேகம்,अभ्र
136,Regen::N,மழை,मेंह
137,Regen::N,மழை,बारिश
138,Schnee::N,உறைபனி,हिम
139,Schnee::N,உறைபனி,बर्फ़
140,Eis::N,பனிக்கட்டி,हिम
141,Eis::N,பனிக்கட்டி,बर्फ़
142,Frost::N,உறைபனி,ठंड
143,Kälte::N,குளிர்ந்த,सर्दी
144,Kälte::N,குளிர்ந்த,शीतलता
145,Hitze::N,சூடு,ताप
146,Hitze::N,சூடு,गरमी
147,Raureif::N,உறைபனி வெண்திரை,पाला
148,Regenbogen::N,வானவில்,इंद्र-धनुष
149,Donner::N,இடி,गरज
150,Donner::N,இடி,मेघ-गर्जन
151,Strömung::N,நீரோட்டம்,बहाव
152,Strömung::N,நீரோட்டம்,प्रवाह
153,Tropfen::N,துளி,बूँद
154,Schaum::N,நுரை,झाग
155,Schmutz::N,அழுக்கு,गंद
156,Schmutz::N,அழுக்கு,कीचड़
157,See::N,ஏரி,झील
158,See::N,ஏரி,सरोवर
159,Sumpf::N,சதுப்பு நிலம்,दलदल
160,Sumpf::N,சதுப்பு நிலம்,धँसान
161,Moor::N,முட்புதற்காடு,झाबर
162,Moor::N,முட்புதற்காடு,धँसान
163,Wiese::N,பசும் புல்தரை,घास-स्थल
164,Wald::N,காடு,जंगल
165,Hügel::N,குன்று,टीला
166,Hügel::N,குன்று,पहाड़
167,Anhöhe::N,பதுக்கை,टीला
168,Anhöhe::N,பதுக்கை,पहाड़ी
169,Berg::N,மலை,पहाड़
170,Gipfel::N,உச்சி மாநாடு,शिखर
171,Höhle::N,குகை,गुहा
172,Höhle::N,குகை,गुफ़ा
173,Abhang::N,சரிவு,ढाल
174,Abhang::N,சரிவு,ढलान
175,Quelle::N,மூலம்,चश्मा
176,Bach::N,ஓடை,सोता
177,Bach::N,ஓடை,नदिका
178,Fluss::N,ஆறு,नदी
179,Fluss::N,ஆறு,सरिता
180,Ufer::N,நீர்க்கரை,तट
181,Ufer::N,நீர்க்கரை,किनारा
182,Küste::N,கடற்கரை,समुद्र-तट
183,Festland::N,நிலம்,महाद्वीप
184,Meer::N,கடல்,सागर
185,Meer::N,கடல்,समुद्र
186,Bucht::N,சிறுகுடா,खाड़ी
187,Insel::N,தீவு,टापू
188,Insel::N,தீவு,द्वीप
189,Blume::N,பூ,फूल
190,Blume::N,பூ,पुष्प
191,Gras::N,புல்தரை,घास
192,Wurzel::N,வேர்,मूल
193,Baum::N,மரம்,पेड़
194,Baum::N,மரம்,वृक्ष
195,Stamm::N,அடிமரம்,धड़
196,Rinde::N,பட்டை,छाल
197,Rinde::N,பட்டை,वल्कल
198,Rinde::N,மரப்பட்டை,छाल
199,Rinde::N,மரப்பட்டை,वल्कल
200,Ast::N,கினை,डाल
201,Ast::N,கினை,शाखा
202,Zweig::N,குச்சி,टहनी
203,Blatt::N,இலை,पत्र
204,Blatt::N,இலை,पत्ता
205,Birke::N,பிர்ச் மரம்,भूर्ज
206,Kiefer[Baum]::N,தேவதாரு மரம்,पाइन-वृक्ष
207,Weide[Baum]::N,மர வகைகளுள் ஒன்று,बेंत
208,Tanne::N,சாதிக்கய்,फ़र
209,Horn::N,கொம்பு,सींग
210,Horn::N,கொம்பு,विषाण
211,Feder::N,இறகு,पर
212,Feder::N,இறகு,पंख
213,Fell::N,மென்முடி,खाल
214,Fell::N,மென்முடி,पशु-चर्म
215,Flügel::N,இறக்கை,पंख
216,Flügel::N,இறக்கை,डैना
217,Klaue::N,நகம்,पंजा
218,Kralle::N,நகம்,पंजा
219,Kralle::N,நகம்,नाख़ून
220,Schwanz::N,வால்,पूँछ
221,Ei::N,முட்டை,अंडा
222,Nest::N,கூடு,नीड़
223,Nest::N,கூடு,घोंसला
224,Bau::N,குகை,बिल
225,Bau::N,குகை,माँद
226,Tier::N,விலங்கு,पशु
227,Tier::N,விலங்கு,जानवर
228,Herde::N,கூட்டம்,गल्ला
229,Kuh::N,பசு,गौ
230,Kuh::N,பசு,गाय
231,Bulle::N,காளை,साँड़
232,Pferd::N,குதிரை,अश्व
233,Pferd::N,குதிரை,घोड़ा
234,Schaf::N,செம்மறிஆடு,भेड़
235,Schwein::N,பன்றி,शूकर
236,Hund::N,நாய்,श्वान
237,Hund::N,நாய்,कुत्ता
