,Concept_ID,udm,ku
0,Auge::N,син,çav
1,Ohr::N,пель,guh
2,Nase::N,ныр,bêvil
3,Mund::N,ым,dev
4,Zahn::N,пинь,didan
5,Zunge::N,кыл,ziman
6,Lippe::N,ымдур,lêv
7,Wange::N,бам,dêm
8,Wange::N,бам,hinarik
9,Gesicht::N,ымныр,rû
10,Stirn::N,кымес,enî
11,Haar::N,йырси,por
12,Schnurrbart::N,мыйык,simbêl
13,Bart::N,туш,rih
14,Kinn::N,ангес,zenî
15,Kiefer[Anatomie]::N,ан,arguşk
16,Kiefer[Anatomie]::N,анлы,arguşk
17,Kehle::N,гульым,qirik
18,Hals::N,чырты,stû
19,Hals::N,чырты,qirik
20,Genick::N,йырбер,stû
21,Kopf::N,йыр,serî
22,Rücken::N,мыш,pişt
23,Bauch::N,кӧт,ûr
24,Bauch::N,кӧт,zik
25,Nabel::N,гогы,navik
26,Busen::N,ноны,sîng
27,Brust::N,мӧля,sîng
28,Schulter::N,пельпум,mil
29,Arm::N,суй,çepil
30,Ellenbogen::N,гырпум,enîşk
31,Hand::N,ки,dest
32,Handfläche::N,ки пыдэс,kefadest
33,Handfläche::N,кырым пыдэс,kefadest
34,Finger::N,чиньы,tilî
35,Fingernagel::N,гижы,neynuk
36,Fingernagel::N,гиждӥнь,neynuk
37,Nagel[Anatomie]::N,гижы,bizmar
38,Zeh::N,пыдчиньы,tilî linga
39,Fuß::N,пыд,ling
40,Ferse::N,пыдбер,pahnî
41,Knie::N,пыдес,kabok
42,Oberschenkel::N,макес,rahn
43,Bein::N,пыд,çip
44,Körper::N,мугор,laş
45,Körper::N,мугор,gowde
46,Körper::N,вылтыр,laş
47,Körper::N,вылтыр,gowde
48,Haut::N,ку,çerm
49,Blut::N,вир,xwîn
50,Ader::N,вирсэр,reh
51,Sehne::N,вуж,reh
52,Knochen::N,лы,hestî
53,Gehirn::N,вим,mêjî
54,Herz::N,сюлэм,dil
55,Magen::N,ӝуш,navêş
56,Leber::N,мус,kezeb
57,Atem::N,лул,hilm
58,Atem::N,шокан,hilm
59,Hunger::N,кӧтсюман,birçîtî
60,Träne::N,синкыли,hêstir
61,Geschmack::N,шӧм,tam
62,Geruch::N,зын,bêhn
63,Schlaf::N,вӧт,xew
64,Traum::N,уйвӧт,xewn
65,Himmel::N,ин,ezman
66,Sonne::N,шунды,roj
67,Mond::N,толэзь,heyv
68,Stern::N,кизили,stêrk
69,Luft::N,омыр,ba
70,Wind::N,тӧл,ba
71,Welle::N,тулкым,şewl
72,Wasser::N,ву,av
73,Stein::N,из,kevir
74,Boden::N,музъем,herd
