,Concept_ID,ar,is
0,Auge::N,عين,auga
1,Ohr::N,أذن,eyra
2,Nase::N,أنف,nef
3,Mund::N,فم,munnur
4,Zahn::N,سن,tönn
5,Zunge::N,لسان,tunga
6,Lippe::N,شفة,vör
7,Wange::N,خد,kinn
8,Wange::N,خد,vangi
9,Wange::N,وجنة,kinn
10,Wange::N,وجنة,vangi
11,Gesicht::N,وجه,andlit
12,Stirn::N,جبين,enni
13,Haar::N,شعر,hár
14,Schnurrbart::N,شارب,yfirskegg
15,Bart::N,لحية,skegg
16,Kinn::N,ذقن,haka
17,Kiefer[Anatomie]::N,فك,kjálki
18,Kiefer[Anatomie]::N,فك,skoltur
19,Kehle::N,حلق,kverk
20,Hals::N,عنق,háls
21,Hals::N,رقبة,háls
22,Genick::N,قفا,hnakki
23,Kopf::N,رأس,höfuð
24,Rücken::N,ظهر,hryggur
25,Bauch::N,بطن,kviður
26,Nabel::N,سرة,nafli
27,Busen::N,ثدي,barmur
28,Brust::N,صدر,brjóst
29,Schulter::N,كتف,öxl
30,Arm::N,ذراع,armur
31,Ellenbogen::N,كوع,olnbogi
32,Hand::N,يد,hönd
33,Handfläche::N,كف,lófi
34,Finger::N,إصبع,fingur
35,Fingernagel::N,ظفر,fingurnögl
36,Nagel[Anatomie]::N,ظفر,nögl
37,Zeh::N,إصبع القدم,tá
38,Fuß::N,قدم,fótur
39,Ferse::N,كعب,hæll
40,Knie::N,ركبة,kné
41,Oberschenkel::N,فخذ,læri
42,Bein::N,ساق,fótleggur
43,Körper::N,جسم,búkur
44,Körper::N,جسم,líkami
45,Haut::N,بشرة,húð
46,Haut::N,بشرة,skinn
47,Blut::N,دم,blóð
48,Ader::N,عرق,æð
49,Sehne::N,طنب,sin
50,Knochen::N,عظم,bein
51,Gehirn::N,دماغ,heili
52,Herz::N,قلب,hjarta
53,Magen::N,معدة,magi
54,Leber::N,كبد,lifur
55,Atem::N,نفس,andi
56,Atem::N,نفس,andardráttur
57,Hunger::N,جوع,hungur
58,Träne::N,دمعة,tár
59,Geschmack::N,طعم,smekkur
60,Geschmack::N,مذاق,smekkur
61,Geruch::N,رائحة,lykt
62,Schlaf::N,نوم,svefn
63,Schlaf::N,منام,svefn
64,Traum::N,حلم,draumur
65,Himmel::N,سماء,himinn
66,Sonne::N,شمس,sól
67,Mond::N,قمر,tungl
68,Stern::N,نجم,stjarna
69,Stern::N,كوكب,stjarna
70,Luft::N,هواء,loft
