,Concept_ID,ru,et
0,Auge::N,глаз,silm
1,Ohr::N,ухо,kõrv
2,Nase::N,нос,nina
3,Mund::N,рот,suu
4,Zahn::N,зуб,hammas
5,Zunge::N,язык,keel
6,Lippe::N,губа,huul
7,Wange::N,щека,põsk
8,Gesicht::N,лицо,nägu
9,Stirn::N,лоб,otsmik
10,Haar::N,волос,juus
11,Haar::N,волосы,juus
12,Schnurrbart::N,ус,vurrud
13,Schnurrbart::N,ус,vuntsid
14,Schnurrbart::N,усы,vurrud
15,Schnurrbart::N,усы,vuntsid
16,Bart::N,борода,habe
17,Kinn::N,подбородок,lõug
18,Kiefer[Anatomie]::N,челюсть,lõualuu
19,Kehle::N,горло,kõri
20,Hals::N,шея,kael
21,Genick::N,затылок,kukal
22,Kopf::N,голова,pea
23,Rücken::N,спина,selg
24,Bauch::N,живот,kõht
25,Nabel::N,пупок,naba
26,Busen::N,женская грудь,rind
27,Brust::N,грудь,rind
28,Schulter::N,плечо,õlg
29,Arm::N,рука,käsivars
30,Ellenbogen::N,локоть,küünarnukk
31,Hand::N,кисть,käsi
32,Handfläche::N,ладонь,pihk
33,Finger::N,палец,sõrm
34,Fingernagel::N,ноготь,küüs
35,Nagel[Anatomie]::N,ноготь,küüs
36,Zeh::N,палец,varvas
37,Fuß::N,ступня,jalg
38,Ferse::N,пята,kand
39,Ferse::N,пятка,kand
40,Knie::N,колено,põlv
41,Oberschenkel::N,бедро,reis
42,Bein::N,нога,jalg
43,Körper::N,тело,ihu
44,Körper::N,тело,keha
45,Haut::N,кожа,nahk
46,Blut::N,кровь,veri
47,Ader::N,вена,veen
48,Ader::N,сосуд,veen
49,Sehne::N,жила,kõõlus
50,Sehne::N,тетива,kõõlus
51,Sehne::N,сухожилие,kõõlus
52,Knochen::N,кость,luu
53,Gehirn::N,мозг,aju
54,Herz::N,сердце,süda
55,Magen::N,желудок,magu
56,Leber::N,печень,maks
57,Atem::N,дух,hingeõhk
58,Atem::N,дух,hingamine
59,Atem::N,дыхание,hingeõhk
60,Atem::N,дыхание,hingamine
61,Hunger::N,голод,nälg
62,Träne::N,слеза,pisar
63,Geschmack::N,вкус,maitse
64,Geruch::N,запах,lõhn
65,Schlaf::N,сон,uni
66,Traum::N,сновидение,unenägu
67,Himmel::N,небо,taevas
68,Sonne::N,солнце,päike
69,Mond::N,луна,kuu
70,Stern::N,звезда,täht
71,Luft::N,воздух,õhk
72,Wind::N,ветер,tuul
73,Welle::N,волна,laine
74,Wasser::N,вода,vesi
75,Stein::N,камень,kivi
76,Boden::N,почва,maa
77,Boden::N,почва,pinnas
78,Erde::N,земля,maa
79,Staub::N,пыль,põrm
80,Rauch::N,дым,suits
81,Funke::N,искра,säde
82,Feuer::N,огонь,tuli
83,Licht::N,свет,valgus
84,Schatten::N,тень,vari
85,Wetter::N,погода,ilm
86,Nebel::N,туман,udu
87,Wolke::N,облако,pilv
88,Regen::N,дождь,sadu
89,Schnee::N,снег,lumi
90,Eis::N,лед,jää
91,Frost::N,мороз,pakane
92,Kälte::N,холод,külm
93,Kälte::N,холод,külmus
94,Hitze::N,жара,kuumus
95,Hitze::N,жара,palavus
96,Raureif::N,иней,härmatis
97,Regenbogen::N,радуга,vikerkaar
98,Donner::N,гром,kõu
99,Donner::N,гром,müristamine
100,Strömung::N,течение,voolus
101,Strömung::N,течение,jõevool
102,Tropfen::N,капля,tilk
103,Schaum::N,пена,vaht
104,Schmutz::N,грязь,pori
105,Schmutz::N,грязь,mustus
106,See::N,озеро,järv
107,Sumpf::N,топь,soo
108,Moor::N,болото,raba
109,Wiese::N,луг,aas
110,Wiese::N,луг,nurm
111,Wald::N,лес,mets
112,Hügel::N,холм,küngas
113,Anhöhe::N,возвышенность,küngas
114,Berg::N,гора,mägi
115,Gipfel::N,вершина,mäetipp
116,Höhle::N,пещера,koobas
117,Abhang::N,склон,nõlvak
118,Quelle::N,источник,allikas
119,Bach::N,ручей,oja
120,Fluss::N,река,jõgi
121,Ufer::N,берег,kallas
122,Küste::N,побережье,rannik
123,Festland::N,суша,mander
124,Festland::N,суша,maismaa
125,Meer::N,море,meri
126,Bucht::N,бухта,laht
127,Insel::N,остров,saar
128,Blume::N,цветок,lill
129,Gras::N,трава,rohi
130,Wurzel::N,корень,juur
131,Baum::N,дерево,puu
132,Stamm::N,ствол,tüvi
133,Rinde::N,кора,koor
134,Ast::N,сук,oks
135,Zweig::N,ветвь,oks
136,Blatt::N,лист,leht
137,Birke::N,береза,kask
138,Kiefer[Baum]::N,сосна,mänd
139,Weide[Baum]::N,ива,paju
140,Tanne::N,ель,nulg
141,Horn::N,рог,sarv
142,Feder::N,перо,sulg
143,Fell::N,шкура,karvkate
144,Fell::N,шкура,karusnahk
145,Flügel::N,крыло,tiib
146,Flügel::N,крыло,tiivik
147,Klaue::N,коготь,küüs
148,Kralle::N,лапа,küünis
149,Schwanz::N,хвост,saba
150,Ei::N,яйцо,muna
151,Nest::N,гнездо,pesa
152,Bau::N,нора,urg
153,Tier::N,животное,loom
154,Herde::N,стадо,kari
155,Kuh::N,корова,lehm
156,Bulle::N,бык,pull
157,Pferd::N,лошадь,hobune
158,Schaf::N,овца,lammas
159,Schwein::N,свинья,siga
160,Hund::N,собака,koer
161,Katze::N,кошка,kass
162,Bär::N,медведь,karu
163,Eichhörnchen::N,белка,orav
164,Elch::N,лось,põder
165,Fuchs::N,лиса,rebane
166,Hase::N,заяц,jänes
167,Maus::N,мышь,hiir
168,Wolf::N,волк,hunt
169,Vogel::N,птица,lind
170,Schwarm::N,стая,parv
171,Huhn::N,курица,kana
172,Hahn::N,петух,kukk
173,Gans::N,гусь,hani
174,Adler::N,орел,kotkas
175,Ente::N,утка,part
176,Eule::N,сова,kakk
177,Eule::N,сова,öökull
178,Kranich::N,журавль,kurg
179,Krähe::N,ворона,vares
180,Kuckuck::N,кукушка,kägu
181,Schwan::N,лебедь,luik
182,Fisch::N,рыба,kala
183,Barsch::N,окунь,ahven
184,Hecht::N,щука,haug
185,Schlange[Tier]::N,змея,uss
186,Wurm::N,червяк,uss
187,Wurm::N,червяк,vagel
188,Spinne::N,паук,ämblik
189,Ameise::N,муравей,sipelgas
190,Laus::N,вошь,täi
191,Mücke::N,комар,sääsk
192,Fliege::N,муха,kärbes
193,Schmetterling::N,бабочка,liblikas
194,Beere::N,ягода,mari
195,Apfel::N,яблоко,õun
196,Pilz::N,гриб,seen
197,Zwiebel::N,луковица,sibul
198,Saat::N,семя,seeme
199,Korn::N,зерно,iva
