,Concept_ID,myv,ps
0,Auge::N,сельме,سترګه
1,Ohr::N,пиле,غوږ
2,Nase::N,судо,پوزه
3,Mund::N,курго,خوله
4,Zahn::N,пей,غاښ
5,Zunge::N,кель,جبه
6,Lippe::N,турва,شونډه
7,Wange::N,чамабока,باړخو
8,Wange::N,чамаумарь,باړخو
9,Gesicht::N,чама,مخ
10,Stirn::N,коня,تندی
11,Stirn::N,коня,وچولی
12,Haar::N,черь,وېښته
13,Schnurrbart::N,ус,برېت
14,Schnurrbart::N,муюк,برېت
15,Bart::N,сакал,ږیره
16,Kinn::N,уло,زنه
17,Kiefer[Anatomie]::N,пейпакар,جامه
18,Kiefer[Anatomie]::N,пейловажа,جامه
19,Kehle::N,кирьгапарь,غاړه
20,Hals::N,кирьга,غاړه
21,Genick::N,човонь,ورمېږ
22,Kopf::N,пря,سر
23,Rücken::N,копорь,شا
24,Bauch::N,пеке,نس
25,Bauch::N,пеке,ګېډه
26,Nabel::N,почо,نوم
27,Busen::N,поте,تی
28,Brust::N,меште,سینه
29,Schulter::N,лавтов,اوږه
30,Arm::N,кедь,لاس
31,Ellenbogen::N,кенерепакарь,څنګل
32,Hand::N,кедь,لاس
33,Handfläche::N,кедькуншка,ورغوی
34,Handfläche::N,кедьлапушка,ورغوی
35,Finger::N,сур,ګوته
36,Fingernagel::N,кенже,نوک
37,Nagel[Anatomie]::N,кенже,نوک
38,Zeh::N,пильге сур,ګوته
39,Fuß::N,пильге,پښه
40,Ferse::N,кочкаря,پونده
41,Knie::N,эле,زنګون
42,Knie::N,эзне,زنګون
43,Knie::N,кумажа,زنګون
44,Oberschenkel::N,качо,پتون
45,Bein::N,пильге,پښه
46,Körper::N,рунго,ځان
47,Haut::N,киське,پوټکی
48,Blut::N,верь,وینه
49,Ader::N,сан,رګ
50,Sehne::N,коське сан,پله
51,Knochen::N,пакарь,هډوکی
52,Gehirn::N,удем,ماغزه
53,Herz::N,седей,زړه
54,Magen::N,пеке,معده
55,Leber::N,максо,ينه
56,Leber::N,максо,ځیګر
57,Atem::N,лексема,نفس
58,Atem::N,оймень таргсема,نفس
59,Hunger::N,вачочи,ولږه
60,Träne::N,селведь,اوښکه
61,Geschmack::N,тансть,مزه
62,Geschmack::N,тансть,خوند
63,Geruch::N,чине,بوی
64,Schlaf::N,удома,خوب
65,Traum::N,он,خوب
66,Himmel::N,менель,اسمان
67,Sonne::N,чи,لمر
68,Mond::N,ков,سپوږمۍ
69,Stern::N,теште,ستوری
70,Luft::N,кошт,هوا
71,Wind::N,варма,ورښ
72,Welle::N,толкун,موج
73,Wasser::N,ведь,اوبه
74,Stein::N,кев,ډبره
75,Boden::N,мода,مځکه
76,Erde::N,мастор,خاوره
77,Staub::N,пуль,ګرد
78,Staub::N,пуль,خاوره
79,Rauch::N,качамо,دود
80,Rauch::N,качамо,لوګی
81,Funke::N,сятко,سپرغۍ
82,Feuer::N,тол,اور
83,Licht::N,валдо,رڼا
84,Schatten::N,сулей,سیوری
85,Schatten::N,сулейкс,سیوری
86,Wetter::N,ушо,هوا
87,Nebel::N,сув,لړه
88,Wolke::N,пель,ورېځ
89,Regen::N,пиземс,وریا
90,Regen::N,пиземс,باران
91,Schnee::N,лов,واوره
92,Eis::N,эй,یخ
93,Eis::N,эй,کنګل
94,Frost::N,кельме,یخ
95,Kälte::N,якшамо,ساړه
96,Hitze::N,пси,تودوخي
97,Raureif::N,лекш,سپینه پرخه
98,Regenbogen::N,пурьгинечирьке,بوډۍ ټال
99,Regenbogen::N,пурьгинечирьке,سره زرغونه
100,Regenbogen::N,пурьгинеёнкс,بوډۍ ټال
101,Regenbogen::N,пурьгинеёнкс,سره زرغونه
102,Donner::N,пурьгине,تالنده
103,Strömung::N,чудема,بهېدنه
104,Strömung::N,чудевкс,بهېدنه
105,Tropfen::N,петнявкс,قطره
106,Tropfen::N,петнявкс,څاڅکی
107,Schaum::N,чов,ځګ
108,Schmutz::N,рудаз,ناپاکي
109,See::N,эрьке,جهیل
110,Sumpf::N,чей,جبه
111,Moor::N,чей,جبه
112,Wiese::N,луга,چمن
113,Wiese::N,луга,شنېلی
114,Wald::N,вирь,ځنګل
115,Hügel::N,губорь,تپه
116,Hügel::N,пандыне,تپه
117,Anhöhe::N,губорь,غونډۍ
118,Anhöhe::N,пандыне,غونډۍ
119,Berg::N,пандо,غ‍‍‍‍‍ر
120,Gipfel::N,пря,څوکه
121,Höhle::N,пещера,کاز
122,Abhang::N,пандочама,لمن
123,Quelle::N,ушодкс,چینه
124,Bach::N,чудикерькс,واله
125,Fluss::N,лей,سیند
126,Ufer::N,чире,غاړه
127,Küste::N,лейчире,ساحل
128,Festland::N,мода,وچه
129,Meer::N,моря,بحر
130,Meer::N,моря,سمندر
131,Bucht::N,усия,کارۍ
132,Insel::N,усия,ټاپو
133,Insel::N,усия,جزيره
134,Blume::N,цеця,ګل
135,Gras::N,тикше,واښه
136,Wurzel::N,юр,ریښه
137,Wurzel::N,ундокс,ریښه
138,Baum::N,чувто,ونه
139,Stamm::N,рунго,ډډ
140,Rinde::N,суд,پوستکی
141,Rinde::N,керь,پوستکی
142,Ast::N,морго,ښاخ
143,Zweig::N,тарад,څانګه
144,Blatt::N,лопа,پاڼه
145,Birke::N,килей,توس
146,Kiefer[Baum]::N,пиче,نښتر
147,Weide[Baum]::N,каль,وله
148,Tanne::N,куз,ناجو
149,Horn::N,сюро,ښکر
150,Feder::N,толга,بڼکه
151,Fell::N,пона,پوستکی
152,Flügel::N,сёлмо,وزر
153,Klaue::N,кенже,پنجه
154,Klaue::N,кенже,منګول
155,Kralle::N,кенже,پنجه
156,Kralle::N,кенже,منګول
157,Schwanz::N,пуло,لکۍ
158,Ei::N,ал,وۍ
159,Ei::N,ал,هګۍ
160,Nest::N,пизэ,جاله
161,Bau::N,варя,کاز
162,Bau::N,пизе,کاز
163,Tier::N,ракша,ژوی
164,Tier::N,ракша,حیوان
165,Herde::N,стада,رمه
166,Herde::N,стада,غېله
167,Kuh::N,скал,غوا
168,Bulle::N,бука,غوئی
169,Pferd::N,лишме,آس
170,Schaf::N,реве,پسه
171,Schwein::N,туво,سرکوزی
172,Hund::N,пине,سپی
173,Hund::N,киска,سپی
174,Katze::N,псака,پشه
175,Bär::N,овто,خرس
176,Eichhörnchen::N,ур,خړ لمی
177,Elch::N,сярдо,ګوزن
178,Fuchs::N,ривезь,سپلم
179,Hase::N,нумоло,سوی
180,Maus::N,чеерь,مږک
181,Wolf::N,верьгиз,لېوه
182,Vogel::N,нармунь,مرغه
183,Schwarm::N,полк,سېل
184,Schwarm::N,стада,سېل
185,Huhn::N,сараз,چرګه
186,Hahn::N,атякш,چرګ
187,Gans::N,гала,بته
188,Gans::N,мацей,بته
189,Adler::N,куцькан,عقاب
190,Adler::N,тумоатякш,عقاب
191,Ente::N,яксярго,ایلۍ
192,Eule::N,корж,ګونګی
193,Kranich::N,карго,کلنګ
194,Krähe::N,варака,کارغه
