,Concept_ID,ps,ja
0,Auge::N,سترګه,目
1,Ohr::N,غوږ,耳
2,Nase::N,پوزه,鼻
3,Mund::N,خوله,口
4,Zahn::N,غاښ,歯
5,Zunge::N,جبه,舌
6,Lippe::N,شونډه,唇
7,Wange::N,باړخو,頬
8,Gesicht::N,مخ,顔
9,Stirn::N,تندی,額
10,Stirn::N,وچولی,額
11,Haar::N,وېښته,髪
12,Schnurrbart::N,برېت,口髭
13,Bart::N,ږیره,髭
14,Kinn::N,زنه,顎
15,Kiefer[Anatomie]::N,جامه,顎
16,Kehle::N,غاړه,喉
17,Hals::N,غاړه,首
18,Genick::N,ورمېږ,首
19,Kopf::N,سر,頭
20,Rücken::N,شا,背中
21,Bauch::N,نس,腹
22,Bauch::N,نس,お腹
23,Bauch::N,ګېډه,腹
24,Bauch::N,ګېډه,お腹
25,Nabel::N,نوم,へそ
26,Busen::N,تی,乳房
27,Brust::N,سینه,胸
28,Schulter::N,اوږه,肩
29,Arm::N,لاس,腕
30,Ellenbogen::N,څنګل,肘
31,Hand::N,لاس,手
32,Handfläche::N,ورغوی,手のひら
33,Finger::N,ګوته,指
34,Fingernagel::N,نوک,爪
35,Nagel[Anatomie]::N,نوک,爪
36,Zeh::N,ګوته,足の指
37,Fuß::N,پښه,足
38,Ferse::N,پونده,かかと
39,Knie::N,زنګون,膝
40,Oberschenkel::N,پتون,上腿
41,Bein::N,پښه,足
42,Körper::N,ځان,体
43,Haut::N,پوټکی,皮膚
44,Blut::N,وینه,血
45,Ader::N,رګ,血管
46,Sehne::N,پله,腱
47,Knochen::N,هډوکی,骨
48,Gehirn::N,ماغزه,脳
49,Herz::N,زړه,心
50,Herz::N,زړه,心臓
51,Magen::N,معده,胃
52,Leber::N,ينه,肝臓
53,Leber::N,ځیګر,肝臓
54,Atem::N,نفس,息
55,Atem::N,نفس,呼吸
56,Hunger::N,ولږه,空腹
57,Träne::N,اوښکه,涙
58,Geschmack::N,مزه,味
59,Geschmack::N,خوند,味
60,Geruch::N,بوی,匂い
61,Schlaf::N,خوب,睡眠
62,Traum::N,خوب,夢
63,Himmel::N,اسمان,空
64,Sonne::N,لمر,太陽
65,Mond::N,سپوږمۍ,月
66,Stern::N,ستوری,星
67,Luft::N,هوا,空気
68,Wind::N,ورښ,風
69,Welle::N,موج,波
70,Wasser::N,اوبه,水
71,Stein::N,ډبره,石
72,Boden::N,مځکه,土地
73,Erde::N,خاوره,土
74,Staub::N,ګرد,埃
75,Staub::N,خاوره,埃
76,Rauch::N,دود,煙
77,Rauch::N,لوګی,煙
78,Funke::N,سپرغۍ,火花
79,Feuer::N,اور,火
80,Licht::N,رڼا,光
81,Schatten::N,سیوری,陰
82,Wetter::N,هوا,天気
83,Nebel::N,لړه,霧
84,Wolke::N,ورېځ,雲
85,Regen::N,وریا,雨
86,Regen::N,باران,雨
87,Schnee::N,واوره,雪
88,Eis::N,یخ,氷
89,Eis::N,کنګل,氷
90,Frost::N,یخ,霜
91,Kälte::N,ساړه,寒さ
92,Hitze::N,تودوخي,暑さ
93,Raureif::N,سپینه پرخه,霧氷
94,Regenbogen::N,بوډۍ ټال,虹
95,Regenbogen::N,سره زرغونه,虹
96,Donner::N,تالنده,雷
97,Strömung::N,بهېدنه,流れ
98,Tropfen::N,قطره,滴
99,Tropfen::N,څاڅکی,滴
100,Schaum::N,ځګ,泡
101,Schmutz::N,ناپاکي,汚れ
102,See::N,جهیل,湖
103,Sumpf::N,جبه,沼
104,Moor::N,جبه,湿原
105,Wiese::N,چمن,草原
106,Wiese::N,شنېلی,草原
107,Wald::N,ځنګل,森
108,Hügel::N,تپه,丘
109,Anhöhe::N,غونډۍ,高み
110,Berg::N,غ‍‍‍‍‍ر,山
111,Gipfel::N,څوکه,頂上
112,Höhle::N,کاز,洞窟
113,Abhang::N,لمن,斜面
114,Quelle::N,چینه,泉
115,Bach::N,واله,小川
116,Fluss::N,سیند,川
117,Ufer::N,غاړه,岸
118,Küste::N,ساحل,海岸
119,Festland::N,وچه,陸
120,Meer::N,بحر,海
121,Meer::N,سمندر,海
122,Bucht::N,کارۍ,湾
123,Insel::N,ټاپو,島
124,Insel::N,جزيره,島
125,Blume::N,ګل,花
126,Gras::N,واښه,草
127,Wurzel::N,ریښه,根
128,Baum::N,ونه,木
129,Stamm::N,ډډ,幹
130,Rinde::N,پوستکی,皮層
131,Ast::N,ښاخ,枝
132,Zweig::N,څانګه,小枝
133,Blatt::N,پاڼه,葉
134,Birke::N,توس,樺
135,Kiefer[Baum]::N,نښتر,松
136,Weide[Baum]::N,وله,柳
137,Tanne::N,ناجو,樅
138,Horn::N,ښکر,角
139,Feder::N,بڼکه,羽根
140,Fell::N,پوستکی,毛皮
141,Flügel::N,وزر,羽
142,Klaue::N,پنجه,鉤爪
143,Klaue::N,منګول,鉤爪
144,Kralle::N,پنجه,爪
145,Kralle::N,منګول,爪
146,Schwanz::N,لکۍ,尻尾
147,Ei::N,وۍ,卵
148,Ei::N,هګۍ,卵
149,Nest::N,جاله,巣
150,Bau::N,کاز,穴
151,Tier::N,ژوی,動物
152,Tier::N,حیوان,動物
153,Herde::N,رمه,群れ
154,Herde::N,غېله,群れ
155,Kuh::N,غوا,牛
