,Concept_ID,la,et
0,Auge::N,oculus,silm
1,Ohr::N,auris,kõrv
2,Nase::N,nasus,nina
3,Mund::N,os,suu
4,Zahn::N,dens,hammas
5,Zunge::N,lingua,keel
6,Lippe::N,labrum,huul
7,Wange::N,gena,põsk
8,Gesicht::N,vultus,nägu
9,Stirn::N,frons,otsmik
10,Haar::N,capillus,juus
11,Schnurrbart::N,barba labri superioris,vurrud
12,Schnurrbart::N,barba labri superioris,vuntsid
13,Bart::N,barba,habe
14,Kinn::N,mentum,lõug
15,Kiefer[Anatomie]::N,mala,lõualuu
16,Kehle::N,iugulums,kõri
17,Hals::N,collum,kael
18,Genick::N,cervices,kukal
19,Kopf::N,caput,pea
20,Rücken::N,tergum,selg
21,Bauch::N,venter,kõht
22,Nabel::N,umbilicus,naba
23,Busen::N,sinus,rind
24,Brust::N,pectus,rind
25,Schulter::N,umerus,õlg
26,Arm::N,bracchium,käsivars
27,Ellenbogen::N,cubitum,küünarnukk
28,Hand::N,manus,käsi
29,Handfläche::N,palma,pihk
30,Finger::N,digitus,sõrm
31,Fingernagel::N,unguiculus,küüs
32,Nagel[Anatomie]::N,unguis,küüs
33,Zeh::N,digitus,varvas
34,Fuß::N,pes,jalg
35,Ferse::N,calx,kand
36,Knie::N,genu,põlv
37,Oberschenkel::N,femur,reis
38,Bein::N,crus,jalg
39,Körper::N,corpus,ihu
40,Körper::N,corpus,keha
41,Haut::N,cutis,nahk
42,Haut::N,pellis,nahk
43,Blut::N,sanguis,veri
44,Ader::N,vena,veen
45,Sehne::N,nervus,kõõlus
46,Knochen::N,os,luu
47,Gehirn::N,cerebrum,aju
48,Herz::N,cor,süda
49,Herz::N,animus,süda
50,Magen::N,stomachus,magu
51,Leber::N,iecur,maks
52,Atem::N,spiritus,hingeõhk
53,Atem::N,spiritus,hingamine
54,Hunger::N,fames,nälg
55,Träne::N,lacrima,pisar
56,Geschmack::N,sapor,maitse
57,Geschmack::N,gustus,maitse
58,Geruch::N,odor,lõhn
59,Schlaf::N,somnus,uni
60,Traum::N,somnium,unenägu
61,Himmel::N,caelum,taevas
62,Sonne::N,sol,päike
63,Mond::N,luna,kuu
64,Stern::N,sidus,täht
65,Stern::N,stella,täht
66,Luft::N,aer,õhk
67,Wind::N,ventus,tuul
68,Welle::N,unda,laine
69,Wasser::N,aqua,vesi
70,Stein::N,lapis,kivi
71,Boden::N,solum,maa
72,Boden::N,solum,pinnas
73,Erde::N,terra,maa
74,Staub::N,pulvis,põrm
75,Rauch::N,fumus,suits
76,Funke::N,scintilla,säde
77,Feuer::N,ignis,tuli
78,Licht::N,lux,valgus
79,Licht::N,lumen,valgus
80,Schatten::N,umbra,vari
81,Wetter::N,caelum,ilm
82,Wetter::N,tempestas,ilm
83,Nebel::N,nebula,udu
84,Wolke::N,nubes,pilv
85,Regen::N,imber,sadu
86,Regen::N,pluvia,sadu
87,Schnee::N,nix,lumi
88,Eis::N,glacies,jää
89,Frost::N,gelu,pakane
90,Kälte::N,frigus,külm
91,Kälte::N,frigus,külmus
92,Hitze::N,calor,kuumus
93,Hitze::N,calor,palavus
94,Hitze::N,aestus,kuumus
95,Hitze::N,aestus,palavus
96,Raureif::N,pruina,härmatis
97,Regenbogen::N,arcus,vikerkaar
98,Donner::N,tonitrus,kõu
99,Donner::N,tonitrus,müristamine
100,Strömung::N,fluctus,voolus
101,Strömung::N,fluctus,jõevool
102,Tropfen::N,gutta,tilk
103,Schaum::N,spuma,vaht
104,Schmutz::N,sordes,pori
105,Schmutz::N,sordes,mustus
106,Schmutz::N,squalor,pori
107,Schmutz::N,squalor,mustus
108,See::N,lacus,järv
109,Sumpf::N,palus,soo
110,Moor::N,palus,raba
111,Wiese::N,pratum,aas
112,Wiese::N,pratum,nurm
113,Wald::N,silva,mets
114,Hügel::N,collis,küngas
115,Anhöhe::N,specula,küngas
116,Berg::N,mons,mägi
117,Gipfel::N,vertex,mäetipp
118,Höhle::N,caverna,koobas
119,Höhle::N,spelunca,koobas
120,Abhang::N,declivum,nõlvak
121,Quelle::N,fons,allikas
122,Bach::N,rivus,oja
123,Fluss::N,flumen,jõgi
124,Ufer::N,ripa,kallas
125,Küste::N,litus,rannik
126,Festland::N,continens,mander
127,Festland::N,continens,maismaa
128,Meer::N,mare,meri
129,Bucht::N,sinus,laht
130,Insel::N,insula,saar
131,Blume::N,flos,lill
132,Gras::N,herba,rohi
133,Gras::N,gramen,rohi
134,Wurzel::N,radix,juur
135,Baum::N,arbor,puu
136,Stamm::N,truncus,tüvi
137,Rinde::N,cortex,koor
138,Ast::N,ramus,oks
139,Zweig::N,ramus,oks
140,Blatt::N,folium,leht
141,Birke::N,betulla,kask
142,Kiefer[Baum]::N,pinus,mänd
143,Weide[Baum]::N,salix,paju
144,Tanne::N,abies,nulg
145,Horn::N,cornu,sarv
146,Feder::N,penna,sulg
147,Fell::N,pellis,karvkate
148,Fell::N,pellis,karusnahk
149,Flügel::N,ala,tiib
150,Flügel::N,ala,tiivik
151,Klaue::N,unguis,küüs
152,Kralle::N,unguis,küünis
153,Schwanz::N,cauda,saba
154,Ei::N,ovum,muna
155,Nest::N,nidus,pesa
156,Bau::N,cavum,urg
157,Bau::N,latibulum,urg
158,Tier::N,bestia,loom
159,Herde::N,grex,kari
160,Kuh::N,vacca,lehm
