,Concept_ID,kk,bn
0,Auge::N,көз,চক্ষু
1,Ohr::N,құлақ,কর্ণ
2,Nase::N,мұрын,নাক
3,Mund::N,ауыз,মুখ
4,Zahn::N,тіс,দাঁত
5,Zunge::N,тіл,জিহবা
6,Lippe::N,ерін,অধর
7,Wange::N,ұрт,গণ্ড
8,Gesicht::N,бет-аузы,মুখমণ্ডল
9,Stirn::N,маңдай,কপাল
10,Haar::N,қыл,চুল
11,Schnurrbart::N,мұрт,গোঁফ
12,Bart::N,сақал,শ্মশ্রু
13,Kinn::N,иек,চিবুক
14,Kiefer[Anatomie]::N,жақ,চোয়াল
15,Kehle::N,алқым,কণ্ঠ
16,Hals::N,мойын,গল
17,Genick::N,желке,ঘাড়
18,Kopf::N,кәллә,মাথা
19,Rücken::N,арқа,পৃষ্ঠ
20,Bauch::N,қарын,উদর
21,Nabel::N,кіндік,নাভি
22,Busen::N,омырау,স্তন
23,Brust::N,кеуде,বুক
24,Schulter::N,иық,স্কন্ধ
25,Arm::N,қол,বাহু
26,Ellenbogen::N,шынтақ,কনুই
27,Hand::N,қол,হাত
28,Handfläche::N,алақан,করতল
29,Finger::N,саусақ,আঙ্গুল
30,Fingernagel::N,тырнақ,হাতের নখ
31,Nagel[Anatomie]::N,тырнақ,নখ
32,Zeh::N,тырнақ,আঙ্গুল
33,Zeh::N,тұяқ,আঙ্গুল
34,Fuß::N,аяқ-басы,পা
35,Ferse::N,өкше,গোড়ালি
36,Ferse::N,өкшелік,গোড়ালি
37,Knie::N,тізе,হাঁটু
38,Oberschenkel::N,жамбас,ঊরু
39,Bein::N,аяқ,পা
40,Körper::N,дене,দেহ
41,Haut::N,тері,ত্বক
42,Blut::N,қан,রক্ত
43,Ader::N,көктамыр,শিরা
44,Ader::N,күретамыр,শিরা
45,Sehne::N,сіңір,কণ্ডরা
46,Knochen::N,жілік,অস্থি
47,Gehirn::N,ми,মস্তিষ্ক
48,Herz::N,жүрек,হৃৎপিণ্ড
49,Magen::N,асқазан,পাকস্থলী
50,Leber::N,бауыр,যকৃৎ
51,Atem::N,леп,শ্বাস
52,Hunger::N,ашаршылық,ক্ষুধা
53,Träne::N,жас,অশ্রু
54,Geschmack::N,дәм,স্বাদ
55,Geschmack::N,татым,স্বাদ
56,Geschmack::N,талғам,স্বাদ
57,Geruch::N,иіс,গন্ধ
58,Schlaf::N,ұйқы,ঘুম
59,Schlaf::N,ұйықтау,ঘুম
60,Traum::N,түс,স্বপ্ন
61,Himmel::N,аспан,আকাশ
62,Himmel::N,көқ,আকাশ
63,Himmel::N,таңдай,আকাশ
64,Sonne::N,күн,সূর্য
65,Mond::N,ай,চন্দ্র
66,Stern::N,жұлдыз,নক্ষত্র
67,Luft::N,әуе,বায়ু
68,Wind::N,жел,বাতাস
69,Welle::N,толқын,ঢেউ
70,Welle::N,толқын,তরঙ্গ
71,Wasser::N,су,জল
72,Stein::N,тас,ঢিল
73,Stein::N,тас,প্রস্তর
74,Boden::N,қыртыс,ভূতল
75,Erde::N,топырақ,ভূমি
76,Staub::N,шаң,ধুলা
77,Rauch::N,түтін,ধোঁয়া
