,Concept_ID,tr,de
0,Auge::N,göz,Auge
1,Ohr::N,kulak,Ohr
2,Nase::N,burun,Nase
3,Mund::N,ağız,Mund
4,Zahn::N,diş,Zahn
5,Zunge::N,dil,Zunge
6,Lippe::N,dudak,Lippe
7,Wange::N,yanak,Wange
8,Gesicht::N,yüz,Gesicht
9,Stirn::N,alın,Stirn
10,Haar::N,saç,Haar
11,Schnurrbart::N,bıyık,Schnurrbart
12,Bart::N,sakal,Bart
13,Kinn::N,çene,Kinn
14,Kiefer[Anatomie]::N,çene,Kiefer
15,Kehle::N,boğaz,Kehle
16,Hals::N,boyun,Hals
17,Hals::N,gerdan,Hals
18,Genick::N,ense,Genick
19,Kopf::N,baş,Kopf
20,Kopf::N,kafa,Kopf
21,Rücken::N,arka,Rücken
22,Bauch::N,karın,Bauch
23,Nabel::N,göbek,Nabel
24,Busen::N,koyun,Busen
25,Brust::N,göğüs,Brust
26,Schulter::N,omuz,Schulter
27,Arm::N,kol,Arm
28,Ellenbogen::N,dirsek,Ellenbogen
29,Hand::N,el,Hand
30,Handfläche::N,avuç,Handfläche
31,Handfläche::N,el ayası,Handfläche
32,Finger::N,parmak,Finger
33,Fingernagel::N,el tırnağı,Fingernagel
34,Nagel[Anatomie]::N,tırnak,Nagel
35,Zeh::N,ayak parmağı,Zeh
36,Fuß::N,ayak,Fuß
37,Ferse::N,topuk,Ferse
38,Knie::N,diz,Knie
39,Oberschenkel::N,uyluk,Oberschenkel
40,Bein::N,bacak,Bein
41,Körper::N,vücut,Körper
42,Haut::N,cilt,Haut
43,Blut::N,kan,Blut
44,Ader::N,damar,Ader
45,Sehne::N,kiriş,Sehne
46,Knochen::N,kemik,Knochen
47,Gehirn::N,beyin,Gehirn
48,Herz::N,kalp,Herz
49,Herz::N,yürek,Herz
50,Magen::N,mide,Magen
51,Leber::N,karaciğer,Leber
52,Atem::N,nefes,Atem
53,Hunger::N,açlık,Hunger
54,Träne::N,gözyaşı,Träne
55,Geschmack::N,tat,Geschmack
56,Geschmack::N,lezzet,Geschmack
57,Geruch::N,koku,Geruch
58,Schlaf::N,uyku,Schlaf
59,Traum::N,düş,Traum
60,Traum::N,rüya,Traum
61,Himmel::N,gök,Himmel
62,Sonne::N,güneş,Sonne
63,Mond::N,ay,Mond
64,Stern::N,yıldız,Stern
65,Luft::N,hava,Luft
66,Wind::N,yel,Wind
67,Wind::N,rüzgâr,Wind
68,Welle::N,dalga,Welle
69,Wasser::N,su,Wasser
70,Stein::N,taş,Stein
71,Boden::N,yer,Boden
72,Boden::N,zemin,Boden
73,Erde::N,toprak,Erde
74,Staub::N,toz,Staub
75,Rauch::N,duman,Rauch
76,Funke::N,kıvılcım,Funke
77,Feuer::N,ateş,Feuer
78,Licht::N,ışık,Licht
79,Schatten::N,gölge,Schatten
80,Wetter::N,hava,Wetter
81,Nebel::N,pus,Nebel
82,Wolke::N,bulut,Wolke
83,Regen::N,yağmur,Regen
84,Schnee::N,kar,Schnee
85,Eis::N,buz,Eis
86,Frost::N,don,Frost
87,Kälte::N,soğukluk,Kälte
88,Hitze::N,sıcaklık,Hitze
89,Raureif::N,kırç,Raureif
90,Regenbogen::N,gökkuşağı,Regenbogen
91,Donner::N,gök gürlemesi,Donner
92,Strömung::N,akıntı,Strömung
93,Strömung::N,cereyan,Strömung
94,Tropfen::N,damla,Tropfen
95,Schaum::N,köpük,Schaum
96,Schmutz::N,çamur,Schmutz
97,Schmutz::N,pislik,Schmutz
98,See::N,göl,See
99,Sumpf::N,batak,Sumpf
100,Moor::N,cılgıt,Moor
101,Wiese::N,çimen,Wiese
102,Wald::N,koru,Wald
103,Wald::N,orman,Wald
104,Hügel::N,tepe,Hügel
105,Anhöhe::N,tümsek,Anhöhe
106,Anhöhe::N,yükseklik,Anhöhe
107,Berg::N,dağ,Berg
108,Gipfel::N,zirve,Gipfel
109,Höhle::N,in,Höhle
110,Höhle::N,mağara,Höhle
111,Abhang::N,bayır,Abhang
112,Quelle::N,pınar,Quelle
113,Quelle::N,kaynak,Quelle
114,Bach::N,çay,Bach
115,Bach::N,dere,Bach
116,Fluss::N,nehir,Fluss
117,Ufer::N,kıyı,Ufer
118,Ufer::N,sahil,Ufer
119,Küste::N,kıyı,Küste
120,Küste::N,sahil,Küste
121,Festland::N,kara,Festland
122,Meer::N,deniz,Meer
123,Bucht::N,koy,Bucht
124,Bucht::N,körfez,Bucht
125,Insel::N,ada,Insel
126,Blume::N,çiçek,Blume
127,Gras::N,ot,Gras
128,Gras::N,çim,Gras
129,Wurzel::N,kök,Wurzel
130,Baum::N,ağaç,Baum
131,Stamm::N,gövde,Stamm
132,Rinde::N,kabuk,Rinde
133,Ast::N,dal,Ast
134,Ast::N,budak,Ast
135,Zweig::N,dal,Zweig
136,Blatt::N,yaprak,Blatt
137,Birke::N,huş,Birke
138,Kiefer[Baum]::N,çam,Kiefer
139,Weide[Baum]::N,söğüt,Weide
140,Tanne::N,çam,Tanne
141,Tanne::N,köknar,Tanne
142,Horn::N,boynuz,Horn
143,Feder::N,tüy,Feder
144,Fell::N,post,Fell
145,Flügel::N,kanat,Flügel
146,Klaue::N,pençe,Klaue
147,Kralle::N,tırnak,Kralle
148,Schwanz::N,kuyruk,Schwanz
149,Ei::N,yumurta,Ei
150,Nest::N,yuva,Nest
151,Bau::N,in,Bau
152,Tier::N,hayvan,Tier
153,Herde::N,sürü,Herde
154,Kuh::N,inek,Kuh
155,Bulle::N,boğa,Bulle
156,Pferd::N,at,Pferd
157,Pferd::N,beygir,Pferd
158,Schaf::N,koyun,Schaf
159,Schwein::N,domuz,Schwein
160,Hund::N,it,Hund
161,Hund::N,köpek,Hund
162,Katze::N,kedi,Katze
163,Bär::N,ayı,Bär
164,Eichhörnchen::N,sincap,Eichhörnchen
165,Elch::N,büyük kuzey geyiği,Elch
166,Fuchs::N,tilki,Fuchs
167,Hase::N,tavşan,Hase
168,Maus::N,fare,Maus
169,Maus::N,sıçan,Maus
170,Wolf::N,kurt,Wolf
171,Vogel::N,kuş,Vogel
172,Schwarm::N,sürü,Schwarm
173,Huhn::N,tavuk,Huhn
174,Hahn::N,horoz,Hahn
175,Gans::N,kaz,Gans
176,Adler::N,kartal,Adler
177,Adler::N,karakuş,Adler
178,Ente::N,ördek,Ente
179,Eule::N,baykuş,Eule
180,Kranich::N,turna,Kranich
181,Krähe::N,karga,Krähe
182,Kuckuck::N,guguk,Kuckuck
183,Schwan::N,kuğu,Schwan
184,Fisch::N,balık,Fisch
185,Barsch::N,hani,Barsch
186,Barsch::N,levrek,Barsch
187,Hecht::N,turnabalığı,Hecht
188,Schlange[Tier]::N,yılan,Schlange
189,Wurm::N,kurt,Wurm
190,Wurm::N,solucan,Wurm
191,Spinne::N,örümcek,Spinne
192,Ameise::N,karınca,Ameise
193,Laus::N,bit,Laus
194,Mücke::N,sivrisinek,Mücke
195,Fliege::N,sinek,Fliege
196,Schmetterling::N,kelebek,Schmetterling
197,Beere::N,tane,Beere
198,Apfel::N,elma,Apfel
199,Pilz::N,mantar,Pilz
200,Zwiebel::N,soğan,Zwiebel
201,Saat::N,ekin,Saat
202,Korn::N,tane,Korn
203,Heu::N,kuru ot,Heu
204,Schale::N,kabuk,Schale
205,Grube::N,çukur,Grube
206,Falle::N,tuzak,Falle
207,Schlinge::N,ilmik,Schlinge
208,Spur::N,iz,Spur
209,Asche::N,kül,Asche
210,Dreck::N,pislik,Dreck
211,Eisen::N,demir,Eisen
212,Gold::N,altın,Gold
213,Silber::N,gümüş,Silber
214,Kohle::N,kömür,Kohle
215,Glas::N,cam,Glas
216,Lehm::N,balçık,Lehm
217,Sand::N,kum,Sand
218,Mensch::N,insan,Mensch
219,Mann::N,adam,Mann
220,Mann::N,erkek,Mann
221,Frau::N,bayan,Frau
222,Kind::N,çocuk,Kind
223,Junge::N,erkek çocuk,Junge
224,Mädchen::N,kız,Mädchen
225,Familie::N,aile,Familie
226,Großvater::N,dede,Großvater
227,Großvater::N,büyükbaba,Großvater
228,Großmutter::N,nine,Großmutter
229,Großmutter::N,büyükanne,Großmutter
230,Eltern::N,ebeveyn,Eltern
231,Eltern::N,ana baba,Eltern
232,Vater::N,ata,Vater
233,Vater::N,baba,Vater
234,Mutter::N,ana,Mutter
235,Mutter::N,anne,Mutter
236,Sohn::N,oğul,Sohn
237,Tochter::N,kız,Tochter
238,Tochter::N,kız evlât,Tochter
239,Bruder::N,abi,Bruder
240,Bruder::N,erkek kardeş,Bruder
241,Schwester::N,abla,Schwester
242,Schwester::N,kız kardeş,Schwester
243,Onkel::N,dayı,Onkel
244,Tante::N,hala,Tante
245,Tante::N,teyze,Tante
246,Ehemann::N,koca,Ehemann
247,Ehefrau::N,karı,Ehefrau
248,Freude::N,neşe,Freude
249,Freude::N,sevinç,Freude
250,Gelächter::N,gülme,Gelächter
