,Concept_ID,kk,sah
0,Auge::N,көз,харах
1,Ohr::N,құлақ,кулгаах
2,Nase::N,мұрын,мурун
3,Mund::N,ауыз,айах
4,Zahn::N,тіс,тиис
5,Zunge::N,тіл,тыл
6,Lippe::N,ерін,уос
7,Wange::N,ұрт,иэдэс
8,Gesicht::N,бет-аузы,сирэй
9,Stirn::N,маңдай,сүүс
10,Haar::N,қыл,баттах
11,Schnurrbart::N,мұрт,уос бытыга
12,Bart::N,сақал,сэҥийэ бытыга
13,Kinn::N,иек,сэҥийэ
14,Kiefer[Anatomie]::N,жақ,сыҥаах
15,Kehle::N,алқым,тамах
16,Kehle::N,алқым,күөмэй
17,Hals::N,мойын,моой
18,Genick::N,желке,кэтэх
19,Kopf::N,кәллә,бас
20,Rücken::N,арқа,көҕүс
21,Bauch::N,қарын,ис
22,Nabel::N,кіндік,киин
23,Busen::N,омырау,эмиий
24,Brust::N,кеуде,түөс
25,Schulter::N,иық,сарын
26,Arm::N,қол,илии
27,Ellenbogen::N,шынтақ,тоҕонох
28,Hand::N,қол,илии
29,Handfläche::N,алақан,ытыс
30,Finger::N,саусақ,тарбах
31,Fingernagel::N,тырнақ,тыҥырах
32,Nagel[Anatomie]::N,тырнақ,тыҥырах
33,Zeh::N,тырнақ,тарбах
34,Zeh::N,тұяқ,тарбах
35,Fuß::N,аяқ-басы,уллуҥах
36,Ferse::N,өкше,тилэх
37,Ferse::N,өкшелік,тилэх
38,Knie::N,тізе,тобук
39,Knie::N,тізе,дьилбэк
40,Oberschenkel::N,жамбас,уллук
41,Oberschenkel::N,жамбас,өттүк
42,Bein::N,аяқ,атах
43,Körper::N,дене,бэйэ
44,Haut::N,тері,тирии
45,Blut::N,қан,хаан
46,Ader::N,көктамыр,вена
47,Ader::N,көктамыр,күөх_тымыр
48,Ader::N,күретамыр,вена
49,Ader::N,күретамыр,күөх_тымыр
50,Sehne::N,сіңір,иҥиир
51,Knochen::N,жілік,уҥуох
52,Knochen::N,жілік,уҥгуох
53,Gehirn::N,ми,мэйии
54,Herz::N,жүрек,сүрэх
55,Magen::N,асқазан,куртах
56,Leber::N,бауыр,быар
57,Atem::N,леп,тыын
58,Hunger::N,ашаршылық,аас
59,Träne::N,жас,харах уута
60,Geschmack::N,дәм,амтан
61,Geschmack::N,татым,амтан
62,Geschmack::N,талғам,амтан
63,Geruch::N,иіс,сыт
64,Schlaf::N,ұйқы,утуйуу
65,Schlaf::N,ұйықтау,утуйуу
66,Traum::N,түс,түүл
67,Himmel::N,аспан,халлаан
68,Himmel::N,көқ,халлаан
69,Himmel::N,таңдай,халлаан
70,Sonne::N,күн,күн
71,Mond::N,ай,ый
72,Stern::N,жұлдыз,сулус
73,Luft::N,әуе,салгын
74,Wind::N,жел,тыал
75,Welle::N,толқын,долгун
76,Welle::N,толқын,балхаан
77,Wasser::N,су,уу
78,Stein::N,тас,таас
79,Boden::N,қыртыс,сир
80,Erde::N,топырақ,буор
81,Staub::N,шаң,быыл
82,Rauch::N,түтін,буруо
83,Funke::N,ұшқын,кыым
84,Feuer::N,алау,уот
85,Licht::N,шұғыла,уот
86,Schatten::N,көлеңке,күлүк
87,Wetter::N,ауа райы,күн-дьыл
88,Nebel::N,тұман,туман
89,Wolke::N,бұлт,былыт
90,Regen::N,жаңбыр,самыыр
91,Schnee::N,қар,хаар
92,Eis::N,мұз,муус
93,Frost::N,суық,тымныы
94,Kälte::N,ызғар,тымныы
95,Kälte::N,суықтық,тымныы
96,Hitze::N,аптап,куйаас
97,Raureif::N,қырау,кырыа
98,Regenbogen::N,кемпірқосақ,кустук
99,Donner::N,күн күркіреу,этиҥ
100,Strömung::N,ағын,сүүрүк
101,Tropfen::N,тамшы,таммах
102,Tropfen::N,тамшы,хааппыла
103,Schaum::N,көбік,күүгэн
104,Schmutz::N,кір,кир
105,See::N,көл,күөл
106,Sumpf::N,саз,бадараан
107,Moor::N,саз,дьэбэрэ
108,Wiese::N,шалғын,ходуһа
109,Wald::N,орман,ойуур
110,Hügel::N,төбе,булгунньах
