,Concept_ID,da,it
0,Auge::N,øje,occhio
1,Ohr::N,øre,orecchio
2,Nase::N,næse,naso
3,Mund::N,mund,bocca
4,Zahn::N,tand,dente
5,Zunge::N,tunge,lingua
6,Lippe::N,læbe,labbro
7,Wange::N,kind,guancia
8,Gesicht::N,ansigt,viso
9,Gesicht::N,ansigt,faccia
10,Stirn::N,pande,fronte
11,Haar::N,hår,capello
12,Schnurrbart::N,overskæg,baffi
13,Schnurrbart::N,overskæg,mustacchi
14,Bart::N,skæg,barba
15,Kinn::N,hage,mento
16,Kiefer[Anatomie]::N,kæbe,mascella
17,Kehle::N,strube,gola
18,Hals::N,hals,collo
19,Genick::N,nakke,nuca
20,Kopf::N,hoved,capo
21,Kopf::N,hoved,testa
22,Rücken::N,ryg,dorso
23,Rücken::N,ryg,schiena
24,Bauch::N,mave,ventre
25,Nabel::N,navle,ombelico
26,Busen::N,barm,seno
27,Brust::N,bryst,petto
28,Schulter::N,skulder,spalla
29,Arm::N,arm,braccio
30,Ellenbogen::N,albue,gomito
31,Hand::N,hånd,mano
32,Handfläche::N,håndflade,palma
33,Finger::N,finger,dito
34,Fingernagel::N,fingernegl,unghia
35,Nagel[Anatomie]::N,negl,unghia
36,Zeh::N,tå,dito del piede
37,Fuß::N,fod,piede
38,Ferse::N,hæl,tallone
39,Ferse::N,hæl,calcagno
40,Knie::N,knæ,ginocchio
41,Oberschenkel::N,lår,fèmore
42,Bein::N,ben,gamba
43,Körper::N,krop,corpo
44,Körper::N,legeme,corpo
45,Haut::N,hud,pelle
46,Blut::N,blod,sangue
47,Ader::N,åre,vena
48,Sehne::N,sene,tèndine
49,Knochen::N,ben,osso
50,Gehirn::N,hjerne,cervello
51,Herz::N,hjerte,cuore
52,Magen::N,mave,stòmaco
53,Leber::N,lever,fegato
54,Atem::N,ånde,fiato
55,Atem::N,ånde,respiro
56,Hunger::N,sult,fame
57,Träne::N,tåre,làcrima
58,Geschmack::N,smag,gusto
59,Geschmack::N,smag,sapore
60,Geruch::N,lugt,odore
61,Schlaf::N,søvn,sonno
62,Traum::N,drøm,sogno
63,Himmel::N,himmel,cielo
64,Sonne::N,sol,sole
65,Mond::N,måne,luna
66,Stern::N,stjerne,stella
67,Luft::N,luft,aria
68,Wind::N,vind,vento
69,Welle::N,bølge,onda
70,Wasser::N,vand,acqua
71,Stein::N,sten,sasso
72,Stein::N,sten,pietra
73,Boden::N,jord,suolo
74,Boden::N,jord,terreno
75,Erde::N,jord,terra
76,Staub::N,støv,polvere
77,Rauch::N,røg,fumo
78,Funke::N,gnist,scintilla
79,Feuer::N,ild,fuoco
80,Licht::N,lys,luce
81,Schatten::N,skygge,ombra
82,Wetter::N,vejr,tempo
83,Nebel::N,tåge,nebbia
84,Wolke::N,sky,nube
85,Wolke::N,sky,nùvola
86,Regen::N,regn,pioggia
87,Schnee::N,sne,neve
88,Eis::N,is,ghiaccio
89,Frost::N,frost,gelo
90,Kälte::N,kulde,freddo
91,Hitze::N,hede,caldo
92,Hitze::N,hede,calura
93,Raureif::N,rimfrost,brina
94,Regenbogen::N,regnbue,arcobaleno
95,Donner::N,torden,tuono
96,Strömung::N,strømning,corrente
97,Tropfen::N,dråbe,goccia
98,Schaum::N,skum,spuma
99,Schaum::N,skum,schiuma
100,Schmutz::N,snavs,sudiciume
101,See::N,sø,lago
102,Sumpf::N,sump,palude
103,Moor::N,mose,torbiera
104,Wiese::N,eng,prato
105,Wald::N,skov,bosco
106,Wald::N,skov,foresta
107,Hügel::N,høj,colle
108,Hügel::N,høj,collina
109,Hügel::N,bakke,colle
110,Hügel::N,bakke,collina
111,Anhöhe::N,høj,altura
112,Anhöhe::N,bakke,altura
113,Berg::N,bjerg,monte
114,Berg::N,bjerg,montagna
115,Gipfel::N,top,cima
116,Höhle::N,hule,grotta
117,Höhle::N,hule,caverna
118,Abhang::N,skrænt,pendìo
119,Abhang::N,skråning,pendìo
120,Quelle::N,kilde,sorgente
121,Bach::N,bæk,ruscello
122,Fluss::N,flod,fiume
123,Ufer::N,bred,riva
124,Küste::N,kyst,costa
125,Festland::N,fastland,terraferma
126,Meer::N,hav,mare
127,Bucht::N,bugt,cala
128,Insel::N,ø,ìsola
129,Blume::N,blomst,fiore
130,Gras::N,græs,erba
131,Wurzel::N,rod,radice
132,Baum::N,træ,àlbero
133,Stamm::N,stamme,tronco
134,Rinde::N,bark,corteccia
135,Ast::N,gren,ramo
136,Zweig::N,kvist,ramo
137,Blatt::N,blad,foglia
138,Birke::N,birk,betulla
139,Kiefer[Baum]::N,fyrretræ,pino
140,Weide[Baum]::N,piletræ,sàlice
141,Tanne::N,gran,abete
142,Horn::N,horn,corno
143,Feder::N,fjer,penna
144,Fell::N,skind,manto
145,Fell::N,skind,pelame
146,Flügel::N,vinge,ala
147,Klaue::N,klov,grinfia
148,Kralle::N,klo,unghia
149,Kralle::N,klo,artiglio
150,Schwanz::N,hale,coda
151,Ei::N,æg,uovo
152,Nest::N,rede,nido
153,Bau::N,bo,covo
154,Tier::N,dyr,bestia
155,Tier::N,dyr,animale
156,Herde::N,flok,gregge
157,Kuh::N,ko,vacca
158,Bulle::N,tyr,toro
159,Pferd::N,hest,cavallo
160,Schaf::N,får,pècora
161,Schwein::N,gris,porco
162,Schwein::N,gris,maiale
163,Hund::N,hund,cane
164,Katze::N,kat,gatta
165,Bär::N,bjørn,orso
166,Eichhörnchen::N,egern,scoiàttolo
167,Elch::N,elg,alce
168,Fuchs::N,ræv,volpe
169,Hase::N,hare,lepre
170,Maus::N,mus,topo
171,Maus::N,mus,sorcio
172,Wolf::N,ulv,lupo
173,Vogel::N,fugl,uccello
174,Schwarm::N,sværm,stormo
175,Huhn::N,høne,gallina
176,Hahn::N,hane,gallo
177,Gans::N,gås,oca
178,Adler::N,ørn,àquila
179,Ente::N,and,ànatra
180,Eule::N,ugle,gufo
181,Eule::N,ugle,civetta
182,Kranich::N,trane,gru
183,Krähe::N,krage,cornacchia
184,Kuckuck::N,gøg,cuccù
185,Kuckuck::N,gøg,cùculo
186,Schwan::N,svane,cigno
187,Fisch::N,fisk,pesce
188,Barsch::N,aborre,pèrsico
189,Hecht::N,gedde,luccio
190,Schlange[Tier]::N,slange,serpente
191,Wurm::N,orm,baco
192,Wurm::N,orm,verme
193,Spinne::N,edderkop,ragno
194,Ameise::N,myre,formica
195,Laus::N,lus,pidocchio
196,Mücke::N,myg,zanzara
197,Fliege::N,flue,mosca
198,Schmetterling::N,sommerfugl,farfalla
199,Beere::N,bær,bacca
200,Apfel::N,æble,mela
201,Pilz::N,svamp,fungo
202,Zwiebel::N,løg,cipolla
203,Saat::N,sæd,semente
204,Korn::N,korn,grano
205,Heu::N,hø,fieno
206,Schale::N,skræl,buccia
207,Grube::N,grav,cava
208,Grube::N,grav,fossa
209,Falle::N,fælde,tràppola
210,Schlinge::N,snare,laccio
211,Spur::N,spor,traccia
212,Asche::N,aske,cenere
213,Dreck::N,snavs,fango
214,Eisen::N,jern,ferro
215,Gold::N,guld,oro
216,Silber::N,sølv,argento
217,Kohle::N,kul,carbone
218,Glas::N,glas,vetro
219,Lehm::N,ler,argilla
220,Sand::N,sand,arena
221,Sand::N,sand,sabbia
222,Mensch::N,mennesge,uomo
223,Mensch::N,mennesge,èssere umano
224,Mann::N,mand,uomo
225,Frau::N,kvinde,donna
226,Kind::N,barn,bambino
227,Junge::N,dreng,ragazzo
228,Mädchen::N,pige,ragazza
229,Familie::N,familie,famiglia
230,Großvater::N,bedstefar,nonno
231,Großmutter::N,bedstemor,nonna
232,Eltern::N,forældre,genitori
233,Vater::N,far,padre
234,Mutter::N,mor,madre
235,Sohn::N,søn,figlio
236,Tochter::N,datter,figlia
237,Bruder::N,bror,fratello
238,Schwester::N,søster,sorella
239,Onkel::N,onkel,zio
240,Tante::N,tante,zia
241,Ehemann::N,ægtemand,marito
242,Ehefrau::N,hustru,moglie
243,Freude::N,glæde,gioia
244,Freude::N,glæde,piacere
245,Gelächter::N,latter,risata
246,Glück::N,lykke,felicità
247,Kummer::N,sorg,afflizione
248,Wunsch::N,ønske,desiderio
