,Concept_ID,az,te
0,Auge::N,göz,కన్ను
1,Ohr::N,qulaq,చెవి
2,Nase::N,burun,ముక్కు
3,Mund::N,ağız,నోరు
4,Zahn::N,diş,పల్లు
5,Zunge::N,dil,నాలుక
6,Lippe::N,dodaq,పెదవి
7,Wange::N,yanaq,చెంప
8,Gesicht::N,üz,ముఖము
9,Stirn::N,alın,నుదురు
10,Haar::N,saç,వెండ్రుక
11,Schnurrbart::N,bığ,మీసము
12,Bart::N,saqqal,గడ్డము
13,Kinn::N,çənə,గడ్డము
14,Kiefer[Anatomie]::N,çənə,దౌడ
15,Kehle::N,boğaz,గొంతు
16,Hals::N,boyun,మెడ
17,Genick::N,ənsə,మూపు
18,Kopf::N,baş,తల
19,Rücken::N,bel,వెన్ను
20,Bauch::N,qarın,కడుపు
21,Nabel::N,göbək,బొడ్డు
22,Busen::N,məmə,స్తనము
23,Brust::N,döş,ఱొమ్ము
24,Schulter::N,çiyin,భుజము
25,Arm::N,qol,చేయి
26,Ellenbogen::N,dirsək,మోచేయి
27,Hand::N,əl,చేయి
28,Handfläche::N,ovuc,అరచేయు
29,Finger::N,barmaq,చేతిప్రేలు
30,Fingernagel::N,barmaq dırnağı,గోరు
31,Nagel[Anatomie]::N,dırnak,గోరు
32,Zeh::N,ayaq barmağı,కాలిప్రేలు
33,Fuß::N,ayaq,అడుగు
34,Ferse::N,daban,మడమ
35,Knie::N,diz,మోకాలు
36,Oberschenkel::N,bud,తొడ
37,Bein::N,qıç,కాలు
38,Körper::N,əndam,కాయము
39,Haut::N,dəri,చర్మము
40,Blut::N,qan,రక్తము
41,Ader::N,damar,సిర
42,Sehne::N,vətər,స్నాయువు
43,Knochen::N,sümük,ఎముక
44,Gehirn::N,beyin,మెదడు
45,Herz::N,ürək,హృదయము
46,Magen::N,mədə,కడుపు
47,Leber::N,qara ciyər,కాలేయము
48,Atem::N,nəfəs,ఉపిరి
49,Hunger::N,aclıq,ఆకలి
50,Träne::N,göz yaşı,కన్నీటిచుక్క
51,Geschmack::N,tam,రుచి
52,Geschmack::N,ləzzət,రుచి
53,Geruch::N,qoxu,వాసన
54,Schlaf::N,yuxu,నిద్ర
55,Traum::N,röya,కల
56,Himmel::N,göy,ఆకాశము
57,Himmel::N,səma,ఆకాశము
58,Sonne::N,günəş,సూర్యుడు
59,Mond::N,ay,చంద్రుడు
60,Stern::N,ulduz,నక్షత్రము
61,Luft::N,hava,గాలి
62,Wind::N,yel,వీచుచున్నగాలి
63,Wind::N,külək,వీచుచున్నగాలి
64,Welle::N,dalğa,అల
65,Wasser::N,su,నీరు
66,Stein::N,daş,ఱాయి
67,Boden::N,yer,నేల
68,Boden::N,zəmin,నేల
69,Erde::N,yer torpaq,మన్ను
70,Staub::N,toz,దుమ్ము
71,Rauch::N,tüstü,పొగ
72,Funke::N,qığılcım,అగ్నికణము
73,Feuer::N,od,అగ్ని
74,Licht::N,işıq,కాంతి
75,Schatten::N,kölgə,నీడ
76,Wetter::N,hava,వాతావరణ స్థితి
77,Nebel::N,duman,పొగమంచు
78,Wolke::N,bulud,మేఘము
79,Regen::N,yağış,వాన
80,Regen::N,yağmur,వాన
81,Schnee::N,qar,హిమము
82,Eis::N,buz,మంచుగడ్డ
83,Frost::N,ayaz,పేరిన మంచు
84,Kälte::N,soyuq,చలి
85,Hitze::N,coşğunluq,వేడిమి
86,Raureif::N,qırov,మంచు
87,Regenbogen::N,göy qurşağı,ఇంద్రధనుస్సు
88,Donner::N,göy gurultusu,ఉరుము
89,Strömung::N,axın,ప్రవాహము
