,Concept_ID,sv,ce
0,Auge::N,öga,бӏаьрг
1,Ohr::N,öra,лерг
2,Nase::N,näsa,мара
3,Mund::N,mun,бага
4,Zahn::N,tand,церг
5,Zunge::N,tunga,мотт
6,Lippe::N,läpp,балда
7,Wange::N,kind,бесни
8,Gesicht::N,syn,юьхь
9,Gesicht::N,ansikte,юьхь
10,Stirn::N,panna,хьаж
11,Haar::N,hår,мас
12,Schnurrbart::N,mustasch,мекх
13,Bart::N,skägg,маж
14,Kinn::N,haka,чӏениг
15,Kiefer[Anatomie]::N,käke,мочхал
16,Kehle::N,strupe,къамкъарг
17,Hals::N,hals,ворта
18,Genick::N,nacke,кӏесаркӏаг
19,Kopf::N,huvud,корта
20,Rücken::N,rygg,букъ
21,Bauch::N,buk,кийра
22,Bauch::N,mage,кийра
23,Nabel::N,navel,цӏонга
24,Busen::N,barm,зударийн накха
25,Brust::N,bröst,накха
26,Schulter::N,skuldra,белш
27,Arm::N,arm,пхьарс
28,Ellenbogen::N,armbåge,пхьаьрсан гола
29,Hand::N,hand,куьг
30,Handfläche::N,handflata,кераюкъ
31,Finger::N,finger,пӏелг
32,Fingernagel::N,fingernagel,мӏара
33,Nagel[Anatomie]::N,nagel,мӏара
34,Zeh::N,tå,кога пӏелг
35,Fuß::N,fot,ког
36,Ferse::N,häl,кӏажа
37,Knie::N,knä,гола
38,Oberschenkel::N,lår,варе
39,Bein::N,ben,ког
40,Körper::N,kropp,хӏума
41,Haut::N,hud,чкъор
42,Haut::N,skinn,чкъор
43,Blut::N,blod,цӏий
44,Ader::N,åder,пха
45,Sehne::N,sena,хьорзам
46,Knochen::N,ben,даьӏахк
47,Gehirn::N,hjärna,хье
48,Herz::N,hjärta,дог
49,Magen::N,mage,зорх
50,Leber::N,lever,доӏах
51,Atem::N,anda,садеӏар
52,Atem::N,andedräkt,садеӏар
53,Hunger::N,svält,мацалла
54,Hunger::N,hunger,мацалла
55,Träne::N,tår,бӏаьрхи
56,Geschmack::N,smak,чам
57,Geruch::N,lukt,хьожа
58,Schlaf::N,sömn,наб
59,Traum::N,dröm,гӏан
60,Himmel::N,himmel,стигал
61,Sonne::N,sol,малх
62,Mond::N,måne,бутт
63,Stern::N,stjärna,седа
64,Luft::N,luft,xӏаваъ
65,Wind::N,vind,мох
66,Welle::N,våg,тулгӏе
67,Welle::N,bölja,тулгӏе
68,Wasser::N,vatten,хи
69,Stein::N,sten,тӏулг
70,Boden::N,mark,цӏенкъа
71,Erde::N,jord,латта
72,Staub::N,damm,чан
73,Rauch::N,rök,кӏур
74,Funke::N,gnista,суй
75,Feuer::N,eld,цӏе
76,Licht::N,ljus,серло
77,Schatten::N,skugga,ӏиндагӏ
78,Wetter::N,väder,хенан хӏоттам
79,Nebel::N,dimma,дохк
80,Nebel::N,töcken,дохк
81,Wolke::N,sky,марха
82,Wolke::N,moln,марха
83,Regen::N,regn,догӏа
84,Schnee::N,snö,ло
85,Eis::N,is,ша
86,Frost::N,frost,шело
87,Kälte::N,köld,шело
88,Hitze::N,hetta,йовхо
89,Raureif::N,rimfrost,йис
90,Regenbogen::N,regnbåge,стелаӏад
91,Donner::N,åska,ткъес
92,Donner::N,dunder,ткъес
93,Strömung::N,strömning,дӏаэхар
94,Strömung::N,strömning,дӏасалелар
95,Tropfen::N,dropper,тӏадам
96,Schaum::N,skum,чопа
97,Schmutz::N,lort,хатт
98,Schmutz::N,smuts,хатт
99,See::N,sjö,ӏам
100,Sumpf::N,träsk,уьшал
101,Moor::N,myr,уьшал
102,Moor::N,mosse,уьшал
103,Wiese::N,äng,бай
104,Wald::N,skog,хьун
105,Hügel::N,höjd,гу
106,Hügel::N,höjd,шу
107,Hügel::N,höjd,барз
108,Hügel::N,kulle,гу
109,Hügel::N,kulle,шу
110,Hügel::N,kulle,барз
111,Anhöhe::N,höjd,акъари
112,Anhöhe::N,backe,акъари
113,Berg::N,berg,лам
114,Berg::N,fjäll,лам
115,Gipfel::N,topp,бохь
116,Höhle::N,håla,хьех
117,Höhle::N,grotta,хьех
118,Abhang::N,slänt,басе
119,Abhang::N,sluttning,басе
120,Quelle::N,källa,шовда
121,Bach::N,bäck,татол
122,Fluss::N,älv,хи
123,Fluss::N,flod,хи
124,Ufer::N,strand,хийист
125,Küste::N,kust,йист
126,Festland::N,fastland,латта
127,Meer::N,hav,xӏорд
128,Bucht::N,vik,чож
129,Bucht::N,bukt,чож
130,Insel::N,ö,гӏайре
131,Blume::N,blomma,зезаг
132,Blume::N,blomster,зезаг
133,Gras::N,gräs,буц
134,Wurzel::N,rot,орам
135,Baum::N,träd,дитт
136,Stamm::N,stam,гӏад
137,Stamm::N,stam,тайпа
138,Rinde::N,bark,кевстиг
139,Ast::N,gren,га
140,Zweig::N,kvist,га
141,Blatt::N,löv,гӏа
142,Blatt::N,blad,гӏа
143,Birke::N,björk,дакх
144,Kiefer[Baum]::N,tall,бага
145,Weide[Baum]::N,pil,дак
146,Weide[Baum]::N,vide,дак
147,Tanne::N,gran,база
