,Concept_ID,ps,ca
0,Auge::N,سترګه,ull
1,Ohr::N,غوږ,orella
2,Nase::N,پوزه,nas
3,Mund::N,خوله,boca
4,Zahn::N,غاښ,dent
5,Zunge::N,جبه,llēngua
6,Lippe::N,شونډه,llavi
7,Wange::N,باړخو,galta
8,Gesicht::N,مخ,cara
9,Stirn::N,تندی,front
10,Stirn::N,وچولی,front
11,Haar::N,وېښته,cabēll
12,Schnurrbart::N,برېت,bigoti
13,Bart::N,ږیره,barba
14,Kinn::N,زنه,mentó
15,Kinn::N,زنه,barbeta
16,Kiefer[Anatomie]::N,جامه,queix
17,Kiefer[Anatomie]::N,جامه,mandíbula
18,Kehle::N,غاړه,gola
19,Kehle::N,غاړه,gorja
20,Hals::N,غاړه,coll
21,Genick::N,ورمېږ,nuca
22,Kopf::N,سر,cap
23,Rücken::N,شا,esquena
24,Bauch::N,نس,panxa
25,Bauch::N,ګېډه,panxa
26,Nabel::N,نوم,llombrígol
27,Busen::N,تی,pit
28,Busen::N,تی,mama
29,Brust::N,سینه,pit
30,Schulter::N,اوږه,espatlla
31,Arm::N,لاس,braç
32,Ellenbogen::N,څنګل,colze
33,Hand::N,لاس,mà
34,Handfläche::N,ورغوی,palma
35,Finger::N,ګوته,dit
36,Fingernagel::N,نوک,ungla
37,Nagel[Anatomie]::N,نوک,ungla
38,Zeh::N,ګوته,dit del peu
39,Fuß::N,پښه,peu
40,Ferse::N,پونده,taló
41,Knie::N,زنګون,genoll
42,Oberschenkel::N,پتون,cuixa
43,Bein::N,پښه,cama
44,Körper::N,ځان,cos
45,Haut::N,پوټکی,pell
46,Blut::N,وینه,sang
47,Ader::N,رګ,vena
48,Sehne::N,پله,tendó
49,Knochen::N,هډوکی,os
50,Gehirn::N,ماغزه,cervell
51,Herz::N,زړه,cor
52,Magen::N,معده,estómac
53,Leber::N,ينه,fetge
54,Leber::N,ځیګر,fetge
55,Atem::N,نفس,alè
56,Atem::N,نفس,hàlit
57,Hunger::N,ولږه,fam
58,Hunger::N,ولږه,gana
59,Träne::N,اوښکه,llàgrima
60,Geschmack::N,مزه,gust
61,Geschmack::N,مزه,sabor
62,Geschmack::N,خوند,gust
63,Geschmack::N,خوند,sabor
64,Geruch::N,بوی,olor
65,Schlaf::N,خوب,son
66,Traum::N,خوب,somni
67,Himmel::N,اسمان,celm
68,Sonne::N,لمر,sol
69,Mond::N,سپوږمۍ,lluna
70,Stern::N,ستوری,estel
71,Stern::N,ستوری,estrella
72,Luft::N,هوا,aire
73,Wind::N,ورښ,vent
74,Welle::N,موج,ona
75,Wasser::N,اوبه,āigua
76,Stein::N,ډبره,pedra
77,Boden::N,مځکه,sòl
78,Erde::N,خاوره,terra
79,Staub::N,ګرد,pols
80,Staub::N,خاوره,pols
81,Rauch::N,دود,fum
82,Rauch::N,لوګی,fum
83,Funke::N,سپرغۍ,guspira
84,Funke::N,سپرغۍ,centella
85,Feuer::N,اور,foc
86,Licht::N,رڼا,llum
87,Schatten::N,سیوری,ombra
88,Wetter::N,هوا,temps
89,Nebel::N,لړه,boira
90,Wolke::N,ورېځ,núvol
91,Regen::N,وریا,pluja
92,Regen::N,باران,pluja
93,Schnee::N,واوره,neu
94,Eis::N,یخ,gel
95,Eis::N,یخ,glaç
96,Eis::N,کنګل,gel
97,Eis::N,کنګل,glaç
