,Concept_ID,cs,xal
0,Auge::N,oko,нүдн
1,Ohr::N,ucho,чикн
2,Nase::N,nos,хамр
3,Mund::N,pusa,амн
4,Zahn::N,zub,шүдн
5,Zunge::N,jazyk,келн
6,Lippe::N,ret,урл
7,Wange::N,tvář,халх
8,Gesicht::N,obličej,нүр
9,Stirn::N,čelo,маңна
10,Haar::N,vlas,үсн
11,Haar::N,vlasy,үсн
12,Schnurrbart::N,kníry,сахл
13,Bart::N,vousy,сахл
14,Bart::N,vousy,өргнә сахл
15,Kinn::N,brada,өргн
16,Kiefer[Anatomie]::N,čelist,өргн
17,Kehle::N,hrdlo,хол
18,Hals::N,krk,күзүн
19,Genick::N,týl,гиҗг
20,Kopf::N,hlava,толһа
21,Rücken::N,záda,нурһн
22,Rücken::N,hřbet,нурһн
23,Bauch::N,břicho,гесн
24,Nabel::N,pupek,киисн
25,Busen::N,ňadra,көкн
26,Brust::N,prsa,чееҗ
27,Schulter::N,plece,ээм
28,Schulter::N,rameno,ээм
29,Arm::N,ruka,һар
30,Ellenbogen::N,loket,тоха
31,Hand::N,ruka,баһлцг
32,Handfläche::N,dlaň,альхн
33,Finger::N,prst,хурһн
34,Finger::N,prst,һарин хурһн
35,Fingernagel::N,nehet,хумсн
36,Nagel[Anatomie]::N,nehet,хумсн
37,Zeh::N,prst u nohy,хурһн
38,Zeh::N,prst u nohy,көлин хурһн
39,Fuß::N,noha,тавг
40,Ferse::N,pata,өскә
41,Knie::N,koleno,өвдг
42,Oberschenkel::N,stehno,һуй
43,Bein::N,noha,көл
44,Körper::N,tělo,махмуд
45,Haut::N,kůže,арсн
46,Blut::N,krev,цусн
47,Ader::N,céva,судцн
48,Sehne::N,šlacha,шүрүсн
49,Knochen::N,kost,ясн
50,Gehirn::N,mozek,экн
51,Herz::N,srdce,зүркн
52,Magen::N,žaludek,гесн
53,Leber::N,játra,элкн
54,Atem::N,dech,әмсхл
55,Hunger::N,hlad,харһнлһн
56,Träne::N,slza,нульмсн
57,Geschmack::N,vkus,амтн
58,Geruch::N,vůně,үнр
59,Geruch::N,zápach,үнр
60,Schlaf::N,spánek,нөр
61,Traum::N,sen,зүүдн
62,Himmel::N,nebe,теңгр
63,Sonne::N,slunce,нарн
64,Mond::N,měsíc,сар
65,Stern::N,hvězda,одн
66,Luft::N,vzduch,аһар
67,Wind::N,vítr,салькн
68,Welle::N,vlna,дольган
69,Wasser::N,voda,усн
70,Stein::N,kámen,чолун
71,Boden::N,půda,Һазр
72,Erde::N,země,Һазр
73,Staub::N,prach,тоосн
74,Rauch::N,dým,утан
75,Rauch::N,kouř,утан
76,Funke::N,jiskra,очн
77,Feuer::N,oheň,һал
78,Licht::N,světlo,герл
79,Schatten::N,stín,сүүдр
80,Wetter::N,počasí,теңгр
81,Nebel::N,mlha,будн
82,Wolke::N,mrak,үүлн
83,Wolke::N,oblak,үүлн
84,Regen::N,déšť,хур
85,Schnee::N,sníh,цасн
