,Concept_ID,ru,bg
0,Auge::N,глаз,око
1,Ohr::N,ухо,ухо
2,Nase::N,нос,нос
3,Mund::N,рот,уста
4,Zahn::N,зуб,зъб
5,Zunge::N,язык,език
6,Lippe::N,губа,устна
7,Wange::N,щека,буза
8,Gesicht::N,лицо,лице
9,Gesicht::N,лицо,образ
10,Stirn::N,лоб,чело
11,Haar::N,волос,коса
12,Haar::N,волос,косъм
13,Haar::N,волосы,коса
14,Haar::N,волосы,косъм
15,Schnurrbart::N,ус,мустаци
16,Schnurrbart::N,усы,мустаци
17,Bart::N,борода,брада
18,Kinn::N,подбородок,брада
19,Kinn::N,подбородок,брадичка
20,Kiefer[Anatomie]::N,челюсть,челюст
21,Kehle::N,горло,гърло
22,Hals::N,шея,врат
23,Genick::N,затылок,тил
24,Kopf::N,голова,глава
25,Rücken::N,спина,гръб
26,Bauch::N,живот,корем
27,Nabel::N,пупок,пъп
28,Busen::N,женская грудь,бозка
29,Brust::N,грудь,гръд
30,Schulter::N,плечо,рамо
31,Schulter::N,плечо,плещи
32,Arm::N,рука,ръка
33,Ellenbogen::N,локоть,лакът
34,Hand::N,кисть,ръка
35,Hand::N,кисть,китка
36,Handfläche::N,ладонь,длан
37,Finger::N,палец,пръст
38,Fingernagel::N,ноготь,нокът
39,Nagel[Anatomie]::N,ноготь,нокът
40,Zeh::N,палец,пръст на крак
41,Fuß::N,ступня,крак
42,Fuß::N,ступня,нога
43,Ferse::N,пята,пета
44,Ferse::N,пятка,пета
45,Knie::N,колено,коляно
46,Oberschenkel::N,бедро,бедро
47,Bein::N,нога,крак
48,Bein::N,нога,нога
49,Körper::N,тело,тяло
50,Haut::N,кожа,кожа
51,Blut::N,кровь,кръв
52,Ader::N,вена,вена
53,Ader::N,вена,артерия
54,Ader::N,сосуд,вена
55,Ader::N,сосуд,артерия
56,Sehne::N,жила,жила
57,Sehne::N,жила,сухожилие
58,Sehne::N,тетива,жила
59,Sehne::N,тетива,сухожилие
60,Sehne::N,сухожилие,жила
61,Sehne::N,сухожилие,сухожилие
62,Knochen::N,кость,кост
63,Gehirn::N,мозг,мозък
64,Herz::N,сердце,сърце
65,Magen::N,желудок,стомах
66,Leber::N,печень,черен дроб
67,Atem::N,дух,дишане
68,Atem::N,дыхание,дишане
69,Hunger::N,голод,глад
70,Träne::N,слеза,сълза
71,Geschmack::N,вкус,вкус
72,Geruch::N,запах,миризма
73,Schlaf::N,сон,сън
74,Traum::N,сновидение,сън
75,Himmel::N,небо,небе
76,Sonne::N,солнце,слънце
77,Mond::N,луна,луна
78,Mond::N,луна,месец
79,Stern::N,звезда,звезда
