,Concept_ID,eu,kn
0,Auge::N,begi,ಕಣ್ಣು
1,Ohr::N,belarri,ಕಿವಿ
2,Nase::N,sudur,ಮೂಗು
3,Mund::N,aho,ಬಾಯಿ
4,Zahn::N,hortz,ಹಲ್ಲು
5,Zunge::N,mihi,ನಾಲಿಗೆ
6,Lippe::N,ezpain,ತುಟಿ
7,Wange::N,masail,ಗಲ್ಲ
8,Gesicht::N,aurpegi,ಮುಖ
9,Stirn::N,bekoki,ಹಣೆ
10,Haar::N,ile,ಕೂದಲು
11,Haar::N,bilo,ಕೂದಲು
12,Schnurrbart::N,bibote,ಮೀಸೆ
13,Schnurrbart::N,sudurpeko,ಮೀಸೆ
14,Bart::N,bizar,ಗಡ್ಡ
15,Kinn::N,kokots,ಗದ್ದ
16,Kiefer[Anatomie]::N,masailezur,ದವಡೆ
17,Kehle::N,eztarri,ಗಂಟಲು
18,Hals::N,sama,ಕೊರಳು
19,Genick::N,garondo,ಹಿಂಗತ್ತು
20,Kopf::N,buru,ತಲೆ
21,Rücken::N,bizkar,ಬೆನ್ನು
22,Bauch::N,sabel,ಹೊಟ್ಟೆ
23,Nabel::N,zilbor,ಹೊಕ್ಕುಳು
24,Busen::N,titi,ಸ್ತನ
25,Busen::N,ugatz,ಸ್ತನ
26,Brust::N,bular,ಎದೆ
27,Schulter::N,besaburu,ಭುಜ
28,Arm::N,beso,ತೋಳು
29,Ellenbogen::N,ukondo,ಮೊಣಕೈ
30,Hand::N,esku,ಕೈ
31,Handfläche::N,ahur,ಅಂಗೈ
32,Finger::N,hatz,ಕೈಬೆರಳು
33,Fingernagel::N,azazkal,ಉಗುರು
34,Nagel[Anatomie]::N,azazkal,ಉಗುರು
35,Zeh::N,behatz,ಕಾಲ್ಬೆರಳು
36,Fuß::N,oin,ಪಾದ
37,Ferse::N,orpo,ಹಿಮ್ಮಡಿ
38,Ferse::N,oinburu,ಹಿಮ್ಮಡಿ
39,Knie::N,belaun,ಮಂಡಿ
40,Oberschenkel::N,izter,ತೊಡೆ
41,Bein::N,zango,ಕಾಲು
42,Körper::N,soin,ದೇಹ
43,Haut::N,azal,ಚರ್ಮ
44,Blut::N,odol,ರಕ್ತ
45,Ader::N,zain,ನರ
46,Sehne::N,gihar-zain,ನರ
47,Knochen::N,hezur,ಮೂಳೆ
48,Gehirn::N,garun,ಮಿದುಳು
49,Gehirn::N,burmuin,ಮಿದುಳು
50,Herz::N,bihotz,ಹೃದಯ
51,Magen::N,urdail,ಉದರ
52,Leber::N,gibel,ಯಕೃತ್ತು
53,Atem::N,hats,ಉಸಿರು
54,Atem::N,arnasa,ಉಸಿರು
55,Hunger::N,gose,ಹಸಿವು
56,Träne::N,malko,ಕಣ್ಣೀರು
57,Geschmack::N,dasta,ರುಚಿ
58,Geruch::N,usain,ವಾಸನೆ
59,Schlaf::N,lo,ನಿದ್ರೆ
60,Traum::N,amets,ಕನಸು
61,Himmel::N,zeru,ಬಾನು
62,Sonne::N,eguzki,ಸೂರ್ಯ
63,Mond::N,ilargi,ಚಂದ್ರ
64,Stern::N,izar,ಚುಕ್ಕಿ
65,Luft::N,aire,ವಾಯು
66,Wind::N,haize,ಗಾಳಿ
67,Welle::N,uhin,ಅಲೆ
68,Welle::N,olatu,ಅಲೆ
69,Wasser::N,ur,ನೀರು
70,Stein::N,harri,ಕಲ್ಲು
71,Boden::N,lur,ನೆಲ
72,Boden::N,zoru,ನೆಲ
73,Erde::N,lur,ಭೂಮಿ
74,Staub::N,hauts,ದೂಳು
75,Rauch::N,ke,ಹೊಗೆ
76,Funke::N,zirta,ಕಿಡಿ
77,Funke::N,txinparta,ಕಿಡಿ
78,Feuer::N,su,ಬೆಂಕಿ
79,Licht::N,argi,ಬೆಳಕು
80,Schatten::N,itzal,ನೆರಳು
81,Schatten::N,geriza,ನೆರಳು
82,Wetter::N,eguraldi,ಹವ
83,Nebel::N,laino,ಮಂಜು
84,Wolke::N,hodei,ಮೋಡ
85,Regen::N,euri,ಮಳೆ
86,Schnee::N,elur,ಹಿಮ
87,Eis::N,horma,ಮಂಜುಗಡ್ಡೆ
88,Frost::N,izotzaldi,ಮಂಜು
89,Kälte::N,hotz,ಹಿಮ
90,Hitze::N,bero,ಉಷ್ಣ
91,Raureif::N,antzigar,ಇಬ್ಬನಿ
92,Regenbogen::N,ostadar,ಇಂದ್ರಚಾಪ
93,Regenbogen::N,ortzadar,ಇಂದ್ರಚಾಪ
94,Donner::N,ostots,ಗುಡುಗು
95,Donner::N,ihurtzuri,ಗುಡುಗು
96,Strömung::N,laster,ಪ್ರವಾಹ
97,Tropfen::N,xorta,ತೊಟ್ಟು
98,Schaum::N,bits,ನೊರೆ
99,Schmutz::N,lohi,ಕಸ
100,Schmutz::N,zikin,ಕಸ
101,See::N,laku,ಸರೋವರ
102,See::N,aintzira,ಸರೋವರ
103,Sumpf::N,zingira,ಜೌಗುಸ್ಥಳ
104,Moor::N,zohikaztegi,ಬಂಜರು ಭೂಮಿ
105,Wiese::N,larre,ಹುಲ್ಲುಗಾವಲು
106,Wiese::N,belardi,ಹುಲ್ಲುಗಾವಲು
107,Wald::N,baso,ಕಾಡು
108,Wald::N,oihan,ಕಾಡು
109,Hügel::N,muino,ಗುಡ್ಡೆ
