,Concept_ID,el,hr
0,Auge::N,μάτι,oko
1,Auge::N,οφθαλμός,oko
2,Ohr::N,αυτί,uho
3,Nase::N,μύτη,nos
4,Mund::N,στόμα,usta
5,Zahn::N,δόντι,zub
6,Zunge::N,γλώσσα,jezik
7,Lippe::N,χείλος,usna
8,Wange::N,παρειά,obraz
9,Wange::N,μάγουλο,obraz
10,Gesicht::N,πρόσωπο,lice
11,Stirn::N,μέτωπο,čelo
12,Haar::N,μαλλιά,kosa
13,Schnurrbart::N,μουστάκι,brkovi
14,Bart::N,γένια,brada
15,Kinn::N,πιγούνι,brada
16,Kinn::N,πιγούνι,podbradak
17,Kiefer[Anatomie]::N,σαγόνι,čeljust
18,Kehle::N,λαρύγγι,grlo
19,Hals::N,λαιμός,vrat
20,Genick::N,σβέρκος,zatiljak
21,Kopf::N,κεφάλι,glava
22,Rücken::N,ράχη,leđa
23,Rücken::N,ράχη,hrbat
24,Bauch::N,κοιλιά,trbuh
25,Nabel::N,αφαλός,pupak
26,Busen::N,στήθος,sisa
27,Busen::N,στήθος,njedra
28,Brust::N,στήθος,prsa
29,Schulter::N,ώμος,rame
30,Schulter::N,ώμος,pleći
31,Arm::N,χέρι,ruka
32,Arm::N,μπράτςο,ruka
33,Ellenbogen::N,αγκώνας,lakat
34,Hand::N,χέρι,ruka
35,Handfläche::N,παλάμη,dlan
36,Finger::N,δάχτυλο,prst
37,Fingernagel::N,νύχι,nokat
38,Nagel[Anatomie]::N,νύχι,nokat
39,Zeh::N,δάχτυλο του ποδιού,nozni prst
40,Fuß::N,πόδι,noga
41,Fuß::N,πόδι,stopalo
42,Ferse::N,φτέρνα,peta
43,Knie::N,γόνατο,koljeno
44,Oberschenkel::N,μηρός,bedro
45,Bein::N,πόδι,noga
46,Körper::N,σώμα,tijelo
47,Körper::N,κορμί,tijelo
48,Haut::N,πετσί,put
49,Haut::N,πετσί,koža
50,Blut::N,αίμα,krv
51,Ader::N,φλέβα,žila
52,Sehne::N,νεύρο,tetiva
53,Sehne::N,τένοντας,tetiva
54,Knochen::N,οστό,kost
55,Knochen::N,κόκκαλο,kost
56,Gehirn::N,μυαλό,
57,Gehirn::N,εγκέφαλος,
58,Herz::N,καρδιά,srce
59,Magen::N,στομάχι,stomak
60,Magen::N,στομάχι,želudac
61,Leber::N,ήπαρ,jetra
62,Leber::N,συκωτί,jetra
63,Atem::N,αναπνοή,dah
64,Hunger::N,πείνα,glad
65,Träne::N,δάκρυ,suza
66,Geschmack::N,γεύση,ukus
67,Geruch::N,οσμή,njuh
68,Geruch::N,οσμή,miris
69,Geruch::N,μυρωδία,njuh
70,Geruch::N,μυρωδία,miris
71,Schlaf::N,ύπνος,san
72,Traum::N,όνειρο,san
73,Himmel::N,ουρανός,nebo
74,Sonne::N,ήλιος,sunce
75,Mond::N,σελήνη,mjesec
76,Mond::N,φεγγάρι,mjesec
77,Stern::N,άστρο,zvijezda
78,Stern::N,αστέρι,zvijezda
79,Luft::N,αέρας,zrak
80,Wind::N,αέρας,vjetar
81,Wind::N,άνεμος,vjetar
82,Welle::N,κύμα,val
83,Welle::N,κύμα,talas
84,Wasser::N,νερό,voda
85,Stein::N,πέτρα,kamen
86,Boden::N,χώμα,tlo
87,Boden::N,χώμα,zemlja
88,Erde::N,γη,zemlja
89,Staub::N,σκόνη,prah
90,Staub::N,σκόνη,prašina
91,Rauch::N,καπνός,dim
92,Funke::N,σπίθα,iskra
93,Funke::N,σπίθα,varnica
94,Funke::N,σπινθήρας,iskra
95,Funke::N,σπινθήρας,varnica
96,Feuer::N,φωτιά,vatra
97,Licht::N,φως,svjetlo
98,Schatten::N,σκιά,hlad
99,Schatten::N,σκιά,sjena
100,Schatten::N,ίσκιος,hlad
101,Schatten::N,ίσκιος,sjena
102,Wetter::N,καιρός,vrijeme
103,Nebel::N,ομίχλη,magla
104,Wolke::N,σύννεφο,oblak
105,Regen::N,βροχή,kiša
106,Schnee::N,χιόνι,snijeg
107,Eis::N,πάγος,led
108,Frost::N,παγωνία,mraz
109,Kälte::N,κρύο,studen
110,Kälte::N,κρύο,hladnoća
111,Kälte::N,ψύχος,studen
112,Kälte::N,ψύχος,hladnoća
113,Hitze::N,ζέστη,vrućina
114,Raureif::N,πάχνη,inje
115,Regenbogen::N,ουράνιο τόξο,duga
116,Donner::N,βροντή,grom
117,Donner::N,βροντή,grmljavina
118,Strömung::N,ρεύμα,struja
119,Strömung::N,ρεύμα,strujanje
120,Tropfen::N,στάλα,kap
121,Tropfen::N,στάλα,kaplja
122,Schaum::N,αφρός,pjena
123,Schmutz::N,βρωμιά,nečistoća
124,Schmutz::N,βρωμιά,prljavština
125,See::N,λίμνη,jezero
126,Sumpf::N,βάλτος,bara
127,Moor::N,έλος,močvara
128,Wiese::N,λιβάδι,livada
129,Wald::N,δάσος,šuma
130,Hügel::N,λόφος,brijeg
131,Hügel::N,λόφος,brežuljak
132,Anhöhe::N,ύψωμα,uzvišica
133,Berg::N,όρος,brdo
134,Berg::N,βουνό,brdo
135,Gipfel::N,κορυφή,vrh
