,Concept_ID,it,hy
0,Auge::N,occhio,աչք
1,Ohr::N,orecchio,ականջ
2,Nase::N,naso,քիթ
3,Mund::N,bocca,բերան
4,Zahn::N,dente,ատամ
5,Zunge::N,lingua,լեզու
6,Lippe::N,labbro,շրթունք
7,Wange::N,guancia,այտ
8,Wange::N,guancia,թուշ
9,Gesicht::N,viso,դեմք
10,Gesicht::N,faccia,դեմք
11,Stirn::N,fronte,ճակատ
12,Haar::N,capello,մազ
13,Schnurrbart::N,baffi,բեղ
14,Schnurrbart::N,mustacchi,բեղ
15,Bart::N,barba,մորուք
16,Kinn::N,mento,կզակ
17,Kiefer[Anatomie]::N,mascella,ծնոտ
18,Kehle::N,gola,կոկորդ
19,Hals::N,collo,վիզ
20,Hals::N,collo,պարանոց
21,Genick::N,nuca,ծոծրակ
22,Kopf::N,capo,գլուխ
23,Kopf::N,testa,գլուխ
24,Rücken::N,dorso,մեջք
25,Rücken::N,schiena,մեջք
26,Bauch::N,ventre,փոր
27,Bauch::N,ventre,որովայն
28,Nabel::N,ombelico,պորտ
29,Busen::N,seno,ծոց
30,Brust::N,petto,կուրծք
31,Schulter::N,spalla,ուս
32,Arm::N,braccio,թեւ
33,Arm::N,braccio,բազուկ
34,Ellenbogen::N,gomito,արմունկ
35,Hand::N,mano,ձեռք
36,Handfläche::N,palma,ափ
37,Finger::N,dito,մատ
38,Fingernagel::N,unghia,եղունգ
39,Nagel[Anatomie]::N,unghia,եղունգ
40,Zeh::N,dito del piede,ոտքի մատ
41,Fuß::N,piede,ոտք
42,Ferse::N,tallone,գարշապար
43,Ferse::N,calcagno,գարշապար
44,Knie::N,ginocchio,ծունկ
45,Oberschenkel::N,fèmore,ազդր
46,Bein::N,gamba,ոտք
47,Körper::N,corpo,մարմին
48,Haut::N,pelle,մաշկ
49,Blut::N,sangue,արյուն
50,Ader::N,vena,երակ
51,Sehne::N,tèndine,ջիղ
52,Sehne::N,tèndine,ձգտան
53,Knochen::N,osso,ոսկոր
54,Gehirn::N,cervello,խելք
55,Herz::N,cuore,սիրտ
56,Magen::N,stòmaco,ստամոքս
57,Leber::N,fegato,լյարդ
58,Atem::N,fiato,շունչ
59,Atem::N,respiro,շունչ
60,Hunger::N,fame,քաղց
61,Träne::N,làcrima,արտասուք
62,Geschmack::N,gusto,համ
63,Geschmack::N,gusto,բուրմունք
64,Geschmack::N,sapore,համ
65,Geschmack::N,sapore,բուրմունք
66,Geruch::N,odore,հոտ
67,Geruch::N,odore,բուրում
68,Schlaf::N,sonno,քուն
69,Traum::N,sogno,երազ
70,Himmel::N,cielo,երկինք
71,Sonne::N,sole,արեւ
72,Mond::N,luna,լուսին
73,Stern::N,stella,աստղ
74,Luft::N,aria,օդ
75,Wind::N,vento,քամի
