,Concept_ID,et,fr
0,Auge::N,silm,œil
1,Ohr::N,kõrv,oreille
2,Nase::N,nina,nez
3,Mund::N,suu,bouche
4,Zahn::N,hammas,dent
5,Zunge::N,keel,langue
6,Lippe::N,huul,lèvre
7,Wange::N,põsk,joue
8,Gesicht::N,nägu,face
9,Gesicht::N,nägu,visage
10,Stirn::N,otsmik,front
11,Haar::N,juus,cheveu
12,Schnurrbart::N,vurrud,moustache
13,Schnurrbart::N,vuntsid,moustache
14,Bart::N,habe,barbe
15,Kinn::N,lõug,menton
16,Kiefer[Anatomie]::N,lõualuu,mâchoire
17,Kehle::N,kõri,gorge
18,Hals::N,kael,cou
19,Genick::N,kukal,nuque
20,Kopf::N,pea,tête
21,Rücken::N,selg,dos
22,Bauch::N,kõht,ventre
23,Nabel::N,naba,nombril
24,Busen::N,rind,sein
25,Brust::N,rind,poitrine
26,Schulter::N,õlg,épaule
27,Arm::N,käsivars,bras
28,Ellenbogen::N,küünarnukk,coude
29,Hand::N,käsi,main
30,Handfläche::N,pihk,paume
31,Finger::N,sõrm,doigt
32,Fingernagel::N,küüs,ongle
33,Nagel[Anatomie]::N,küüs,ongle
34,Zeh::N,varvas,orteil
35,Zeh::N,varvas,doigt de pied
36,Fuß::N,jalg,pied
37,Ferse::N,kand,talon
38,Knie::N,põlv,genou
39,Oberschenkel::N,reis,cuisse
40,Bein::N,jalg,jambe
41,Körper::N,ihu,corps
42,Körper::N,keha,corps
43,Haut::N,nahk,peau
44,Blut::N,veri,sang
45,Ader::N,veen,veine
46,Sehne::N,kõõlus,tendon
47,Knochen::N,luu,os
48,Gehirn::N,aju,cerveau
49,Herz::N,süda,cœur
50,Magen::N,magu,estomac
51,Leber::N,maks,foie
52,Atem::N,hingeõhk,haleine
53,Atem::N,hingamine,haleine
54,Hunger::N,nälg,faim
55,Träne::N,pisar,larme
56,Geschmack::N,maitse,goût
57,Geschmack::N,maitse,saveur
58,Geruch::N,lõhn,odeur
59,Schlaf::N,uni,sommeil
60,Traum::N,unenägu,songe
61,Himmel::N,taevas,ciel
62,Sonne::N,päike,soleil
63,Mond::N,kuu,lune
64,Stern::N,täht,étoile
65,Luft::N,õhk,air
66,Wind::N,tuul,vent
67,Welle::N,laine,vague
68,Wasser::N,vesi,eau
69,Stein::N,kivi,pierre
70,Boden::N,maa,sol
71,Boden::N,maa,terrain
72,Boden::N,pinnas,sol
73,Boden::N,pinnas,terrain
74,Erde::N,maa,terre
75,Staub::N,põrm,poussière
76,Rauch::N,suits,fumée
77,Funke::N,säde,étincelle
78,Feuer::N,tuli,feu
79,Licht::N,valgus,lumière
80,Schatten::N,vari,ombre
81,Wetter::N,ilm,temps
82,Nebel::N,udu,brume
83,Nebel::N,udu,brouillard
84,Wolke::N,pilv,nuage
85,Regen::N,sadu,pluie
86,Schnee::N,lumi,neige
87,Eis::N,jää,glace
88,Frost::N,pakane,gel
89,Frost::N,pakane,gelée
90,Kälte::N,külm,froid
91,Kälte::N,külmus,froid
92,Hitze::N,kuumus,chaleur
93,Hitze::N,palavus,chaleur
94,Raureif::N,härmatis,givre
95,Regenbogen::N,vikerkaar,arc-en-ciel
96,Donner::N,kõu,tonnerre
97,Donner::N,müristamine,tonnerre
98,Strömung::N,voolus,courant
99,Strömung::N,jõevool,courant
100,Tropfen::N,tilk,goutte
101,Schaum::N,vaht,écume
102,Schaum::N,vaht,mousse
103,Schmutz::N,pori,boue
104,Schmutz::N,pori,saleté
105,Schmutz::N,mustus,boue
106,Schmutz::N,mustus,saleté
107,See::N,järv,lac
108,Sumpf::N,soo,marais
109,Sumpf::N,soo,marécage
110,Moor::N,raba,tourbière
111,Wiese::N,aas,pré
112,Wiese::N,nurm,pré
113,Wald::N,mets,bois
114,Wald::N,mets,forêt
115,Hügel::N,küngas,coteau
116,Hügel::N,küngas,colline
117,Anhöhe::N,küngas,éminence
118,Anhöhe::N,küngas,élévation
119,Berg::N,mägi,mont
120,Berg::N,mägi,montagne
121,Gipfel::N,mäetipp,cime
122,Gipfel::N,mäetipp,sommet
123,Höhle::N,koobas,caverne
124,Abhang::N,nõlvak,pente
125,Abhang::N,nõlvak,versant
126,Quelle::N,allikas,source
127,Quelle::N,allikas,fontaine
128,Bach::N,oja,ruisseau
129,Fluss::N,jõgi,fleuve
130,Fluss::N,jõgi,rivière
131,Ufer::N,kallas,bord
132,Ufer::N,kallas,rivage
133,Küste::N,rannik,côte
134,Festland::N,mander,terre ferme
135,Festland::N,maismaa,terre ferme
136,Meer::N,meri,mer
137,Bucht::N,laht,baie
138,Insel::N,saar,île
139,Blume::N,lill,fleur
140,Gras::N,rohi,herbe
141,Wurzel::N,juur,racine
142,Baum::N,puu,arbre
143,Stamm::N,tüvi,tronc
144,Rinde::N,koor,écorce
145,Ast::N,oks,branche
146,Zweig::N,oks,rameau
147,Blatt::N,leht,feuille
148,Birke::N,kask,bouleau
149,Kiefer[Baum]::N,mänd,pin
150,Weide[Baum]::N,paju,saule
151,Tanne::N,nulg,sapin
152,Horn::N,sarv,corne
153,Feder::N,sulg,plume
154,Fell::N,karvkate,peau
155,Fell::N,karusnahk,peau
156,Flügel::N,tiib,aile
157,Flügel::N,tiivik,aile
158,Klaue::N,küüs,serre
159,Kralle::N,küünis,ongle
160,Kralle::N,küünis,griffe
161,Schwanz::N,saba,queue
162,Ei::N,muna,œuf
163,Nest::N,pesa,nid
164,Bau::N,urg,terrier
165,Tier::N,loom,animal
166,Herde::N,kari,troupeau
167,Kuh::N,lehm,vache
168,Bulle::N,pull,taureau
169,Pferd::N,hobune,cheval
170,Schaf::N,lammas,mouton
171,Schwein::N,siga,porc
172,Schwein::N,siga,cochon
173,Hund::N,koer,chien
174,Katze::N,kass,chat
