,Concept_ID,sq,os
0,Auge::N,sy,цӕст
1,Ohr::N,vesh,хъус
2,Nase::N,hundë,фындз
3,Mund::N,gojë,дзых
4,Zahn::N,dhëmb,дӕндаг
5,Zunge::N,gjuhë,ӕвзаг
6,Lippe::N,buzë,был
7,Wange::N,faqe,рус
8,Wange::N,faqe,уадул
9,Wange::N,faqe,ӕхсӕрфарс
10,Wange::N,mollëz,рус
11,Wange::N,mollëz,уадул
12,Wange::N,mollëz,ӕхсӕрфарс
13,Gesicht::N,fytyrë,цӕсгом
14,Stirn::N,ballë,ных
15,Haar::N,flokë,хил
16,Schnurrbart::N,mustaqe,рихи
17,Bart::N,mjekër,зачъе
18,Kinn::N,mjekër,роцъо
19,Kiefer[Anatomie]::N,nofull,ӕфсӕр
20,Kehle::N,fyt,хъуыр
21,Kehle::N,grykë,хъуыр
22,Hals::N,qafë,къубал
23,Genick::N,arrëz,къӕбут
24,Kopf::N,kokë,сӕр
25,Rücken::N,kurriz,фӕсонтӕ
26,Bauch::N,bark,гуыбын
27,Nabel::N,kërthizë,бикъ
28,Busen::N,gji,дзидзи
29,Brust::N,gjoks,риу
30,Brust::N,kraharor,риу
31,Schulter::N,sup,уӕхск
32,Schulter::N,krah,уӕхск
33,Arm::N,krah,цонг
34,Ellenbogen::N,bërryl,рæмбын
35,Hand::N,dorë,къух
36,Handfläche::N,pëllëmbë,армытъӕпӕн
37,Finger::N,gisht,ӕнруылдз
38,Fingernagel::N,thua,ных
39,Nagel[Anatomie]::N,thua,ных
40,Zeh::N,gisht i këmbës,къух
41,Fuß::N,këmbë,фад
42,Ferse::N,thembër,зӕвӕт
43,Knie::N,gju,уӕраг
44,Oberschenkel::N,kofshë,агъд
45,Bein::N,këmbë,зӕнг
46,Körper::N,trup,буар
47,Haut::N,lëkurë,царм
48,Blut::N,gjak,туг
49,Ader::N,venë,дадзин
50,Ader::N,venë,тугдадзин
51,Sehne::N,dell,хъиутæ
52,Sehne::N,dell,нуар
53,Knochen::N,asht,стӕг
54,Knochen::N,kockë,стӕг
55,Gehirn::N,tru,магъз
56,Herz::N,zemër,зӕрдӕ
57,Magen::N,stomak,ахсӕн
58,Leber::N,mëlçi,игæр
59,Atem::N,frymë,улӕфт
60,Hunger::N,uri,стонг
61,Träne::N,lot,цæссыг
62,Geschmack::N,shije,ад
63,Geruch::N,erë,смаг
64,Schlaf::N,gjumë,хуыссӕг
65,Traum::N,ëndërr,фын
66,Himmel::N,qiell,арв
67,Himmel::N,qiell,уӕларв
68,Sonne::N,diell,хур
69,Mond::N,hënë,мӕй
70,Stern::N,yll,стъалы
71,Luft::N,ajër,уӕлдӕф
72,Wind::N,erë,дымгӕ
73,Welle::N,valë,уылӕн
74,Welle::N,dallgë,уылӕн
75,Wasser::N,ujë,дон
76,Stein::N,gur,дур
