,Concept_ID,ka,mdf
0,Auge::N,თვალი,сельме
1,Ohr::N,ყური,пиле
2,Nase::N,ცხვირი,шалхка
3,Mund::N,პირი,курга
4,Zahn::N,კბილი,пей
5,Zunge::N,ენა,кяль
6,Lippe::N,ბაგე,търва́
7,Wange::N,ლოყა,щёка
8,Gesicht::N,სახე,шама
9,Stirn::N,შუბლი,коня
10,Haar::N,თმა,шя́ярь
11,Schnurrbart::N,ულვაში,уса́
12,Bart::N,წვერი,сакал
13,Kinn::N,ნიკაპი,ула
14,Kiefer[Anatomie]::N,ყბა,саласка
15,Kehle::N,ყელი,кълдома
16,Kehle::N,ყელი,кърга́парь
17,Hals::N,ყელი,сялдаз
18,Hals::N,კისერი,сялдаз
19,Genick::N,კეფა,шовонь
20,Kopf::N,თავი,пря
21,Rücken::N,ზურგი,копорь
22,Bauch::N,მუცელი,пеке
23,Nabel::N,ჭიპი,по́кон
24,Busen::N,ძუძუ,потя
25,Brust::N,მკერდი,мяште
26,Schulter::N,მხარი,лафту
27,Schulter::N,მკლავი,лафту
28,Arm::N,ხელი,кядь
29,Ellenbogen::N,იდაყვი,кенерьба́карь
30,Hand::N,ხელი,кядь
31,Handfläche::N,ნები,кядьлапш
32,Handfläche::N,ხელისგული,кядьлапш
33,Finger::N,თითი,сур
34,Fingernagel::N,ფრჩხილი,кенже
35,Nagel[Anatomie]::N,ფრჩხილი,кенже
36,Zeh::N,ფეხის თითი,пильгосу́р
37,Fuß::N,ტერფი,пильге
38,Fuß::N,ტერფი,пильгелапа
39,Fuß::N,ფეხისგული,пильге
40,Fuß::N,ფეხისგული,пильгелапа
41,Ferse::N,ქუსლი,кочкяря
42,Knie::N,მუხლი,эль
43,Knie::N,მუხლი,пълма́нжа
44,Oberschenkel::N,ბარძაყი,пильгепукша
45,Bein::N,ფეხი,пильге
46,Körper::N,ტანი,ро́нга
47,Körper::N,ტანი,по́нда
48,Körper::N,სხეული,ро́нга
49,Körper::N,სხეული,по́нда
50,Haut::N,კანი,киське
51,Blut::N,სისხლი,вер
52,Ader::N,ძარღვი,сан
53,Ader::N,ძარღვი,верза́н
54,Sehne::N,მყესი,коське сан
55,Knochen::N,ძვალი,пакарь
56,Gehirn::N,ტვინი,уй
57,Herz::N,გული,седи
58,Magen::N,კუჭი,коткърдазь
59,Leber::N,ღვიძლი,макса
60,Atem::N,სუნთქვა,лекома
61,Atem::N,სუნთქვა,ваймонь тарксема
62,Hunger::N,შიმშილი,вачеши
63,Träne::N,ცრემლი,сельмове́дь
64,Geschmack::N,გემო,таньф
65,Geruch::N,სუნი,шине
66,Schlaf::N,ძილი,удома́
67,Traum::N,სიზმარი,он
68,Himmel::N,ცა,менель
69,Sonne::N,მზე,ши
70,Mond::N,მთვარე,ков
71,Stern::N,ვარსკვლავი,тяште
72,Luft::N,ჰაერი,кожф
73,Wind::N,ქარი,варма
74,Welle::N,ტალღა,тавла
75,Wasser::N,წყალი,ведь
76,Stein::N,ქვა,кев
77,Boden::N,მიწა,мода
78,Boden::N,მიწა,потмакс
79,Erde::N,ნიადაგი,мода
80,Erde::N,ნიადაგი,мастор
81,Staub::N,მტვერი,пуль
82,Rauch::N,ბოლი,качам
83,Rauch::N,კვამლი,качам
84,Funke::N,ნაკვესი,ця́тка
85,Feuer::N,ცეცხლი,тол
86,Licht::N,შუქი,ва́лда
87,Licht::N,სინათლე,ва́лда
88,Schatten::N,ლანდი,цильф
89,Schatten::N,ჩრდილი,цильф
90,Wetter::N,ამინდი,уша
91,Nebel::N,ნისლი,тума́н
92,Wolke::N,ღრუბელი,ковол
93,Regen::N,წვიმა,пизем
94,Schnee::N,თოვლი,лов
95,Eis::N,თოში,эй
96,Eis::N,ყინული,эй
97,Frost::N,ყინვა,ке́льме
98,Kälte::N,სიცივე,якшама
99,Hitze::N,სიცხე,пси
100,Raureif::N,ჭირხლი,леш
101,Raureif::N,თრთვილი,леш
102,Regenbogen::N,ცისარტყელა,а́тямъёнга
103,Donner::N,ქუხილი,атям
104,Strömung::N,დინება,шудема́
105,Tropfen::N,წვეთი,путькс
106,Tropfen::N,წვეთი,пътняфкс
107,Schaum::N,ქაფი,шов
108,Schaum::N,დორბლი,шов
109,Schmutz::N,ჭუჭყი,ърда́з
110,Schmutz::N,ტალახი,ърда́з
111,See::N,ტბა,эрьхке
112,Sumpf::N,ჭაობი,шяй
113,Moor::N,ტორფნარი,шяй
114,Wiese::N,ველი,луга
115,Wiese::N,მდელო,луга
116,Wald::N,ტყე,вирь
117,Hügel::N,ბორცვი,губо́р
118,Hügel::N,ბორცვი,пандоня
119,Anhöhe::N,მაღლობი,губо́р
120,Berg::N,მთა,панда
121,Gipfel::N,მწვერვალი,пря
122,Höhle::N,მღვიმე,у́нда
123,Höhle::N,გამოქვებული,у́нда
124,Abhang::N,ფერდობი,па́нда ша́ма
125,Quelle::N,წყარო,эшиня
126,Quelle::N,სათავე,эшиня
127,Bach::N,რუ,шудерькс
128,Bach::N,ნაკადული,шудерькс
129,Fluss::N,მდინარე,ляй
130,Ufer::N,კიდე,търва́
131,Ufer::N,ნაპირი,търва́
132,Küste::N,ნაპირი,ляйтърва́
133,Festland::N,ხმელეთი,мода
134,Meer::N,ზღვა,моря
135,Bucht::N,ყურე,ведьуське
136,Insel::N,კუნძული,цёнга
137,Blume::N,ყვავილი,панчф
138,Gras::N,ბალახი,тише
