,Concept_ID,lbe,hr
0,Auge::N,я,oko
1,Ohr::N,вичӏи,uho
2,Nase::N,май,nos
3,Mund::N,кьацӏ,usta
4,Zahn::N,ккарччи,zub
5,Zunge::N,маз,jezik
6,Lippe::N,мурччи,usna
7,Wange::N,чӏав,obraz
8,Gesicht::N,лажин,lice
9,Stirn::N,ненттабакӏ,čelo
10,Haar::N,чӏара,kosa
11,Schnurrbart::N,ссирссилтту,brkovi
12,Bart::N,чӏири,brada
13,Kinn::N,лунттубакӏ,brada
14,Kinn::N,лунттубакӏ,podbradak
15,Kiefer[Anatomie]::N,ххинчулул,čeljust
16,Kehle::N,кьакьари,grlo
17,Hals::N,ссурссу,vrat
18,Genick::N,махъабакӏ,zatiljak
19,Kopf::N,бакӏ,glava
20,Rücken::N,ттиликӏ,leđa
21,Rücken::N,ттиликӏ,hrbat
22,Bauch::N,лякьа,trbuh
23,Nabel::N,цӏумуккутӏ,pupak
24,Busen::N,ккукку,sisa
25,Busen::N,ккукку,njedra
26,Brust::N,хъазам,prsa
27,Schulter::N,хъачӏ,rame
28,Schulter::N,хъачӏ,pleći
29,Arm::N,ка,ruka
30,Ellenbogen::N,ссюрхъ,lakat
31,Hand::N,бартка,ruka
32,Handfläche::N,хъат,dlan
33,Handfläche::N,битӏянхъ,dlan
34,Finger::N,кӏисса,prst
35,Fingernagel::N,михь,nokat
36,Nagel[Anatomie]::N,михь,nokat
37,Zeh::N,кӏисса,nozni prst
38,Fuß::N,чӏанччан,noga
39,Fuß::N,чӏанччан,stopalo
40,Ferse::N,никъа,peta
41,Knie::N,ник,koljeno
42,Oberschenkel::N,жира,bedro
43,Bein::N,ччан,noga
44,Körper::N,чурх,tijelo
45,Haut::N,бурчу,put
46,Haut::N,бурчу,koža
47,Blut::N,оь,krv
48,Ader::N,тунну,žila
49,Sehne::N,хьхьа,tetiva
50,Knochen::N,ттаркӏ,kost
51,Gehirn::N,ня,
52,Herz::N,дакӏ,srce
53,Herz::N,къюкӏ,srce
54,Magen::N,лякьа,stomak
55,Magen::N,лякьа,želudac
56,Atem::N,ссихӏ ласаву,dah
57,Atem::N,ссихӏ бигьаву,dah
58,Hunger::N,ккаши,glad
59,Träne::N,макь,suza
60,Geschmack::N,тӏин,ukus
61,Geschmack::N,тӏааьн,ukus
62,Geruch::N,кьанкь,njuh
63,Geruch::N,кьанкь,miris
64,Schlaf::N,шану,san
65,Traum::N,макӏру,san
66,Himmel::N,ссав,nebo
67,Sonne::N,баргъ,sunce
68,Mond::N,барз,mjesec
69,Stern::N,цӏуку,zvijezda
70,Luft::N,гьава,zrak
71,Wind::N,марч,vjetar
72,Welle::N,щатӏи,val
73,Welle::N,щатӏи,talas
74,Wasser::N,щин,voda
75,Stein::N,чару,kamen
76,Boden::N,аьрщи,tlo
77,Boden::N,аьрщи,zemlja
78,Erde::N,аьрщи,zemlja
79,Staub::N,ххит,prah
80,Staub::N,ххит,prašina
81,Rauch::N,пуркӏу,dim
82,Funke::N,пиягь,iskra
83,Funke::N,пиягь,varnica
84,Feuer::N,цӏу,vatra
85,Licht::N,чани,svjetlo
86,Schatten::N,ххют,hlad
87,Schatten::N,ххют,sjena
88,Wetter::N,гьава,vrijeme
89,Nebel::N,шархь ттурлу,magla
90,Wolke::N,ттурлу,oblak
91,Regen::N,гъарал,kiša
92,Schnee::N,марххала,snijeg
93,Eis::N,микӏ,led
94,Frost::N,дяркъу,mraz
95,Frost::N,замгьар,mraz
96,Kälte::N,дяркъу,studen
97,Kälte::N,дяркъу,hladnoća
98,Hitze::N,кӏиришиву,vrućina
99,Raureif::N,сил,inje
100,Raureif::N,бурса,inje
101,Regenbogen::N,ссурул ккуртта,duga
102,Donner::N,къув,grom
103,Donner::N,къув,grmljavina
104,Strömung::N,экьинанаву,struja
105,Strömung::N,экьинанаву,strujanje
106,Tropfen::N,кӏунтӏ,kap
107,Tropfen::N,кӏунтӏ,kaplja
108,Schaum::N,хьама,pjena
109,Schmutz::N,кьяркьи,nečistoća
110,Schmutz::N,кьяркьи,prljavština
111,See::N,бяр,jezero
112,Sumpf::N,кунцӏа,bara
113,Wiese::N,кьан,livada
114,Wald::N,вацӏа,šuma
115,Hügel::N,бакӏу,brijeg
116,Hügel::N,бакӏу,brežuljak
117,Berg::N,зунтту,brdo
118,Gipfel::N,мицӏ,vrh
119,Höhle::N,нух,pećina
120,Höhle::N,нух,spilja
121,Abhang::N,сун,obronak
122,Abhang::N,сун,nizbrdica
123,Quelle::N,дайдихьу,izvor
124,Quelle::N,дайдихьу,vrelo
125,Quelle::N,бакӏ,izvor
126,Quelle::N,бакӏ,vrelo
127,Bach::N,чӏрир нех,potok
128,Fluss::N,нех,rijeka
129,Ufer::N,зума,obala
130,Küste::N,зумаинхалу,obala
131,Küste::N,зумаинхалу,morska obala
132,Küste::N,зуманицӏалу,obala
133,Küste::N,зуманицӏалу,morska obala
134,Festland::N,кьири,kopno
135,Meer::N,хьхьири,more
136,Insel::N,жазира,ada
137,Insel::N,жазира,otok
138,Blume::N,тӏутӏи,cvijet
