,Concept_ID,kk,pl
0,Auge::N,көз,oko
1,Ohr::N,құлақ,ucho
2,Nase::N,мұрын,nos
3,Mund::N,ауыз,usta
4,Zahn::N,тіс,ząb
5,Zunge::N,тіл,język
6,Lippe::N,ерін,warga
7,Wange::N,ұрт,policzek
8,Gesicht::N,бет-аузы,twarz
9,Stirn::N,маңдай,czoło
10,Haar::N,қыл,włos
11,Haar::N,қыл,włosy
12,Schnurrbart::N,мұрт,wąsy
13,Bart::N,сақал,broda
14,Kinn::N,иек,podbródek
15,Kiefer[Anatomie]::N,жақ,czeluść
16,Kehle::N,алқым,gardło
17,Hals::N,мойын,szyja
18,Genick::N,желке,kark
19,Kopf::N,кәллә,głowa
20,Rücken::N,арқа,plecy
21,Rücken::N,арқа,grzbiet
22,Bauch::N,қарын,brzuch
23,Nabel::N,кіндік,pępek
24,Busen::N,омырау,biust
25,Brust::N,кеуде,pierś
26,Schulter::N,иық,bark
27,Schulter::N,иық,ramię
28,Arm::N,қол,ręka
29,Arm::N,қол,ramię
30,Ellenbogen::N,шынтақ,łokieć
31,Hand::N,қол,dłoń
32,Handfläche::N,алақан,dłoń
33,Finger::N,саусақ,palec
34,Fingernagel::N,тырнақ,paznokieć
35,Nagel[Anatomie]::N,тырнақ,paznokieć
36,Zeh::N,тырнақ,palec
37,Zeh::N,тұяқ,palec
38,Fuß::N,аяқ-басы,stopa
39,Ferse::N,өкше,pięta
40,Ferse::N,өкшелік,pięta
41,Knie::N,тізе,kolano
42,Oberschenkel::N,жамбас,udo
43,Bein::N,аяқ,noga
44,Körper::N,дене,ciało
45,Haut::N,тері,skóra
46,Blut::N,қан,krew
47,Ader::N,көктамыр,żyła
48,Ader::N,күретамыр,żyła
49,Sehne::N,сіңір,ścięgno
50,Knochen::N,жілік,kość
51,Gehirn::N,ми,mózg
52,Herz::N,жүрек,serce
53,Magen::N,асқазан,żołądek
54,Leber::N,бауыр,wątroba
55,Atem::N,леп,dech
56,Atem::N,леп,oddech
57,Hunger::N,ашаршылық,głód
58,Träne::N,жас,łza
59,Geschmack::N,дәм,smak
60,Geschmack::N,татым,smak
61,Geschmack::N,талғам,smak
62,Geruch::N,иіс,woń
63,Geruch::N,иіс,zapach
64,Schlaf::N,ұйқы,sen
65,Schlaf::N,ұйықтау,sen
66,Traum::N,түс,sen
67,Himmel::N,аспан,niebo
68,Himmel::N,көқ,niebo
69,Himmel::N,таңдай,niebo
70,Sonne::N,күн,słońce
71,Mond::N,ай,księżyc
72,Stern::N,жұлдыз,gwiazda
73,Luft::N,әуе,powietrze
74,Wind::N,жел,wiatr
75,Welle::N,толқын,fala
76,Wasser::N,су,woda
77,Stein::N,тас,kamień
78,Boden::N,қыртыс,grunt
79,Erde::N,топырақ,ziemia
80,Staub::N,шаң,pył
81,Staub::N,шаң,kurz
82,Rauch::N,түтін,dym
83,Funke::N,ұшқын,iskra
84,Feuer::N,алау,ogień
85,Licht::N,шұғыла,światło
86,Schatten::N,көлеңке,cień
87,Wetter::N,ауа райы,pogoda
88,Nebel::N,тұман,mgła
89,Wolke::N,бұлт,obłok
90,Wolke::N,бұлт,chmura
91,Regen::N,жаңбыр,deszcz
92,Schnee::N,қар,śnieg
93,Eis::N,мұз,lód
94,Frost::N,суық,mróz
95,Kälte::N,ызғар,chłód
96,Kälte::N,суықтық,chłód
97,Hitze::N,аптап,gorąco
98,Raureif::N,қырау,szron
99,Regenbogen::N,кемпірқосақ,tęcza
100,Donner::N,күн күркіреу,grzmot
101,Strömung::N,ағын,nurt
102,Tropfen::N,тамшы,kropla
103,Schaum::N,көбік,piana
