,Concept_ID,sq,ku
0,Auge::N,sy,çav
1,Ohr::N,vesh,guh
2,Nase::N,hundë,bêvil
3,Mund::N,gojë,dev
4,Zahn::N,dhëmb,didan
5,Zunge::N,gjuhë,ziman
6,Lippe::N,buzë,lêv
7,Wange::N,faqe,dêm
8,Wange::N,faqe,hinarik
9,Wange::N,mollëz,dêm
10,Wange::N,mollëz,hinarik
11,Gesicht::N,fytyrë,rû
12,Stirn::N,ballë,enî
13,Haar::N,flokë,por
14,Schnurrbart::N,mustaqe,simbêl
15,Bart::N,mjekër,rih
16,Kinn::N,mjekër,zenî
17,Kiefer[Anatomie]::N,nofull,arguşk
18,Kehle::N,fyt,qirik
19,Kehle::N,grykë,qirik
20,Hals::N,qafë,stû
21,Hals::N,qafë,qirik
22,Genick::N,arrëz,stû
23,Kopf::N,kokë,serî
24,Rücken::N,kurriz,pişt
25,Bauch::N,bark,ûr
26,Bauch::N,bark,zik
27,Nabel::N,kërthizë,navik
28,Busen::N,gji,sîng
29,Brust::N,gjoks,sîng
30,Brust::N,kraharor,sîng
31,Schulter::N,sup,mil
32,Schulter::N,krah,mil
33,Arm::N,krah,çepil
34,Ellenbogen::N,bërryl,enîşk
35,Hand::N,dorë,dest
36,Handfläche::N,pëllëmbë,kefadest
37,Finger::N,gisht,tilî
38,Fingernagel::N,thua,neynuk
39,Nagel[Anatomie]::N,thua,bizmar
40,Zeh::N,gisht i këmbës,tilî linga
41,Fuß::N,këmbë,ling
42,Ferse::N,thembër,pahnî
43,Knie::N,gju,kabok
44,Oberschenkel::N,kofshë,rahn
45,Bein::N,këmbë,çip
46,Körper::N,trup,laş
47,Körper::N,trup,gowde
48,Haut::N,lëkurë,çerm
49,Blut::N,gjak,xwîn
50,Ader::N,venë,reh
51,Sehne::N,dell,reh
52,Knochen::N,asht,hestî
53,Knochen::N,kockë,hestî
54,Gehirn::N,tru,mêjî
55,Herz::N,zemër,dil
56,Magen::N,stomak,navêş
57,Leber::N,mëlçi,kezeb
58,Atem::N,frymë,hilm
59,Hunger::N,uri,birçîtî
60,Träne::N,lot,hêstir
61,Geschmack::N,shije,tam
62,Geruch::N,erë,bêhn
63,Schlaf::N,gjumë,xew
64,Traum::N,ëndërr,xewn
65,Himmel::N,qiell,ezman
66,Sonne::N,diell,roj
67,Mond::N,hënë,heyv
68,Stern::N,yll,stêrk
69,Luft::N,ajër,ba
70,Wind::N,erë,ba
71,Welle::N,valë,şewl
