,Concept_ID,ps,kk
0,Auge::N,سترګه,көз
1,Ohr::N,غوږ,құлақ
2,Nase::N,پوزه,мұрын
3,Mund::N,خوله,ауыз
4,Zahn::N,غاښ,тіс
5,Zunge::N,جبه,тіл
6,Lippe::N,شونډه,ерін
7,Wange::N,باړخو,ұрт
8,Gesicht::N,مخ,бет-аузы
9,Stirn::N,تندی,маңдай
10,Stirn::N,وچولی,маңдай
11,Haar::N,وېښته,қыл
12,Schnurrbart::N,برېت,мұрт
13,Bart::N,ږیره,сақал
14,Kinn::N,زنه,иек
15,Kiefer[Anatomie]::N,جامه,жақ
16,Kehle::N,غاړه,алқым
17,Hals::N,غاړه,мойын
18,Genick::N,ورمېږ,желке
19,Kopf::N,سر,кәллә
20,Rücken::N,شا,арқа
21,Bauch::N,نس,қарын
22,Bauch::N,ګېډه,қарын
23,Nabel::N,نوم,кіндік
24,Busen::N,تی,омырау
25,Brust::N,سینه,кеуде
26,Schulter::N,اوږه,иық
27,Arm::N,لاس,қол
28,Ellenbogen::N,څنګل,шынтақ
29,Hand::N,لاس,қол
30,Handfläche::N,ورغوی,алақан
31,Finger::N,ګوته,саусақ
32,Fingernagel::N,نوک,тырнақ
33,Nagel[Anatomie]::N,نوک,тырнақ
34,Zeh::N,ګوته,тырнақ
35,Zeh::N,ګوته,тұяқ
36,Fuß::N,پښه,аяқ-басы
37,Ferse::N,پونده,өкше
38,Ferse::N,پونده,өкшелік
39,Knie::N,زنګون,тізе
40,Oberschenkel::N,پتون,жамбас
41,Bein::N,پښه,аяқ
42,Körper::N,ځان,дене
43,Haut::N,پوټکی,тері
44,Blut::N,وینه,қан
45,Ader::N,رګ,көктамыр
46,Ader::N,رګ,күретамыр
47,Sehne::N,پله,сіңір
48,Knochen::N,هډوکی,жілік
49,Gehirn::N,ماغزه,ми
50,Herz::N,زړه,жүрек
51,Magen::N,معده,асқазан
52,Leber::N,ينه,бауыр
53,Leber::N,ځیګر,бауыр
54,Atem::N,نفس,леп
55,Hunger::N,ولږه,ашаршылық
56,Träne::N,اوښکه,жас
57,Geschmack::N,مزه,дәм
58,Geschmack::N,مزه,татым
59,Geschmack::N,مزه,талғам
60,Geschmack::N,خوند,дәм
61,Geschmack::N,خوند,татым
62,Geschmack::N,خوند,талғам
63,Geruch::N,بوی,иіс
64,Schlaf::N,خوب,ұйқы
65,Schlaf::N,خوب,ұйықтау
66,Traum::N,خوب,түс
67,Himmel::N,اسمان,аспан
68,Himmel::N,اسمان,көқ
69,Himmel::N,اسمان,таңдай
70,Sonne::N,لمر,күн
71,Mond::N,سپوږمۍ,ай
72,Stern::N,ستوری,жұлдыз
73,Luft::N,هوا,әуе
74,Wind::N,ورښ,жел
75,Welle::N,موج,толқын
76,Wasser::N,اوبه,су
77,Stein::N,ډبره,тас
78,Boden::N,مځکه,қыртыс
79,Erde::N,خاوره,топырақ
80,Staub::N,ګرد,шаң
81,Staub::N,خاوره,шаң
82,Rauch::N,دود,түтін
83,Rauch::N,لوګی,түтін
84,Funke::N,سپرغۍ,ұшқын
85,Feuer::N,اور,алау
86,Licht::N,رڼا,шұғыла
87,Schatten::N,سیوری,көлеңке
88,Wetter::N,هوا,ауа райы
89,Nebel::N,لړه,тұман
90,Wolke::N,ورېځ,бұлт
91,Regen::N,وریا,жаңбыр
92,Regen::N,باران,жаңбыр
93,Schnee::N,واوره,қар
94,Eis::N,یخ,мұз
95,Eis::N,کنګل,мұз
96,Frost::N,یخ,суық
97,Kälte::N,ساړه,ызғар
98,Kälte::N,ساړه,суықтық
99,Hitze::N,تودوخي,аптап
100,Raureif::N,سپینه پرخه,қырау
101,Regenbogen::N,بوډۍ ټال,кемпірқосақ
102,Regenbogen::N,سره زرغونه,кемпірқосақ
103,Donner::N,تالنده,күн күркіреу
104,Strömung::N,بهېدنه,ағын
105,Tropfen::N,قطره,тамшы
106,Tropfen::N,څاڅکی,тамшы
107,Schaum::N,ځګ,көбік
108,Schmutz::N,ناپاکي,кір
109,See::N,جهیل,көл
110,Sumpf::N,جبه,саз
111,Moor::N,جبه,саз
112,Wiese::N,چمن,шалғын
113,Wiese::N,شنېلی,шалғын
114,Wald::N,ځنګل,орман
115,Hügel::N,تپه,төбе
116,Hügel::N,تپه,белес
117,Hügel::N,تپه,белес-белес
118,Anhöhe::N,غونډۍ,дөң
119,Anhöhe::N,غونډۍ,адыр
120,Anhöhe::N,غونډۍ,қырат
121,Berg::N,غ‍‍‍‍‍ر,тау
122,Gipfel::N,څوکه,төбе
123,Höhle::N,کاز,үңгір
124,Abhang::N,لمن,бауыр
125,Quelle::N,چینه,қайнар
126,Bach::N,واله,жылға
127,Fluss::N,سیند,өзен
128,Ufer::N,غاړه,жиек
129,Küste::N,ساحل,жиегі
130,Küste::N,ساحل,жағалау
131,Festland::N,وچه,құрылық
132,Meer::N,بحر,теңіз
133,Meer::N,سمندر,теңіз
134,Bucht::N,کارۍ,шығанақ
135,Insel::N,ټاپو,арал
136,Insel::N,جزيره,арал
137,Blume::N,ګل,гүл
138,Gras::N,واښه,от
139,Wurzel::N,ریښه,түбір
140,Baum::N,ونه,ағаш
141,Baum::N,ونه,дарақ
142,Stamm::N,ډډ,сояу
143,Stamm::N,ډډ,оқпан
144,Rinde::N,پوستکی,қабық
145,Ast::N,ښاخ,бұтақ
146,Zweig::N,څانګه,шыбық
147,Blatt::N,پاڼه,жапырақ
148,Birke::N,توس,қайың
149,Kiefer[Baum]::N,نښتر,қарағай
150,Weide[Baum]::N,وله,тал
151,Tanne::N,ناجو,шырша
152,Horn::N,ښکر,мүйіз
153,Feder::N,بڼکه,қаламұш
154,Fell::N,پوستکی,тері
155,Flügel::N,وزر,қанат
156,Klaue::N,پنجه,тырнақ
157,Klaue::N,منګول,тырнақ
158,Kralle::N,پنجه,аяқ
159,Kralle::N,منګول,аяқ
160,Schwanz::N,لکۍ,құйрық
161,Ei::N,وۍ,жұмыртқа
162,Ei::N,هګۍ,жұмыртқа
163,Nest::N,جاله,ұя
164,Bau::N,کاز,жатақ
165,Tier::N,ژوی,айуан
166,Tier::N,ژوی,жануар
167,Tier::N,حیوان,айуан
168,Tier::N,حیوان,жануар
169,Herde::N,رمه,пада
170,Herde::N,غېله,пада
171,Kuh::N,غوا,сиыр
172,Bulle::N,غوئی,өгіз
173,Pferd::N,آس,жылқы
174,Schaf::N,پسه,қой
175,Schwein::N,سرکوزی,шошқа
176,Hund::N,سپی,ит
177,Katze::N,پشه,мысық
178,Bär::N,خرس,аю
179,Eichhörnchen::N,خړ لمی,тиін
180,Elch::N,ګوزن,бұғы
181,Fuchs::N,سپلم,түлкі
182,Hase::N,سوی,қоян
183,Maus::N,مږک,қаптесер
184,Wolf::N,لېوه,бөрі
185,Wolf::N,لېوه,қасқыр
186,Vogel::N,مرغه,құс
187,Schwarm::N,سېل,топ
188,Schwarm::N,سېل,үйір
189,Huhn::N,چرګه,тауық
190,Huhn::N,چرګه,мекиен
191,Hahn::N,چرګ,әтеш
192,Hahn::N,چرګ,қораз
193,Gans::N,بته,қаз
194,Adler::N,عقاب,бүркіт
195,Ente::N,ایلۍ,үйрек
196,Eule::N,ګونګی,жапалақ
197,Kranich::N,کلنګ,тырна
198,Krähe::N,کارغه,қарға
199,Kuckuck::N,فاخته,көкек
200,Schwan::N,قو,аққу
201,Fisch::N,کب,балық
202,Fisch::N,ماهی,балық
203,Schlange[Tier]::N,مار,жылан
204,Wurm::N,چینجی,шұбалшаң
205,Spinne::N,غڼه,өрмекші
206,Spinne::N,تارکښ,өрмекші
207,Ameise::N,مېږی,қүмырска
208,Laus::N,سپږه,бит
209,Mücke::N,ماشی,маса
210,Fliege::N,مچ,шыбын
211,Schmetterling::N,پتنګ,көбелек
212,Beere::N,مېوۍ,жидек
213,Apfel::N,مڼه,алма
214,Pilz::N,خرېړی,қозықұйрық
215,Pilz::N,خرېړی,саңыраукулақ
216,Zwiebel::N,پیاز,жуа
217,Saat::N,تخم,тұқым
218,Korn::N,تخم,дән
219,Korn::N,دانه,дән
220,Heu::N,بوس,шөп
221,Heu::N,پروړه,шөп
222,Schale::N,پوستکی,қабық
223,Schale::N,پوستکی,қабығы
224,Grube::N,کنده,ор
225,Falle::N,دام,дұзақ
226,Falle::N,دام,қақпан
227,Falle::N,لومه,дұзақ
228,Falle::N,لومه,қақпан
229,Schlinge::N,کړۍ,ілмек
230,Spur::N,نښه,із
231,Asche::N,آس,күл
232,Asche::N,ایره,күл
233,Dreck::N,ناپاکي,былғаныш
234,Eisen::N,اوسپنه,темір
235,Gold::N,سره زر,алтын
236,Silber::N,نقره,күміс
237,Silber::N,سپین زر,күміс
238,Kohle::N,سکور,көмір
239,Kohle::N,سکاره,көмір
240,Glas::N,ښيښه,шыны
241,Lehm::N,خټه,балшық
242,Sand::N,شګه,құм
243,Mensch::N,انسان,адам
244,Mann::N,سړی,еркек
245,Mann::N,سړی,ер адам
246,Mann::N,نارینه,еркек
247,Mann::N,نارینه,ер адам
248,Frau::N,ښځه,бике
249,Frau::N,ښځه,қатын
250,Kind::N,بچی,бала
251,Kind::N,بچی,перзент
252,Kind::N,ماشوم,бала
253,Kind::N,ماشوم,перзент
254,Junge::N,هلک,бала
255,Junge::N,هلک,ер бала
256,Mädchen::N,نجلۍ,қыз
257,Familie::N,کورنۍ,жанұя
258,Großvater::N,بابا,ата
259,Großmutter::N,انا,әже
260,Großmutter::N,انا,әжей
261,Eltern::N,مور او پلار,ата-аналар
262,Vater::N,پلار,әке
263,Mutter::N,مور,ана
264,Sohn::N,زوی,ұл
265,Tochter::N,لور,қызым
266,Bruder::N,ورور,бауырым
