,Concept_ID,mdf,he
0,Auge::N,сельме,עין
1,Ohr::N,пиле,אזן
2,Nase::N,шалхка,אף
3,Nase::N,шалхка,חטם
4,Mund::N,курга,פה
5,Zahn::N,пей,שן
6,Zunge::N,кяль,לשון
7,Lippe::N,търва́,שפה
8,Wange::N,щёка,לחי
9,Gesicht::N,шама,פנים
10,Stirn::N,коня,מצח
11,Haar::N,шя́ярь,שערה
12,Schnurrbart::N,уса́,שפם
13,Bart::N,сакал,זקן
14,Kinn::N,ула,סנטר
15,Kiefer[Anatomie]::N,саласка,לסת
16,Kehle::N,кълдома,גרון
17,Kehle::N,кърга́парь,גרון
18,Hals::N,сялдаз,צואר
19,Genick::N,шовонь,ערף
20,Kopf::N,пря,ראש
21,Rücken::N,копорь,גב
22,Bauch::N,пеке,בטן
23,Nabel::N,по́кон,טבור
24,Busen::N,потя,שד
25,Brust::N,мяште,חזה
26,Schulter::N,лафту,כתף
27,Arm::N,кядь,זרוע
28,Ellenbogen::N,кенерьба́карь,מרפק
29,Hand::N,кядь,יד
30,Handfläche::N,кядьлапш,כף יד
31,Finger::N,сур,אצבע
32,Fingernagel::N,кенже,צפרן
33,Nagel[Anatomie]::N,кенже,צפרן
34,Zeh::N,пильгосу́р,אצבע
35,Fuß::N,пильге,רגל
36,Fuß::N,пильгелапа,רגל
37,Ferse::N,кочкяря,עקב
38,Knie::N,эль,ברך
39,Knie::N,пълма́нжа,ברך
40,Oberschenkel::N,пильгепукша,ירך
41,Bein::N,пильге,רגל
42,Körper::N,ро́нга,גוף
43,Körper::N,по́нда,גוף
44,Haut::N,киське,עור
45,Blut::N,вер,דם
46,Ader::N,сан,וריד
47,Ader::N,верза́н,וריד
48,Sehne::N,коське сан,גיד
49,Knochen::N,пакарь,עצם
50,Gehirn::N,уй,מוח
51,Herz::N,седи,לב
52,Magen::N,коткърдазь,קבה
53,Leber::N,макса,כבד
54,Atem::N,лекома,נשימה
55,Atem::N,ваймонь тарксема,נשימה
56,Hunger::N,вачеши,רעב
57,Träne::N,сельмове́дь,דמעה
58,Geschmack::N,таньф,טעם
59,Geruch::N,шине,ריח
60,Schlaf::N,удома́,שנה
61,Traum::N,он,חלום
62,Himmel::N,менель,שמים
63,Sonne::N,ши,שמש
64,Mond::N,ков,ירח
65,Stern::N,тяште,כוכב
66,Luft::N,кожф,אויר
67,Wind::N,варма,רוח
68,Welle::N,тавла,גל
69,Wasser::N,ведь,מים
70,Stein::N,кев,אבן
71,Boden::N,мода,קרקע
72,Boden::N,потмакс,קרקע
73,Erde::N,мода,אדמה
