,Concept_ID,bg,ab
0,Auge::N,око,ала
1,Ohr::N,ухо,алымҳа
2,Nase::N,нос,аҧынҵа
3,Mund::N,уста,аҧышə
4,Zahn::N,зъб,ахаҧыц
5,Zunge::N,език,абз
6,Lippe::N,устна,ақьышə
7,Wange::N,буза,аӡамҩа
8,Gesicht::N,лице,аҿы
9,Gesicht::N,образ,аҿы
10,Stirn::N,чело,алахь
11,Haar::N,коса,ахəыц
12,Haar::N,косъм,ахəыц
13,Schnurrbart::N,мустаци,аҧаҵа
14,Bart::N,брада,ажакьа
15,Kinn::N,брада,ацламкəыгə
16,Kinn::N,брадичка,ацламкəыгə
17,Kiefer[Anatomie]::N,челюст,ацламҳəа
18,Kehle::N,гърло,ахəда
19,Hals::N,врат,ахəда
20,Genick::N,тил,ахəдаџьал
21,Kopf::N,глава,ахы
22,Rücken::N,гръб,азқəа
23,Bauch::N,корем,амгəа
24,Nabel::N,пъп,аҷапан
25,Busen::N,бозка,агəыҧҳəы
26,Brust::N,гръд,агəышҧы
27,Schulter::N,рамо,ажəҩахыр
28,Schulter::N,плещи,ажəҩахыр
29,Arm::N,ръка,амахəар
30,Ellenbogen::N,лакът,амашьхəылҵ
31,Hand::N,ръка,анапы
32,Hand::N,китка,анапы
33,Handfläche::N,длан,анапсаргəыҵа
34,Finger::N,пръст,анацəа
35,Fingernagel::N,нокът,анапхыц
36,Nagel[Anatomie]::N,нокът,ашьапхыц
37,Zeh::N,пръст на крак,ашьацəа
38,Fuß::N,крак,ашьапсыргəыҵа
39,Fuß::N,нога,ашьапсыргəыҵа
40,Ferse::N,пета,ашьхəа
41,Knie::N,коляно,ашьамхы
42,Oberschenkel::N,бедро,ауаҭəа
43,Bein::N,крак,ашьапы
44,Bein::N,нога,ашьапы
45,Körper::N,тяло,ацəеижь
46,Haut::N,кожа,ацəа
47,Blut::N,кръв,ашьа
48,Ader::N,вена,ада
49,Ader::N,артерия,ада
50,Sehne::N,жила,адаш
51,Sehne::N,сухожилие,адаш
52,Knochen::N,кост,абаҩ
53,Gehirn::N,мозък,ахшлыбаҩ
54,Gehirn::N,мозък,ахшыбаҩ
55,Herz::N,сърце,агəы
56,Magen::N,стомах,аца
57,Magen::N,стомах,ацар
58,Leber::N,черен дроб,агəаҵəа
59,Atem::N,дишане,аҧсыҧлагаҩгара
60,Hunger::N,глад,амла
61,Träne::N,сълза,алабжыш
62,Geschmack::N,вкус,агьама
63,Geruch::N,миризма,афҩы
64,Schlaf::N,сън,ацəа
65,Traum::N,сън,аҧхыӡ
66,Himmel::N,небе,ажəҩан
67,Sonne::N,слънце,амра
68,Mond::N,луна,амза
69,Mond::N,месец,амза
70,Stern::N,звезда,аеҵəа
71,Luft::N,въздух,аҳаир
72,Wind::N,вятър,аҧша
73,Welle::N,вълна,ацəқəырҧа
74,Wasser::N,вода,аӡы
75,Stein::N,камък,ахаҳə
76,Boden::N,земя,адгьыл
77,Boden::N,почва,адгьыл
78,Erde::N,земя,адгьыл
79,Erde::N,почва,адгьыл
80,Staub::N,прах,асаба
81,Rauch::N,дим,алҩа
82,Rauch::N,пушек,алҩа
83,Funke::N,искра,акəиц
84,Funke::N,искра,ацҧхь
85,Feuer::N,огън,амца
86,Licht::N,светлина,алашара
87,Schatten::N,сянка,ашəшьыра
88,Wetter::N,време,амш
89,Nebel::N,мъгла,анаҟəа
90,Wolke::N,облак,аҧсҭҳəа
91,Regen::N,дъжд,ақəа
92,Schnee::N,сняг,асы
93,Eis::N,лед,аҵаа
94,Frost::N,мраз,аҵаа
95,Kälte::N,студ,ахьҭа
96,Hitze::N,жега,ашоура
97,Hitze::N,горещина,ашоура
98,Raureif::N,скреж,аҵааҧшқа
99,Raureif::N,слана,аҵааҧшқа
100,Regenbogen::N,дъга,ацəаҟəа
101,Donner::N,гръм,адыд
102,Strömung::N,течение,аиасра
103,Strömung::N,течение,амҩасра
104,Tropfen::N,капка,ацəыкəбар
105,Schaum::N,пяна,ашəах
106,Schmutz::N,кал,алымт
107,Schmutz::N,мръсотия,алымт
108,See::N,езеро,аӡиа
109,Sumpf::N,блато,аӡмах
110,Moor::N,мочурище,
111,Wiese::N,ливада,адəы
112,Wald::N,гора,абна
113,Hügel::N,рид,ахəы
114,Hügel::N,хълм,ахəы
115,Anhöhe::N,могила,аҳаракыра
116,Anhöhe::N,възвишение,аҳаракыра
117,Berg::N,планина,ашьха
118,Gipfel::N,връх,ацəқəа
119,Höhle::N,пещера,аҳаҧы
120,Abhang::N,склон,анаара
121,Abhang::N,стръмнина,анаара
122,Quelle::N,извор,аҵҵырҭа
123,Bach::N,поток,акəараҷҷа
124,Fluss::N,река,аӡиас
125,Ufer::N,бряг,ахықə
126,Küste::N,бряг,ахықə
127,Küste::N,крайбрежие,ахықə
128,Festland::N,суша,абарра
129,Meer::N,море,амшын
130,Bucht::N,залив,аӡбжьахала
131,Insel::N,остров,адгьылбжьаха
132,Blume::N,цвете,ашəҭ
133,Gras::N,трева,аҳасакьын
134,Wurzel::N,корен,адац
135,Baum::N,дърво,аҵла
136,Stamm::N,стъбло,ашьапы
137,Rinde::N,кора,ацəа
138,Ast::N,клон,амахə
139,Ast::N,клон,амахəҭа
140,Zweig::N,клон,амахə
141,Zweig::N,клон,амахəҭа
142,Blatt::N,лист,абҕьы
143,Birke::N,бреза,аҵааҵла
144,Kiefer[Baum]::N,бор,амза
145,Weide[Baum]::N,върба,аҧслыш
146,Tanne::N,ела,аҧсаӡ
147,Horn::N,рог,атəыҩа
148,Feder::N,перо,ахӡы
149,Fell::N,кожа,ацəа
150,Flügel::N,крило,амҵəыжəа
151,Klaue::N,нокът,ашьапхыц
152,Kralle::N,нокът,
153,Schwanz::N,опашка,аҵыхəа
154,Ei::N,яйце,акəтаӷь
155,Nest::N,гнездо,аҭра
156,Nest::N,гнездо,аҵысҭра
157,Bau::N,дупка,аҭыҩра
158,Tier::N,животно,аҧстəы
159,Tier::N,животно,агыгшəыг
