,Concept_ID,xal,et
0,Auge::N,нүдн,silm
1,Ohr::N,чикн,kõrv
2,Nase::N,хамр,nina
3,Mund::N,амн,suu
4,Zahn::N,шүдн,hammas
5,Zunge::N,келн,keel
6,Lippe::N,урл,huul
7,Wange::N,халх,põsk
8,Gesicht::N,нүр,nägu
9,Stirn::N,маңна,otsmik
10,Haar::N,үсн,juus
11,Schnurrbart::N,сахл,vurrud
12,Schnurrbart::N,сахл,vuntsid
13,Bart::N,сахл,habe
14,Bart::N,өргнә сахл,habe
15,Kinn::N,өргн,lõug
16,Kiefer[Anatomie]::N,өргн,lõualuu
17,Kehle::N,хол,kõri
18,Hals::N,күзүн,kael
19,Genick::N,гиҗг,kukal
20,Kopf::N,толһа,pea
21,Rücken::N,нурһн,selg
22,Bauch::N,гесн,kõht
23,Nabel::N,киисн,naba
24,Busen::N,көкн,rind
25,Brust::N,чееҗ,rind
26,Schulter::N,ээм,õlg
27,Arm::N,һар,käsivars
28,Ellenbogen::N,тоха,küünarnukk
29,Hand::N,баһлцг,käsi
30,Handfläche::N,альхн,pihk
31,Finger::N,хурһн,sõrm
32,Finger::N,һарин хурһн,sõrm
33,Fingernagel::N,хумсн,küüs
34,Nagel[Anatomie]::N,хумсн,küüs
35,Zeh::N,хурһн,varvas
36,Zeh::N,көлин хурһн,varvas
37,Fuß::N,тавг,jalg
38,Ferse::N,өскә,kand
39,Knie::N,өвдг,põlv
40,Oberschenkel::N,һуй,reis
41,Bein::N,көл,jalg
42,Körper::N,махмуд,ihu
43,Körper::N,махмуд,keha
44,Haut::N,арсн,nahk
45,Blut::N,цусн,veri
46,Ader::N,судцн,veen
47,Sehne::N,шүрүсн,kõõlus
48,Knochen::N,ясн,luu
49,Gehirn::N,экн,aju
50,Herz::N,зүркн,süda
51,Magen::N,гесн,magu
52,Leber::N,элкн,maks
53,Atem::N,әмсхл,hingeõhk
54,Atem::N,әмсхл,hingamine
55,Hunger::N,харһнлһн,nälg
56,Träne::N,нульмсн,pisar
57,Geschmack::N,амтн,maitse
58,Geruch::N,үнр,lõhn
59,Schlaf::N,нөр,uni
60,Traum::N,зүүдн,unenägu
61,Himmel::N,теңгр,taevas
62,Sonne::N,нарн,päike
63,Mond::N,сар,kuu
64,Stern::N,одн,täht
65,Luft::N,аһар,õhk
66,Wind::N,салькн,tuul
67,Welle::N,дольган,laine
68,Wasser::N,усн,vesi
69,Stein::N,чолун,kivi
70,Boden::N,Һазр,maa
71,Boden::N,Һазр,pinnas
72,Erde::N,Һазр,maa
73,Staub::N,тоосн,põrm
74,Rauch::N,утан,suits
75,Funke::N,очн,säde
76,Feuer::N,һал,tuli
77,Licht::N,герл,valgus
78,Schatten::N,сүүдр,vari
79,Wetter::N,теңгр,ilm
80,Nebel::N,будн,udu
81,Wolke::N,үүлн,pilv
82,Regen::N,хур,sadu
83,Schnee::N,цасн,lumi
84,Eis::N,мөсн,jää
85,Frost::N,киитн,pakane
86,Kälte::N,киитн,külm
87,Kälte::N,киитн,külmus
88,Hitze::N,халун,kuumus
89,Hitze::N,халун,palavus
90,Raureif::N,цаң,härmatis
91,Raureif::N,кирү,härmatis
92,Regenbogen::N,солңһ,vikerkaar
93,Donner::N,оһтрһун дун,kõu
94,Donner::N,оһтрһун дун,müristamine
95,Strömung::N,урсхл,voolus
96,Strömung::N,урсхл,jõevool
97,Tropfen::N,дусал,tilk
98,Schaum::N,көөсн,vaht
99,Schmutz::N,кир,pori
100,Schmutz::N,кир,mustus
101,See::N,нур,järv
102,Sumpf::N,унул,soo
103,Moor::N,улм,raba
104,Wiese::N,хадлһн,aas
105,Wiese::N,хадлһн,nurm
106,Wald::N,ө-модн,mets
107,Hügel::N,толһа,küngas
108,Anhöhe::N,хамр,küngas
109,Berg::N,уул,mägi
110,Gipfel::N,ора,mäetipp
111,Höhle::N,хадин көндә,koobas
112,Abhang::N,ташу,nõlvak
113,Quelle::N,булг,allikas
114,Bach::N,һооҗур,oja
115,Fluss::N,һол,jõgi
116,Ufer::N,көвә,kallas
117,Küste::N,көвә,rannik
118,Küste::N,теңгсин көвә,rannik
119,Festland::N,хүүрә һазр,mander
120,Festland::N,хүүрә һазр,maismaa
121,Meer::N,теңгс,meri
122,Bucht::N,цекә,laht
123,Bucht::N,теңгсин цекә,laht
124,Insel::N,арл,saar
125,Blume::N,цецг,lill
126,Gras::N,ноһан,rohi
127,Wurzel::N,уңг,juur
128,Baum::N,модн,puu
129,Stamm::N,шилв,tüvi
130,Stamm::N,һол модн,tüvi
131,Rinde::N,көрсн,koor
132,Ast::N,ац,oks
133,Zweig::N,ац,oks
134,Blatt::N,хамтхасн,leht
135,Birke::N,хусм модн,kask
136,Kiefer[Baum]::N,шар харһа,mänd
137,Weide[Baum]::N,удн,paju
138,Tanne::N,җөөлн цаһан модн,nulg
139,Horn::N,өвр,sarv
140,Feder::N,өрвлг,sulg
141,Fell::N,арсн,karvkate
142,Fell::N,арсн,karusnahk
143,Flügel::N,җивр,tiib
144,Flügel::N,җивр,tiivik
145,Klaue::N,хумсн,küüs
146,Kralle::N,тавг,küünis
147,Schwanz::N,сүл,saba
148,Ei::N,өндгн,muna
149,Nest::N,үр,pesa
150,Bau::N,нүкн,urg
151,Tier::N,мал,loom
152,Herde::N,сүрг мал,kari
153,Kuh::N,үкр,lehm
154,Bulle::N,бух,pull
155,Pferd::N,мөрн,hobune
156,Schaf::N,хөн,lammas
