,Concept_ID,ga,ca
0,Auge::N,súil,ull
1,Ohr::N,cluas,orella
2,Nase::N,soc,nas
3,Mund::N,béal,boca
4,Zahn::N,fiacail,dent
5,Zunge::N,teanga,llēngua
6,Lippe::N,liopa,llavi
7,Wange::N,grua,galta
8,Wange::N,leiceann,galta
9,Gesicht::N,éadan,cara
10,Gesicht::N,aghaidh,cara
11,Stirn::N,baithis,front
12,Stirn::N,clár éadain,front
13,Haar::N,gruaig,cabēll
14,Schnurrbart::N,croiméal,bigoti
15,Bart::N,féasóg,barba
16,Kinn::N,smig,mentó
17,Kinn::N,smig,barbeta
18,Kiefer[Anatomie]::N,giall,queix
19,Kiefer[Anatomie]::N,giall,mandíbula
20,Kehle::N,scornach,gola
21,Kehle::N,scornach,gorja
22,Hals::N,muinéal,coll
23,Genick::N,baic,nuca
24,Kopf::N,ceann,cap
25,Rücken::N,droim,esquena
26,Bauch::N,bolg,panxa
27,Nabel::N,imleacán,llombrígol
28,Busen::N,cíoch,pit
29,Busen::N,cíoch,mama
30,Brust::N,brollach,pit
31,Schulter::N,gualainn,espatlla
32,Arm::N,lámh,braç
33,Ellenbogen::N,uillinn,colze
34,Hand::N,lámh,mà
35,Handfläche::N,bos,palma
36,Finger::N,méar,dit
37,Fingernagel::N,ionga,ungla
38,Nagel[Anatomie]::N,ionga,ungla
39,Zeh::N,ladhar,dit del peu
40,Fuß::N,cos,peu
41,Fuß::N,troigh,peu
42,Ferse::N,sáil,taló
43,Knie::N,glúin,genoll
44,Oberschenkel::N,ceathrú,cuixa
45,Bein::N,cos,cama
46,Körper::N,corp,cos
47,Körper::N,colainn,cos
48,Haut::N,cneas,pell
49,Haut::N,craiceann,pell
50,Blut::N,fuil,sang
51,Sehne::N,teannán,tendó
52,Sehne::N,féitheog,tendó
53,Knochen::N,cnámh,os
54,Gehirn::N,inchinn,cervell
55,Herz::N,croí,cor
56,Magen::N,bolg,estómac
57,Magen::N,goile,estómac
58,Leber::N,ae,fetge
59,Atem::N,anáil,alè
60,Atem::N,anáil,hàlit
61,Hunger::N,ocras,fam
62,Hunger::N,ocras,gana
63,Träne::N,deoir,llàgrima
64,Geschmack::N,blas,gust
65,Geschmack::N,blas,sabor
66,Geruch::N,boladh,olor
67,Schlaf::N,suan,son
68,Schlaf::N,codladh,son
69,Traum::N,taibhreamh,somni
70,Himmel::N,spéir,celm
71,Sonne::N,grian,sol
72,Mond::N,ré,lluna
73,Mond::N,gealach,lluna
74,Stern::N,rinn,estel
75,Stern::N,rinn,estrella
76,Stern::N,réalta,estel
77,Stern::N,réalta,estrella
78,Luft::N,aer,aire
79,Wind::N,gaoth,vent
80,Welle::N,tonn,ona
81,Wasser::N,uisce,āigua
82,Stein::N,cloch,pedra
83,Boden::N,talamh,sòl
84,Erde::N,cré,terra
85,Erde::N,ithir,terra
86,Staub::N,dusta,pols
87,Staub::N,deannach,pols
88,Rauch::N,toit,fum
89,Rauch::N,deatach,fum
90,Funke::N,drithle,guspira
91,Funke::N,drithle,centella
92,Feuer::N,tine,foc
93,Licht::N,solas,llum
94,Schatten::N,scáth,ombra
95,Wetter::N,aimsir,temps
96,Nebel::N,ceo,boira
97,Wolke::N,néal,núvol
98,Wolke::N,scamall,núvol
99,Regen::N,báisteach,pluja
100,Regen::N,fearthainn,pluja
101,Schnee::N,sneachta,neu
102,Eis::N,oighear,gel
103,Eis::N,oighear,glaç
104,Frost::N,sioc,glaçada
105,Kälte::N,fuacht,fred
106,Hitze::N,teas,calor
107,Hitze::N,teocht,calor
108,Raureif::N,sioc bán,gebre
109,Regenbogen::N,stua ceatha,arc iris
110,Regenbogen::N,bogha báistí,arc iris
111,Donner::N,toirneach,tro
112,Strömung::N,sruth,corrent
113,Tropfen::N,deoir,gota
114,Schaum::N,cúr,escuma
115,Schmutz::N,salachar,brutícia
116,See::N,loch,llac
117,Sumpf::N,portach,pantà
118,Moor::N,caorán,pantà
119,Moor::N,móinteán,pantà
120,Wiese::N,cluain,prat
121,Wiese::N,cluain,prada
122,Wiese::N,móinéar,prat
123,Wiese::N,móinéar,prada
124,Wald::N,coill,bosc
125,Wald::N,foraois,bosc
126,Hügel::N,ard,puig
127,Hügel::N,ard,pujol
128,Anhöhe::N,ard,turó
129,Anhöhe::N,ardán,turó
130,Berg::N,sliabh,muntanya
131,Gipfel::N,barr,cim
132,Gipfel::N,mullach,cim
133,Höhle::N,uaimh,cova
134,Höhle::N,pluais,cova
135,Abhang::N,fána,coster
136,Quelle::N,foinse,font
137,Bach::N,sruthán,riera
138,Fluss::N,abhainn,riu
139,Ufer::N,bruach,riba
140,Küste::N,cósta,costa
141,Küste::N,cladach,costa
142,Festland::N,míntír,terra ferma
143,Meer::N,muir,mar
144,Meer::N,farraige,mar
145,Bucht::N,bá,cala
