,Concept_ID,hr,bn
0,Auge::N,oko,চক্ষু
1,Ohr::N,uho,কর্ণ
2,Nase::N,nos,নাক
3,Mund::N,usta,মুখ
4,Zahn::N,zub,দাঁত
5,Zunge::N,jezik,জিহবা
6,Lippe::N,usna,অধর
7,Wange::N,obraz,গণ্ড
8,Gesicht::N,lice,মুখমণ্ডল
9,Stirn::N,čelo,কপাল
10,Haar::N,kosa,চুল
11,Schnurrbart::N,brkovi,গোঁফ
12,Bart::N,brada,শ্মশ্রু
13,Kinn::N,brada,চিবুক
14,Kinn::N,podbradak,চিবুক
15,Kiefer[Anatomie]::N,čeljust,চোয়াল
16,Kehle::N,grlo,কণ্ঠ
17,Hals::N,vrat,গল
18,Genick::N,zatiljak,ঘাড়
19,Kopf::N,glava,মাথা
20,Rücken::N,leđa,পৃষ্ঠ
21,Rücken::N,hrbat,পৃষ্ঠ
22,Bauch::N,trbuh,উদর
23,Nabel::N,pupak,নাভি
24,Busen::N,sisa,স্তন
25,Busen::N,njedra,স্তন
26,Brust::N,prsa,বুক
27,Schulter::N,rame,স্কন্ধ
28,Schulter::N,pleći,স্কন্ধ
29,Arm::N,ruka,বাহু
30,Ellenbogen::N,lakat,কনুই
31,Hand::N,ruka,হাত
32,Handfläche::N,dlan,করতল
33,Finger::N,prst,আঙ্গুল
34,Fingernagel::N,nokat,হাতের নখ
35,Nagel[Anatomie]::N,nokat,নখ
36,Zeh::N,nozni prst,আঙ্গুল
37,Fuß::N,noga,পা
38,Fuß::N,stopalo,পা
39,Ferse::N,peta,গোড়ালি
40,Knie::N,koljeno,হাঁটু
41,Oberschenkel::N,bedro,ঊরু
42,Bein::N,noga,পা
43,Körper::N,tijelo,দেহ
44,Haut::N,put,ত্বক
45,Haut::N,koža,ত্বক
46,Blut::N,krv,রক্ত
47,Ader::N,žila,শিরা
48,Sehne::N,tetiva,কণ্ডরা
49,Knochen::N,kost,অস্থি
50,Herz::N,srce,হৃৎপিণ্ড
51,Magen::N,stomak,পাকস্থলী
52,Magen::N,želudac,পাকস্থলী
53,Leber::N,jetra,যকৃৎ
54,Atem::N,dah,শ্বাস
55,Hunger::N,glad,ক্ষুধা
56,Träne::N,suza,অশ্রু
57,Geschmack::N,ukus,স্বাদ
58,Geruch::N,njuh,গন্ধ
59,Geruch::N,miris,গন্ধ
60,Schlaf::N,san,ঘুম
61,Traum::N,san,স্বপ্ন
62,Himmel::N,nebo,আকাশ
