,Concept_ID,myv,hu
0,Auge::N,сельме,szem
1,Ohr::N,пиле,fül
2,Nase::N,судо,orr
3,Mund::N,курго,száj
4,Zahn::N,пей,fog
5,Zunge::N,кель,nyelv
6,Lippe::N,турва,ajak
7,Wange::N,чамабока,orca
8,Wange::N,чамаумарь,orca
9,Gesicht::N,чама,arc
10,Stirn::N,коня,homlok
11,Haar::N,черь,haj
12,Schnurrbart::N,ус,bajusz
13,Schnurrbart::N,муюк,bajusz
14,Bart::N,сакал,szakáll
15,Kinn::N,уло,áll
16,Kiefer[Anatomie]::N,пейпакар,állkapocs
17,Kiefer[Anatomie]::N,пейловажа,állkapocs
18,Kehle::N,кирьгапарь,gége
19,Kehle::N,кирьгапарь,torok
20,Hals::N,кирьга,nyak
21,Genick::N,човонь,tarkó
22,Kopf::N,пря,fő
23,Kopf::N,пря,fej
24,Rücken::N,копорь,hát
25,Bauch::N,пеке,has
26,Nabel::N,почо,köldök
27,Busen::N,поте,mell
28,Busen::N,поте,kebel
29,Brust::N,меште,mell
30,Schulter::N,лавтов,váll
31,Arm::N,кедь,kar
32,Ellenbogen::N,кенерепакарь,könyök
33,Hand::N,кедь,kéz
34,Handfläche::N,кедькуншка,tenyér
35,Handfläche::N,кедьлапушка,tenyér
36,Finger::N,сур,ujj
37,Fingernagel::N,кенже,köröm
38,Nagel[Anatomie]::N,кенже,köröm
39,Zeh::N,пильге сур,lábujj
40,Fuß::N,пильге,láb
41,Ferse::N,кочкаря,sarok
42,Knie::N,эле,térd
43,Knie::N,эзне,térd
44,Knie::N,кумажа,térd
45,Oberschenkel::N,качо,comb
46,Bein::N,пильге,láb
47,Bein::N,пильге,lábszár
48,Körper::N,рунго,test
49,Haut::N,киське,bőr
50,Blut::N,верь,vér
51,Ader::N,сан,ér
52,Sehne::N,коське сан,ín
53,Knochen::N,пакарь,csont
54,Gehirn::N,удем,agy
55,Gehirn::N,удем,agyvelő
56,Herz::N,седей,szív
57,Magen::N,пеке,gyomor
58,Leber::N,максо,máj
59,Atem::N,лексема,lehelet
60,Atem::N,лексема,lélegzet
61,Atem::N,оймень таргсема,lehelet
62,Atem::N,оймень таргсема,lélegzet
63,Hunger::N,вачочи,éhség
64,Träne::N,селведь,könny
65,Geschmack::N,тансть,íz
66,Geruch::N,чине,szag
67,Schlaf::N,удома,álom
68,Schlaf::N,удома,alvás
69,Traum::N,он,álom
70,Himmel::N,менель,ég
71,Himmel::N,менель,menny
72,Sonne::N,чи,nap
73,Mond::N,ков,hold
74,Stern::N,теште,csillag
75,Luft::N,кошт,levegő
76,Wind::N,варма,szél
77,Welle::N,толкун,hullám
78,Wasser::N,ведь,víz
79,Stein::N,кев,kő
80,Boden::N,мода,föld
81,Boden::N,мода,talaj
82,Erde::N,мастор,föld
83,Staub::N,пуль,por
84,Rauch::N,качамо,füst
85,Funke::N,сятко,szikra
86,Feuer::N,тол,tűz
87,Licht::N,валдо,fény
88,Schatten::N,сулей,árnyék
89,Schatten::N,сулейкс,árnyék
90,Wetter::N,ушо,idő
91,Wetter::N,ушо,időjárás
92,Nebel::N,сув,köd
93,Wolke::N,пель,felhő
94,Regen::N,пиземс,eső
95,Schnee::N,лов,hó
96,Eis::N,эй,jég
97,Frost::N,кельме,fagy
98,Kälte::N,якшамо,hideg
99,Hitze::N,пси,hő
100,Hitze::N,пси,hőség
101,Raureif::N,лекш,zúzmara
102,Regenbogen::N,пурьгинечирьке,szivárvány
103,Regenbogen::N,пурьгинеёнкс,szivárvány
104,Donner::N,пурьгине,dörgés
105,Donner::N,пурьгине,mennydörgés
106,Strömung::N,чудема,áramlat
107,Strömung::N,чудевкс,áramlat
108,Tropfen::N,петнявкс,csepp
109,Schaum::N,чов,hab
110,Schaum::N,чов,tajték
111,Schmutz::N,рудаз,piszok
112,See::N,эрьке,tó
113,Sumpf::N,чей,mocsár
114,Moor::N,чей,láp
115,Wiese::N,луга,rét
116,Wiese::N,луга,mező
117,Wald::N,вирь,erdő
118,Hügel::N,губорь,domb
119,Hügel::N,пандыне,domb
120,Anhöhe::N,губорь,magaslat
121,Anhöhe::N,пандыне,magaslat
122,Berg::N,пандо,hegy
123,Gipfel::N,пря,csúcs
124,Höhle::N,пещера,barlang
125,Abhang::N,пандочама,lejtő
126,Quelle::N,ушодкс,forrás
127,Bach::N,чудикерькс,patak
128,Fluss::N,лей,folyó
129,Ufer::N,чире,part
130,Küste::N,лейчире,tengerpart
