,Concept_ID,sq,vep
0,Auge::N,sy,sil'm
1,Ohr::N,vesh,korv
2,Nase::N,hundë,nena
3,Mund::N,gojë,su
4,Zahn::N,dhëmb,pi
5,Zahn::N,dhëmb,hambaz
6,Zunge::N,gjuhë,kel'
7,Lippe::N,buzë,hul'
8,Wange::N,faqe,modpolišk
9,Wange::N,mollëz,modpolišk
10,Gesicht::N,fytyrë,mod
11,Stirn::N,ballë,oc
12,Haar::N,flokë,tuk
13,Haar::N,flokë,hibuz
14,Schnurrbart::N,mustaqe,habinod
15,Bart::N,mjekër,bard
16,Kinn::N,mjekër,löug
17,Kiefer[Anatomie]::N,nofull,hambazlu
18,Kehle::N,fyt,kurk
19,Kehle::N,grykë,kurk
20,Hals::N,qafë,kagl
21,Genick::N,arrëz,tagarai
22,Kopf::N,kokë,pä
23,Rücken::N,kurriz,sel'g
24,Bauch::N,bark,vac
25,Bauch::N,bark,koht
26,Nabel::N,kërthizë,naba
27,Busen::N,gji,niža
28,Brust::N,gjoks,rind
29,Brust::N,kraharor,rind
30,Schulter::N,sup,oug
31,Schulter::N,krah,oug
32,Arm::N,krah,käzi
33,Ellenbogen::N,bërryl,künambruz
34,Hand::N,dorë,käzi
35,Hand::N,dorë,käzitera
36,Handfläche::N,pëllëmbë,kämen
37,Finger::N,gisht,sor'm
38,Fingernagel::N,thua,künz'
39,Nagel[Anatomie]::N,thua,künz'
40,Zeh::N,gisht i këmbës,barbaz
41,Fuß::N,këmbë,jaug
42,Ferse::N,thembër,kand
43,Knie::N,gju,komb
44,Knie::N,gju,pol'v
45,Oberschenkel::N,kofshë,riiže
46,Bein::N,këmbë,jaug
47,Körper::N,trup,hibj
48,Haut::N,lëkurë,nahk
49,Blut::N,gjak,čak
50,Blut::N,gjak,veri
51,Ader::N,venë,son'
52,Sehne::N,dell,jände
53,Knochen::N,asht,lu
54,Knochen::N,kockë,lu
55,Gehirn::N,tru,aivod
56,Herz::N,zemër,südäin
57,Magen::N,stomak,südäikoht
58,Leber::N,mëlçi,maks
59,Atem::N,frymë,hengaiduz
60,Hunger::N,uri,näl'g
61,Träne::N,lot,kündal'
62,Geschmack::N,shije,magu
63,Geruch::N,erë,haju
64,Schlaf::N,gjumë,uni
65,Traum::N,ëndërr,unikuva
66,Himmel::N,qiell,taivaz
67,Sonne::N,diell,päiväine
68,Mond::N,hënë,kudmaine
69,Stern::N,yll,tähtaz
70,Luft::N,ajër,il'm
71,Wind::N,erë,döl
72,Wind::N,erë,tullei
73,Welle::N,valë,ald
74,Welle::N,valë,laineh
75,Welle::N,dallgë,ald
76,Welle::N,dallgë,laineh
77,Wasser::N,ujë,vezi
78,Stein::N,gur,kivi
79,Boden::N,tokë,ma
80,Boden::N,tokë,pohj
81,Boden::N,truall,ma
82,Boden::N,truall,pohj
83,Erde::N,dhe,ma
84,Erde::N,baltë,ma
85,Staub::N,pluhur,pölü
86,Rauch::N,tym,savu
87,Funke::N,xixë,kibin
88,Funke::N,shkëndijë,kibin
89,Feuer::N,zjarr,lämoi
