,Concept_ID,ro,da
0,Auge::N,ochi,øje
1,Ohr::N,ureche,øre
2,Nase::N,nas,næse
3,Mund::N,gură,mund
4,Zahn::N,dinte,tand
5,Zunge::N,limbă,tunge
6,Lippe::N,buză,læbe
7,Wange::N,bucă,kind
8,Wange::N,obraz,kind
9,Gesicht::N,față,ansigt
10,Gesicht::N,figură,ansigt
11,Stirn::N,frunte,pande
12,Haar::N,păr,hår
13,Schnurrbart::N,mustață,overskæg
14,Bart::N,barbă,skæg
15,Kinn::N,bărbie,hage
16,Kiefer[Anatomie]::N,falcă,kæbe
17,Kehle::N,beregată,strube
18,Hals::N,gât,hals
19,Genick::N,ceafă,nakke
20,Kopf::N,cap,hoved
21,Rücken::N,dos,ryg
22,Rücken::N,spate,ryg
23,Rücken::N,spinare,ryg
24,Bauch::N,burtă,mave
25,Bauch::N,pântece,mave
26,Nabel::N,buric,navle
27,Busen::N,sân,barm
28,Brust::N,piept,bryst
29,Schulter::N,umăr,skulder
30,Schulter::N,spate,skulder
31,Arm::N,braț,arm
32,Ellenbogen::N,cot,albue
33,Hand::N,mână,hånd
34,Handfläche::N,palmă,håndflade
35,Finger::N,deget,finger
36,Fingernagel::N,unghie,fingernegl
37,Nagel[Anatomie]::N,unghie,negl
38,Zeh::N,deget de la picior,tå
39,Fuß::N,picior,fod
40,Ferse::N,călcâi,hæl
41,Knie::N,genunchi,knæ
42,Oberschenkel::N,coapsă,lår
43,Bein::N,picior,ben
44,Körper::N,corp,krop
45,Körper::N,corp,legeme
46,Haut::N,piele,hud
47,Blut::N,sânge,blod
48,Ader::N,vână,åre
49,Ader::N,arteră,åre
50,Sehne::N,tendon,sene
51,Knochen::N,os,ben
52,Gehirn::N,creier,hjerne
53,Herz::N,inimă,hjerte
54,Magen::N,stomac,mave
55,Leber::N,ficat,lever
56,Atem::N,răsuflare,ånde
57,Atem::N,respirație,ånde
58,Hunger::N,foame,sult
59,Träne::N,lacrimă,tåre
60,Geschmack::N,gust,smag
61,Geruch::N,miros,lugt
62,Schlaf::N,somn,søvn
63,Traum::N,vis,drøm
64,Himmel::N,cer,himmel
65,Sonne::N,soare,sol
66,Mond::N,lună,måne
67,Stern::N,stea,stjerne
68,Luft::N,aer,luft
69,Wind::N,vânt,vind
70,Welle::N,val,bølge
71,Welle::N,undă,bølge
72,Wasser::N,apă,vand
73,Stein::N,piatră,sten
74,Boden::N,sol,jord
75,Boden::N,pământ,jord
76,Erde::N,pământ,jord
77,Staub::N,praf,støv
78,Rauch::N,fum,røg
79,Funke::N,scânteie,gnist
80,Feuer::N,foc,ild
81,Licht::N,lumină,lys
82,Schatten::N,umbră,skygge
83,Wetter::N,timp,vejr
84,Wetter::N,vreme,vejr
85,Nebel::N,ceață,tåge
86,Nebel::N,negură,tåge
87,Wolke::N,nor,sky
88,Regen::N,ploaie,regn
89,Schnee::N,zăpadă,sne
90,Eis::N,gheață,is
91,Frost::N,ger,frost
92,Kälte::N,frig,kulde
93,Hitze::N,arșiță,hede
94,Hitze::N,căldură,hede
95,Raureif::N,chiciură,rimfrost
96,Regenbogen::N,curcubeu,regnbue
97,Donner::N,tunet,torden
98,Strömung::N,curent,strømning
99,Tropfen::N,picătură,dråbe
100,Schaum::N,spumă,skum
101,Schmutz::N,murdărie,snavs
102,See::N,lac,sø
103,Sumpf::N,mlaștină,sump
104,Moor::N,bărăgan,mose
105,Wiese::N,fânaț,eng
106,Wiese::N,livadă,eng
107,Wald::N,codru,skov
108,Wald::N,pădure,skov
109,Hügel::N,deal,høj
110,Hügel::N,deal,bakke
111,Hügel::N,movilă,høj
112,Hügel::N,movilă,bakke
113,Anhöhe::N,deal,høj
114,Anhöhe::N,deal,bakke
115,Anhöhe::N,ridicătură,høj
116,Anhöhe::N,ridicătură,bakke
117,Berg::N,munte,bjerg
118,Gipfel::N,pisc,top
119,Höhle::N,peșteră,hule
120,Abhang::N,pantă,skrænt
121,Abhang::N,pantă,skråning
122,Abhang::N,versant,skrænt
123,Abhang::N,versant,skråning
124,Quelle::N,izvor,kilde
125,Bach::N,gârlă,bæk
126,Fluss::N,râu,flod
127,Fluss::N,fluviu,flod
128,Ufer::N,mal,bred
129,Ufer::N,țărm,bred
130,Küste::N,coastă,kyst
131,Festland::N,uscat,fastland
132,Meer::N,mare,hav
133,Bucht::N,golf,bugt
134,Insel::N,insulă,ø
135,Blume::N,floare,blomst
136,Gras::N,iarbă,græs
137,Wurzel::N,rădăcină,rod
138,Baum::N,copac,træ
139,Baum::N,arbore,træ
140,Stamm::N,tulpină,stamme
141,Rinde::N,scoarță,bark
142,Ast::N,cracă,gren
143,Ast::N,creangă,gren
144,Zweig::N,ramură,kvist
145,Zweig::N,creangă,kvist
146,Blatt::N,frunză,blad
147,Birke::N,mesteacăn,birk
148,Kiefer[Baum]::N,pin,fyrretræ
149,Weide[Baum]::N,salcie,piletræ
150,Weide[Baum]::N,răchită,piletræ
151,Tanne::N,brad,gran
152,Horn::N,corn,horn
153,Feder::N,pană,fjer
154,Fell::N,piele,skind
155,Flügel::N,aripă,vinge
156,Klaue::N,gheară,klov
157,Kralle::N,labă,klo
158,Kralle::N,gheară,klo
159,Schwanz::N,coadă,hale
160,Ei::N,ou,æg
161,Nest::N,cuib,rede
162,Bau::N,bârlog,bo
163,Bau::N,vizuină,bo
164,Tier::N,animal,dyr
165,Herde::N,turmă,flok
166,Herde::N,cireadă,flok
167,Kuh::N,vacă,ko
168,Bulle::N,taur,tyr
169,Pferd::N,cal,hest
170,Schaf::N,oaie,får
171,Schwein::N,porc,gris
172,Hund::N,câine,hund
173,Katze::N,pisică,kat
174,Bär::N,urs,bjørn
175,Eichhörnchen::N,veveriță,egern
176,Elch::N,elan,elg
177,Fuchs::N,vulpe,ræv
178,Hase::N,iepure,hare
179,Maus::N,șoarece,mus
180,Wolf::N,lup,ulv
181,Vogel::N,pasăre,fugl
182,Schwarm::N,cârd,sværm
183,Huhn::N,găină,høne
184,Hahn::N,cocoș,hane
185,Gans::N,gâscă,gås
186,Adler::N,vultur,ørn
187,Ente::N,rață,and
188,Eule::N,bufniță,ugle
189,Kranich::N,cocor,trane
190,Krähe::N,cioară,krage
191,Kuckuck::N,cuc,gøg
192,Schwan::N,lebădă,svane
193,Fisch::N,pește,fisk
194,Barsch::N,biban,aborre
195,Hecht::N,știucă,gedde
196,Schlange[Tier]::N,șarpe,slange
197,Wurm::N,vierme,orm
198,Spinne::N,păianjen,edderkop
199,Ameise::N,furnică,myre
200,Laus::N,păduche,lus
201,Mücke::N,țânțar,myg
202,Fliege::N,muscă,flue
203,Schmetterling::N,fluture,sommerfugl
204,Beere::N,boabă,bær
205,Apfel::N,măr,æble
206,Pilz::N,burete,svamp
207,Pilz::N,ciupercă,svamp
208,Zwiebel::N,ceapă,løg
209,Saat::N,semănătură,sæd
210,Korn::N,grâu,korn
211,Heu::N,fân,hø
212,Schale::N,coajă,skræl
213,Grube::N,groapă,grav
