,Concept_ID,uk,sl
0,Auge::N,око,okó
1,Ohr::N,вухо,uhó
2,Nase::N,ніс,nós
3,Mund::N,рот,ústa
4,Zahn::N,зуб,zób
5,Zunge::N,язик,jêzik
6,Lippe::N,губа,ústnica
7,Wange::N,щока,líce
8,Gesicht::N,обличчя,oblíčje
9,Stirn::N,лоб,čêlo
10,Haar::N,волосся,lás
11,Schnurrbart::N,вуса,bŕki
12,Bart::N,борода,bráda
13,Kinn::N,підборіддя,bráda
14,Kiefer[Anatomie]::N,щелепа,čeljúst
15,Kehle::N,горло,gŕlo
16,Hals::N,шия,vrát
17,Genick::N,потилиця,zatílnik
18,Kopf::N,голова,gláva
19,Rücken::N,спина,hrbèt
20,Bauch::N,живіт,trébuh
21,Nabel::N,пупок,pópek
22,Busen::N,груди,nédrja
23,Brust::N,груди,pŕsi
24,Schulter::N,плече,ráma
25,Schulter::N,плече,plêče
26,Arm::N,рука,rôka
27,Ellenbogen::N,лікоть,komólec
28,Hand::N,рука,rôka
29,Handfläche::N,долоня,dlán
30,Finger::N,палець,pŕst
31,Fingernagel::N,ніготь,nóht na rôki
32,Nagel[Anatomie]::N,ніготь,nóht
33,Zeh::N,палець на нозі,pŕst na nôgi
34,Fuß::N,нога,nôga
35,Ferse::N,п’ятка,pêta
36,Knie::N,коліно,koléno
37,Oberschenkel::N,стегно,stêgno
38,Bein::N,нога,nôga
39,Körper::N,тіло,teló
40,Haut::N,шкіра,kóža
41,Blut::N,кров,krí
42,Ader::N,вена,žíla
43,Sehne::N,сухожилля,kíta
44,Knochen::N,кістка,kóst
45,Gehirn::N,мозок,možgáni
46,Herz::N,серце,srcé
47,Magen::N,шлунок,želódec
48,Leber::N,печінка,jétra
49,Atem::N,дихання,díh
50,Hunger::N,голод,glád
51,Träne::N,сльоза,sólza
52,Geschmack::N,смак,okús
53,Geruch::N,запах,vónj
54,Schlaf::N,сон,sèn
55,Schlaf::N,сон,spánec
56,Schlaf::N,сплячка,sèn
57,Schlaf::N,сплячка,spánec
58,Traum::N,сон,sánje
59,Himmel::N,небо,nebó
60,Sonne::N,сонце,sónce
61,Mond::N,місяць,lúna
62,Mond::N,місяць,mésec
63,Stern::N,зірка,zvézda
64,Luft::N,повітря,zràk
65,Wind::N,вітер,véter
66,Welle::N,хвиля,vál
67,Wasser::N,вода,vôda
68,Stein::N,камінь,kámen
69,Boden::N,ґрунт,tlà
70,Erde::N,земля,pŕst
71,Erde::N,земля,zêmlja
72,Staub::N,пил,práh
73,Rauch::N,дим,dìm
74,Funke::N,іскра,ískra
75,Feuer::N,вогонь,ôgenj
76,Licht::N,світло,lúč
77,Schatten::N,тінь,sénca
78,Wetter::N,погода,vrême
79,Nebel::N,туман,meglà
80,Wolke::N,хмара,oblák
81,Regen::N,дощ,dèž
82,Schnee::N,сніг,snég
83,Eis::N,лід,léd
84,Frost::N,мороз,zmrzál
85,Kälte::N,холод,mràz
86,Hitze::N,жар,pripéka
87,Raureif::N,іній,ívje
88,Raureif::N,іній,slána
89,Regenbogen::N,райдуга,mávrica
90,Donner::N,грім,gròm
91,Strömung::N,струмина,strúja
92,Tropfen::N,крапля,káplja
93,Schaum::N,піна,péna
94,Schmutz::N,бруд,nesnága
95,See::N,озеро,jézero
96,Sumpf::N,драговина,močvírje
97,Moor::N,болото,bárje
98,Wiese::N,луг,trávnik
99,Wiese::N,лука,trávnik
100,Wald::N,ліс,lés
101,Wald::N,ліс,gòzd
102,Hügel::N,горб,brég
103,Hügel::N,горб,goríca
104,Anhöhe::N,височина,gríč
105,Anhöhe::N,височина,višína
106,Berg::N,гора,gôra
107,Berg::N,гора,planína
108,Gipfel::N,вершина,vŕh
109,Höhle::N,печера,jáma
110,Höhle::N,печера,votlína
111,Abhang::N,схил,pobóčje
112,Quelle::N,джерело,izvír
113,Bach::N,струмок,pôtok
114,Fluss::N,річка,réka
115,Ufer::N,берег,brég
116,Küste::N,узбережжя,obála
117,Küste::N,узбережжя,obréžje
118,Festland::N,суша,celína
119,Festland::N,суша,kopnína
120,Meer::N,море,mórje
121,Bucht::N,бухта,zalív
122,Bucht::N,затока,zalív
123,Insel::N,острів,ôtok
124,Blume::N,квітка,cvetlíca
125,Gras::N,трава,tráva
126,Wurzel::N,корінь,korenína
127,Baum::N,дерево,drevó
128,Stamm::N,стовбур,dêblo
129,Rinde::N,кора,lúbje
130,Rinde::N,кора,skórja
131,Ast::N,гілка,véja
132,Zweig::N,галузь,véja
133,Blatt::N,лист,líst
134,Birke::N,береза,bréza
135,Kiefer[Baum]::N,сосна,bòr
136,Weide[Baum]::N,верба,vŕba
137,Tanne::N,ялиця,hója
138,Horn::N,ріг,róg
139,Feder::N,перо,peró
140,Fell::N,хутро,kŕzno
141,Flügel::N,крило,krílo
142,Klaue::N,кіготь,párkelj
143,Kralle::N,лапа,krémpelj
144,Schwanz::N,хвіст,rèp
