,Concept_ID,cv,sl
0,Auge::N,куҫ,okó
1,Ohr::N,хӑлха,uhó
2,Nase::N,сӑмса,nós
3,Mund::N,ҫӑвар,ústa
4,Zahn::N,шӑл,zób
5,Zunge::N,чӗлхе,jêzik
6,Lippe::N,тута,ústnica
7,Wange::N,пит ҫӑмарти,líce
8,Gesicht::N,пит,oblíčje
9,Gesicht::N,пит-куҫ,oblíčje
10,Stirn::N,ҫамка,čêlo
11,Haar::N,ҫӳҫ,lás
12,Schnurrbart::N,усси,bŕki
13,Bart::N,сухал,bráda
14,Kinn::N,янах,bráda
15,Kiefer[Anatomie]::N,янах,čeljúst
16,Kehle::N,пыр,gŕlo
17,Kehle::N,карланкӑ,gŕlo
18,Hals::N,пыр,vrát
19,Genick::N,ӗнсе,zatílnik
20,Kopf::N,пуҫ,gláva
21,Rücken::N,ҫурӑм,hrbèt
22,Nabel::N,кӑвапа,pópek
23,Busen::N,кӑкӑр,nédrja
24,Brust::N,умӗ,pŕsi
25,Schulter::N,хул пуҫҫи,ráma
26,Schulter::N,хул пуҫҫи,plêče
27,Arm::N,алӑ,rôka
28,Ellenbogen::N,чавса,komólec
29,Hand::N,алӑ сыппи,rôka
30,Handfläche::N,ал лаппи,dlán
31,Finger::N,пӳрне,pŕst
32,Fingernagel::N,чӗрне,nóht na rôki
33,Nagel[Anatomie]::N,чӗрне,nóht
34,Zeh::N,пӳрне,pŕst na nôgi
35,Fuß::N,ура лаппи,nôga
36,Ferse::N,кӗле,pêta
37,Knie::N,чӗркуҫҫи,koléno
38,Oberschenkel::N,пӗҫӗ,stêgno
39,Bein::N,ура,nôga
40,Körper::N,ӳт,teló
41,Körper::N,ӳт-пӳ,teló
42,Haut::N,тир,kóža
43,Blut::N,юн,krí
44,Ader::N,вена,žíla
45,Sehne::N,шӑнӑр,kíta
46,Knochen::N,шӑмӑ,kóst
47,Gehirn::N,миме,možgáni
48,Herz::N,чӗре,srcé
49,Magen::N,хырӑмлӑх,želódec
50,Leber::N,пӗвер,jétra
51,Atem::N,сывлав,díh
52,Hunger::N,выҫлӑх,glád
53,Träne::N,куҫҫуль,sólza
54,Geschmack::N,техӗм,okús
55,Geruch::N,шӑршӑ,vónj
56,Schlaf::N,ыйхӑ,sèn
57,Schlaf::N,ыйхӑ,spánec
58,Traum::N,тӗлӗк,sánje
59,Himmel::N,пӗлӗт,nebó
60,Sonne::N,хӗвел,sónce
61,Mond::N,уйӑх,lúna
62,Mond::N,уйӑх,mésec
63,Stern::N,ҫӑлтӑр,zvézda
64,Luft::N,сывлӑш,zràk
65,Wind::N,ҫил,véter
66,Welle::N,хум,vál
67,Wasser::N,шыв,vôda
68,Wasser::N,шыв-шур,vôda
69,Stein::N,чул,kámen
