,Concept_ID,ba,ps
0,Auge::N,күҙ,سترګه
1,Ohr::N,ҡолаҡ,غوږ
2,Nase::N,танау,پوزه
3,Mund::N,ауыҙ,خوله
4,Zahn::N,теш,غاښ
5,Zunge::N,тел,جبه
6,Lippe::N,ирен,شونډه
7,Wange::N,яцаҡтар,باړخو
8,Gesicht::N,бит,مخ
9,Stirn::N,маңлай,تندی
10,Stirn::N,маңлай,وچولی
11,Haar::N,сәс,وېښته
12,Schnurrbart::N,мылтыҡ,برېت
13,Bart::N,һаҡал,ږیره
14,Kinn::N,эйэк,زنه
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,جامه
16,Kehle::N,тамаҡ,غاړه
17,Hals::N,муйын,غاړه
18,Genick::N,соңҡа,ورمېږ
19,Kopf::N,баш,سر
20,Rücken::N,арҡа,شا
21,Bauch::N,ҡорһаҡ,نس
22,Bauch::N,ҡорһаҡ,ګېډه
23,Nabel::N,кендек,نوم
24,Busen::N,күкрәк,تی
25,Brust::N,түш,سینه
26,Schulter::N,яурын,اوږه
27,Arm::N,ҡул,لاس
28,Ellenbogen::N,терһәк,څنګل
29,Hand::N,ҡул,لاس
30,Hand::N,ҡул суғы,لاس
31,Handfläche::N,ус төбө,ورغوی
32,Finger::N,бармаҡ,ګوته
33,Fingernagel::N,тырнаҡ,نوک
34,Nagel[Anatomie]::N,тырнаҡ,نوک
35,Zeh::N,бармаҡ,ګوته
36,Fuß::N,табан,پښه
37,Ferse::N,үксә,پونده
38,Knie::N,тубыҡ,زنګون
39,Oberschenkel::N,сандыр,پتون
40,Bein::N,аяҡ,پښه
41,Körper::N,тән,ځان
42,Haut::N,тире,پوټکی
43,Blut::N,ҡан,وینه
44,Ader::N,тамыр,رګ
45,Sehne::N,һеңер,پله
46,Sehne::N,тарамыш,پله
47,Knochen::N,һойәк,هډوکی
48,Gehirn::N,мейе,ماغزه
49,Herz::N,йорәк,زړه
50,Magen::N,ашҡаҙан,معده
51,Leber::N,бауыр,ينه
52,Leber::N,бауыр,ځیګر
53,Atem::N,һулыш,نفس
54,Hunger::N,аслыҡ,ولږه
55,Träne::N,күҙ иәше,اوښکه
56,Geschmack::N,тәм,مزه
57,Geschmack::N,тәм,خوند
58,Geruch::N,еҫ,بوی
59,Schlaf::N,йоҡлау,خوب
60,Traum::N,төш,خوب
61,Himmel::N,күк,اسمان
62,Sonne::N,ҡояш,لمر
63,Mond::N,ай,سپوږمۍ
64,Stern::N,йондоҙ,ستوری
65,Luft::N,һауа,هوا
66,Wind::N,ел,ورښ
67,Welle::N,тулҡын,موج
68,Wasser::N,һыу,اوبه
69,Stein::N,таш,ډبره
70,Boden::N,тупраҡ,مځکه
71,Erde::N,балсҡ,خاوره
72,Staub::N,туҙан,ګرد
73,Staub::N,туҙан,خاوره
74,Rauch::N,төтөн,دود
