,Concept_ID,bn,kn
0,Auge::N,চক্ষু,ಕಣ್ಣು
1,Ohr::N,কর্ণ,ಕಿವಿ
2,Nase::N,নাক,ಮೂಗು
3,Mund::N,মুখ,ಬಾಯಿ
4,Zahn::N,দাঁত,ಹಲ್ಲು
5,Zunge::N,জিহবা,ನಾಲಿಗೆ
6,Lippe::N,অধর,ತುಟಿ
7,Wange::N,গণ্ড,ಗಲ್ಲ
8,Gesicht::N,মুখমণ্ডল,ಮುಖ
9,Stirn::N,কপাল,ಹಣೆ
10,Haar::N,চুল,ಕೂದಲು
11,Schnurrbart::N,গোঁফ,ಮೀಸೆ
12,Bart::N,শ্মশ্রু,ಗಡ್ಡ
13,Kinn::N,চিবুক,ಗದ್ದ
14,Kiefer[Anatomie]::N,চোয়াল,ದವಡೆ
15,Kehle::N,কণ্ঠ,ಗಂಟಲು
16,Hals::N,গল,ಕೊರಳು
17,Genick::N,ঘাড়,ಹಿಂಗತ್ತು
18,Kopf::N,মাথা,ತಲೆ
19,Rücken::N,পৃষ্ঠ,ಬೆನ್ನು
20,Bauch::N,উদর,ಹೊಟ್ಟೆ
21,Nabel::N,নাভি,ಹೊಕ್ಕುಳು
22,Busen::N,স্তন,ಸ್ತನ
23,Brust::N,বুক,ಎದೆ
24,Schulter::N,স্কন্ধ,ಭುಜ
25,Arm::N,বাহু,ತೋಳು
26,Ellenbogen::N,কনুই,ಮೊಣಕೈ
27,Hand::N,হাত,ಕೈ
28,Handfläche::N,করতল,ಅಂಗೈ
29,Finger::N,আঙ্গুল,ಕೈಬೆರಳು
30,Fingernagel::N,হাতের নখ,ಉಗುರು
31,Nagel[Anatomie]::N,নখ,ಉಗುರು
32,Zeh::N,আঙ্গুল,ಕಾಲ್ಬೆರಳು
33,Fuß::N,পা,ಪಾದ
34,Ferse::N,গোড়ালি,ಹಿಮ್ಮಡಿ
35,Knie::N,হাঁটু,ಮಂಡಿ
36,Oberschenkel::N,ঊরু,ತೊಡೆ
37,Bein::N,পা,ಕಾಲು
38,Körper::N,দেহ,ದೇಹ
39,Haut::N,ত্বক,ಚರ್ಮ
40,Blut::N,রক্ত,ರಕ್ತ
41,Ader::N,শিরা,ನರ
42,Sehne::N,কণ্ডরা,ನರ
43,Knochen::N,অস্থি,ಮೂಳೆ
44,Gehirn::N,মস্তিষ্ক,ಮಿದುಳು
45,Herz::N,হৃৎপিণ্ড,ಹೃದಯ
46,Magen::N,পাকস্থলী,ಉದರ
47,Leber::N,যকৃৎ,ಯಕೃತ್ತು
48,Atem::N,শ্বাস,ಉಸಿರು
49,Hunger::N,ক্ষুধা,ಹಸಿವು
50,Träne::N,অশ্রু,ಕಣ್ಣೀರು
51,Geschmack::N,স্বাদ,ರುಚಿ
52,Geruch::N,গন্ধ,ವಾಸನೆ
53,Schlaf::N,ঘুম,ನಿದ್ರೆ
54,Traum::N,স্বপ্ন,ಕನಸು
55,Himmel::N,আকাশ,ಬಾನು
56,Sonne::N,সূর্য,ಸೂರ್ಯ
57,Mond::N,চন্দ্র,ಚಂದ್ರ
58,Stern::N,নক্ষত্র,ಚುಕ್ಕಿ
59,Luft::N,বায়ু,ವಾಯು
60,Wind::N,বাতাস,ಗಾಳಿ
61,Welle::N,ঢেউ,ಅಲೆ
62,Welle::N,তরঙ্গ,ಅಲೆ
63,Wasser::N,জল,ನೀರು
64,Stein::N,ঢিল,ಕಲ್ಲು
65,Stein::N,প্রস্তর,ಕಲ್ಲು
66,Boden::N,ভূতল,ನೆಲ
67,Erde::N,ভূমি,ಭೂಮಿ
68,Staub::N,ধুলা,ದೂಳು
69,Rauch::N,ধোঁয়া,ಹೊಗೆ
70,Funke::N,স্ফুলিঙ্গ,ಕಿಡಿ
71,Feuer::N,অগ্নি,ಬೆಂಕಿ
72,Licht::N,আলো,ಬೆಳಕು
73,Schatten::N,ছায়া,ನೆರಳು
74,Wetter::N,আবহাওয়া,ಹವ
75,Nebel::N,কুহেলিকা,ಮಂಜು
76,Wolke::N,মেঘ,ಮೋಡ
77,Regen::N,বৃষ্টি,ಮಳೆ
78,Schnee::N,তুষার,ಹಿಮ
79,Eis::N,বরফ,ಮಂಜುಗಡ್ಡೆ
80,Frost::N,তুষার,ಮಂಜು
81,Kälte::N,শৈত্য,ಹಿಮ
82,Hitze::N,তাপ,ಉಷ್ಣ
83,Raureif::N,তুহিন,ಇಬ್ಬನಿ
84,Regenbogen::N,রামধনু,ಇಂದ್ರಚಾಪ
85,Donner::N,বজ্রধ্বনি,ಗುಡುಗು
86,Strömung::N,স্রোত,ಪ್ರವಾಹ
87,Tropfen::N,ফোঁটা,ತೊಟ್ಟು
88,Schaum::N,ফেনা,ನೊರೆ
89,Schmutz::N,ধুলা,ಕಸ
