,Concept_ID,uk,ca
0,Auge::N,око,ull
1,Ohr::N,вухо,orella
2,Nase::N,ніс,nas
3,Mund::N,рот,boca
4,Zahn::N,зуб,dent
5,Zunge::N,язик,llēngua
6,Lippe::N,губа,llavi
7,Wange::N,щока,galta
8,Gesicht::N,обличчя,cara
9,Stirn::N,лоб,front
10,Haar::N,волосся,cabēll
11,Schnurrbart::N,вуса,bigoti
12,Bart::N,борода,barba
13,Kinn::N,підборіддя,mentó
14,Kinn::N,підборіддя,barbeta
15,Kiefer[Anatomie]::N,щелепа,queix
16,Kiefer[Anatomie]::N,щелепа,mandíbula
17,Kehle::N,горло,gola
18,Kehle::N,горло,gorja
19,Hals::N,шия,coll
20,Genick::N,потилиця,nuca
21,Kopf::N,голова,cap
22,Rücken::N,спина,esquena
23,Bauch::N,живіт,panxa
24,Nabel::N,пупок,llombrígol
25,Busen::N,груди,pit
26,Busen::N,груди,mama
27,Brust::N,груди,pit
28,Schulter::N,плече,espatlla
29,Arm::N,рука,braç
30,Ellenbogen::N,лікоть,colze
31,Hand::N,рука,mà
32,Handfläche::N,долоня,palma
33,Finger::N,палець,dit
34,Fingernagel::N,ніготь,ungla
35,Nagel[Anatomie]::N,ніготь,ungla
36,Zeh::N,палець на нозі,dit del peu
37,Fuß::N,нога,peu
38,Ferse::N,п’ятка,taló
39,Knie::N,коліно,genoll
40,Oberschenkel::N,стегно,cuixa
41,Bein::N,нога,cama
42,Körper::N,тіло,cos
43,Haut::N,шкіра,pell
44,Blut::N,кров,sang
45,Ader::N,вена,vena
46,Sehne::N,сухожилля,tendó
47,Knochen::N,кістка,os
48,Gehirn::N,мозок,cervell
49,Herz::N,серце,cor
50,Magen::N,шлунок,estómac
51,Leber::N,печінка,fetge
52,Atem::N,дихання,alè
53,Atem::N,дихання,hàlit
54,Hunger::N,голод,fam
55,Hunger::N,голод,gana
56,Träne::N,сльоза,llàgrima
57,Geschmack::N,смак,gust
58,Geschmack::N,смак,sabor
59,Geruch::N,запах,olor
60,Schlaf::N,сон,son
61,Schlaf::N,сплячка,son
62,Traum::N,сон,somni
63,Himmel::N,небо,celm
64,Sonne::N,сонце,sol
65,Mond::N,місяць,lluna
66,Stern::N,зірка,estel
67,Stern::N,зірка,estrella
68,Luft::N,повітря,aire
69,Wind::N,вітер,vent
70,Welle::N,хвиля,ona
71,Wasser::N,вода,āigua
72,Stein::N,камінь,pedra
73,Boden::N,ґрунт,sòl
74,Erde::N,земля,terra
75,Staub::N,пил,pols
76,Rauch::N,дим,fum
77,Funke::N,іскра,guspira
78,Funke::N,іскра,centella
79,Feuer::N,вогонь,foc
80,Licht::N,світло,llum
81,Schatten::N,тінь,ombra
82,Wetter::N,погода,temps
83,Nebel::N,туман,boira
84,Wolke::N,хмара,núvol
85,Regen::N,дощ,pluja
86,Schnee::N,сніг,neu
87,Eis::N,лід,gel
88,Eis::N,лід,glaç
89,Frost::N,мороз,glaçada
90,Kälte::N,холод,fred
91,Hitze::N,жар,calor
92,Raureif::N,іній,gebre
93,Regenbogen::N,райдуга,arc iris
94,Donner::N,грім,tro
95,Strömung::N,струмина,corrent
96,Tropfen::N,крапля,gota
97,Schaum::N,піна,escuma
98,Schmutz::N,бруд,brutícia
99,See::N,озеро,llac
100,Sumpf::N,драговина,pantà
101,Moor::N,болото,pantà
102,Wiese::N,луг,prat
103,Wiese::N,луг,prada
104,Wiese::N,лука,prat
105,Wiese::N,лука,prada
106,Wald::N,ліс,bosc
107,Hügel::N,горб,puig
108,Hügel::N,горб,pujol
109,Anhöhe::N,височина,turó
110,Berg::N,гора,muntanya
111,Gipfel::N,вершина,cim
112,Höhle::N,печера,cova
113,Abhang::N,схил,coster
114,Quelle::N,джерело,font
115,Bach::N,струмок,riera
116,Fluss::N,річка,riu
117,Ufer::N,берег,riba
118,Küste::N,узбережжя,costa
119,Festland::N,суша,terra ferma
120,Meer::N,море,mar
121,Bucht::N,бухта,cala
122,Bucht::N,бухта,badia
123,Bucht::N,затока,cala
124,Bucht::N,затока,badia
125,Insel::N,острів,illa
126,Blume::N,квітка,flor
127,Gras::N,трава,herba
128,Wurzel::N,корінь,rel
129,Wurzel::N,корінь,arrel
130,Baum::N,дерево,arbre
131,Stamm::N,стовбур,tronc
132,Rinde::N,кора,escorça
133,Ast::N,гілка,branca
134,Zweig::N,галузь,ram
135,Blatt::N,лист,fulla
136,Birke::N,береза,bedoll
137,Kiefer[Baum]::N,сосна,pi
138,Weide[Baum]::N,верба,salze
139,Tanne::N,ялиця,avet
140,Horn::N,ріг,corn
141,Horn::N,ріг,banya
142,Feder::N,перо,ploma
143,Fell::N,хутро,pell
144,Flügel::N,крило,ala
145,Klaue::N,кіготь,urpa
146,Kralle::N,лапа,grapa
147,Schwanz::N,хвіст,cua
148,Ei::N,яйце,ou
149,Nest::N,гніздо,niu
150,Bau::N,лігво,cau
151,Tier::N,тварина,animāl
152,Herde::N,стадо,ramat
153,Kuh::N,корова,vaca
154,Bulle::N,бик,toro
155,Bulle::N,бугай,toro
156,Pferd::N,кінь,cavāll
157,Schaf::N,вівця,be
158,Schaf::N,вівця,ovella
159,Schwein::N,свиня,bacó
160,Hund::N,собака,ca
161,Hund::N,собака,gos
162,Katze::N,кішка,gat
163,Bär::N,ведмідь,ós
164,Eichhörnchen::N,білка,esquirol
165,Elch::N,лось,ant
166,Fuchs::N,лисиця,guilla
167,Hase::N,заєць,llebre
168,Maus::N,миша,ratolí
169,Wolf::N,вовк,llop
170,Vogel::N,птах,au
171,Vogel::N,птах,ocēll
172,Schwarm::N,зграя,bandada
173,Huhn::N,курка,gallina
174,Hahn::N,півень,gall
175,Gans::N,гуска,oca
176,Adler::N,орел,àguila
177,Ente::N,качка,ànec
178,Eule::N,сова,òliba
179,Eule::N,сова,mussol
180,Kranich::N,журавель,grua
181,Krähe::N,ворона,cornella
182,Kuckuck::N,зозуля,cucut
183,Schwan::N,лебідь,cigne
184,Fisch::N,риба,peix
185,Barsch::N,окунь,perca
186,Hecht::N,щука,lluç
187,Schlange[Tier]::N,змія,serp
188,Wurm::N,черв’як,cuc
189,Spinne::N,павук,aranya
190,Ameise::N,мурашка,formiga
191,Laus::N,воша,poll
192,Mücke::N,комар,mosquit
193,Fliege::N,муха,mosca
194,Schmetterling::N,метелик,papallona
195,Beere::N,ягода,baia
196,Apfel::N,яблуко,poma
197,Pilz::N,гриб,bolet
198,Zwiebel::N,цибуля,ceba
199,Saat::N,сім’я,sembra
200,Korn::N,зерно,gra
201,Heu::N,сіно,fenc
202,Schale::N,шкірка,closca
203,Grube::N,яма,sot
204,Grube::N,яма,clot
205,Falle::N,пастка,trampa
206,Schlinge::N,петля,baga
207,Spur::N,слід,traça
208,Asche::N,зола,cendra
209,Asche::N,попіл,cendra
210,Dreck::N,бруд,llot
211,Eisen::N,залізо,ferro
212,Gold::N,золото,or
213,Silber::N,срібло,plata
214,Kohle::N,вугілля,carbó
215,Glas::N,скло,vidre
216,Lehm::N,глина,fang
217,Lehm::N,глина,argila
218,Sand::N,пісок,arena
219,Mensch::N,людина,humà
220,Mensch::N,людина,persona
221,Mann::N,чоловік,home
222,Frau::N,жінка,dona
223,Kind::N,дитина,nen
224,Junge::N,хлопець,noi
225,Mädchen::N,дівчина,noia
226,Familie::N,сім’я,família
227,Familie::N,родина,família
228,Großvater::N,дідусь,avi
229,Großmutter::N,бабуся,àvia
230,Eltern::N,батьки,pares
231,Vater::N,батько,pare
232,Mutter::N,мати,mare
233,Sohn::N,син,fill
234,Tochter::N,дочка,filla
235,Bruder::N,брат,germà
236,Schwester::N,сестра,germana
237,Onkel::N,дядько,oncle
238,Tante::N,тітка,tia
239,Ehemann::N,чоловік,espòs
240,Ehefrau::N,жінка,muller
241,Ehefrau::N,дружина,muller
242,Freude::N,радощі,goig
243,Freude::N,радощі,alegria
244,Gelächter::N,сміх,riallada
245,Glück::N,щастя,felicitat
246,Kummer::N,горе,pena
247,Wunsch::N,бажання,desig
248,Lust::N,бажання,ganes
249,Geist::N,дух,ment
250,Geist::N,дух,esperit
251,Gedanke::N,думка,pensament
252,Gedächtnis::N,пам’ять,memòria
253,Verstand::N,розум,raó
254,Verstand::N,розум,seny
255,Sinn::N,зміст,solta
256,Sinn::N,зміст,sentit
257,Sinn::N,значення,solta
258,Sinn::N,значення,sentit
259,Grund::N,причина,raó
260,Grund::N,причина,causa
261,Wahrheit::N,правда,veritāt
262,Gespräch::N,розмова,conversa
263,Märchen::N,байка,conte
264,Erzählung::N,повість,narració
265,Erzählung::N,оповідання,narració
266,Nachricht::N,повідомлення,missatge
267,Neuigkeit::N,новина,novetat
268,Name::N,ім’я,nom
269,Rätsel::N,загадка,endevinalla
270,Rede::N,промова,discurs
271,Sprache::N,мова,llēngua
272,Stimme::N,голос,veu
273,Wort::N,слово,mot
274,Wort::N,слово,paraula
275,Zeichen::N,знак,signe
276,Zeichen::N,знак,senyal
277,Ruf::N,оклик,crida
278,Lärm::N,шум,sorōll
279,Laut::N,звук,so
280,Ton::N,тон,to
281,Lied::N,пісня,cançó
282,Ruhe::N,спокій,calma
283,Ruhe::N,спокій,silenci
284,Leute::N,люди,gent
285,Volk::N,народ,poble
286,Arbeit::N,робота,labor
287,Arbeit::N,робота,treball
288,Gast::N,гість,hoste
289,Geschenk::N,подарунок,regal
290,Geschenk::N,подарунок,obsequi
291,Spiel::N,гра,joc
292,Gesellschaft::N,товариство,companyia
293,Hilfe::N,допомога,ajut
294,Freund::N,друг,amīc
295,Freund::N,приятель,amīc
296,Kamerad::N,товариш,company
297,Kamerad::N,товариш,camarada
298,Angelegenheit::N,справа,afer
299,Angelegenheit::N,справа,assumpte
300,Anzahl::N,число,nombre
301,Anzahl::N,число,quantitat
302,Art::N,рід,tipus
303,Art::N,рід,classe
304,Stück::N,кусок,peça
305,Teil::N,частина,part
306,Hälfte::N,половина,meitat
307,Kreis::N,круг,cercle
308,Kreis::N,коло,cercle
309,Kreuz::N,хрест,creu
310,Linie::N,лінія,línia
311,Strich::N,штрих,traç
312,Strich::N,штрих,ratlla
313,Abstand::N,проміжок,distància
314,Entfernung::N,відстань,distància
315,Gegend::N,місцевість,regió
316,Gegend::N,місцевість,contrada
317,Platz::N,площа,cabuda
318,Ort::N,місце,lloc
319,Seite::N,сторона,banda
320,Seite::N,сторона,costāt
321,Mitte::N,середина,mig
322,Mitte::N,середина,centre
323,Gegenstand::N,предмет,objecte
324,Sache::N,річ,cosa
325,Rand::N,край,vora
326,Rand::N,край,marge
327,Kante::N,ребро,caire
328,Kante::N,ребро,cantell
329,Ecke::N,ріг,cantonada
330,Spitze::N,кінчик,punta
331,Ende::N,кінець,cap
332,Loch::N,діра,forāt
333,Winkel::N,куток,racó
334,Muster::N,узор,dibuix
335,Muster::N,узор,disseny
336,Größe::N,розмір,grandària
337,Länge::N,довжина,longitud
338,Höhe::N,висота,altura
339,Höhe::N,висота,altitud
340,Gewicht::N,вага,pes
341,Menge::N,кількість,quantitat
342,Haufen::N,купа,pila
343,Reihe::N,ряд,fila
344,Boot::N,човен,bot
345,Boot::N,човен,barca
346,Ruder::N,весло,rem
347,Schlitten::N,сани,trineu
348,Ski::N,лижа,esquí
349,Lagerfeuer::N,вогнище,foc de campament
350,Last::N,тягар,càrrega
351,Last::N,вантаж,càrrega
352,Gang::N,хід,marxa
353,Schritt::N,крок,pas
354,Norden::N,північ,nord
355,Süden::N,південь,sud
356,Westen::N,захід,oest
357,Westen::N,захід,occident
358,Osten::N,схід,est
359,Osten::N,схід,orient
360,Holz::N,дрова,fusta
361,Brett::N,дошка,taula
362,Platte::N,плита,placa
363,Stütze::N,підпірка,suport
364,Stange::N,жердина,vara
365,Stock::N,палиця,pal
366,Stab::N,палиця,bastó
367,Rohr::N,труба,tub
368,Haus::N,дім,casa
369,Haus::N,хата,casa
370,Heim::N,житло,llar
371,Ofen::N,піч,estufa
372,Fußboden::N,підлога,terra
373,Tisch::N,стіл,taula
374,Stuhl::N,стілець,cadira
375,Wiege::N,колиска,bressol
376,Bett::N,ліжко,llit
377,Bett::N,постіль,llit
378,Regal::N,полиця,prestatgeria
379,Kiste::N,ящик,caixa
380,Fenster::N,вікно,finestra
381,Tür::N,двері,porta
382,Tor::N,ворота,portal
383,Zaun::N,паркан,tanca
384,Zaun::N,огорожа,tanca
385,Dach::N,дах,teulada
386,Leiter::N,драбина,escala
387,Leiter::N,драбина,escala de mà
388,Besen::N,мітла,escombra
389,Spaten::N,заступ,pala
390,Schaufel::N,совок,pala
391,Schaufel::N,лопата,pala
392,Gabel::N,виделка,forquilla
393,Löffel::N,ложка,cullera
394,Messer::N,ніж,coltell
395,Nagel::N,цвях,clau
396,Netz::N,сіть,filat
397,Haken::N,крюк,ganxo
398,Griff::N,ручка,puny
399,Griff::N,ручка,mànec
400,Griff::N,держак,puny
401,Griff::N,держак,mànec
402,Schloss::N,замок,pany
403,Bild::N,картина,imatge
404,Figur::N,фігура,figura
405,Puppe::N,лялька,nina
406,Beutel::N,мішечок,bossa
407,Beutel::N,торбинка,bossa
408,Bündel::N,в’язка,feix
409,Bündel::N,в’язка,paquet
410,Tasche::N,сумка,bossa
411,Eimer::N,відро,galleda
412,Deckel::N,кришка,tapa
413,Deckel::N,кришка,tapadora
414,Geschirr::N,посуд,vaixella
415,Sack::N,мішок,sac
416,Sack::N,мішок,saca
417,Tasse::N,чашка,tassa
418,Topf::N,горщик,pot
419,Topf::N,горщик,olla
420,Kessel::N,котел,caldera
421,Essen::N,їжа,àpat
422,Essen::N,їжа,menjada
423,Nahrung::N,харч,aliment
424,Speise::N,страва,plat
425,Fleisch::N,м’ясо,carn
426,Getreide::N,хліб,cereals
427,Getreide::N,збіжжя,cereals
428,Brei::N,каша,puré
429,Brot::N,хліб,pa
430,Scheibe::N,скибочка,tall
431,Scheibe::N,скибочка,llesca
432,Fett::N,жир,greix
433,Butter::N,масло,mantega
434,Öl::N,олія,oli
435,Salz::N,сіль,sal
436,Suppe::N,суп,sopa
437,Honig::N,мед,mel
438,Milch::N,молоко,llet
439,Tee::N,чай,te
440,Leder::N,шкіра,cuir
441,Wolle::N,шерсть,llana
442,Stoff::N,тканина,tela
443,Nadel::N,голка,agulla
444,Faden::N,нитка,fil
445,Knopf::N,ґудзик,botó
446,Knoten::N,вузол,nus
447,Farbe::N,фарба,pintura
448,Kleidung::N,одяг,roba
449,Kleidung::N,одяг,vestits
450,Kleidung::N,убрання,roba
451,Kleidung::N,убрання,vestits
452,Hemd::N,сорочка,camisa
453,Kragen::N,комір,coll
454,Ärmel::N,рукав,màniga
455,Hose::N,брюки,pantalōns
456,Gürtel::N,пояс,cinturó
457,Mütze::N,шапка,gorra
458,Schuh::N,ботинок,sabata
459,Stiefel::N,чобіт,bota
460,Ring::N,кільце,anell
461,Band::N,стрічка,veta
462,Band::N,стрічка,cinta
463,Kamm::N,гребінець,pinta
464,Spiegel::N,дзеркало,mirāll
465,Riemen::N,ремінь,corretja
466,Schnur::N,вірьовка,corda
467,Leine::N,шворка,corretja
468,Decke::N,ковдра,manta
469,Decke::N,ковдра,flassada
470,Kissen::N,подушка,coixí
471,Tuch::N,хустка,mocador
472,Handtuch::N,рушник,tovallola
473,Kraft::N,сила,força
474,Stärke::N,сила,vigor
475,Gesundheit::N,здоров’я,salut
476,Krankheit::N,хвороба,malaltia
477,Schmerz::N,біль,dolor
478,Wunde::N,рана,ferida
479,Fieber::N,гарячка,febre
480,Arznei::N,ліки,medicament
481,Brücke::N,міст,pont
482,Brunnen::N,колодязь,pou
483,Weide::N,пасовище,pastura
484,Pfad::N,стежка,senda
485,Pfad::N,стежка,sender
486,Weg::N,шлях,camí
487,Weg::N,дорога,camí
488,Straße::N,вулиця,carretera
489,Dorf::N,село,poble
490,Stadt::N,місто,ciutāt
491,Brief::N,лист,carta
492,Buch::N,книга,llibre
493,Buch::N,книжка,llibre
494,Buchstabe::N,буква,lletra
495,Buchstabe::N,літера,lletra
496,Zeitung::N,газета,diāri
497,Leben::N,життя,vida
498,Tod::N,смерть,mort
499,Grab::N,могила,tomba
500,Kirche::N,церква,església
501,Sünde::N,гріх,pecat
502,Gott::N,бог,déu
503,Arbeiter::N,робітник,obrer
504,Chef::N,хазяїн,cap
505,Meister::N,умілець,mestre
506,Arzt::N,лікар,metge
507,Lehrer::N,вчитель,mestre
508,Geld::N,гроші,dinērs
509,Geschäft::N,заняття,negoci
510,Laden::N,магазин,tenda
511,Laden::N,магазин,botiga
512,Laden::N,крамниця,tenda
513,Laden::N,крамниця,botiga
514,Preis::N,ціна,preu
515,Ware::N,товар,mercaderia
516,Nutzen::N,вигода,profit
517,Nutzen::N,користь,profit
518,Reichtum::N,багатство,riquesa
519,Welt::N,світ,món
520,Land::N,країна,país
521,Staat::N,держава,estat
522,König::N,король,rei
523,Macht::N,влада,poder
524,Macht::N,влада,potència
525,Grenze::N,кордон,frontera
526,Krieg::N,війна,guerra
527,Feind::N,ворог,enemic
528,Gewalt::N,насильство,violència
529,Kampf::N,бій,lluita
530,Kampf::N,боротьба,lluita
531,Bogen[Waffe]::N,лук,arc
532,Pfeil::N,стріла,fletxa
533,Gewehr::N,рушниця,fusell
534,Gewehr::N,рушниця,escopeta
535,Gewehr::N,гвинтівка,fusell
536,Gewehr::N,гвинтівка,escopeta
537,Fehler::N,помилка,falta
538,Lüge::N,брехня,mentida
539,Schaden::N,шкода,dany
540,Schaden::N,збиток,dany
541,Unglück::N,нещастя,desgràcia
542,Schuld::N,провина,culpa
543,Alter::N,вік,edat
544,Alter::N,літа,edat
545,Schluss::N,кінець,fi
546,Schluss::N,кінець,final
547,Zeit::N,час,temps
548,Tag::N,день,dia
549,Morgen::N,ранок,matí
550,Mittag::N,південь,migdia
551,Abend::N,вечір,vespre
552,Nacht::N,ніч,nit
553,Woche::N,тиждень,setmana
554,Monat::N,місяць,mes
555,Jahr::N,рік,any
556,Frühling::N,весна,primavera
557,Sommer::N,літо,estīu
558,Herbst::N,осінь,tardor
559,Winter::N,зима,hivērn
560,Januar::N,січень,gener
561,Februar::N,лютий,febrer
562,März::N,березень,març
563,April::N,квітень,abril
564,Mai::N,травень,maig
565,Juni::N,червень,juny
566,Juli::N,липень,juliol
567,August::N,серпень,agost
568,September::N,вересень,setembre
569,Oktober::N,жовтень,octubre
570,November::N,листопад,novembre
571,Dezember::N,грудень,desembre
572,Montag::N,понеділок,dilluns
573,Dienstag::N,вівторок,dimarts
574,Mittwoch::N,середа,dimecres
575,Donnerstag::N,четвер,dijous
576,Freitag::N,п’ятниця,divendres
577,Samstag::N,субота,dissabte
578,Sonntag::N,неділя,diumenge
579,groß::A,великий,gros
580,klein::A,малий,petīt
581,klein::A,маленький,petīt
582,lang::A,довгий,llarg
583,kurz::A,короткий,curt
584,breit::A,широкий,ample
585,schmal::A,вузький,estret
586,dicht::A,густий,dens
587,dick[Gegenstand]::A,товстий,gruixūt
588,dünn::A,тонкий,prim
589,fein::A,дрібний,fi
590,fest::A,міцний,ferm
591,fest::A,міцний,sòlid
592,flach::A,плоский,pla
593,glatt::A,рівний,llis
594,glatt::A,гладенький,llis
595,hart::A,твердий,dur
596,weich::A,м’який,tou
597,rund::A,круглий,rodó
598,spitz::A,гострокінцевий,punxegut
599,scharf::A,гострий,agut
600,stumpf::A,тупий,rom
601,stumpf::A,тупий,esmussat
602,schwer::A,важкий,pesāt
603,schön::A,вродливий,bonīc
604,heiß::A,жаркий,calēnt
605,heiß::A,гарячий,calēnt
606,warm::A,теплий,càlid
607,kalt::A,холодний,fred
608,kühl::A,прохолодний,fresc
609,frisch::A,свіжий,fresc
610,feucht::A,вогкий,humit
611,nass::A,мокрий,mullat
612,trocken::A,сухий,sec
613,voll::A,повний,ple
614,leer::A,пустий,buit
615,offen::A,відкритий,obert
616,geschlossen::A,закритий,tancat
617,geschlossen::A,зачинений,tancat
618,sauber::A,чистий,net
619,sauber::A,охайний,net
620,schmutzig::A,брудний,brut
621,roh::A,сирий,cru
622,reif::A,зрілий,madur
623,lecker::A,смачний,deliciós
624,süß::A,солодкий,dolç
625,bitter::A,гіркий,amarg
626,sauer::A,кислий,agre
627,hell::A,світлий,clar
628,dunkel::A,темний,fosc
629,schwarz::A,чорний,negre
630,weiß::A,сивий,blanc
631,rot::A,червоний,vermēll
632,gelb::A,жовтий,groc
633,blau::A,синій,blau
634,grün::A,зелений,verd
635,grau::A,сірий,gris
636,bunt::A,барвистий,multicolor
637,billig::A,дешевий,barat
638,teuer::A,дорогий,car
639,wertvoll::A,цінний,preciós
640,blind::A,сліпий,cec
641,taub::A,глухий,sord
642,kräftig::A,могутній,fort
643,kräftig::A,могутній,vigorós
644,stark::A,сильний,fort
645,schwach::A,слабкий,feble
646,fett::A,жирний,gras
647,fett::A,товстий,gras
648,schlank::A,тонкий,esvelt
649,schlank::A,стрункий,esvelt
650,hübsch::A,чарівний,maco
651,böse::A,злий,dolent
652,böse::A,лихий,dolent
653,dumm::A,дурний,ximple
654,dumm::A,дурний,estúpid
655,faul::A,ледачий,gandūl
656,faul::A,ледачий,mandrós
657,fleißig::A,старанний,diligēnt
658,geizig::A,скупий,avar
659,klug::A,мудрий,intel·ligent
660,klug::A,розумний,intel·ligent
661,geschickt::A,умілий,hàbil
662,lieb::A,милий,amat
663,lieb::A,милий,estimat
664,lustig::A,веселий,alegre
665,sanft::A,лагідний,suau
666,hungrig::A,голодний,afamat
667,krank::A,слабий,malālt
668,nackt::A,голий,nu
669,traurig::A,сумний,trist
670,lebendig::A,живий,viu
671,gut::A,добрий,bo
672,schlecht::A,поганий,dolēnt
673,schlecht::A,кепський,dolēnt
674,richtig::A,правильний,just
675,richtig::A,правильний,correcte
676,schlimm::A,бридкий,greu
677,wahr::A,справжній,vertader
678,wahr::A,справжній,veritable
679,alt::A,старий,vell
680,neu::A,новий,nou
681,ehemalig::A,колишній,antic
682,alt[Lebewesen]::A,старий,vell
683,jung::A,молодий,jove
684,arm::A,бідний,pobre
685,reich::A,багатий,ric
686,bekannt::A,знайомий,conegut
687,berühmt::A,славетний,famós
688,fremd::A,чужий,estrany
689,verschieden::A,різний,diferent
690,nah::A,близький,pròxim
691,fern::A,далекий,llunyà
692,fern::A,далекий,distant
693,linker::A,лівий,esquerre
694,rechter::A,правий,dret
695,anderer::A,інакший,altre
696,erster::A,перший,primer
697,zweiter::A,другий,segon
698,dritter::A,третій,tercer
699,letzter::A,останній,últim
700,allein::ADV,сам,sol
701,allein::ADV,один,sol
702,auf einmal::ADV,відразу,d'una vegada
703,zusammen::ADV,разом,junt
704,zusammen::ADV,спільно,junt
705,lange::ADV,довго,molt de temps
706,plötzlich::ADV,раптом,de cop
707,plötzlich::ADV,раптом,de sobte
708,sofort::ADV,зараз,de seguida
709,später::ADV,пізніше,més tard
710,jetzt::ADV,тепер,ara
711,heute::ADV,сьогодні,avūi
712,morgen::ADV,завтра,demà
713,bald::ADV,незабаром,aviāt
714,dann::ADV,потім,després
715,gestern::ADV,вчора,ahir
716,einst::ADV,колись,anteriorment
717,damals::ADV,тоді,llavōrs
718,damals::ADV,тоді,aleshores
719,danach::ADV,згодом,després
720,vorher::ADV,раніше,abāns
721,zuerst::ADV,спершу,primer
722,zuerst::ADV,спочатку,primer
723,einmal::ADV,один раз,una vegada
724,manchmal::ADV,іноді,de vegades
725,manchmal::ADV,інколи,de vegades
726,oft::ADV,часто,sovint
727,immer::ADV,завжди,sempre
728,niemals::ADV,ніколи,no ... mai
729,hier::ADV,тут,aquí
730,hierhin::ADV,сюди,per aquí
731,von hier::ADV,звідси,des d'aquí
732,dort::ADV,там,allí
733,dorthin::ADV,туди,hi
734,geradeaus::ADV,прямо,tot dret
735,vorwärts::ADV,вперед,endavānt
736,rückwärts::ADV,назад,endarrera
737,zurück::ADV,назад,darrere
738,unten::ADV,внизу,a baix
739,hinab::ADV,вниз,cap avall
740,oben::ADV,вгорі,dalt
741,hinauf::ADV,вгору,cap amunt
742,überall::ADV,скрізь,pertot
743,überall::ADV,скрізь,per tot arreu
744,nicht::ADV,не,no
745,ein wenig::ADV,трохи,una mica
746,ein wenig::ADV,небагато,una mica
747,kaum::ADV,ледве,a penes
748,sehr::ADV,дуже,molt
749,so::ADV,так,així
750,noch::ADV,ще,encara
751,nur::ADV,лише,només
752,nur::ADV,тільки,només
753,schon::ADV,вже,ja
754,wieder::ADV,знову,de nou
755,vergebens::ADV,дарма,en va
756,vor::PRP,перед,davānt
757,vor::PRP,перед,enfront de
758,hinter::PRP,ззаду,darrera
759,hinter::PRP,позаду,darrera
760,unter::PRP,під,sota
761,durch::PRP,крізь,per
762,neben::PRP,біля,al costāt de
763,zwischen::PRP,між,entre
764,wegen::PRP,з-за,a causa de
765,wegen::PRP,через,a causa de
766,dies::PRN,це,aquest
767,das::PRN,то,això
768,alles::PRN,все,tot
769,ich::PRN,я,jo
770,du::PRN,ти,tu
771,er::PRN,він,ell
772,wir::PRN,ми,nosaltres
773,ihr::PRN,ви,vosaltres
774,sie::PRN,вони,ells
775,sie::PRN,вони,elles
776,was::FPRN,що,què
777,wer::FPRN,хто,qui
778,wo::FADV,де,on
779,wohin::FADV,куди,cap a on
780,wie::FADV,як,com
781,warum::FADV,чому,per què
782,wieviel::FNUM,скільки,quant
783,eins::NUM,один,u
784,zwei::NUM,два,dos
785,drei::NUM,три,tres
786,vier::NUM,чотири,quatre
787,fünf::NUM,п’ять,cinc
788,sechs::NUM,шість,sis
789,sieben::NUM,сім,set
790,acht::NUM,вісім,vuit
791,neun::NUM,дев’ять,nou
792,zehn::NUM,десять,deu
793,elf::NUM,одинадцять,onze
794,zwölf::NUM,дванадцять,dotze
795,zwanzig::NUM,двадцять,vint
796,dreißig::NUM,тридцять,trenta
797,vierzig::NUM,сорок,quaranta
798,fünfzig::NUM,п’ятдесят,cinquanta
799,sechzig::NUM,шістдесят,seixanta
800,siebzig::NUM,сімдесят,setanta
801,achtzig::NUM,вісімдесят,vuitanta
802,neunzig::NUM,дев’яносто,noranta
803,hundert::NUM,сто,cent
804,tausend::NUM,тисяча,mil
805,und::CNJ,і,i
806,oder::CNJ,або,o
807,stehen::V,стояти,estar de peu
808,sitzen::V,сидіти,seure
