,Concept_ID,nl,pl
0,Auge::N,oog,oko
1,Ohr::N,oor,ucho
2,Nase::N,neus,nos
3,Mund::N,mond,usta
4,Zahn::N,tand,ząb
5,Zunge::N,tong,język
6,Lippe::N,lip,warga
7,Wange::N,wang,policzek
8,Gesicht::N,gelaat,twarz
9,Gesicht::N,gezicht,twarz
10,Stirn::N,voorhoofd,czoło
11,Haar::N,haar,włos
12,Haar::N,haar,włosy
13,Schnurrbart::N,snor,wąsy
14,Bart::N,baard,broda
15,Kinn::N,kin,podbródek
16,Kiefer[Anatomie]::N,kaak,czeluść
17,Kehle::N,keel,gardło
18,Kehle::N,strot,gardło
19,Hals::N,hals,szyja
20,Genick::N,nek,kark
21,Kopf::N,hoofd,głowa
22,Rücken::N,rug,plecy
23,Rücken::N,rug,grzbiet
24,Bauch::N,buik,brzuch
25,Nabel::N,navel,pępek
26,Busen::N,boezem,biust
27,Brust::N,borst,pierś
28,Schulter::N,schouder,bark
29,Schulter::N,schouder,ramię
30,Arm::N,arm,ręka
31,Arm::N,arm,ramię
32,Ellenbogen::N,elleboog,łokieć
33,Hand::N,hand,dłoń
34,Handfläche::N,handpalm,dłoń
35,Finger::N,vinger,palec
36,Fingernagel::N,nagel,paznokieć
37,Nagel[Anatomie]::N,nagel,paznokieć
38,Zeh::N,teen,palec
39,Fuß::N,voet,stopa
40,Ferse::N,hak,pięta
41,Ferse::N,hiel,pięta
42,Knie::N,knie,kolano
43,Oberschenkel::N,dij,udo
44,Bein::N,been,noga
45,Körper::N,lichaam,ciało
46,Haut::N,huid,skóra
47,Blut::N,bloed,krew
48,Ader::N,ader,żyła
49,Sehne::N,pees,ścięgno
50,Knochen::N,bot,kość
51,Knochen::N,been,kość
52,Knochen::N,knook,kość
53,Gehirn::N,hersenen,mózg
54,Herz::N,hart,serce
55,Magen::N,maag,żołądek
56,Leber::N,lever,wątroba
57,Atem::N,adem,dech
58,Atem::N,adem,oddech
59,Hunger::N,honger,głód
60,Träne::N,traan,łza
61,Geschmack::N,smaak,smak
62,Geruch::N,geur,woń
63,Geruch::N,geur,zapach
64,Schlaf::N,slaap,sen
65,Traum::N,droom,sen
66,Himmel::N,hemel,niebo
67,Sonne::N,zon,słońce
68,Mond::N,maan,księżyc
69,Stern::N,ster,gwiazda
70,Luft::N,lucht,powietrze
71,Wind::N,wind,wiatr
72,Welle::N,golf,fala
73,Wasser::N,water,woda
74,Stein::N,steen,kamień
75,Boden::N,grond,grunt
76,Erde::N,aarde,ziemia
77,Staub::N,stof,pył
78,Staub::N,stof,kurz
79,Rauch::N,rook,dym
80,Funke::N,vonk,iskra
81,Feuer::N,vuur,ogień
82,Licht::N,licht,światło
83,Schatten::N,schaduw,cień
84,Wetter::N,weer,pogoda
85,Nebel::N,mist,mgła
86,Nebel::N,nevel,mgła
87,Wolke::N,wolk,obłok
88,Wolke::N,wolk,chmura
89,Regen::N,regen,deszcz
90,Schnee::N,sneeuw,śnieg
91,Eis::N,ijs,lód
92,Frost::N,vorst,mróz
93,Kälte::N,kou,chłód
94,Kälte::N,koude,chłód
95,Hitze::N,hitte,gorąco
96,Raureif::N,rijp,szron
97,Regenbogen::N,regenboog,tęcza
98,Donner::N,donder,grzmot
99,Strömung::N,stroming,nurt
100,Tropfen::N,druppel,kropla
101,Schaum::N,schuim,piana
102,Schmutz::N,vuil,brud
103,See::N,meer,jezioro
104,Sumpf::N,moeras,bagno
105,Moor::N,veen,bagno
106,Wiese::N,wei,łąka
107,Wiese::N,weide,łąka
108,Wald::N,bos,las
109,Hügel::N,heuvel,pagórek
110,Anhöhe::N,hoogte,wzgórze
111,Berg::N,berg,góra
112,Gipfel::N,top,szczyt
113,Gipfel::N,top,wierzchołek
114,Höhle::N,hol,pieczara
115,Abhang::N,helling,stok
116,Abhang::N,helling,zbocze
117,Quelle::N,bron,zdrój
118,Quelle::N,bron,źródło
119,Bach::N,beek,potok
120,Bach::N,beek,strumień
121,Fluss::N,stroom,rzeka
122,Ufer::N,wal,brzeg
123,Ufer::N,oever,brzeg
124,Küste::N,kust,wybrzeże
125,Festland::N,vasteland,ląd
126,Meer::N,zee,morze
127,Bucht::N,baai,zatoka
128,Bucht::N,inham,zatoka
129,Insel::N,eiland,wyspa
130,Blume::N,bloem,kwiat
131,Gras::N,gras,trawa
132,Wurzel::N,wortel,korzeń
133,Baum::N,boom,drzewo
134,Stamm::N,stam,pień
135,Rinde::N,schors,kora
136,Ast::N,tak,gałąź
137,Zweig::N,twijg,gałąź
138,Blatt::N,blad,liść
139,Birke::N,berk,brzoza
140,Kiefer[Baum]::N,den,sosna
141,Weide[Baum]::N,wilg,wierzba
142,Tanne::N,spar,jodła
143,Horn::N,hoorn,róg
144,Feder::N,veer,pióro
145,Feder::N,pluim,pióro
146,Fell::N,vel,futro
147,Flügel::N,vleugel,skrzydło
148,Klaue::N,klauw,szpon
149,Kralle::N,klauw,pazur
150,Schwanz::N,staart,ogon
151,Ei::N,ei,jajko
152,Nest::N,nest,gniazdo
153,Bau::N,hol,nora
154,Tier::N,dier,zwierzę
155,Herde::N,kudde,stado
156,Herde::N,kudde,trzoda
157,Kuh::N,koe,krowa
158,Bulle::N,stier,byk
159,Pferd::N,paard,koń
160,Schaf::N,schaap,owca
161,Schwein::N,varken,świnia
162,Hund::N,hond,pies
163,Katze::N,kat,kot
164,Katze::N,kat,kotka
165,Bär::N,beer,niedźwiedż
166,Eichhörnchen::N,eekhoorntje,wiewiórka
167,Elch::N,eland,łóś
168,Fuchs::N,vos,lis
169,Hase::N,haas,zając
170,Maus::N,muis,mysz
171,Wolf::N,wolf,wilk
172,Vogel::N,vogel,ptak
173,Schwarm::N,zwerm,stado
174,Huhn::N,kip,kura
175,Huhn::N,hoen,kura
176,Hahn::N,haan,kogut
177,Gans::N,gans,gęś
178,Adler::N,arend,orzeł
179,Ente::N,eend,kaczka
180,Eule::N,uil,sowa
181,Kranich::N,kraanvogel,żuraw
182,Krähe::N,kraai,wrona
183,Kuckuck::N,koekoek,kukułka
184,Schwan::N,zwaan,łabędż
185,Fisch::N,vis,ryba
186,Barsch::N,baars,okoń
187,Hecht::N,snoek,szczupak
188,Schlange[Tier]::N,slang,wąż
189,Schlange[Tier]::N,slang,żmija
190,Wurm::N,worm,robak
191,Spinne::N,spin,pająk
192,Ameise::N,mier,mrówka
193,Laus::N,luis,wesz
