,Concept_ID,mn,av
1357,verbergen::V,нуух,балъго тезе
1358,verbergen::V,далдлах,бахчизе
1359,verbergen::V,далдлах,балъго тезе
1360,täuschen::V,мэхлэх,божуда рекӏкӏ гьабизе
1361,täuschen::V,мэхлэх,гуккизе
1362,betrügen::V,хуурах,хӏилла гьабизе
1363,betrügen::V,хуурах,сандирахълъи гьабизе
1364,töten::V,алах,чӏвазе
1365,wohnen::V,суух,яшав гьабизе
1366,wohnen::V,амьдрах,яшав гьабизе
1367,arbeiten::V,ажиллах,хӏалтӏизе
1368,arbeiten::V,хөдөлмөрлөх,хӏалтӏизе
1369,sammeln::V,түүх,бакӏаризе
1370,sammeln::V,хураах,бакӏаризе
1371,pflücken::V,түүх,бетӏизе
1372,jagen::V,агнах,чан гьабизе
1373,jagen::V,гөрөөлөх,чан гьабизе
1374,fischen::V,загасчлах,ччугӏа кквезе
1375,fischen::V,загас барих,ччугӏа кквезе
1376,fassen::V,барих,кквезе
1377,hüten::V,маллах,кваназабизе
1378,hüten::V,хариулах,кваназабизе
1379,treiben::V,туух,гъезе
1380,anbinden::V,уях,бухьине
1381,füttern::V,тэжээх,кваназабизе
1382,melken::V,саах,бечӏчӏизе
1383,hacken::V,цавчих,чӏвазе
1384,gießen::V,услах,лъалъазе
1385,reifen::V,боловсрох,барщизе
1386,zubereiten::V,бэлдэх,бежа-белъине
1387,kochen::V,чанах,белъине
1388,backen::V,жигнэх,базе
1389,braten::V,шарах,бежизе
1390,braten::V,хайрах,бежизе
1391,umrühren::V,хутгах,багъаризе
1392,stricken::V,нэхэх,хьухьине
1393,stricken::V,сүлжих,хьухьине
1394,nähen::V,оёх,букъизе
1395,färben::V,будах,кьер гьабизе
1396,reinigen::V,арилгах,бацӏцӏине
1397,reinigen::V,цэвэрлэх,бацӏцӏине
1398,waschen::V,угаах,чуризе
1399,abwischen::V,арчих,бацӏцӏине
1400,spülen::V,зайлах,хулизе
1401,fegen::V,хамах,лъухьизе
1402,fegen::V,шүүрдэх,лъухьизе
1403,kehren::V,шүүрдэх,лъухьизе
1404,kehren::V,туужуудах,лъухьизе
1405,baden::V,усанд орох,чордезе
1406,sich waschen::V,биеэ угаах,
1407,ausziehen::V,тайлах,бахъизе
1408,anziehen::V,өмсөх,ретӏине
1409,sich anziehen::V,хувцаслах,ретӏине
1410,kämmen::V,самнах,хазе
1411,schmücken::V,гоёх,чӏухӏизабизе
1412,schmücken::V,чимэх,чӏухӏизабизе
1413,sagen::V,гэх,бицине
1414,sagen::V,хэлэх,бицине
1415,sprechen::V,ярих,бицине
1416,sprechen::V,өгүүлэх,бицине
1417,reden::V,хэлэх,гаргадизе
1418,reden::V,хөөрөлдөх,гаргадизе
1419,sich unterhalten::V,ярилцах,гаргадизе
1420,fragen::V,асуух,цӏехезе
1421,fragen::V,асуух,гьикъизе
1422,bitten::V,гуйх,гьаризе
1423,erzählen::V,өгүүлэх,бицине
